Spokane County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.5,3.0
200002,33.9,3.0
200003,38.7,1.0
200004,48.0,2.7
200005,52.0,-1.1
200006,59.6,0.0
200007,66.1,-0.7
200008,65.9,0.4
200009,55.0,-2.1
200010,45.9,-0.4
200011,28.2,-6.5
200012,25.5,-2.8
200101,28.2,2.7
200102,28.2,-2.7
200103,38.9,1.2
200104,42.9,-2.4
200105,54.2,1.1
200106,57.0,-2.6
200107,66.2,-0.6
200108,69.2,3.7
200109,61.7,4.6
200110,44.7,-1.6
200111,39.8,5.1
200112,28.8,0.5
200201,30.7,5.2
200202,31.6,0.7
200203,33.8,-3.9
200204,44.6,-0.7
200205,50.3,-2.8
200206,60.8,1.2
200207,69.2,2.4
200208,64.4,-1.1
200209,57.4,0.3
200210,42.6,-3.7
200211,36.9,2.2
200212,33.8,5.5
200301,34.1,8.6
200302,33.4,2.5
200303,40.2,2.5
200304,44.8,-0.5
200305,52.4,-0.7
200306,62.3,2.7
200307,70.1,3.3
200308,68.1,2.6
200309,60.1,3.0
200310,50.3,4.0
200311,30.1,-4.6
200312,30.1,1.8
200401,27.1,1.6
200402,32.9,2.0
200403,42.5,4.8
200404,48.3,3.0
200405,52.7,-0.4
200406,61.0,1.4
200407,69.4,2.6
200408,68.1,2.6
200409,56.0,-1.1
200410,47.5,1.2
200411,36.3,1.6
200412,32.5,4.2
200501,28.9,3.4
200502,34.6,3.7
200503,41.2,3.5
200504,46.7,1.4
200505,55.1,2.0
200506,58.1,-1.5
200507,67.4,0.6
200508,66.8,1.3
200509,55.4,-1.7
200510,47.8,1.5
200511,34.0,-0.7
200512,24.8,-3.5
200601,35.3,9.8
200602,31.0,0.1
200603,38.0,0.3
200604,46.1,0.8
200605,54.5,1.4
200606,61.9,2.3
200607,71.3,4.5
200608,66.2,0.7
200609,59.1,2.0
200610,45.7,-0.6
200611,35.6,0.9
200612,28.8,0.5
200701,24.7,-0.8
200702,33.6,2.7
200703,41.4,3.7
200704,45.0,-0.3
200705,54.2,1.1
200706,59.8,0.2
200707,72.7,5.9
200708,65.6,0.1
200709,57.2,0.1
200710,45.6,-0.7
200711,34.6,-0.1
200712,28.6,0.3
200801,24.9,-0.6
200802,32.7,1.8
200803,36.0,-1.7
200804,40.6,-4.7
200805,54.4,1.3
200806,58.3,-1.3
200807,67.3,0.5
200808,65.8,0.3
200809,58.0,0.9
200810,46.0,-0.3
200811,38.2,3.5
200812,22.9,-5.4
200901,26.4,0.9
200902,31.2,0.3
200903,34.1,-3.6
200904,43.9,-1.4
200905,53.6,0.5
200906,61.1,1.5
200907,69.3,2.5
200908,67.9,2.4
200909,61.6,4.5
200910,42.0,-4.3
200911,36.5,1.8
200912,24.5,-3.8
201001,34.9,9.4
201002,37.5,6.6
201003,40.4,2.7
201004,45.3,0.0
201005,49.5,-3.6
201006,57.3,-2.3
201007,66.1,-0.7
201008,65.4,-0.1
201009,57.3,0.2
201010,48.3,2.0
201011,33.0,-1.7
201012,29.8,1.5
201101,29.2,3.7
201102,28.6,-2.3
201103,38.4,0.7
201104,40.1,-5.2
201105,50.1,-3.0
201106,56.4,-3.2
201107,63.6,-3.2
201108,67.6,2.1
201109,62.3,5.2
201110,46.8,0.5
201111,34.3,-0.4
201112,29.0,0.7
201201,29.8,4.3
201202,32.9,2.0
201203,37.9,0.2
201204,47.0,1.7
201205,51.8,-1.3
201206,57.4,-2.2
201207,69.3,2.5
201208,68.2,2.7
201209,60.6,3.5
201210,46.9,0.6
201211,38.5,3.8
201212,31.6,3.3
201301,25.2,-0.3
201302,33.5,2.6
201303,40.0,2.3
201304,44.6,-0.7
201305,54.6,1.5
201306,59.6,0.0
201307,70.4,3.6
201308,69.0,3.5
201309,60.8,3.7
201310,44.3,-2.0
201311,34.5,-0.2
201312,25.9,-2.4
201401,30.5,5.0
201402,26.0,-4.9
201403,38.9,1.2
201404,45.5,0.2
201405,55.3,2.2
201406,59.1,-0.5
201407,72.3,5.5
201408,69.4,3.9
201409,60.6,3.5
201410,51.7,5.4
201411,34.1,-0.6
201412,32.6,4.3
201501,31.3,5.8
201502,38.9,8.0
201503,44.2,6.5
201504,45.9,0.6
201505,58.2,5.1
201506,68.4,8.8
201507,71.3,4.5
201508,69.5,4.0
201509,56.8,-0.3
201510,52.9,6.6
201511,34.7,0.0
201512,30.9,2.6
201601,31.0,5.5
201602,38.6,7.7
201603,41.7,4.0
201604,52.9,7.6
201605,56.5,3.4
201606,62.0,2.4
201607,66.1,-0.7
201608,67.7,2.2
201609,57.3,0.2
201610,47.2,0.9
201611,42.8,8.1
201612,23.2,-5.1
201701,21.0,-4.5
201702,29.9,-1.0
201703,39.7,2.0
201704,44.9,-0.4
201705,55.1,2.0
201706,61.9,2.3
201707,71.3,4.5
201708,70.6,5.1
201709,59.6,2.5
201710,45.2,-1.1
201711,37.2,2.5
201712,26.9,-1.4
201801,34.0,8.5
201802,29.8,-1.1
201803,38.5,0.8
201804,45.2,-0.1
201805,59.5,6.4
201806,59.8,0.2
201807,69.8,3.0
201808,67.8,2.3
201809,57.0,-0.1
201810,46.3,0.0
201811,36.6,1.9
201812,31.7,3.4
201901,31.2,5.7
201902,21.4,-9.5
201903,33.8,-3.9
201904,46.4,1.1
201905,56.9,3.8
201906,61.8,2.2
201907,66.4,-0.4
201908,68.7,3.2
201909,57.2,0.1
201910,40.8,-5.5
201911,35.4,0.7
201912,33.4,5.1
202001,33.4,7.9
