La Crosse County, Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,17.0,3.2
200002,28.8,10.3
200003,40.6,9.7
200004,46.5,1.1
200005,59.2,1.9
200006,65.0,-1.7
200007,69.8,-1.5
200008,69.8,1.0
200009,60.6,0.2
200010,52.3,3.3
200011,32.7,-0.6
200012,8.6,-10.9
200101,19.9,6.1
200102,15.6,-2.9
200103,29.3,-1.6
200104,49.9,4.5
200105,59.2,1.9
200106,65.9,-0.8
200107,72.8,1.5
200108,72.1,3.3
200109,58.8,-1.6
200110,47.6,-1.4
200111,46.3,13.0
200112,28.9,9.4
200201,26.1,12.3
200202,28.9,10.4
200203,27.4,-3.5
200204,45.4,0.0
200205,53.9,-3.4
200206,69.0,2.3
200207,74.7,3.4
200208,69.1,0.3
200209,63.6,3.2
200210,43.8,-5.2
200211,33.3,0.0
200212,25.8,6.3
200301,15.2,1.4
200302,16.1,-2.4
200303,31.8,0.9
200304,46.0,0.6
200305,56.2,-1.1
200306,65.5,-1.2
200307,70.9,-0.4
200308,72.9,4.1
200309,61.4,1.0
200310,49.1,0.1
200311,34.0,0.7
200312,25.9,6.4
200401,13.2,-0.6
200402,22.4,3.9
200403,36.8,5.9
200404,48.3,2.9
200405,56.0,-1.3
200406,64.1,-2.6
200407,68.9,-2.4
200408,64.3,-4.5
200409,65.0,4.6
200410,49.7,0.7
200411,38.0,4.7
200412,22.1,2.6
200501,15.7,1.9
200502,27.1,8.6
200503,30.8,-0.1
200504,50.8,5.4
200505,54.7,-2.6
200506,71.7,5.0
200507,73.3,2.0
200508,69.6,0.8
200509,65.0,4.6
200510,51.7,2.7
200511,36.4,3.1
200512,18.3,-1.2
200601,29.6,15.8
200602,20.5,2.0
200603,33.8,2.9
200604,51.4,6.0
200605,57.9,0.6
200606,67.4,0.7
200607,75.2,3.9
200608,70.0,1.2
200609,57.9,-2.5
200610,44.8,-4.2
200611,37.4,4.1
200612,28.8,9.3
200701,21.5,7.7
200702,12.6,-5.9
200703,37.1,6.2
200704,45.4,0.0
200705,61.7,4.4
200706,69.0,2.3
200707,71.9,0.6
200708,70.2,1.4
200709,63.2,2.8
200710,54.5,5.5
200711,34.0,0.7
200712,18.1,-1.4
200801,13.8,0.0
200802,13.8,-4.7
200803,27.9,-3.0
200804,44.5,-0.9
200805,54.8,-2.5
200806,66.5,-0.2
200807,71.3,0.0
200808,68.2,-0.6
200809,62.6,2.2
200810,48.7,-0.3
200811,34.7,1.4
200812,13.7,-5.8
200901,7.4,-6.4
200902,22.2,3.7
200903,33.2,2.3
200904,46.0,0.6
200905,57.4,0.1
200906,65.9,-0.8
200907,65.8,-5.5
200908,67.0,-1.8
200909,63.0,2.6
200910,43.2,-5.8
200911,41.6,8.3
200912,19.1,-0.4
201001,13.7,-0.1
201002,19.5,1.0
201003,39.4,8.5
201004,52.8,7.4
201005,59.0,1.7
201006,67.4,0.7
201007,73.3,2.0
201008,73.2,4.4
201009,59.2,-1.2
201010,52.0,3.0
201011,35.8,2.5
201012,15.8,-3.7
201101,12.7,-1.1
201102,19.3,0.8
201103,30.5,-0.4
201104,44.5,-0.9
201105,56.3,-1.0
201106,67.0,0.3
201107,75.4,4.1
201108,70.3,1.5
201109,58.7,-1.7
201110,51.8,2.8
201111,38.4,5.1
201112,26.8,7.3
201201,22.5,8.7
201202,28.2,9.7
201203,49.3,18.4
201204,48.3,2.9
201205,62.4,5.1
201206,70.1,3.4
201207,77.8,6.5
201208,69.3,0.5
201209,60.1,-0.3
201210,46.8,-2.2
201211,36.8,3.5
201212,25.4,5.9
201301,18.6,4.8
201302,19.4,0.9
201303,25.6,-5.3
201304,40.5,-4.9
201305,57.4,0.1
201306,66.0,-0.7
201307,71.3,0.0
201308,70.2,1.4
201309,64.2,3.8
201310,48.5,-0.5
201311,32.0,-1.3
201312,13.9,-5.6
201401,7.9,-5.9
201402,8.4,-10.1
201403,25.4,-5.5
201404,42.9,-2.5
201405,58.0,0.7
201406,69.4,2.7
201407,68.0,-3.3
201408,70.4,1.6
201409,60.6,0.2
201410,47.9,-1.1
201411,27.0,-6.3
201412,25.4,5.9
201501,17.9,4.1
201502,9.6,-8.9
201503,33.5,2.6
201504,48.5,3.1
201505,59.4,2.1
201506,67.2,0.5
201507,70.3,-1.0
201508,68.5,-0.3
201509,67.1,6.7
201510,50.8,1.8
201511,41.0,7.7
201512,32.2,12.7
201601,17.0,3.2
201602,24.3,5.8
201603,39.5,8.6
201604,47.2,1.8
201605,58.8,1.5
201606,68.8,2.1
201607,72.2,0.9
201608,71.4,2.6
201609,64.6,4.2
201610,52.9,3.9
201611,43.9,10.6
201612,20.7,1.2
201701,20.6,6.8
201702,30.9,12.4
201703,33.0,2.1
201704,49.4,4.0
201705,55.8,-1.5
201706,68.6,1.9
201707,72.2,0.9
201708,67.3,-1.5
201709,65.4,5.0
201710,51.5,2.5
201711,33.9,0.6
201712,19.8,0.3
201801,16.7,2.9
201802,19.0,0.5
201803,32.7,1.8
201804,36.6,-8.8
201805,64.8,7.5
201806,70.5,3.8
201807,72.3,1.0
201808,71.0,2.2
201809,63.2,2.8
201810,45.7,-3.3
201811,28.4,-4.9
201812,26.4,6.9
201901,13.8,0.0
201902,14.1,-4.4
201903,27.7,-3.2
201904,45.4,0.0
201905,54.4,-2.9
201906,66.2,-0.5
201907,73.7,2.4
201908,68.3,-0.5
201909,65.3,4.9
201910,45.8,-3.2
201911,29.2,-4.1
201912,24.6,5.1
202001,21.4,7.6
