Outagamie County, Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,16.4,2.1
200002,26.2,8.6
200003,39.8,10.7
200004,43.3,0.4
200005,57.4,2.5
200006,64.1,-0.6
200007,67.7,-1.9
200008,67.9,0.9
200009,58.7,-0.1
200010,51.2,3.6
200011,33.7,0.7
200012,11.3,-8.6
200101,20.9,6.6
200102,18.0,0.4
200103,29.6,0.5
200104,48.4,5.5
200105,58.0,3.1
200106,65.6,0.9
200107,71.1,1.5
200108,71.2,4.2
200109,58.2,-0.6
200110,47.2,-0.4
200111,43.4,10.4
200112,29.3,9.4
200201,25.6,11.3
200202,27.8,10.2
200203,26.8,-2.3
200204,44.5,1.6
200205,50.9,-4.0
200206,66.7,2.0
200207,73.2,3.6
200208,68.6,1.6
200209,63.1,4.3
200210,43.8,-3.8
200211,33.2,0.2
200212,25.8,5.9
200301,15.3,1.0
200302,14.9,-2.7
200303,30.4,1.3
200304,42.3,-0.6
200305,53.7,-1.2
200306,63.6,-1.1
200307,69.1,-0.5
200308,70.3,3.3
200309,60.4,1.6
200310,47.8,0.2
200311,35.4,2.4
200312,27.0,7.1
200401,11.9,-2.4
200402,22.0,4.4
200403,35.3,6.2
200404,45.3,2.4
200405,53.1,-1.8
200406,62.7,-2.0
200407,67.3,-2.3
200408,63.6,-3.4
200409,64.5,5.7
200410,49.2,1.6
200411,38.4,5.4
200412,22.3,2.4
200501,15.8,1.5
200502,26.2,8.6
200503,27.8,-1.3
200504,47.6,4.7
200505,53.1,-1.8
200506,70.6,5.9
200507,71.1,1.5
200508,69.7,2.7
200509,64.2,5.4
200510,50.9,3.3
200511,35.7,2.7
200512,19.0,-0.9
200601,29.4,15.1
200602,19.5,1.9
200603,32.7,3.6
200604,49.4,6.5
200605,57.0,2.1
200606,65.1,0.4
200607,73.1,3.5
200608,68.2,1.2
200609,57.7,-1.1
200610,43.8,-3.8
200611,38.4,5.4
200612,28.6,8.7
200701,22.8,8.5
200702,13.5,-4.1
200703,35.3,6.2
200704,43.8,0.9
200705,59.2,4.3
200706,67.7,3.0
200707,69.8,0.2
200708,69.4,2.4
200709,62.4,3.6
200710,54.5,6.9
200711,34.3,1.3
200712,19.6,-0.3
200801,16.8,2.5
200802,14.8,-2.8
200803,26.9,-2.2
200804,45.2,2.3
200805,53.0,-1.9
200806,66.2,1.5
200807,70.3,0.7
200808,67.5,0.5
200809,61.6,2.8
200810,48.1,0.5
200811,34.7,1.7
200812,14.3,-5.6
200901,8.2,-6.1
200902,22.1,4.5
200903,30.3,1.2
200904,43.6,0.7
200905,56.2,1.3
200906,64.9,0.2
200907,65.2,-4.4
200908,66.2,-0.8
200909,61.7,2.9
200910,43.7,-3.9
200911,41.4,8.4
200912,20.2,0.3
201001,18.3,4.0
201002,23.3,5.7
201003,37.7,8.6
201004,50.4,7.5
201005,58.6,3.7
201006,66.0,1.3
201007,72.3,2.7
201008,71.8,4.8
201009,58.1,-0.7
201010,50.2,2.6
201011,36.7,3.7
201012,19.9,0.0
201101,14.5,0.2
201102,20.0,2.4
201103,28.7,-0.4
201104,41.7,-1.2
201105,54.0,-0.9
201106,64.4,-0.3
201107,73.7,4.1
201108,69.1,2.1
201109,57.7,-1.1
201110,50.5,2.9
201111,38.1,5.1
201112,28.2,8.3
201201,22.7,8.4
201202,28.7,11.1
201203,46.5,17.4
201204,45.5,2.6
201205,60.4,5.5
201206,68.7,4.0
201207,75.6,6.0
201208,68.4,1.4
201209,58.8,0.0
201210,46.4,-1.2
201211,35.9,2.9
201212,27.9,8.0
201301,18.6,4.3
201302,18.6,1.0
201303,25.9,-3.2
201304,39.4,-3.5
201305,56.0,1.1
201306,65.1,0.4
201307,69.5,-0.1
201308,68.1,1.1
201309,61.0,2.2
201310,48.1,0.5
201311,33.3,0.3
201312,14.4,-5.5
201401,8.1,-6.2
201402,9.4,-8.2
201403,22.5,-6.6
201404,41.1,-1.8
201405,55.7,0.8
201406,67.1,2.4
201407,66.7,-2.9
201408,68.0,1.0
201409,59.7,0.9
201410,47.4,-0.2
201411,28.0,-5.0
201412,25.7,5.8
201501,17.0,2.7
201502,10.2,-7.4
201503,32.6,3.5
201504,45.5,2.6
201505,58.1,3.2
201506,64.3,-0.4
201507,69.4,-0.2
201508,67.6,0.6
201509,66.0,7.2
201510,49.9,2.3
201511,41.5,8.5
201512,34.3,14.4
201601,18.6,4.3
201602,24.2,6.6
201603,37.5,8.4
201604,42.2,-0.7
201605,56.8,1.9
201606,66.5,1.8
201607,71.0,1.4
201608,71.0,4.0
201609,64.4,5.6
201610,51.9,4.3
201611,43.3,10.3
201612,22.2,2.3
201701,21.5,7.2
201702,29.0,11.4
201703,31.1,2.0
201704,47.7,4.8
201705,54.2,-0.7
201706,66.9,2.2
201707,69.9,0.3
201708,65.8,-1.2
201709,63.5,4.7
201710,52.4,4.8
201711,33.8,0.8
201712,18.9,-1.0
201801,18.2,3.9
201802,20.1,2.5
201803,31.2,2.1
201804,34.5,-8.4
201805,62.4,7.5
201806,67.4,2.7
201807,71.6,2.0
201808,70.2,3.2
201809,62.3,3.5
201810,45.5,-2.1
201811,29.9,-3.1
201812,27.3,7.4
201901,15.1,0.8
201902,16.1,-1.5
201903,27.5,-1.6
201904,43.2,0.3
201905,52.4,-2.5
201906,64.4,-0.3
201907,72.4,2.8
201908,66.7,-0.3
201909,63.0,4.2
201910,47.2,-0.4
201911,30.4,-2.6
201912,26.1,6.2
202001,24.8,10.5
