Braxton County, West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.6,-1.3
200002,40.3,6.1
200003,47.4,4.7
200004,52.6,0.1
200005,64.8,2.9
200006,71.4,1.8
200007,70.8,-2.7
200008,71.4,-0.6
200009,65.1,-1.0
200010,56.2,1.5
200011,41.8,-1.6
200012,27.2,-7.2
200101,30.4,-1.5
200102,39.0,4.8
200103,38.6,-4.1
200104,56.1,3.6
200105,62.6,0.7
200106,69.4,-0.2
200107,71.3,-2.2
200108,74.2,2.2
200109,64.2,-1.9
200110,53.4,-1.3
200111,49.2,5.8
200112,42.0,7.6
200201,35.7,3.8
200202,37.8,3.6
200203,44.0,1.3
200204,55.2,2.7
200205,59.1,-2.8
200206,71.6,2.0
200207,75.3,1.8
200208,74.8,2.8
200209,69.3,3.2
200210,56.6,1.9
200211,42.8,-0.6
200212,34.6,0.2
200301,26.1,-5.8
200302,32.3,-1.9
200303,46.7,4.0
200304,55.2,2.7
200305,61.4,-0.5
200306,66.5,-3.1
200307,73.1,-0.4
200308,74.1,2.1
200309,65.2,-0.9
200310,53.6,-1.1
200311,49.1,5.7
200312,34.0,-0.4
200401,29.1,-2.8
200402,34.3,0.1
200403,46.0,3.3
200404,52.7,0.2
200405,67.6,5.7
200406,69.4,-0.2
200407,73.1,-0.4
200408,70.5,-1.5
200409,67.8,1.7
200410,56.8,2.1
200411,47.9,4.5
200412,36.6,2.2
200501,36.1,4.2
200502,37.4,3.2
200503,38.5,-4.2
200504,54.4,1.9
200505,57.2,-4.7
200506,72.2,2.6
200507,75.7,2.2
200508,75.3,3.3
200509,69.2,3.1
200510,57.0,2.3
200511,46.7,3.3
200512,31.4,-3.0
200601,40.9,9.0
200602,34.4,0.2
200603,42.3,-0.4
200604,57.0,4.5
200605,58.8,-3.1
200606,67.9,-1.7
200607,73.4,-0.1
200608,74.7,2.7
200609,63.1,-3.0
200610,52.8,-1.9
200611,46.2,2.8
200612,40.6,6.2
200701,36.7,4.8
200702,24.7,-9.5
200703,48.6,5.9
200704,51.0,-1.5
200705,64.6,2.7
200706,70.8,1.2
200707,71.1,-2.4
200708,76.8,4.8
200709,69.1,3.0
200710,60.9,6.2
200711,44.2,0.8
200712,38.2,3.8
200801,32.0,0.1
200802,36.0,1.8
200803,44.1,1.4
200804,56.4,3.9
200805,58.1,-3.8
200806,70.9,1.3
200807,72.0,-1.5
200808,70.7,-1.3
200809,68.5,2.4
200810,53.0,-1.7
200811,41.4,-2.0
200812,36.5,2.1
200901,28.2,-3.7
200902,34.7,0.5
200903,45.5,2.8
200904,53.6,1.1
200905,62.7,0.8
200906,69.9,0.3
200907,69.4,-4.1
200908,72.9,0.9
200909,66.0,-0.1
200910,53.0,-1.7
200911,48.0,4.6
200912,34.1,-0.3
201001,29.8,-2.1
201002,28.3,-5.9
201003,44.6,1.9
201004,56.6,4.1
201005,64.8,2.9
201006,73.8,4.2
201007,75.0,1.5
201008,74.8,2.8
201009,66.3,0.2
201010,55.4,0.7
201011,44.6,1.2
201012,26.4,-8.0
201101,28.1,-3.8
201102,38.5,4.3
201103,44.1,1.4
201104,56.1,3.6
201105,63.2,1.3
201106,70.6,1.0
201107,76.0,2.5
201108,73.4,1.4
201109,66.7,0.6
201110,53.5,-1.2
201111,48.0,4.6
201112,40.1,5.7
201201,36.7,4.8
201202,39.2,5.0
201203,54.0,11.3
201204,52.8,0.3
201205,67.2,5.3
201206,69.1,-0.5
201207,76.9,3.4
201208,72.3,0.3
201209,65.6,-0.5
201210,54.3,-0.4
201211,40.8,-2.6
201212,41.0,6.6
201301,35.0,3.1
201302,33.7,-0.5
201303,37.9,-4.8
201304,53.8,1.3
201305,61.8,-0.1
201306,70.2,0.6
201307,73.9,0.4
201308,70.6,-1.4
201309,65.8,-0.3
201310,56.7,2.0
201311,42.3,-1.1
201312,37.9,3.5
201401,25.0,-6.9
201402,32.6,-1.6
201403,38.7,-4.0
201404,54.9,2.4
201405,63.1,1.2
201406,71.7,2.1
201407,71.3,-2.2
201408,71.2,-0.8
201409,66.5,0.4
201410,55.1,0.4
201411,39.4,-4.0
201412,39.9,5.5
201501,30.2,-1.7
201502,24.7,-9.5
201503,41.0,-1.7
201504,54.4,1.9
201505,66.3,4.4
201506,72.3,2.7
201507,73.6,0.1
201508,71.8,-0.2
201509,69.1,3.0
201510,56.1,1.4
201511,50.2,6.8
201512,48.3,13.9
201601,28.9,-3.0
201602,37.1,2.9
201603,50.3,7.6
201604,55.4,2.9
201605,61.1,-0.8
201606,70.6,1.0
201607,75.2,1.7
201608,77.0,5.0
201609,71.4,5.3
201610,59.5,4.8
201611,47.3,3.9
201612,37.9,3.5
201701,39.2,7.3
201702,43.0,8.8
201703,43.7,1.0
201704,58.9,6.4
201705,62.8,0.9
201706,69.2,-0.4
201707,74.0,0.5
201708,71.3,-0.7
201709,66.6,0.5
201710,59.3,4.6
201711,45.1,1.7
201712,35.4,1.0
201801,28.8,-3.1
201802,42.8,8.6
201803,40.0,-2.7
201804,48.8,-3.7
201805,69.6,7.7
201806,72.0,2.4
201807,74.5,1.0
201808,74.4,2.4
201809,72.8,6.7
201810,56.9,2.2
201811,41.7,-1.7
201812,38.5,4.1
201901,33.8,1.9
201902,40.5,6.3
201903,41.7,-1.0
201904,55.9,3.4
201905,67.2,5.3
201906,68.7,-0.9
201907,75.9,2.4
201908,73.4,1.4
201909,71.4,5.3
201910,59.7,5.0
201911,41.1,-2.3
201912,40.2,5.8
202001,39.2,7.3
