Cabell County, West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,32.2,-1.1
200002,42.4,6.8
200003,49.4,5.1
200004,53.8,-0.2
200005,66.4,3.2
200006,73.2,2.0
200007,72.6,-2.5
200008,73.2,-0.5
200009,66.2,-1.3
200010,58.7,2.7
200011,43.4,-1.3
200012,27.6,-8.2
200101,31.9,-1.4
200102,40.2,4.6
200103,40.8,-3.5
200104,58.2,4.2
200105,64.4,1.2
200106,70.7,-0.5
200107,73.8,-1.3
200108,75.7,2.0
200109,65.7,-1.8
200110,55.8,-0.2
200111,50.3,5.6
200112,42.4,6.6
200201,36.9,3.6
200202,39.5,3.9
200203,45.5,1.2
200204,57.6,3.6
200205,60.2,-3.0
200206,73.5,2.3
200207,77.1,2.0
200208,77.0,3.3
200209,70.9,3.4
200210,57.4,1.4
200211,43.7,-1.0
200212,36.0,0.2
200301,28.6,-4.7
200302,33.4,-2.2
200303,48.4,4.1
200304,57.0,3.0
200305,63.2,0.0
200306,68.2,-3.0
200307,74.2,-0.9
200308,75.6,1.9
200309,66.3,-1.2
200310,55.4,-0.6
200311,50.1,5.4
200312,36.4,0.6
200401,31.4,-1.9
200402,36.6,1.0
200403,47.9,3.6
200404,55.1,1.1
200405,69.2,6.0
200406,71.3,0.1
200407,74.3,-0.8
200408,72.0,-1.7
200409,68.9,1.4
200410,58.2,2.2
200411,49.5,4.8
200412,36.7,0.9
200501,37.8,4.5
200502,39.5,3.9
200503,40.8,-3.5
200504,56.6,2.6
200505,59.6,-3.6
200506,73.9,2.7
200507,77.8,2.7
200508,78.0,4.3
200509,70.8,3.3
200510,57.3,1.3
200511,47.5,2.8
200512,32.3,-3.5
200601,42.5,9.2
200602,35.9,0.3
200603,43.5,-0.8
200604,59.5,5.5
200605,61.3,-1.9
200606,70.0,-1.2
200607,76.0,0.9
200608,77.0,3.3
200609,64.6,-2.9
200610,53.9,-2.1
200611,47.2,2.5
200612,41.7,5.9
200701,38.8,5.5
200702,26.6,-9.0
200703,50.3,6.0
200704,53.4,-0.6
200705,66.6,3.4
200706,73.3,2.1
200707,73.6,-1.5
200708,79.7,6.0
200709,71.2,3.7
200710,62.5,6.5
200711,45.8,1.1
200712,39.7,3.9
200801,32.9,-0.4
200802,36.5,0.9
200803,44.6,0.3
200804,57.0,3.0
200805,60.0,-3.2
200806,73.1,1.9
200807,73.8,-1.3
200808,72.7,-1.0
200809,71.0,3.5
200810,55.6,-0.4
200811,42.7,-2.0
200812,36.6,0.8
200901,29.0,-4.3
200902,37.5,1.9
200903,47.2,2.9
200904,55.8,1.8
200905,64.4,1.2
200906,71.8,0.6
200907,71.1,-4.0
200908,73.9,0.2
200909,68.2,0.7
200910,53.7,-2.3
200911,49.0,4.3
200912,35.2,-0.6
201001,30.5,-2.8
201002,30.9,-4.7
201003,46.7,2.4
201004,58.6,4.6
201005,66.9,3.7
201006,75.6,4.4
201007,77.1,2.0
201008,77.1,3.4
201009,69.0,1.5
201010,57.7,1.7
201011,45.6,0.9
201012,28.6,-7.2
201101,30.4,-2.9
201102,39.5,3.9
201103,46.2,1.9
201104,58.2,4.2
201105,64.0,0.8
201106,72.9,1.7
201107,78.4,3.3
201108,74.7,1.0
201109,67.5,0.0
201110,54.9,-1.1
201111,49.7,5.0
201112,40.8,5.0
201201,37.7,4.4
201202,40.2,4.6
201203,56.4,12.1
201204,54.6,0.6
201205,69.1,5.9
201206,71.5,0.3
201207,78.8,3.7
201208,73.9,0.2
201209,67.0,-0.5
201210,54.9,-1.1
201211,42.0,-2.7
201212,41.8,6.0
201301,35.8,2.5
201302,35.6,0.0
201303,39.3,-5.0
201304,55.6,1.6
201305,64.8,1.6
201306,72.8,1.6
201307,75.2,0.1
201308,72.8,-0.9
201309,67.6,0.1
201310,57.5,1.5
201311,41.9,-2.8
201312,37.8,2.0
201401,25.8,-7.5
201402,33.8,-1.8
201403,39.8,-4.5
201404,56.9,2.9
201405,64.6,1.4
201406,73.3,2.1
201407,72.6,-2.5
201408,73.3,-0.4
201409,67.6,0.1
201410,56.2,0.2
201411,39.7,-5.0
201412,40.2,4.4
201501,31.2,-2.1
201502,25.4,-10.2
201503,43.0,-1.3
201504,55.7,1.7
201505,67.6,4.4
201506,73.9,2.7
201507,74.9,-0.2
201508,73.2,-0.5
201509,70.5,3.0
201510,57.2,1.2
201511,50.6,5.9
201512,48.3,12.5
201601,30.6,-2.7
201602,38.4,2.8
201603,51.7,7.4
201604,57.2,3.2
201605,62.4,-0.8
201606,73.4,2.2
201607,76.9,1.8
201608,78.7,5.0
201609,72.6,5.1
201610,61.0,5.0
201611,48.6,3.9
201612,37.7,1.9
201701,40.4,7.1
201702,44.6,9.0
201703,45.8,1.5
201704,61.1,7.1
201705,64.5,1.3
201706,71.2,0.0
201707,75.9,0.8
201708,72.7,-1.0
201709,67.8,0.3
201710,59.8,3.8
201711,46.0,1.3
201712,35.2,-0.6
201801,29.2,-4.1
201802,44.5,8.9
201803,41.9,-2.4
201804,50.4,-3.6
201805,71.8,8.6
201806,74.6,3.4
201807,76.1,1.0
201808,75.9,2.2
201809,73.8,6.3
201810,57.6,1.6
201811,41.7,-3.0
201812,39.4,3.6
201901,34.4,1.1
201902,41.4,5.8
201903,42.9,-1.4
201904,58.0,4.0
201905,67.9,4.7
201906,70.8,-0.4
201907,77.5,2.4
201908,74.8,1.1
201909,73.6,6.1
201910,60.4,4.4
201911,40.8,-3.9
201912,40.7,4.9
202001,39.6,6.3
