Campbell County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.0,5.6
200002,31.6,7.7
200003,38.0,6.6
200004,43.5,1.7
200005,53.8,2.1
200006,61.5,0.2
200007,73.3,3.8
200008,72.3,4.5
200009,58.7,1.7
200010,46.3,0.8
200011,20.8,-10.6
200012,17.1,-5.3
200101,25.5,6.1
200102,17.7,-6.2
200103,34.2,2.8
200104,44.4,2.6
200105,54.7,3.0
200106,63.3,2.0
200107,73.1,3.6
200108,73.0,5.2
200109,61.6,4.6
200110,45.6,0.1
200111,37.4,6.0
200112,24.8,2.4
200201,23.7,4.3
200202,28.2,4.3
200203,23.3,-8.1
200204,41.0,-0.8
200205,49.6,-2.1
200206,65.6,4.3
200207,74.9,5.4
200208,66.3,-1.5
200209,58.9,1.9
200210,38.5,-7.0
200211,34.2,2.8
200212,29.0,6.6
200301,27.8,8.4
200302,22.0,-1.9
200303,32.0,0.6
200304,47.3,5.5
200305,52.0,0.3
200306,59.1,-2.2
200307,73.8,4.3
200308,74.3,6.5
200309,56.0,-1.0
200310,49.6,4.1
200311,26.4,-5.0
200312,27.4,5.0
200401,22.8,3.4
200402,28.0,4.1
200403,39.3,7.9
200404,45.6,3.8
200405,52.6,0.9
200406,60.0,-1.3
200407,69.7,0.2
200408,64.8,-3.0
200409,58.6,1.6
200410,46.7,1.2
200411,34.9,3.5
200412,29.2,6.8
200501,23.2,3.8
200502,30.5,6.6
200503,36.1,4.7
200504,43.8,2.0
200505,49.8,-1.9
200506,62.8,1.5
200507,72.7,3.2
200508,66.7,-1.1
200509,60.4,3.4
200510,47.4,1.9
200511,36.3,4.9
200512,22.2,-0.2
200601,33.6,14.2
200602,25.0,1.1
200603,33.8,2.4
200604,46.9,5.1
200605,54.2,2.5
200606,66.6,5.3
200607,75.5,6.0
200608,69.4,1.6
200609,54.9,-2.1
200610,42.9,-2.6
200611,33.6,2.2
200612,27.6,5.2
200701,21.1,1.7
200702,23.2,-0.7
200703,41.0,9.6
200704,41.6,-0.2
200705,54.4,2.7
200706,63.7,2.4
200707,75.1,5.6
200708,71.0,3.2
200709,59.6,2.6
200710,47.2,1.7
200711,34.6,3.2
200712,20.3,-2.1
200801,18.8,-0.6
200802,24.8,0.9
200803,32.9,1.5
200804,39.7,-2.1
200805,49.5,-2.2
200806,59.3,-2.0
200807,70.2,0.7
200808,69.1,1.3
200809,55.4,-1.6
200810,44.6,-0.9
200811,37.3,5.9
200812,17.6,-4.8
200901,24.0,4.6
200902,29.5,5.6
200903,32.4,1.0
200904,39.6,-2.2
200905,52.6,0.9
200906,58.8,-2.5
200907,67.1,-2.4
200908,65.8,-2.0
200909,61.6,4.6
200910,36.2,-9.3
200911,38.1,6.7
200912,14.2,-8.2
201001,24.1,4.7
201002,23.1,-0.8
201003,38.8,7.4
201004,42.6,0.8
201005,47.7,-4.0
201006,60.6,-0.7
201007,68.8,-0.7
201008,69.5,1.7
201009,58.7,1.7
201010,51.2,5.7
201011,29.9,-1.5
201012,23.5,1.1
201101,20.7,1.3
201102,18.3,-5.6
201103,34.4,3.0
201104,40.6,-1.2
201105,47.1,-4.6
201106,60.5,-0.8
201107,72.1,2.6
201108,71.1,3.3
201109,59.6,2.6
201110,48.1,2.6
201111,31.7,0.3
201112,25.4,3.0
201201,26.0,6.6
201202,25.0,1.1
201203,44.9,13.5
201204,47.6,5.8
201205,52.9,1.2
201206,68.0,6.7
201207,76.3,6.8
201208,70.4,2.6
201209,60.8,3.8
201210,43.6,-1.9
201211,36.8,5.4
201212,24.0,1.6
201301,23.2,3.8
201302,26.8,2.9
201303,33.6,2.2
201304,36.3,-5.5
201305,54.0,2.3
201306,62.6,1.3
201307,71.6,2.1
201308,71.5,3.7
201309,62.3,5.3
201310,41.6,-3.9
201311,33.8,2.4
201312,18.5,-3.9
201401,25.0,5.6
201402,17.1,-6.8
201403,33.2,1.8
201404,42.7,0.9
201405,52.5,0.8
201406,59.4,-1.9
201407,69.6,0.1
201408,67.9,0.1
201409,58.6,1.6
201410,49.9,4.4
201411,26.8,-4.6
201412,26.8,4.4
201501,25.6,6.2
201502,28.4,4.5
201503,41.1,9.7
201504,44.3,2.5
201505,49.1,-2.6
201506,65.8,4.5
201507,68.5,-1.0
201508,69.2,1.4
201509,64.1,7.1
201510,50.5,5.0
201511,31.9,0.5
201512,24.5,2.1
201601,26.4,7.0
201602,34.0,10.1
201603,38.6,7.2
201604,44.6,2.8
201605,51.4,-0.3
201606,69.1,7.8
201607,72.2,2.7
201608,67.9,0.1
201609,59.3,2.3
201610,50.0,4.5
201611,40.8,9.4
201612,14.0,-8.4
201701,16.5,-2.9
201702,29.9,6.0
201703,41.0,9.6
201704,43.3,1.5
201705,52.5,0.8
201706,63.5,2.2
201707,74.7,5.2
201708,67.0,-0.8
201709,57.0,0.0
201710,44.6,-0.9
201711,35.5,4.1
201712,22.5,0.1
201801,24.0,4.6
201802,14.1,-9.8
201803,33.3,1.9
201804,40.7,-1.1
201805,56.8,5.1
201806,63.6,2.3
201807,70.6,1.1
201808,66.5,-1.3
201809,58.7,1.7
201810,42.6,-2.9
201811,31.2,-0.2
201812,25.8,3.4
201901,24.9,5.5
201902,10.2,-13.7
201903,27.4,-4.0
201904,43.1,1.3
201905,46.2,-5.5
201906,60.6,-0.7
201907,68.7,-0.8
201908,67.9,0.1
201909,60.5,3.5
201910,36.8,-8.7
201911,31.8,0.4
201912,28.0,5.6
202001,27.1,7.7
