date,tavg,pcp
200001,-2.4,1.92
200002,14.2,0.29
200003,20.7,0.23
200004,29.5,0.10
200005,40.6,1.71
200006,57.2,1.16
200007,55.3,2.47
200008,47.2,4.94
200009,38.5,2.86
200010,21.4,1.19
200011,13.6,0.47
200012,7.2,0.31
200101,14.9,0.48
200102,13.1,0.70
200103,12.5,0.47
200104,31.5,0.36
200105,40.4,0.81
200106,56.4,1.31
200107,55.4,3.67
200108,53.2,2.85
200109,44.3,0.51
200110,20.7,1.18
200111,4.7,0.21
200112,-5.0,0.40
200201,9.6,0.80
200202,6.4,0.21
200203,13.5,0.25
200204,22.9,2.17
200205,46.8,0.66
200206,54.4,2.31
200207,57.5,4.26
200208,50.1,4.63
200209,44.0,1.72
200210,31.0,1.82
200211,22.3,0.18
200212,10.4,0.36
200301,4.6,0.52
200302,16.9,1.06
200303,10.5,0.48
200304,31.1,0.24
200305,43.3,0.54
200306,55.9,1.32
200307,57.0,6.70
200308,52.2,3.15
200309,37.9,2.74
200310,30.8,0.61
200311,10.2,1.82
200312,-2.4,0.51
200401,-9.2,0.57
200402,9.6,0.53
200403,8.4,0.53
200404,34.1,0.21
200405,48.4,2.26
200406,62.6,0.96
200407,60.9,2.03
200408,58.1,0.57
200409,35.4,1.80
200410,28.2,1.32
200411,11.2,0.81
200412,1.7,1.32
200501,-0.5,1.63
200502,4.4,0.35
200503,21.7,0.37
200504,31.6,0.27
200505,51.4,1.54
200506,57.7,3.29
200507,57.5,3.87
200508,53.6,1.19
200509,43.6,2.78
200510,26.1,0.59
200511,-2.9,0.90
200512,9.8,0.37
200601,-12.7,0.22
200602,13.0,1.37
200603,6.0,0.41
200604,27.4,0.60
200605,46.5,0.88
200606,54.6,2.46
200607,57.4,2.40
200608,50.9,3.12
200609,46.2,1.17
200610,29.9,1.09
200611,-6.9,0.24
200612,3.7,0.67
200701,0.5,0.68
200702,-0.4,0.20
200703,-4.7,0.42
200704,36.3,0.17
200705,46.8,1.18
200706,57.5,2.64
200707,60.0,3.88
200708,55.7,3.21
200709,43.7,2.27
200710,20.9,0.97
200711,16.9,0.21
200712,2.3,0.52
200801,-4.3,0.82
200802,1.0,0.28
200803,15.9,0.25
200804,29.0,1.36
200805,44.7,0.63
200806,55.1,2.47
200807,54.8,5.61
200808,48.9,2.37
200809,42.5,1.16
200810,14.3,1.08
200811,3.7,0.56
200812,-2.9,0.73
200901,-5.0,0.68
200902,3.3,0.98
200903,6.5,1.34
200904,29.7,0.30
200905,46.4,0.65
200906,55.3,3.18
200907,61.2,0.93
200908,49.8,3.81
200909,43.7,1.06
200910,29.0,0.64
200911,2.8,0.64
200912,4.3,0.45
201001,-5.8,0.22
201002,9.9,0.28
201003,13.3,0.28
201004,34.6,0.58
201005,49.6,0.90
201006,55.2,2.80
201007,57.9,2.91
201008,55.1,2.13
201009,42.4,0.80
201010,26.2,0.63
201011,14.6,1.95
201012,-13.1,0.36
201101,1.2,0.37
201102,-0.5,1.30
201103,10.6,0.16
201104,28.7,0.23
201105,47.8,0.33
201106,55.4,3.94
201107,56.7,3.18
201108,51.6,2.92
201109,44.7,1.53
201110,26.8,0.53
201111,-5.4,0.69
201112,8.7,1.23
201201,-20.0,0.74
201202,13.2,0.56
201203,5.9,0.92
201204,35.2,0.17
201205,43.4,1.43
201206,56.8,2.29
201207,55.8,2.77
201208,52.2,2.29
201209,43.0,1.18
201210,20.8,1.49
201211,-4.6,0.34
201212,-10.7,1.09
201301,3.9,1.09
201302,4.7,0.63
201303,9.5,0.44
201304,16.3,0.68
201305,39.8,0.33
201306,60.8,1.08
201307,59.1,2.29
201308,54.5,2.55
201309,39.6,2.14
201310,34.0,1.06
201311,7.2,2.11
201312,-1.9,1.06
201401,13.9,0.72
201402,1.2,0.44
201403,15.5,0.20
201404,30.7,0.26
201405,46.1,0.28
201406,52.3,5.28
201407,55.0,5.56
201408,53.3,3.99
201409,41.5,2.43
201410,21.8,1.03
201411,13.0,0.27
201412,11.2,0.82
201501,1.0,0.44
201502,6.1,0.76
201503,17.3,0.80
201504,33.8,0.36
201505,51.1,0.37
201506,55.1,1.44
201507,57.0,4.24
201508,50.1,4.80
201509,38.9,3.48
201510,29.8,1.15
201511,11.6,1.60
201512,3.1,0.16
201601,13.2,0.12
201602,15.6,0.05
201603,21.5,0.43
201604,38.4,0.53
201605,48.0,1.11
201606,55.2,3.52
201607,58.3,7.49
201608,56.2,2.12
201609,42.7,2.51
201610,23.7,0.18
201611,8.0,0.36
201612,-1.0,0.76
201701,-1.4,1.10
201702,6.8,1.41
201703,-0.3,0.18
201704,33.6,0.21
201705,45.8,1.38
201706,57.2,1.95
201707,61.0,3.51
201708,53.9,3.42
201709,44.2,2.05
201710,28.8,2.66
201711,7.4,1.47
201712,14.0,0.75
201801,0.8,0.88
201802,7.1,1.87
201803,16.7,0.71
201804,28.6,0.27
201805,44.9,1.48
201806,53.7,1.94
201807,59.2,2.01
201808,50.9,5.98
201809,43.6,3.16
201810,32.5,1.01
201811,13.7,0.71
201812,5.7,0.68
201901,0.4,0.60
201902,9.9,0.84
201903,29.7,0.51
201904,33.6,0.88
201905,49.0,0.93
201906,58.5,1.73
201907,61.0,1.99
201908,50.8,6.67
201909,44.7,1.50
201910,28.8,2.43
201911,14.7,1.76
201912,-0.1,0.50
202001,-13.7,0.50
