date,tavg,pcp
200001,43.6,8.25
200002,45.6,11.37
200003,50.0,3.38
200004,56.6,3.36
200005,61.2,1.75
200006,73.2,0.57
200007,72.6,0.19
200008,74.7,0.11
200009,69.1,0.86
200010,58.2,4.17
200011,45.2,1.51
200012,46.1,1.25
200101,42.8,6.14
200102,42.7,6.68
200103,53.3,3.72
200104,51.0,2.37
200105,70.2,0.06
200106,70.6,0.67
200107,75.4,0.05
200108,76.1,0.00
200109,71.6,0.68
200110,64.4,1.44
200111,49.9,8.46
200112,41.8,10.11
200201,41.5,4.32
200202,48.2,2.20
200203,48.1,2.85
200204,55.5,1.51
200205,61.5,1.05
200206,72.1,0.02
200207,78.6,0.02
200208,75.5,0.00
200209,71.5,0.00
200210,61.3,0.00
200211,52.3,4.33
200212,43.5,16.86
200301,48.5,6.31
200302,46.0,2.52
200303,50.5,5.02
200304,46.9,7.15
200305,60.6,1.95
200306,73.2,0.01
200307,80.0,0.03
200308,73.6,0.71
200309,73.8,0.09
200310,65.6,0.07
200311,45.6,4.97
200312,42.4,12.07
200401,42.0,4.20
200402,44.2,10.71
200403,56.9,1.97
200404,57.5,0.94
200405,62.5,1.08
200406,71.4,0.09
200407,76.9,0.02
200408,75.5,0.00
200409,69.9,0.26
200410,58.2,4.66
200411,48.7,2.55
200412,45.7,8.46
200501,43.6,6.46
200502,48.3,3.82
200503,51.7,4.97
200504,51.8,2.82
200505,60.1,5.59
200506,64.3,1.45
200507,80.0,0.00
200508,77.4,0.00
200509,67.4,0.16
200510,59.5,0.78
200511,51.1,6.42
200512,45.2,15.62
200601,43.4,6.56
200602,47.5,5.07
200603,41.4,9.70
200604,51.8,8.10
200605,64.5,1.06
200606,73.7,0.37
200607,80.2,0.00
200608,74.7,0.01
200609,70.8,0.00
200610,59.7,0.22
200611,48.2,3.81
200612,43.5,6.04
200701,43.5,0.41
200702,45.5,7.76
200703,54.7,1.23
200704,55.5,2.26
200705,64.5,0.77
200706,70.8,0.19
200707,76.8,0.39
200708,75.5,0.00
200709,66.8,0.67
200710,56.8,2.67
200711,53.3,0.84
200712,41.1,4.93
200801,40.1,10.77
200802,46.0,4.22
200803,49.3,0.83
200804,53.1,0.45
200805,63.8,0.41
200806,71.4,0.01
200807,77.4,0.00
200808,77.4,0.02
200809,72.5,0.03
200810,61.6,2.00
200811,53.4,3.20
200812,41.6,3.71
200901,48.3,1.76
200902,44.4,9.91
200903,48.6,4.10
200904,54.3,0.69
200905,66.1,2.05
200906,68.9,1.69
200907,78.2,0.01
200908,75.5,0.18
200909,73.2,0.18
200910,58.1,3.13
200911,49.9,1.80
200912,41.1,4.62
201001,44.1,11.19
201002,46.1,6.04
201003,48.1,3.14
201004,49.2,5.88
201005,55.1,1.89
201006,69.1,0.20
201007,77.8,0.03
201008,73.8,0.09
201009,70.5,0.34
201010,60.4,4.69
201011,48.4,3.51
201012,43.4,9.50
201101,45.8,1.79
201102,44.3,4.67
201103,45.8,9.91
201104,51.5,1.44
201105,55.9,3.14
201106,66.4,2.00
201107,74.4,0.02
201108,75.2,0.00
201109,74.3,0.09
201110,60.7,2.79
201111,47.4,3.46
201112,45.1,0.27
201201,45.7,6.17
201202,46.9,2.26
201203,46.2,9.03
201204,53.7,3.73
201205,63.3,0.36
201206,68.5,0.49
201207,75.1,0.01
201208,78.1,0.01
201209,73.7,0.00
201210,61.4,1.34
201211,51.0,7.86
201212,42.0,11.83
201301,43.8,1.37
201302,47.0,0.68
201303,52.7,2.22
201304,58.8,1.37
201305,64.0,0.85
201306,72.6,1.17
201307,79.4,0.04
201308,74.4,0.04
201309,68.0,1.11
201310,60.0,0.27
201311,52.9,1.92
201312,45.8,0.38
201401,52.1,0.50
201402,48.0,8.55
201403,52.0,7.79
201404,57.2,1.30
201405,65.2,0.51
201406,73.6,0.04
201407,79.8,0.08
201408,76.0,0.40
201409,72.2,1.65
201410,63.3,2.05
201411,51.6,4.28
201412,46.7,15.19
201501,50.4,0.25
201502,53.1,4.29
201503,56.8,1.04
201504,57.3,1.76
201505,62.7,0.61
201506,76.9,0.33
201507,77.2,0.18
201508,75.4,0.04
201509,71.1,0.40
201510,65.7,0.62
201511,47.3,2.64
201512,41.3,7.40
201601,44.1,12.23
201602,51.8,1.60
201603,50.6,9.80
201604,58.2,2.07
201605,63.4,1.47
201606,72.8,1.21
201607,76.8,0.01
201608,77.0,0.00
201609,71.3,0.02
201610,57.2,7.15
201611,50.5,5.10
201612,42.3,7.33
201701,41.8,11.81
201702,46.0,11.25
201703,51.3,4.12
201704,52.7,5.04
201705,65.2,0.47
201706,73.5,0.47
201707,80.0,0.00
201708,80.0,0.05
201709,71.7,0.33
201710,62.2,0.78
201711,49.9,6.19
201712,47.4,0.33
201801,47.2,5.24
201802,47.6,0.32
201803,47.3,6.71
201804,54.9,5.36
201805,64.3,0.93
201806,72.5,0.17
201807,81.0,0.01
201808,75.3,0.00
201809,70.5,0.01
201810,62.4,0.90
201811,53.2,5.80
201812,44.4,5.13
201901,46.6,9.32
201902,39.7,14.32
201903,47.7,8.43
201904,58.4,1.99
201905,60.0,4.37
201906,73.3,0.05
201907,76.2,0.00
201908,77.4,0.24
201909,68.5,0.92
201910,59.3,0.16
201911,54.4,1.40
201912,44.7,6.95
202001,44.6,2.73
