date,tavg,pcp
200001,54.9,3.12
200002,56.7,1.19
200003,64.9,2.35
200004,65.4,2.44
200005,76.4,0.99
200006,79.5,3.89
200007,81.7,4.48
200008,81.3,5.97
200009,78.1,11.80
200010,68.2,0.65
200011,60.3,1.49
200012,50.5,1.13
200101,50.3,0.96
200102,60.9,0.99
200103,61.1,5.53
200104,67.6,0.57
200105,73.9,2.25
200106,79.5,7.34
200107,81.9,6.28
200108,81.2,5.60
200109,75.8,12.17
200110,69.0,0.36
200111,65.6,3.20
200112,61.5,2.43
200201,56.4,3.76
200202,56.4,1.05
200203,64.6,4.36
200204,72.4,1.61
200205,74.5,1.13
200206,79.0,6.73
200207,81.6,4.53
200208,80.3,9.11
200209,80.3,7.36
200210,74.2,4.13
200211,60.1,3.13
200212,53.3,5.19
200301,48.4,0.74
200302,56.6,5.28
200303,65.5,9.11
200304,67.0,2.16
200305,76.6,2.93
200306,79.4,6.49
200307,81.0,6.91
200308,80.7,5.53
200309,77.2,2.70
200310,71.2,3.58
200311,66.2,1.12
200312,52.5,0.95
200401,53.2,1.15
200402,54.2,4.93
200403,63.5,1.58
200404,66.2,2.15
200405,76.0,1.25
200406,80.7,8.02
200407,81.7,7.42
200408,80.7,8.33
200409,78.8,12.25
200410,72.8,1.38
200411,65.5,2.39
200412,54.0,2.46
200501,57.0,1.76
200502,57.3,3.46
200503,60.1,3.70
200504,64.5,4.73
200505,72.3,3.09
200506,79.8,8.88
200507,83.1,6.49
200508,83.4,5.26
200509,80.1,4.31
200510,71.0,5.81
200511,64.9,1.44
200512,53.3,6.54
200601,57.6,2.23
200602,55.0,3.89
200603,61.6,0.50
200604,70.5,1.50
200605,75.6,1.58
200606,79.6,4.79
200607,81.5,4.63
200608,83.1,5.64
200609,79.0,3.47
200610,69.7,1.98
200611,60.8,0.64
200612,61.1,3.35
200701,57.3,2.83
200702,55.3,2.27
200703,63.2,1.94
200704,66.2,0.56
200705,72.8,0.83
200706,78.8,7.73
200707,81.8,6.51
200708,83.6,2.77
200709,79.4,7.48
200710,74.6,9.12
200711,61.2,0.26
200712,60.3,1.81
200801,53.8,3.08
200802,58.7,4.86
200803,61.6,3.25
200804,66.8,2.60
200805,74.8,1.08
200806,80.1,6.14
200807,80.6,8.54
200808,80.7,15.01
200809,78.3,3.56
200810,68.9,1.64
200811,58.3,1.20
200812,59.1,0.76
200901,53.9,3.83
200902,53.9,1.34
200903,62.8,3.39
200904,67.7,5.58
200905,75.0,11.65
200906,82.0,4.42
200907,81.6,7.42
200908,81.6,8.48
200909,79.3,4.00
200910,73.8,1.53
200911,63.3,1.39
200912,56.9,5.73
201001,48.4,3.46
201002,49.2,2.97
201003,57.0,2.54
201004,67.6,0.83
201005,77.4,3.10
201006,82.3,4.07
201007,83.6,2.85
201008,83.6,5.59
201009,79.8,4.08
201010,70.1,0.10
201011,62.0,2.21
201012,46.9,0.45
201101,49.7,5.18
201102,58.8,4.67
201103,64.5,2.41
201104,70.7,1.47
201105,74.8,1.66
201106,81.5,3.94
201107,82.3,5.38
201108,84.2,4.45
201109,78.8,8.33
201110,68.2,4.11
201111,63.3,2.35
201112,59.8,1.92
201201,56.7,0.25
201202,60.9,1.32
201203,68.6,2.76
201204,70.2,1.52
201205,76.1,7.80
201206,78.8,21.69
201207,83.6,2.83
201208,80.8,10.79
201209,78.9,4.19
201210,71.6,2.63
201211,58.8,0.33
201212,58.4,3.10
201301,60.5,0.97
201302,58.6,4.36
201303,56.4,3.36
201304,67.8,3.79
201305,72.1,6.58
201306,80.5,6.56
201307,80.4,7.05
201308,81.9,6.19
201309,78.7,4.59
201310,71.0,2.50
201311,63.4,3.79
201312,60.8,1.82
201401,50.3,5.88
201402,58.0,3.62
201403,60.0,5.42
201404,69.2,4.06
201405,74.7,3.44
201406,80.1,4.35
201407,82.0,6.57
201408,82.6,4.81
201409,78.2,9.54
201410,70.9,1.49
201411,58.3,3.85
201412,58.9,2.99
201501,54.6,2.88
201502,52.7,2.83
201503,65.8,1.88
201504,72.7,3.04
201505,75.8,0.77
201506,81.7,4.98
201507,83.2,6.31
201508,82.0,8.58
201509,79.0,8.51
201510,72.2,1.01
201511,69.8,3.72
201512,67.2,0.90
201601,52.6,2.82
201602,56.7,4.10
201603,66.9,2.28
201604,69.3,3.09
201605,75.0,2.96
201606,81.8,4.98
201607,84.4,2.26
201608,83.2,3.45
201609,79.5,4.60
201610,72.5,6.57
201611,64.4,0.11
201612,61.3,3.14
201701,60.5,2.70
201702,62.8,1.67
201703,63.6,1.06
201704,70.4,2.59
201705,75.7,6.50
201706,79.1,11.16
201707,82.5,7.85
201708,82.3,6.31
201709,79.2,10.39
201710,74.0,4.30
201711,64.7,2.57
201712,58.4,2.15
201801,51.0,3.40
201802,66.2,1.40
201803,61.1,2.15
201804,67.7,3.96
201805,75.5,6.38
201806,81.4,7.33
201807,81.8,5.81
201808,82.3,6.19
201809,82.4,2.76
201810,75.0,1.81
201811,63.8,4.12
201812,58.5,6.54
201901,55.8,3.89
201902,64.5,2.02
201903,63.2,2.16
201904,69.5,2.59
201905,78.6,1.96
201906,82.4,4.64
201907,82.5,4.86
201908,82.8,6.66
201909,81.1,2.44
201910,76.0,5.21
201911,62.0,2.82
201912,61.2,4.81
202001,59.8,0.49
