date,tavg,pcp
200001,49.1,2.88
200002,53.8,1.74
200003,62.1,4.22
200004,63.2,2.68
200005,75.9,1.01
200006,79.6,4.75
200007,82.4,3.73
200008,81.3,4.25
200009,75.9,7.89
200010,65.8,0.01
200011,56.8,1.79
200012,44.6,2.89
200101,47.5,1.84
200102,56.7,0.97
200103,58.0,6.54
200104,65.5,0.69
200105,73.5,0.64
200106,78.9,6.15
200107,80.7,5.69
200108,81.3,4.94
200109,74.4,4.84
200110,65.5,0.17
200111,63.5,0.17
200112,56.6,0.49
200201,52.6,2.70
200202,52.1,1.73
200203,60.8,5.29
200204,70.5,0.83
200205,73.0,1.38
200206,79.2,9.16
200207,82.4,3.67
200208,80.6,5.21
200209,79.5,6.13
200210,71.8,4.49
200211,56.8,4.36
200212,49.4,3.76
200301,46.0,0.75
200302,51.8,3.75
200303,61.4,7.72
200304,65.0,5.49
200305,74.5,6.00
200306,78.8,5.30
200307,81.4,6.83
200308,81.5,4.03
200309,76.1,3.62
200310,69.1,3.10
200311,63.3,1.59
200312,48.5,1.51
200401,48.5,2.04
200402,49.7,3.62
200403,60.1,0.22
200404,64.4,3.71
200405,75.2,2.61
200406,80.4,7.73
200407,82.0,3.63
200408,79.6,4.80
200409,76.6,6.28
200410,69.9,2.83
200411,61.1,1.24
200412,50.4,1.85
200501,52.6,1.47
200502,53.2,2.48
200503,56.4,6.62
200504,62.2,2.80
200505,70.7,4.13
200506,78.9,7.01
200507,83.4,4.21
200508,82.6,5.77
200509,79.7,0.76
200510,68.7,7.02
200511,61.0,2.54
200512,49.5,3.12
200601,54.9,3.19
200602,51.1,4.56
200603,58.1,0.42
200604,68.4,1.99
200605,72.8,0.97
200606,78.7,5.24
200607,82.1,2.98
200608,83.3,4.78
200609,76.8,5.80
200610,66.4,1.04
200611,57.8,1.95
200612,56.8,2.84
200701,53.4,2.66
200702,50.7,2.26
200703,61.4,1.81
200704,64.6,0.34
200705,72.1,1.27
200706,78.7,7.66
200707,81.0,6.96
200708,83.5,4.91
200709,77.8,8.01
200710,71.8,4.07
200711,57.7,0.07
200712,56.7,5.24
200801,49.3,3.25
200802,55.5,5.22
200803,59.1,1.52
200804,65.2,2.40
200805,72.9,1.52
200806,82.0,2.98
200807,81.9,7.79
200808,81.5,6.95
200809,77.3,1.86
200810,66.2,9.07
200811,55.1,4.73
200812,56.5,0.58
200901,50.4,1.14
200902,50.1,1.67
200903,59.0,4.58
200904,64.6,6.65
200905,73.8,9.01
200906,81.6,4.26
200907,80.6,6.27
200908,80.8,7.44
200909,76.9,3.09
200910,68.7,3.29
200911,59.4,2.10
200912,51.9,9.74
201001,45.6,6.29
201002,46.0,3.56
201003,55.1,2.80
201004,66.4,1.41
201005,75.8,3.84
201006,83.0,4.85
201007,83.7,2.37
201008,83.7,6.57
201009,78.9,3.38
201010,68.9,0.54
201011,57.7,0.37
201012,43.5,1.73
201101,45.2,2.68
201102,55.6,3.56
201103,61.1,4.31
201104,69.0,1.35
201105,74.6,0.68
201106,82.4,5.71
201107,83.6,4.20
201108,83.9,3.07
201109,76.9,4.85
201110,64.7,2.69
201111,60.1,0.87
201112,55.4,1.23
201201,53.4,1.47
201202,56.6,2.88
201203,66.6,4.90
201204,68.1,0.58
201205,75.6,6.68
201206,76.9,5.00
201207,83.6,5.62
201208,80.1,8.96
201209,76.7,2.73
201210,68.7,1.21
201211,55.1,0.46
201212,55.6,2.27
201301,56.6,0.59
201302,52.7,10.41
201303,53.0,2.34
201304,65.9,3.85
201305,71.4,2.92
201306,80.0,7.58
201307,81.0,11.26
201308,81.3,7.56
201309,77.1,2.05
201310,68.4,0.38
201311,57.8,2.46
201312,56.2,2.55
201401,46.3,2.79
201402,54.6,2.07
201403,55.9,2.81
201404,67.0,6.00
201405,74.7,3.15
201406,80.7,3.93
201407,82.3,4.93
201408,82.4,4.25
201409,78.1,6.12
201410,69.7,1.78
201411,55.6,4.50
201412,55.0,3.76
201501,49.6,4.06
201502,47.2,3.96
201503,61.4,2.22
201504,69.6,6.10
201505,74.0,1.13
201506,81.3,5.11
201507,83.3,5.07
201508,81.2,8.15
201509,76.8,3.46
201510,68.2,2.11
201511,64.1,3.27
201512,64.0,2.85
201601,48.6,3.19
201602,53.4,3.82
201603,64.4,4.44
201604,66.5,2.28
201605,73.6,7.56
201606,81.7,6.26
201607,85.5,1.50
201608,83.6,4.38
201609,78.9,6.20
201610,70.4,10.20
201611,60.8,0.17
201612,56.3,4.69
201701,57.6,6.81
201702,60.8,2.46
201703,60.3,0.61
201704,70.1,2.81
201705,74.9,9.26
201706,79.6,5.69
201707,82.6,6.87
201708,82.1,6.04
201709,78.3,5.89
201710,71.2,1.90
201711,59.9,1.18
201712,52.7,2.40
201801,46.3,1.63
201802,62.7,1.95
201803,57.2,1.49
201804,63.4,3.74
201805,75.6,6.17
201806,81.5,3.73
201807,82.4,6.06
201808,81.8,3.85
201809,81.3,2.70
201810,72.2,3.13
201811,58.7,3.59
201812,53.9,8.33
201901,52.3,2.74
201902,59.9,1.03
201903,59.9,1.65
201904,67.2,2.38
201905,78.8,2.44
201906,80.9,10.16
201907,83.4,3.90
201908,82.8,4.30
201909,80.7,1.48
201910,73.7,7.11
201911,56.4,4.90
201912,56.1,6.68
202001,56.6,1.81
