date,tavg,pcp
200001,22.0,3.04
200002,29.8,3.07
200003,32.2,1.33
200004,44.3,1.06
200005,49.4,1.35
200006,59.0,0.26
200007,67.3,0.18
200008,66.8,0.44
200009,53.7,1.64
200010,43.4,2.79
200011,24.4,0.78
200012,22.5,1.20
200101,20.4,1.38
200102,22.0,0.86
200103,35.6,0.82
200104,39.2,1.58
200105,53.0,0.45
200106,57.5,0.52
200107,65.4,0.91
200108,68.4,0.25
200109,58.8,0.60
200110,44.6,1.01
200111,34.7,1.71
200112,17.6,3.40
200201,18.6,1.81
200202,20.2,0.71
200203,27.5,1.55
200204,41.0,1.46
200205,48.5,0.68
200206,58.8,0.76
200207,69.5,0.23
200208,61.9,0.23
200209,55.4,0.55
200210,40.8,0.74
200211,31.8,1.24
200212,25.4,3.20
200301,29.0,1.38
200302,24.7,1.26
200303,34.3,1.81
200304,39.0,2.58
200305,49.0,1.28
200306,58.6,0.24
200307,70.7,0.17
200308,67.6,0.91
200309,56.0,0.42
200310,48.5,0.20
200311,26.7,1.17
200312,25.6,3.75
200401,19.6,1.97
200402,22.2,2.41
200403,37.3,0.44
200404,43.5,0.99
200405,48.1,2.01
200406,57.9,0.72
200407,65.7,1.20
200408,62.6,1.18
200409,53.4,1.12
200410,43.8,2.30
200411,32.0,0.41
200412,26.0,2.86
200501,23.7,1.70
200502,25.6,0.49
200503,33.8,1.89
200504,40.3,1.81
200505,48.2,5.02
200506,52.8,1.68
200507,66.5,0.29
200508,64.1,0.31
200509,53.5,0.53
200510,44.9,0.94
200511,31.5,2.43
200512,21.2,5.09
200601,23.3,3.87
200602,21.0,1.64
200603,29.3,2.69
200604,41.8,3.50
200605,51.1,1.10
200606,60.2,0.94
200607,69.9,0.58
200608,63.2,0.14
200609,54.4,0.87
200610,42.6,1.50
200611,30.8,2.20
200612,23.4,2.29
200701,18.6,0.57
200702,29.0,1.85
200703,37.6,0.65
200704,42.0,1.18
200705,51.4,0.46
200706,59.4,0.87
200707,71.7,0.52
200708,65.4,0.28
200709,54.2,0.99
200710,41.9,2.41
200711,33.2,1.06
200712,20.3,2.49
200801,16.2,3.75
200802,23.6,1.67
200803,27.4,1.04
200804,34.6,0.48
200805,48.2,1.12
200806,55.9,0.49
200807,66.6,0.09
200808,64.5,0.16
200809,55.2,0.40
200810,43.9,0.91
200811,36.7,2.11
200812,20.7,3.64
200901,23.1,1.52
200902,24.2,1.37
200903,29.9,2.16
200904,40.1,1.33
200905,49.8,1.70
200906,54.6,4.93
200907,65.1,0.48
200908,62.7,0.74
200909,60.0,0.37
200910,38.8,2.40
200911,31.2,0.69
200912,17.7,1.15
201001,24.9,2.57
201002,24.5,0.67
201003,32.2,1.80
201004,38.6,2.15
201005,42.4,2.03
201006,54.5,2.01
201007,63.6,0.49
201008,61.7,0.54
201009,56.1,0.54
201010,47.0,2.21
201011,28.5,2.14
201012,24.1,3.58
201101,20.6,0.74
201102,21.4,1.10
201103,30.3,3.48
201104,35.0,1.70
201105,44.6,2.03
201106,53.1,1.19
201107,64.5,0.16
201108,65.5,0.42
201109,59.0,0.41
201110,45.4,3.25
201111,28.7,1.06
201112,23.5,0.94
201201,24.6,2.80
201202,25.1,0.63
201203,34.6,4.03
201204,43.7,1.12
201205,48.8,1.29
201206,56.6,0.35
201207,68.3,0.75
201208,67.1,0.33
201209,58.0,0.32
201210,43.2,1.13
201211,34.6,2.41
201212,21.7,4.69
201301,18.1,1.02
201302,24.7,0.50
201303,33.7,0.93
201304,39.4,0.67
201305,50.1,0.87
201306,59.2,0.55
201307,69.6,0.60
201308,67.7,0.29
201309,55.9,2.69
201310,42.1,0.80
201311,33.8,0.64
201312,19.4,0.66
201401,26.9,1.26
201402,27.1,2.63
201403,35.1,2.26
201404,41.0,1.30
201405,50.9,0.57
201406,56.5,0.59
201407,69.2,0.58
201408,62.4,2.32
201409,57.2,1.72
201410,47.7,0.36
201411,30.2,1.92
201412,27.1,2.96
201501,26.1,1.14
201502,33.6,1.43
201503,39.7,0.36
201504,41.5,0.71
201505,50.7,3.33
201506,63.7,0.50
201507,63.8,0.98
201508,64.5,1.11
201509,57.2,1.19
201510,50.4,1.15
201511,28.1,1.74
201512,20.2,4.12
201601,21.9,2.19
201602,28.2,0.65
201603,34.8,2.97
201604,45.8,1.43
201605,48.7,2.02
201606,60.7,0.36
201607,64.5,0.20
201608,64.4,0.07
201609,53.8,2.21
201610,44.8,3.70
201611,37.3,0.50
201612,16.6,3.77
201701,15.8,4.46
201702,27.1,6.81
201703,36.0,2.31
201704,39.2,2.03
201705,49.6,1.50
201706,58.7,0.98
201707,69.8,0.42
201708,66.1,0.42
201709,55.0,1.82
201710,40.6,0.88
201711,33.6,3.06
201712,24.4,0.64
201801,28.4,1.61
201802,24.4,1.25
201803,30.4,3.28
201804,41.4,1.24
201805,52.6,2.59
201806,57.5,1.04
201807,68.7,0.11
201808,64.6,0.20
201809,56.3,0.08
201810,43.5,1.41
201811,30.8,1.11
201812,21.5,1.20
201901,23.6,2.32
201902,20.3,5.95
201903,30.1,0.99
201904,42.3,1.85
201905,47.9,3.14
201906,56.1,0.74
201907,65.5,0.58
201908,65.7,0.32
201909,54.1,1.39
201910,35.6,0.81
201911,33.7,0.57
201912,23.0,1.99
202001,23.3,2.21
