date,tavg,pcp
200001,27.8,0.84
200002,39.1,1.45
200003,46.3,2.38
200004,52.1,2.08
200005,65.8,2.42
200006,70.3,7.08
200007,73.5,3.55
200008,75.4,3.92
200009,67.0,3.25
200010,58.4,2.87
200011,38.9,3.24
200012,18.2,1.46
200101,26.1,2.53
200102,31.9,3.37
200103,37.5,1.27
200104,58.9,2.51
200105,65.4,3.43
200106,70.1,4.25
200107,76.4,2.53
200108,74.5,3.89
200109,64.6,2.87
200110,54.2,5.07
200111,50.0,2.52
200112,36.0,2.17
200201,34.1,2.71
200202,35.6,1.80
200203,38.1,2.43
200204,53.9,6.53
200205,59.6,8.29
200206,74.8,4.90
200207,78.0,3.47
200208,74.9,5.30
200209,68.7,1.67
200210,52.2,3.23
200211,40.0,0.65
200212,32.9,1.77
200301,22.6,0.57
200302,26.7,1.60
200303,42.8,2.00
200304,54.0,3.25
200305,61.6,3.95
200306,68.1,4.72
200307,75.0,4.60
200308,75.3,2.20
200309,63.6,3.80
200310,54.9,2.39
200311,45.2,4.72
200312,34.6,1.71
200401,25.4,1.68
200402,30.4,0.48
200403,45.6,3.97
200404,55.0,2.00
200405,66.5,5.26
200406,69.6,3.14
200407,72.8,3.98
200408,68.6,4.25
200409,68.0,0.23
200410,55.6,5.90
200411,45.9,5.00
200412,32.6,1.72
200501,29.0,6.01
200502,36.7,1.82
200503,40.0,1.25
200504,56.3,2.16
200505,61.8,1.97
200506,75.2,1.49
200507,76.6,2.33
200508,76.0,2.65
200509,71.2,3.81
200510,56.1,2.06
200511,45.1,4.02
200512,26.8,1.28
200601,38.9,2.13
200602,31.5,0.37
200603,42.7,4.33
200604,57.8,4.66
200605,63.5,2.48
200606,71.9,2.10
200607,77.6,4.33
200608,74.9,3.65
200609,64.4,2.41
200610,51.7,3.02
200611,45.4,3.17
200612,35.4,2.94
200701,30.8,2.64
200702,22.6,2.53
200703,49.5,2.20
200704,51.1,3.07
200705,68.5,1.88
200706,72.8,4.55
200707,73.0,1.78
200708,79.4,2.43
200709,70.7,1.33
200710,60.1,3.55
200711,43.0,2.27
200712,30.8,3.53
200801,28.5,3.49
200802,26.4,5.24
200803,40.0,2.77
200804,51.2,3.59
200805,59.5,4.80
200806,73.9,6.93
200807,74.4,8.49
200808,71.6,1.99
200809,66.8,8.22
200810,54.9,1.71
200811,41.2,0.85
200812,27.7,4.24
200901,22.0,0.54
200902,33.7,1.59
200903,44.4,3.29
200904,52.3,5.84
200905,63.4,5.58
200906,73.3,5.52
200907,70.5,3.29
200908,70.6,3.71
200909,65.5,2.90
200910,50.5,10.51
200911,48.1,3.86
200912,29.5,3.91
201001,20.8,1.34
201002,25.4,2.15
201003,44.6,2.73
201004,59.7,3.51
201005,64.2,6.21
201006,75.6,8.67
201007,77.8,5.41
201008,77.0,3.09
201009,67.5,6.69
201010,56.5,1.13
201011,44.0,2.64
201012,25.5,1.34
201101,22.3,1.17
201102,30.6,3.23
201103,42.5,1.83
201104,54.6,5.83
201105,62.9,4.44
201106,73.0,6.98
201107,80.4,1.98
201108,75.6,0.44
201109,63.7,1.97
201110,55.4,1.49
201111,47.0,3.87
201112,36.6,2.68
201201,32.6,1.50
201202,36.4,1.52
201203,56.2,1.79
201204,55.8,3.81
201205,68.6,2.27
201206,72.2,1.35
201207,82.0,0.61
201208,74.1,2.57
201209,65.1,4.82
201210,52.9,4.72
201211,42.6,1.28
201212,37.4,2.59
201301,29.8,3.12
201302,30.6,2.77
201303,34.9,2.72
201304,50.8,5.97
201305,63.8,9.17
201306,72.4,3.76
201307,73.2,2.69
201308,72.5,0.53
201309,68.7,1.57
201310,54.3,2.92
201311,38.9,2.00
201312,27.0,1.44
201401,20.7,1.92
201402,19.5,2.87
201403,36.0,1.69
201404,54.0,4.31
201405,64.8,2.73
201406,73.8,7.54
201407,70.5,2.09
201408,74.4,6.63
201409,65.0,5.53
201410,54.8,4.71
201411,35.3,1.91
201412,33.8,1.76
201501,26.6,1.25
201502,20.1,1.62
201503,39.2,1.87
201504,55.2,2.41
201505,65.8,6.48
201506,73.2,8.85
201507,74.9,4.24
201508,72.3,2.04
201509,71.3,3.34
201510,56.2,1.26
201511,47.3,4.54
201512,41.4,7.55
201601,28.0,0.94
201602,34.8,0.97
201603,48.6,3.18
201604,54.2,2.82
201605,63.0,3.51
201606,75.9,1.96
201607,76.0,7.95
201608,76.0,7.72
201609,71.6,2.22
201610,60.8,1.76
201611,48.6,2.62
201612,30.0,1.11
201701,33.2,1.34
201702,41.9,0.47
201703,44.3,4.09
201704,57.7,7.18
201705,63.0,4.33
201706,73.7,1.36
201707,77.2,4.75
201708,70.9,1.79
201709,69.5,0.39
201710,58.8,4.71
201711,43.6,1.34
201712,30.1,0.38
201801,25.3,0.94
201802,33.0,4.20
201803,39.8,4.62
201804,46.3,2.12
201805,72.7,3.15
201806,75.8,5.32
201807,74.9,5.92
201808,75.2,6.42
201809,71.0,2.98
201810,54.4,3.51
201811,34.8,2.98
201812,34.0,3.89
201901,25.7,3.43
201902,29.7,2.06
201903,37.4,4.79
201904,53.0,5.09
201905,63.4,7.43
201906,71.3,6.10
201907,77.7,1.46
201908,72.9,4.36
201909,72.5,5.58
201910,53.6,4.33
201911,36.9,2.34
201912,35.6,1.57
202001,32.1,4.83
