date,tavg,pcp
200001,23.3,1.41
200002,33.5,1.74
200003,44.0,1.94
200004,48.8,2.73
200005,62.3,5.01
200006,68.8,7.70
200007,70.8,2.29
200008,70.6,3.94
200009,63.1,4.80
200010,56.1,2.05
200011,39.2,2.06
200012,17.2,2.83
200101,25.1,0.80
200102,30.9,2.57
200103,35.2,0.63
200104,53.2,3.58
200105,62.2,4.01
200106,68.0,4.00
200107,72.5,4.88
200108,72.6,4.35
200109,62.1,3.81
200110,52.7,7.70
200111,47.3,2.52
200112,35.5,2.43
200201,33.1,2.30
200202,33.8,1.97
200203,35.7,2.94
200204,51.4,3.77
200205,56.2,4.98
200206,71.4,2.76
200207,76.4,2.89
200208,73.1,2.72
200209,68.0,2.61
200210,50.6,1.68
200211,38.6,2.39
200212,28.9,1.75
200301,19.0,1.17
200302,22.8,1.46
200303,38.0,2.14
200304,50.2,2.71
200305,57.9,7.30
200306,66.5,3.48
200307,71.8,9.07
200308,72.5,4.78
200309,62.0,6.45
200310,50.6,1.93
200311,44.5,2.49
200312,31.1,2.56
200401,20.8,2.20
200402,26.3,0.48
200403,41.6,2.38
200404,51.9,0.79
200405,63.5,7.06
200406,67.7,5.27
200407,71.2,5.57
200408,67.5,4.92
200409,66.4,1.67
200410,53.0,1.86
200411,43.6,3.81
200412,29.3,2.59
200501,25.0,5.54
200502,30.1,2.44
200503,34.6,1.52
200504,51.6,2.40
200505,56.7,1.70
200506,73.3,2.16
200507,74.8,5.19
200508,73.3,1.93
200509,68.0,4.32
200510,54.1,0.63
200511,43.0,3.69
200512,23.9,2.41
200601,37.0,2.97
200602,29.9,1.73
200603,38.4,2.24
200604,53.5,3.46
200605,58.9,5.81
200606,68.9,2.91
200607,74.6,4.71
200608,71.9,3.44
200609,61.3,2.76
200610,49.8,4.76
200611,42.5,2.29
200612,36.1,4.45
200701,29.8,4.53
200702,16.3,1.17
200703,42.6,3.12
200704,47.4,4.01
200705,64.4,1.05
200706,71.6,2.39
200707,71.5,2.88
200708,73.8,9.22
200709,66.8,2.09
200710,59.5,2.50
200711,40.5,3.87
200712,29.4,4.31
200801,26.3,2.68
200802,24.5,4.86
200803,35.5,3.35
200804,51.1,2.68
200805,56.7,4.42
200806,70.8,4.88
200807,72.6,3.13
200808,70.8,1.51
200809,67.2,3.66
200810,51.9,2.23
200811,39.1,2.02
200812,26.7,4.40
200901,17.0,1.16
200902,29.9,3.24
200903,41.4,5.44
200904,49.6,5.75
200905,59.9,3.35
200906,69.8,3.62
200907,68.2,3.35
200908,69.5,4.34
200909,64.2,1.51
200910,49.1,5.18
200911,44.8,1.28
200912,28.6,2.87
201001,22.3,0.73
201002,25.2,1.18
201003,42.3,2.54
201004,55.4,4.11
201005,63.2,6.84
201006,72.6,5.43
201007,76.0,3.08
201008,73.8,2.65
201009,65.6,1.56
201010,54.9,0.80
201011,40.8,3.89
201012,23.5,0.89
201101,21.1,1.53
201102,25.7,3.27
201103,37.6,2.70
201104,49.6,6.17
201105,61.5,8.23
201106,71.2,2.37
201107,78.8,1.21
201108,72.1,3.89
201109,62.3,5.61
201110,52.9,3.95
201111,45.5,6.48
201112,34.7,3.51
201201,29.9,2.91
201202,32.7,1.84
201203,52.6,2.26
201204,50.6,1.09
201205,66.5,1.70
201206,71.6,1.19
201207,79.1,3.49
201208,70.1,4.35
201209,62.9,3.32
201210,51.1,3.45
201211,38.8,0.78
201212,36.0,2.41
201301,27.9,3.42
201302,27.1,1.92
201303,32.7,1.62
201304,47.6,7.00
201305,64.1,2.24
201306,69.8,5.90
201307,71.8,3.50
201308,70.0,3.37
201309,64.7,1.95
201310,53.1,2.91
201311,38.1,2.35
201312,27.2,2.94
201401,15.7,2.24
201402,17.7,3.03
201403,29.3,1.33
201404,49.5,4.08
201405,60.9,4.05
201406,71.3,5.18
201407,68.1,2.47
201408,70.9,4.51
201409,62.6,4.56
201410,51.9,2.75
201411,34.5,2.87
201412,33.0,1.56
201501,21.0,1.90
201502,15.6,1.24
201503,33.4,1.67
201504,50.0,3.04
201505,63.8,4.63
201506,69.0,11.13
201507,70.8,6.45
201508,69.6,3.56
201509,67.8,2.71
201510,54.3,1.67
201511,44.7,2.22
201512,40.9,4.08
201601,25.8,1.36
201602,31.9,1.37
201603,44.3,3.68
201604,49.1,3.04
201605,59.7,3.47
201606,70.8,4.75
201607,74.0,1.86
201608,74.7,4.00
201609,68.4,4.41
201610,57.5,3.17
201611,46.0,2.70
201612,27.0,2.15
201701,32.0,4.45
201702,38.7,1.73
201703,39.2,3.29
201704,54.5,4.17
201705,58.7,8.15
201706,70.4,5.30
201707,72.5,5.33
201708,68.3,2.81
201709,65.8,1.92
201710,56.8,2.59
201711,40.8,5.42
201712,26.6,0.92
201801,23.7,1.16
201802,31.7,4.13
201803,35.4,2.77
201804,42.7,2.59
201805,66.6,3.67
201806,71.6,5.84
201807,73.1,3.00
201808,73.1,7.64
201809,68.2,1.75
201810,53.1,3.19
201811,35.4,4.08
201812,33.3,2.22
201901,24.0,2.61
201902,28.7,2.37
201903,34.7,3.56
201904,49.2,5.36
201905,59.7,5.89
201906,68.8,3.92
201907,75.7,4.23
201908,70.3,4.60
201909,68.0,2.72
201910,53.8,3.45
201911,35.5,1.73
201912,33.8,2.91
202001,32.1,3.81
