date,tavg,pcp
200001,34.0,3.65
200002,40.0,2.11
200003,49.6,4.32
200004,54.0,4.68
200005,66.2,2.89
200006,73.5,4.88
200007,72.9,6.61
200008,73.6,4.25
200009,66.4,5.62
200010,58.0,0.09
200011,44.6,1.90
200012,30.1,3.04
200101,33.1,2.66
200102,39.0,2.15
200103,41.9,4.59
200104,55.8,1.80
200105,64.0,4.66
200106,73.4,5.02
200107,73.3,5.85
200108,77.0,4.50
200109,66.6,2.30
200110,57.1,0.80
200111,51.6,0.86
200112,43.6,1.70
200201,39.6,1.68
200202,40.9,0.48
200203,46.1,3.70
200204,58.1,3.79
200205,63.3,2.79
200206,74.5,2.65
200207,79.0,2.58
200208,78.8,2.95
200209,70.3,2.99
200210,57.2,5.91
200211,45.4,4.38
200212,35.3,4.77
200301,29.8,2.59
200302,31.9,6.97
200303,45.5,4.15
200304,53.5,2.75
200305,60.4,6.75
200306,70.3,7.96
200307,76.5,6.52
200308,77.3,4.77
200309,68.8,7.72
200310,55.4,4.41
200311,51.7,4.78
200312,37.6,4.76
200401,29.2,1.64
200402,35.7,2.34
200403,46.8,2.30
200404,55.6,4.56
200405,70.7,3.32
200406,71.7,5.26
200407,76.5,6.40
200408,74.5,4.16
200409,69.8,4.95
200410,56.5,1.50
200411,49.5,4.82
200412,38.3,3.03
200501,34.8,3.57
200502,38.1,1.46
200503,41.2,4.76
200504,55.6,3.80
200505,60.0,4.53
200506,73.9,2.84
200507,78.6,5.25
200508,78.0,3.22
200509,72.4,0.31
200510,58.8,8.56
200511,49.1,2.34
200512,35.0,3.57
200601,41.9,3.35
200602,37.6,2.11
200603,46.1,0.08
200604,58.1,3.38
200605,63.2,1.88
200606,72.8,10.55
200607,78.9,3.82
200608,78.2,1.15
200609,66.2,8.46
200610,55.7,5.05
200611,49.5,5.92
200612,43.4,1.69
200701,39.4,2.73
200702,29.5,2.55
200703,46.2,3.41
200704,52.2,4.53
200705,66.0,1.31
200706,74.0,2.17
200707,76.9,2.49
200708,77.7,3.71
200709,70.8,0.93
200710,64.3,5.59
200711,47.0,1.56
200712,39.1,3.48
200801,37.1,1.41
200802,38.9,3.66
200803,46.2,2.71
200804,56.6,5.66
200805,61.7,8.86
200806,75.6,5.74
200807,77.6,4.07
200808,74.0,1.66
200809,70.3,5.21
200810,56.2,1.52
200811,45.5,2.48
200812,39.2,3.69
200901,30.1,2.93
200902,38.7,0.31
200903,43.8,2.24
200904,55.9,4.80
200905,64.3,6.99
200906,72.1,5.95
200907,75.0,2.60
200908,77.5,5.50
200909,67.8,3.51
200910,56.1,6.16
200911,49.9,5.18
200912,36.1,7.29
201001,33.4,1.93
201002,32.2,3.36
201003,48.9,4.35
201004,58.9,1.70
201005,66.8,2.63
201006,77.9,2.08
201007,80.4,4.17
201008,77.5,5.67
201009,71.6,5.26
201010,59.0,4.73
201011,47.3,2.18
201012,32.5,2.05
201101,31.0,2.31
201102,39.1,1.85
201103,45.0,5.12
201104,58.0,3.71
201105,67.0,2.35
201106,75.8,1.94
201107,81.0,3.14
201108,76.5,10.39
201109,70.2,10.76
201110,56.8,3.62
201111,50.5,2.40
201112,42.5,4.76
201201,38.3,2.20
201202,42.2,1.61
201203,54.2,2.40
201204,55.7,2.04
201205,68.8,2.92
201206,73.1,2.59
201207,80.9,3.48
201208,77.4,3.28
201209,69.4,3.14
201210,58.4,7.70
201211,43.6,0.59
201212,43.0,3.53
201301,37.7,2.94
201302,36.1,1.77
201303,41.4,2.97
201304,56.1,2.77
201305,63.8,2.83
201306,74.0,8.24
201307,78.8,4.81
201308,73.6,2.72
201309,67.7,1.81
201310,59.3,6.23
201311,44.4,2.83
201312,40.0,5.30
201401,28.8,2.64
201402,34.8,4.29
201403,39.2,4.24
201404,54.4,5.39
201405,65.6,6.08
201406,73.9,3.51
201407,76.1,3.65
201408,73.3,4.16
201409,69.7,2.42
201410,59.5,3.58
201411,44.1,2.95
201412,40.8,3.77
201501,31.8,3.73
201502,27.2,1.92
201503,40.3,4.34
201504,55.6,3.73
201505,69.4,2.36
201506,74.6,11.04
201507,77.2,3.66
201508,75.5,1.63
201509,72.6,3.35
201510,56.7,3.73
201511,51.6,2.29
201512,49.8,4.90
201601,32.9,2.73
201602,38.1,3.89
201603,50.9,1.29
201604,54.4,1.79
201605,61.9,5.89
201606,73.8,3.84
201607,79.6,5.00
201608,79.4,3.17
201609,73.1,4.48
201610,60.6,1.30
201611,48.8,0.61
201612,39.4,3.34
201701,39.7,2.76
201702,45.0,0.59
201703,44.5,3.12
201704,61.0,3.47
201705,63.1,6.18
201706,74.0,1.36
201707,78.8,8.62
201708,74.2,5.70
201709,69.3,1.82
201710,62.2,2.63
201711,46.9,2.10
201712,36.9,0.63
201801,32.6,1.19
201802,42.8,4.88
201803,41.0,2.26
201804,52.5,3.85
201805,70.3,8.18
201806,73.2,5.64
201807,77.6,9.98
201808,78.1,5.52
201809,73.5,10.22
201810,59.8,3.82
201811,44.0,7.73
201812,40.5,5.72
201901,35.3,3.35
201902,38.8,3.33
201903,43.6,4.23
201904,59.3,2.24
201905,68.8,4.90
201906,73.9,3.91
201907,79.8,5.52
201908,77.0,3.09
201909,73.3,0.30
201910,61.6,5.82
201911,43.9,1.89
201912,40.3,3.33
202001,40.6,2.86
