date,tavg,pcp
200001,20.7,1.09
200002,29.0,1.13
200003,41.4,0.95
200004,44.9,3.16
200005,59.4,5.87
200006,67.0,3.26
200007,67.2,5.96
200008,68.1,3.33
200009,59.9,5.05
200010,53.4,1.79
200011,37.9,2.18
200012,16.4,3.33
200101,24.4,1.16
200102,26.7,3.40
200103,32.1,0.48
200104,48.2,2.84
200105,59.5,5.04
200106,66.5,3.80
200107,70.8,0.97
200108,71.4,1.95
200109,59.3,4.10
200110,50.1,6.52
200111,46.1,2.73
200112,34.0,1.68
200201,30.5,1.45
200202,30.0,2.26
200203,31.8,1.73
200204,47.5,3.40
200205,52.4,3.83
200206,68.7,2.01
200207,74.1,2.80
200208,70.4,1.67
200209,66.0,0.66
200210,47.5,1.82
200211,36.5,1.74
200212,26.9,1.40
200301,18.5,0.42
200302,20.1,1.08
200303,32.9,1.90
200304,44.7,3.03
200305,55.0,3.65
200306,64.1,2.68
200307,70.1,2.09
200308,70.5,2.92
200309,61.5,2.87
200310,48.7,2.09
200311,41.4,5.71
200312,31.0,2.19
200401,16.6,1.68
200402,23.9,0.71
200403,38.5,2.24
200404,48.8,0.93
200405,58.7,8.25
200406,65.4,3.35
200407,68.7,4.86
200408,65.7,2.75
200409,64.9,0.58
200410,51.3,2.37
200411,40.0,3.03
200412,26.3,2.89
200501,21.0,3.14
200502,26.8,1.99
200503,29.5,1.35
200504,48.7,1.70
200505,54.0,1.58
200506,71.6,2.67
200507,72.5,5.28
200508,71.8,1.39
200509,65.8,4.70
200510,52.2,0.33
200511,41.1,3.75
200512,24.3,2.25
200601,32.9,4.04
200602,25.7,1.74
200603,34.8,2.87
200604,49.2,2.52
200605,58.6,4.62
200606,66.6,3.56
200607,72.4,4.68
200608,69.7,3.36
200609,59.4,3.11
200610,46.4,4.31
200611,41.1,2.88
200612,35.1,2.48
200701,26.5,2.41
200702,17.4,0.43
200703,38.3,2.45
200704,45.0,2.52
200705,59.9,4.32
200706,69.2,2.58
200707,69.9,1.66
200708,71.3,5.69
200709,64.3,1.66
200710,57.2,3.51
200711,37.1,1.42
200712,27.1,2.27
200801,26.3,2.92
200802,22.3,3.12
200803,31.8,1.31
200804,50.8,2.30
200805,54.3,1.79
200806,68.9,4.76
200807,70.7,3.92
200808,68.6,2.91
200809,63.0,8.04
200810,47.9,1.66
200811,37.3,2.11
200812,24.7,3.83
200901,14.9,1.15
200902,26.3,2.73
200903,35.5,2.85
200904,46.7,5.49
200905,56.9,2.58
200906,65.2,6.01
200907,66.1,2.28
200908,68.3,5.17
200909,62.4,1.34
200910,47.5,3.74
200911,42.6,0.63
200912,27.0,1.83
201001,22.3,0.86
201002,24.2,1.33
201003,38.8,0.71
201004,51.8,3.17
201005,60.6,4.76
201006,69.0,3.78
201007,74.3,2.46
201008,73.5,1.17
201009,61.8,4.03
201010,52.2,2.56
201011,39.7,1.95
201012,24.0,1.18
201101,19.1,1.44
201102,23.1,2.34
201103,31.3,3.78
201104,44.6,5.34
201105,58.2,7.53
201106,68.0,2.78
201107,75.7,5.23
201108,69.7,3.38
201109,61.6,2.56
201110,51.5,2.92
201111,43.3,3.17
201112,32.6,2.12
201201,28.7,1.95
201202,31.0,1.74
201203,49.2,2.09
201204,47.2,1.32
201205,62.7,4.34
201206,69.2,1.25
201207,76.1,4.02
201208,69.8,3.15
201209,61.6,2.61
201210,50.8,4.00
201211,38.2,0.63
201212,33.3,2.48
201301,26.4,3.89
201302,24.1,1.83
201303,31.5,0.75
201304,44.0,7.31
201305,60.9,4.12
201306,67.4,5.11
201307,71.9,2.06
201308,69.2,2.82
201309,62.1,0.92
201310,51.6,2.86
201311,36.3,2.20
201312,24.3,2.13
201401,15.1,2.18
201402,16.2,1.54
201403,25.3,1.47
201404,46.4,2.59
201405,59.0,6.36
201406,68.8,2.76
201407,68.1,5.46
201408,69.8,3.63
201409,61.7,3.25
201410,50.6,2.23
201411,34.4,1.95
201412,32.0,1.69
201501,19.8,1.28
201502,10.7,0.98
201503,31.7,0.97
201504,47.3,1.70
201505,62.4,3.90
201506,66.9,4.85
201507,70.6,2.77
201508,69.9,3.36
201509,67.4,3.24
201510,52.5,2.36
201511,44.7,2.53
201512,39.7,2.12
201601,25.0,1.54
201602,28.8,2.25
201603,39.9,4.53
201604,44.4,2.74
201605,58.7,2.62
201606,68.2,1.18
201607,74.0,3.00
201608,74.0,5.35
201609,65.4,3.39
201610,53.7,3.69
201611,44.5,2.30
201612,27.7,1.82
201701,28.5,3.19
201702,34.2,1.92
201703,34.1,3.54
201704,51.6,4.73
201705,56.7,3.23
201706,68.6,3.99
201707,71.3,2.48
201708,67.7,3.77
201709,64.5,0.94
201710,55.1,4.96
201711,37.5,3.00
201712,23.2,1.40
201801,22.2,1.71
201802,28.2,3.98
201803,32.2,1.18
201804,39.5,3.20
201805,63.8,3.58
201806,68.3,3.47
201807,72.4,1.18
201808,72.5,5.84
201809,65.3,2.74
201810,49.1,4.07
201811,33.4,2.06
201812,31.4,1.82
201901,21.0,1.98
201902,24.5,2.24
201903,31.5,2.26
201904,46.3,3.68
201905,56.2,3.59
201906,65.9,6.23
201907,74.5,2.98
201908,70.1,3.05
201909,66.0,3.77
201910,51.2,6.30
201911,33.8,2.43
201912,33.1,2.28
202001,30.9,3.71
