date,tavg,pcp
200001,14.2,0.71
200002,26.8,1.13
200003,40.8,0.98
200004,45.7,1.04
200005,59.9,7.45
200006,65.5,4.54
200007,71.2,4.13
200008,70.2,4.09
200009,60.7,0.43
200010,51.8,0.81
200011,29.5,3.69
200012,5.6,1.58
200101,17.7,1.34
200102,9.2,1.77
200103,24.9,0.92
200104,46.6,7.10
200105,59.2,3.21
200106,68.4,2.76
200107,74.0,3.15
200108,71.4,2.56
200109,60.2,2.77
200110,47.8,0.91
200111,45.5,2.99
200112,25.9,0.52
200201,23.1,0.20
200202,27.6,0.45
200203,23.7,1.18
200204,45.2,2.76
200205,53.8,2.60
200206,70.3,8.67
200207,75.4,3.42
200208,69.1,4.63
200209,62.9,2.11
200210,41.4,3.66
200211,32.3,0.19
200212,25.4,0.19
200301,14.1,0.22
200302,15.5,0.79
200303,30.1,1.50
200304,47.0,1.92
200305,56.2,4.45
200306,67.0,3.89
200307,71.5,3.51
200308,72.4,1.35
200309,60.4,2.90
200310,50.1,0.64
200311,31.0,0.98
200312,23.2,0.77
200401,11.8,0.35
200402,19.0,1.25
200403,36.2,2.01
200404,48.7,1.84
200405,56.0,6.87
200406,64.6,4.11
200407,69.8,4.73
200408,64.1,2.99
200409,65.7,5.21
200410,50.1,1.41
200411,36.8,0.94
200412,22.6,0.18
200501,14.3,0.86
200502,25.4,1.37
200503,30.5,1.54
200504,50.4,4.11
200505,54.9,4.45
200506,72.1,4.96
200507,73.7,2.56
200508,68.9,3.13
200509,65.3,6.70
200510,50.9,1.96
200511,36.2,2.04
200512,16.6,1.32
200601,26.9,0.69
200602,18.6,0.25
200603,31.5,1.47
200604,51.9,4.43
200605,59.7,1.34
200606,69.3,4.09
200607,75.2,1.46
200608,70.6,4.92
200609,58.4,2.46
200610,45.9,0.60
200611,35.5,1.19
200612,27.8,1.99
200701,17.8,0.79
200702,10.8,1.39
200703,36.0,2.50
200704,44.7,1.67
200705,63.1,2.91
200706,70.2,2.85
200707,73.2,1.88
200708,69.8,7.36
200709,63.5,2.49
200710,53.0,5.73
200711,33.7,0.16
200712,14.9,1.04
200801,11.1,0.26
200802,13.9,0.32
200803,27.9,1.40
200804,42.6,3.88
200805,55.8,4.46
200806,67.0,3.62
200807,72.6,4.01
200808,69.1,3.10
200809,61.9,2.34
200810,48.9,2.23
200811,33.7,1.56
200812,11.6,1.20
200901,7.3,0.48
200902,20.5,1.01
200903,31.0,2.18
200904,45.7,1.71
200905,58.5,1.17
200906,66.2,2.83
200907,67.4,1.03
200908,67.2,4.44
200909,64.6,1.76
200910,42.6,5.91
200911,40.8,1.02
200912,15.6,2.33
201001,9.0,0.75
201002,13.6,0.78
201003,36.7,1.30
201004,54.1,1.97
201005,59.2,2.32
201006,68.0,8.06
201007,73.5,4.08
201008,73.9,3.25
201009,59.4,9.15
201010,52.1,1.37
201011,33.2,1.95
201012,13.9,2.75
201101,8.8,0.67
201102,16.1,0.91
201103,26.9,1.44
201104,44.6,2.84
201105,57.0,4.98
201106,68.2,4.90
201107,76.7,4.87
201108,70.5,1.02
201109,60.6,0.35
201110,52.8,0.39
201111,36.6,0.11
201112,25.4,0.82
201201,22.7,0.43
201202,26.6,2.30
201203,46.9,1.96
201204,49.6,2.91
201205,63.0,8.86
201206,70.5,4.15
201207,78.3,2.14
201208,69.4,1.66
201209,60.8,0.58
201210,46.5,0.93
201211,35.6,0.47
201212,21.0,1.31
201301,15.8,0.68
201302,17.3,1.40
201303,24.4,1.30
201304,38.5,5.47
201305,56.1,3.94
201306,67.4,5.60
201307,72.4,2.75
201308,70.5,1.17
201309,65.3,1.76
201310,48.2,2.56
201311,30.6,0.62
201312,11.7,0.81
201401,8.3,0.49
201402,8.1,0.77
201403,24.7,0.78
201404,43.2,5.77
201405,57.4,2.52
201406,69.0,9.70
201407,69.6,1.60
201408,71.0,2.31
201409,61.7,1.88
201410,48.7,1.34
201411,24.3,0.94
201412,23.5,1.00
201501,17.8,0.50
201502,11.3,0.53
201503,34.2,0.93
201504,48.1,2.16
201505,57.3,5.10
201506,68.2,3.43
201507,70.8,4.64
201508,67.7,4.11
201509,66.3,4.07
201510,50.5,1.92
201511,38.6,3.80
201512,26.7,2.29
201601,15.9,0.23
201602,24.7,0.73
201603,39.4,1.46
201604,48.4,2.60
201605,59.2,4.40
201606,70.3,3.77
201607,72.2,6.89
201608,70.4,7.03
201609,64.5,7.69
201610,51.3,3.87
201611,42.6,1.15
201612,17.9,1.17
201701,19.2,0.77
201702,30.9,0.66
201703,32.5,0.65
201704,48.8,2.58
201705,56.9,3.40
201706,69.4,2.31
201707,72.6,2.98
201708,66.0,5.72
201709,64.8,2.10
201710,50.0,4.15
201711,32.4,0.11
201712,19.2,0.30
201801,14.6,0.93
201802,14.0,0.93
201803,30.7,1.23
201804,34.5,1.79
201805,65.9,3.54
201806,71.3,7.28
201807,73.0,4.21
201808,70.5,2.22
201809,64.5,5.44
201810,45.1,2.27
201811,26.7,1.34
201812,24.0,1.71
201901,13.1,0.36
201902,8.2,2.25
201903,26.1,2.21
201904,45.9,5.50
201905,54.1,7.20
201906,67.7,2.24
201907,72.2,6.18
201908,68.0,3.11
201909,65.3,5.93
201910,45.9,3.54
201911,29.3,1.27
201912,19.9,0.88
202001,18.9,0.86
