date,tavg,pcp
200001,33.0,1.50
200002,42.8,3.03
200003,48.8,1.92
200004,54.8,2.46
200005,68.5,5.74
200006,72.9,7.56
200007,76.6,4.93
200008,79.1,4.91
200009,68.7,2.53
200010,60.6,2.48
200011,41.9,3.34
200012,22.0,1.22
200101,30.3,0.96
200102,36.0,2.57
200103,41.1,1.34
200104,62.0,2.84
200105,68.0,3.99
200106,73.1,3.00
200107,79.0,3.70
200108,78.3,2.01
200109,67.7,3.03
200110,57.1,5.17
200111,52.4,3.21
200112,39.8,3.64
200201,36.9,2.48
200202,38.4,1.30
200203,41.6,3.92
200204,58.2,4.30
200205,62.6,7.37
200206,76.6,4.46
200207,81.0,1.30
200208,78.4,3.67
200209,72.1,2.40
200210,55.0,4.89
200211,43.7,1.10
200212,37.1,1.89
200301,27.8,0.49
200302,31.2,2.23
200303,46.2,2.95
200304,57.2,4.46
200305,64.3,4.92
200306,70.2,8.64
200307,78.4,2.54
200308,79.1,2.06
200309,66.2,5.59
200310,58.5,2.99
200311,48.9,6.04
200312,38.1,2.53
200401,30.8,3.85
200402,35.0,0.76
200403,49.4,4.31
200404,57.4,1.97
200405,69.2,10.01
200406,72.8,1.63
200407,75.7,7.07
200408,71.8,3.40
200409,69.7,0.22
200410,59.1,4.41
200411,49.4,6.02
200412,35.8,2.40
200501,34.3,8.30
200502,40.9,1.67
200503,43.3,1.76
200504,58.3,3.01
200505,64.7,1.24
200506,77.6,2.51
200507,79.0,3.17
200508,78.9,4.38
200509,73.0,6.72
200510,58.1,1.09
200511,48.6,3.92
200512,31.6,1.13
200601,42.2,1.98
200602,35.4,0.30
200603,46.4,3.15
200604,61.5,1.95
200605,65.7,2.26
200606,75.3,3.07
200607,80.4,2.54
200608,79.0,2.65
200609,66.5,2.15
200610,54.8,3.87
200611,47.5,3.57
200612,40.4,2.53
200701,34.8,3.66
200702,29.3,1.78
200703,53.3,2.56
200704,53.6,3.29
200705,70.5,5.13
200706,75.5,3.08
200707,76.7,3.32
200708,83.0,1.33
200709,72.7,1.57
200710,62.3,2.13
200711,46.5,1.44
200712,35.7,3.16
200801,33.1,1.77
200802,31.7,4.24
200803,43.6,7.32
200804,53.6,4.63
200805,62.4,8.66
200806,75.9,3.78
200807,77.9,6.53
200808,75.3,1.31
200809,69.4,8.84
200810,57.5,1.25
200811,44.9,1.26
200812,32.7,4.44
200901,27.8,0.69
200902,38.4,2.76
200903,48.8,3.16
200904,55.2,4.97
200905,65.5,5.30
200906,76.6,5.31
200907,74.0,4.87
200908,74.3,3.21
200909,68.1,3.33
200910,52.6,12.04
200911,51.4,3.41
200912,33.2,4.28
201001,26.6,1.49
201002,30.1,1.75
201003,47.4,2.35
201004,62.6,3.18
201005,66.9,6.43
201006,79.2,4.35
201007,80.7,5.10
201008,80.4,2.56
201009,69.8,5.08
201010,59.9,0.71
201011,47.9,4.59
201012,29.4,1.27
201101,27.7,0.96
201102,36.2,3.10
201103,45.9,4.95
201104,58.8,6.70
201105,64.7,3.60
201106,76.8,7.21
201107,83.7,3.31
201108,79.4,0.87
201109,65.9,3.62
201110,58.5,1.95
201111,49.9,4.03
201112,39.7,3.86
201201,37.0,2.30
201202,41.1,1.83
201203,59.2,2.66
201204,58.9,6.73
201205,71.7,1.53
201206,75.9,1.59
201207,85.5,0.65
201208,77.7,3.95
201209,67.4,5.64
201210,55.8,2.98
201211,44.5,1.54
201212,41.2,1.98
201301,34.9,3.38
201302,35.4,2.82
201303,38.9,4.35
201304,53.9,7.12
201305,66.0,7.07
201306,75.0,6.53
201307,75.8,2.43
201308,76.2,0.74
201309,72.2,1.95
201310,57.4,2.02
201311,42.8,1.36
201312,32.3,2.43
201401,27.0,1.61
201402,27.0,1.45
201403,41.1,1.21
201404,56.8,7.06
201405,67.3,2.65
201406,75.9,5.49
201407,74.1,1.44
201408,77.8,5.18
201409,67.8,4.29
201410,58.4,4.94
201411,39.0,2.23
201412,38.2,3.39
201501,32.2,1.11
201502,26.8,1.31
201503,44.7,3.51
201504,58.5,4.66
201505,68.0,5.00
201506,75.8,11.06
201507,78.3,4.59
201508,75.6,5.27
201509,72.8,2.46
201510,59.2,1.03
201511,50.0,6.15
201512,44.1,11.10
201601,32.3,0.77
201602,38.8,0.82
201603,51.5,3.31
201604,58.1,3.89
201605,64.8,4.95
201606,79.5,1.87
201607,79.9,5.89
201608,78.7,6.96
201609,73.7,6.74
201610,64.1,2.46
201611,51.1,2.73
201612,33.5,1.02
201701,36.8,1.50
201702,46.5,0.31
201703,49.1,3.88
201704,60.7,9.64
201705,66.7,4.72
201706,75.9,2.31
201707,81.0,1.91
201708,74.2,2.11
201709,71.9,0.59
201710,61.4,3.21
201711,47.5,1.01
201712,34.8,0.89
201801,30.0,1.36
201802,37.5,4.86
201803,43.3,5.49
201804,49.3,1.80
201805,74.0,4.33
201806,79.0,5.10
201807,79.0,3.02
201808,78.0,4.57
201809,74.1,4.35
201810,59.0,2.05
201811,38.7,2.86
201812,38.8,4.85
201901,30.9,2.84
201902,34.6,3.22
201903,42.1,4.87
201904,57.3,4.64
201905,67.0,8.53
201906,73.8,5.06
201907,79.8,5.43
201908,76.9,6.21
201909,76.1,1.21
201910,56.6,4.05
201911,40.4,2.38
201912,39.2,2.06
202001,35.4,6.27
