date,tavg,pcp
200001,46.4,3.15
200002,52.8,1.50
200003,59.4,5.48
200004,60.1,9.73
200005,73.4,2.68
200006,77.0,3.59
200007,81.7,1.59
200008,83.0,1.65
200009,74.5,2.72
200010,64.4,1.89
200011,51.0,10.62
200012,36.8,5.26
200101,39.9,6.83
200102,51.4,5.90
200103,50.6,8.14
200104,66.1,4.94
200105,70.5,4.28
200106,75.7,5.38
200107,80.0,5.04
200108,79.0,3.43
200109,72.1,6.24
200110,59.8,5.04
200111,57.6,6.43
200112,49.7,5.78
200201,46.5,5.43
200202,44.6,3.47
200203,54.6,7.74
200204,66.1,2.77
200205,69.9,3.65
200206,76.9,2.65
200207,80.4,5.40
200208,79.5,2.97
200209,77.2,9.25
200210,66.0,6.93
200211,50.6,4.76
200212,46.0,5.70
200301,39.4,2.33
200302,45.9,9.87
200303,55.8,3.01
200304,63.9,6.82
200305,72.0,4.50
200306,75.6,7.72
200307,79.3,3.54
200308,80.1,5.68
200309,72.3,3.70
200310,63.3,3.42
200311,57.9,5.15
200312,44.0,4.26
200401,44.2,3.80
200402,44.5,7.69
200403,58.8,2.77
200404,61.3,3.37
200405,72.2,7.88
200406,76.7,9.91
200407,78.5,3.28
200408,75.2,5.37
200409,73.3,2.08
200410,69.6,3.89
200411,57.9,8.29
200412,44.6,6.03
200501,49.3,3.30
200502,50.5,5.40
200503,52.8,3.78
200504,62.1,7.14
200505,68.1,4.47
200506,76.9,3.08
200507,80.2,6.02
200508,81.3,7.22
200509,76.8,4.62
200510,62.6,0.02
200511,55.3,3.06
200512,43.1,5.04
200601,51.1,7.74
200602,44.5,10.37
200603,56.1,4.35
200604,67.7,2.19
200605,70.8,2.34
200606,78.2,2.17
200607,81.8,3.05
200608,82.9,2.04
200609,72.2,4.34
200610,62.1,10.42
200611,52.4,2.85
200612,48.5,5.52
200701,45.9,5.13
200702,45.5,2.51
200703,60.3,0.82
200704,60.0,2.75
200705,71.0,2.46
200706,78.8,2.36
200707,77.8,8.52
200708,83.5,0.94
200709,76.0,4.49
200710,65.2,3.88
200711,53.6,1.48
200712,51.1,2.85
200801,42.3,2.45
200802,49.2,6.86
200803,56.1,3.67
200804,62.0,6.69
200805,70.0,5.73
200806,78.0,1.08
200807,80.2,4.05
200808,77.0,10.63
200809,73.2,5.24
200810,61.3,2.48
200811,50.8,2.98
200812,47.2,11.49
200901,44.2,5.67
200902,50.2,2.60
200903,57.0,8.65
200904,61.6,1.94
200905,70.7,10.80
200906,79.0,1.93
200907,78.1,8.86
200908,77.7,4.51
200909,75.0,10.07
200910,61.1,11.77
200911,53.4,1.57
200912,43.3,5.97
201001,40.0,5.06
201002,40.2,3.52
201003,51.8,4.56
201004,64.2,3.07
201005,73.4,7.31
201006,81.7,2.62
201007,81.9,4.71
201008,83.3,3.40
201009,76.4,0.38
201010,64.0,1.69
201011,54.4,6.63
201012,40.4,1.12
201101,41.0,5.93
201102,49.0,2.32
201103,56.5,6.15
201104,66.1,7.34
201105,69.2,1.29
201106,81.4,2.25
201107,82.2,8.12
201108,82.1,2.25
201109,71.3,7.57
201110,60.2,1.22
201111,55.2,4.26
201112,46.5,6.95
201201,50.0,2.91
201202,51.0,5.24
201203,64.7,6.99
201204,65.1,4.17
201205,73.6,3.61
201206,76.9,3.02
201207,81.4,6.74
201208,78.5,9.65
201209,73.3,2.19
201210,60.8,4.03
201211,50.5,3.05
201212,51.1,7.92
201301,48.3,8.87
201302,47.7,6.56
201303,49.2,6.05
201304,61.7,6.29
201305,68.3,5.97
201306,78.5,3.68
201307,78.5,2.86
201308,79.8,1.60
201309,76.6,6.04
201310,64.2,1.44
201311,49.7,5.56
201312,45.4,5.46
201401,37.1,2.77
201402,45.4,5.22
201403,50.8,5.81
201404,62.0,14.33
201405,70.3,4.34
201406,78.1,4.90
201407,76.8,3.23
201408,79.2,2.59
201409,75.9,2.77
201410,65.8,4.07
201411,47.3,4.14
201412,49.6,4.89
201501,43.0,5.62
201502,41.1,5.64
201503,57.0,6.51
201504,65.8,5.28
201505,71.4,6.18
201506,78.5,3.40
201507,82.0,3.65
201508,80.1,2.05
201509,76.3,0.83
201510,65.9,4.53
201511,58.5,7.46
201512,56.2,7.41
201601,42.3,4.50
201602,50.2,5.50
201603,59.1,9.67
201604,64.4,5.40
201605,69.8,1.25
201606,80.1,3.22
201607,82.6,2.89
201608,82.2,4.92
201609,79.2,0.34
201610,68.8,0.20
201611,56.6,3.50
201612,48.1,4.73
201701,52.0,4.29
201702,55.6,2.90
201703,59.0,4.22
201704,67.0,5.44
201705,69.5,6.47
201706,75.9,10.32
201707,80.9,3.69
201708,78.7,4.72
201709,73.3,3.80
201710,65.3,1.25
201711,55.3,1.38
201712,46.6,3.88
201801,38.9,1.97
201802,56.0,10.17
201803,55.9,6.66
201804,58.1,7.35
201805,74.6,3.19
201806,79.5,2.24
201807,81.1,4.85
201808,80.1,3.39
201809,78.1,6.97
201810,65.7,2.11
201811,49.6,6.25
201812,47.4,6.60
201901,45.9,7.65
201902,52.8,8.09
201903,52.5,3.55
201904,61.6,10.12
201905,72.7,5.62
201906,77.5,4.67
201907,80.0,8.54
201908,80.4,6.31
201909,80.4,0.42
201910,64.2,11.21
201911,47.3,2.92
201912,49.3,6.41
202001,48.3,9.43
