date,tavg,pcp
200001,43.6,5.55
200002,50.4,1.33
200003,57.1,2.64
200004,60.2,4.76
200005,72.2,2.94
200006,77.3,6.04
200007,77.9,8.11
200008,77.6,7.82
200009,72.8,8.94
200010,62.3,0.34
200011,52.0,4.54
200012,40.9,1.78
200101,44.2,0.68
200102,51.1,2.48
200103,52.1,8.61
200104,62.8,1.01
200105,68.8,2.77
200106,77.9,4.30
200107,77.8,7.50
200108,79.0,4.94
200109,71.5,3.49
200110,62.2,0.46
200111,59.6,1.02
200112,53.6,1.24
200201,48.2,2.20
200202,48.8,2.42
200203,56.0,5.18
200204,66.4,1.43
200205,68.4,2.40
200206,77.0,4.64
200207,80.7,7.67
200208,79.0,9.96
200209,76.2,5.03
200210,67.0,3.11
200211,52.4,3.41
200212,45.0,2.94
200301,41.0,1.73
200302,46.5,4.01
200303,57.4,5.89
200304,60.6,7.09
200305,69.9,6.36
200306,76.7,5.81
200307,79.9,7.30
200308,79.7,6.08
200309,72.7,5.67
200310,63.3,9.70
200311,59.8,1.98
200312,44.2,5.28
200401,42.1,2.39
200402,44.3,5.57
200403,55.5,1.94
200404,62.4,2.13
200405,73.6,4.48
200406,78.1,3.47
200407,80.4,5.96
200408,76.9,9.74
200409,74.4,6.79
200410,65.7,2.12
200411,56.6,3.24
200412,45.7,1.81
200501,47.3,1.67
200502,48.1,2.32
200503,51.6,3.19
200504,60.5,4.16
200505,66.0,5.61
200506,76.5,7.14
200507,82.2,5.57
200508,80.4,7.00
200509,77.6,8.92
200510,66.5,13.73
200511,57.6,4.56
200512,45.3,4.56
200601,51.6,2.51
200602,46.1,3.34
200603,52.7,1.30
200604,64.8,3.53
200605,67.8,2.17
200606,75.5,8.32
200607,80.5,3.41
200608,80.4,6.31
200609,71.7,8.94
200610,62.2,5.35
200611,56.1,7.61
200612,51.7,4.62
200701,48.9,4.26
200702,44.4,2.21
200703,56.4,1.64
200704,60.4,1.83
200705,68.0,1.84
200706,76.4,4.10
200707,78.8,3.73
200708,81.6,2.57
200709,75.3,3.28
200710,70.0,2.93
200711,54.6,0.65
200712,52.9,3.01
200801,45.8,3.28
200802,51.7,3.85
200803,55.0,3.35
200804,63.1,2.72
200805,68.5,4.25
200806,79.8,3.08
200807,79.8,8.12
200808,78.5,5.85
200809,74.8,7.87
200810,61.8,3.09
200811,52.0,4.76
200812,52.9,2.96
200901,44.8,2.17
200902,46.6,1.54
200903,52.8,3.45
200904,62.0,2.16
200905,71.2,6.81
200906,78.1,3.37
200907,79.0,6.21
200908,80.0,5.93
200909,73.1,7.39
200910,63.7,2.24
200911,57.2,5.13
200912,47.0,8.44
201001,40.5,3.67
201002,41.2,4.13
201003,52.7,3.72
201004,63.4,1.00
201005,72.3,3.77
201006,81.7,4.93
201007,81.4,4.94
201008,80.8,3.63
201009,76.5,15.97
201010,65.6,2.44
201011,54.7,1.01
201012,37.5,3.26
201101,39.5,2.34
201102,49.6,4.52
201103,54.3,3.07
201104,64.3,1.55
201105,70.7,1.57
201106,80.8,1.52
201107,82.1,4.28
201108,80.8,11.98
201109,74.9,5.53
201110,62.8,2.05
201111,57.3,2.83
201112,51.8,0.53
201201,49.2,1.84
201202,50.4,2.20
201203,61.6,3.74
201204,62.5,1.88
201205,72.2,6.61
201206,74.4,2.29
201207,83.9,2.65
201208,78.5,10.02
201209,73.6,4.72
201210,64.1,4.34
201211,49.9,4.11
201212,52.2,4.82
201301,50.2,1.94
201302,47.1,4.94
201303,48.2,2.39
201304,61.1,5.53
201305,68.6,1.51
201306,77.1,12.30
201307,79.6,6.08
201308,77.7,8.33
201309,73.4,1.10
201310,64.8,2.21
201311,53.4,3.89
201312,51.3,1.78
201401,41.2,2.52
201402,47.2,2.78
201403,49.4,6.19
201404,63.4,5.37
201405,72.5,2.75
201406,77.8,3.60
201407,78.8,10.53
201408,77.8,8.05
201409,74.8,6.03
201410,65.8,1.81
201411,50.4,4.04
201412,48.9,4.09
201501,44.7,5.40
201502,39.8,4.32
201503,54.4,3.28
201504,63.8,2.22
201505,70.6,5.32
201506,80.6,8.24
201507,81.5,2.71
201508,78.7,7.63
201509,75.9,6.04
201510,64.9,16.04
201511,59.8,6.83
201512,60.4,4.90
201601,43.3,3.72
201602,48.4,7.60
201603,60.8,2.59
201604,61.6,2.66
201605,69.6,5.67
201606,78.2,5.94
201607,83.0,4.39
201608,81.4,7.57
201609,76.8,14.87
201610,66.9,7.10
201611,54.6,1.96
201612,49.1,5.36
201701,50.7,4.07
201702,54.9,1.70
201703,52.9,2.50
201704,67.1,7.99
201705,72.1,4.88
201706,77.0,4.53
201707,81.0,8.38
201708,78.6,9.70
201709,75.2,4.27
201710,67.8,4.78
201711,55.2,1.07
201712,47.8,4.02
201801,41.0,6.69
201802,57.4,1.83
201803,50.5,3.45
201804,59.5,5.84
201805,74.0,11.74
201806,80.2,7.65
201807,79.0,14.09
201808,81.1,4.62
201809,78.7,20.45
201810,67.1,2.75
201811,55.4,6.22
201812,50.2,7.20
201901,45.9,2.71
201902,53.1,1.19
201903,53.0,3.85
201904,63.7,4.21
201905,74.8,0.97
201906,77.3,3.14
201907,81.0,3.83
201908,80.0,6.41
201909,77.0,11.40
201910,69.4,4.30
201911,51.9,4.59
201912,52.4,3.87
202001,52.0,2.32
