date,tavg,pcp
200001,12.1,0.33
200002,21.2,0.91
200003,35.0,0.45
200004,40.6,1.49
200005,54.8,3.40
200006,59.2,3.69
200007,68.8,2.64
200008,67.0,2.97
200009,56.3,1.59
200010,45.9,1.24
200011,21.5,2.33
200012,3.2,0.30
200101,18.7,0.21
200102,5.5,0.30
200103,28.8,0.05
200104,42.1,1.25
200105,55.9,1.37
200106,61.7,3.47
200107,69.2,3.70
200108,69.6,0.80
200109,57.8,0.55
200110,41.4,0.41
200111,36.7,0.21
200112,15.4,0.61
200201,16.2,0.32
200202,24.1,0.11
200203,14.8,0.68
200204,36.5,1.44
200205,47.3,1.57
200206,64.0,3.95
200207,70.9,1.75
200208,65.2,3.16
200209,57.4,0.79
200210,34.2,0.76
200211,28.8,0.09
200212,20.3,0.80
200301,10.7,0.37
200302,7.2,0.23
200303,21.0,0.48
200304,44.5,1.04
200305,53.2,3.59
200306,61.8,2.27
200307,69.1,1.94
200308,72.1,1.23
200309,56.5,1.83
200310,47.7,0.59
200311,16.6,0.51
200312,19.8,0.49
200401,2.0,0.85
200402,14.9,0.37
200403,29.3,0.69
200404,42.8,0.43
200405,48.4,3.20
200406,58.8,2.93
200407,66.1,2.64
200408,60.6,2.20
200409,57.8,1.23
200410,43.4,1.50
200411,33.6,0.17
200412,19.6,0.41
200501,4.7,0.62
200502,19.8,0.02
200503,28.3,1.07
200504,46.6,0.35
200505,50.6,3.31
200506,63.9,9.51
200507,68.7,1.88
200508,65.5,1.36
200509,59.0,0.51
200510,44.2,1.29
200511,30.8,1.19
200512,18.7,0.26
200601,26.9,0.09
200602,15.2,0.37
200603,27.5,0.90
200604,49.1,1.62
200605,55.0,1.31
200606,64.5,1.90
200607,72.4,1.91
200608,68.8,2.07
200609,55.8,1.57
200610,39.1,0.68
200611,27.3,0.17
200612,20.8,0.44
200701,14.2,0.12
200702,7.5,0.45
200703,32.2,1.41
200704,41.1,0.58
200705,54.5,6.98
200706,64.5,3.76
200707,73.3,1.03
200708,65.7,0.88
200709,57.7,0.67
200710,45.8,0.45
200711,28.4,0.25
200712,12.7,0.14
200801,11.3,0.12
200802,9.7,0.40
200803,26.5,0.16
200804,40.1,0.37
200805,51.2,2.53
200806,59.9,4.21
200807,68.4,2.26
200808,68.1,2.44
200809,55.9,1.96
200810,44.5,1.86
200811,27.9,1.17
200812,3.5,1.28
200901,4.6,1.00
200902,9.6,1.05
200903,18.0,0.94
200904,38.8,1.01
200905,50.7,1.52
200906,60.3,2.02
200907,63.6,2.24
200908,64.4,1.84
200909,63.4,3.02
200910,37.4,1.98
200911,36.5,0.01
200912,5.9,0.89
201001,10.4,0.61
201002,8.9,0.43
201003,30.6,0.34
201004,46.2,1.47
201005,51.1,3.85
201006,62.3,4.89
201007,67.8,2.42
201008,68.0,3.20
201009,54.1,3.48
201010,46.9,0.74
201011,26.1,0.66
201012,9.2,1.45
201101,7.0,0.73
201102,10.2,0.29
201103,17.7,1.01
201104,38.2,1.58
201105,50.6,5.39
201106,62.1,3.24
201107,70.3,4.14
201108,69.0,1.26
201109,59.0,2.00
201110,47.8,1.55
201111,29.7,0.26
201112,23.5,0.32
201201,20.6,0.23
201202,21.4,0.47
201203,39.8,0.59
201204,44.8,2.55
201205,53.9,1.59
201206,64.0,2.85
201207,73.3,1.51
201208,68.1,0.98
201209,58.2,0.13
201210,39.9,2.18
201211,25.7,0.70
201212,10.9,0.44
201301,10.2,0.32
201302,16.5,0.66
201303,14.0,1.21
201304,28.9,0.80
201305,52.2,5.81
201306,62.7,4.51
201307,67.1,4.44
201308,68.3,2.71
201309,61.6,2.66
201310,41.4,2.57
201311,24.9,0.31
201312,4.0,0.68
201401,9.2,0.31
201402,4.8,0.20
201403,21.9,0.26
201404,37.6,1.85
201405,53.2,2.22
201406,61.5,5.20
201407,66.0,1.91
201408,67.2,4.30
201409,58.1,1.06
201410,46.7,0.54
201411,19.8,0.45
201412,17.9,0.03
201501,16.7,0.51
201502,6.6,0.55
201503,32.5,0.44
201504,44.1,0.64
201505,52.3,2.95
201506,64.8,4.12
201507,69.8,2.41
201508,68.3,1.32
201509,60.8,2.46
201510,47.6,1.11
201511,32.5,0.24
201512,22.0,0.35
201601,15.7,0.27
201602,26.8,0.35
201603,36.1,0.42
201604,41.8,2.55
201605,57.6,2.21
201606,65.7,2.50
201607,69.3,3.03
201608,68.7,1.13
201609,57.7,2.78
201610,45.2,1.71
201611,38.9,1.53
201612,9.1,1.48
201701,11.2,0.41
201702,19.5,0.42
201703,25.4,0.51
201704,42.4,0.60
201705,55.2,0.75
201706,64.0,1.55
201707,72.1,0.65
201708,65.7,2.12
201709,58.0,2.22
201710,44.6,0.10
201711,24.8,0.38
201712,15.7,0.31
201801,11.1,0.26
201802,5.0,0.33
201803,22.9,1.49
201804,31.9,0.19
201805,60.3,0.92
201806,66.9,5.18
201807,69.0,1.75
201808,68.2,1.06
201809,53.1,1.07
201810,39.0,0.92
201811,22.7,0.82
201812,20.7,0.65
201901,9.7,0.34
201902,-4.2,0.99
201903,22.4,0.04
201904,42.1,0.97
201905,49.8,0.98
201906,63.7,2.76
201907,68.4,2.62
201908,65.6,2.81
201909,57.3,7.40
201910,37.7,1.43
201911,25.7,0.61
201912,16.7,0.42
202001,12.8,0.28
