date,tavg,pcp
200001,31.9,2.91
200002,37.7,2.14
200003,46.6,5.83
200004,50.4,2.95
200005,62.7,2.48
200006,71.8,4.42
200007,72.0,6.35
200008,72.5,6.34
200009,65.5,5.10
200010,56.5,0.27
200011,44.0,3.59
200012,30.3,2.45
200101,31.7,3.27
200102,36.9,3.15
200103,39.6,5.78
200104,52.2,1.73
200105,61.8,1.86
200106,72.4,5.01
200107,71.6,3.23
200108,76.1,3.39
200109,65.6,1.48
200110,56.3,1.34
200111,50.1,1.07
200112,42.8,1.87
200201,38.4,2.28
200202,39.0,0.71
200203,44.7,4.80
200204,55.0,4.63
200205,60.7,3.11
200206,70.8,4.87
200207,76.7,1.16
200208,76.6,2.96
200209,68.6,3.16
200210,56.9,6.54
200211,44.6,6.11
200212,35.4,4.38
200301,28.4,2.36
200302,30.2,4.92
200303,42.8,3.69
200304,49.7,3.00
200305,56.6,2.66
200306,68.6,8.04
200307,75.4,4.44
200308,75.9,3.19
200309,68.8,3.99
200310,54.5,4.67
200311,50.4,4.76
200312,37.0,5.36
200401,27.2,1.76
200402,34.7,2.53
200403,43.9,3.54
200404,52.4,5.56
200405,67.0,3.22
200406,70.0,2.41
200407,74.8,4.68
200408,73.1,4.94
200409,68.7,2.69
200410,54.9,3.30
200411,47.4,5.01
200412,37.4,2.83
200501,32.6,3.64
200502,35.7,2.46
200503,38.7,4.09
200504,52.1,3.91
200505,56.5,3.67
200506,71.7,3.41
200507,76.8,4.87
200508,77.1,2.12
200509,71.2,0.55
200510,57.9,9.56
200511,49.0,3.70
200512,34.8,4.22
200601,40.7,5.47
200602,35.6,1.64
200603,42.9,0.67
200604,54.2,3.05
200605,61.8,2.69
200606,70.5,5.69
200607,77.2,6.32
200608,76.0,3.03
200609,65.8,6.09
200610,55.4,6.02
200611,51.2,6.32
200612,43.2,2.00
200701,39.2,3.97
200702,29.2,2.39
200703,42.8,3.73
200704,49.8,6.20
200705,62.9,1.16
200706,71.0,3.90
200707,74.6,2.61
200708,74.9,3.52
200709,69.0,1.16
200710,63.5,5.21
200711,45.5,1.61
200712,38.0,6.45
200801,36.0,2.23
200802,37.8,4.59
200803,43.6,2.87
200804,53.6,3.10
200805,59.1,4.86
200806,74.1,2.52
200807,77.0,3.22
200808,72.6,2.43
200809,68.6,4.79
200810,55.3,1.73
200811,45.2,5.21
200812,39.3,6.85
200901,29.9,3.18
200902,37.0,0.68
200903,41.8,2.25
200904,53.4,6.01
200905,61.9,3.55
200906,68.4,5.93
200907,73.4,3.67
200908,76.4,9.53
200909,66.1,6.43
200910,55.4,6.67
200911,50.5,3.48
200912,36.5,9.08
201001,32.8,3.06
201002,31.8,6.37
201003,47.1,8.86
201004,56.0,1.80
201005,64.2,3.78
201006,75.3,1.99
201007,79.0,3.36
201008,76.1,2.20
201009,70.7,3.42
201010,57.6,4.59
201011,46.5,2.06
201012,31.9,2.93
201101,29.3,3.44
201102,37.5,2.82
201103,42.8,4.66
201104,55.6,4.59
201105,64.5,2.51
201106,73.4,2.51
201107,79.6,5.19
201108,74.5,13.09
201109,70.7,4.02
201110,57.5,3.60
201111,50.8,4.04
201112,42.5,3.67
201201,38.4,2.42
201202,40.5,1.86
201203,50.7,2.18
201204,53.6,2.89
201205,65.4,3.06
201206,70.8,5.65
201207,78.8,2.57
201208,75.7,5.19
201209,68.2,3.53
201210,58.4,6.12
201211,43.0,1.56
201212,43.3,6.62
201301,35.6,2.91
201302,34.8,4.11
201303,39.2,3.82
201304,52.1,3.13
201305,61.2,2.72
201306,71.7,8.76
201307,78.1,4.69
201308,71.9,4.01
201309,65.0,1.70
201310,58.2,3.90
201311,44.4,2.46
201312,39.1,5.46
201401,28.6,2.91
201402,32.7,5.13
201403,37.6,4.87
201404,50.5,3.43
201405,62.3,3.57
201406,71.0,2.04
201407,73.8,5.22
201408,70.9,8.16
201409,67.6,4.39
201410,58.0,2.77
201411,43.8,5.10
201412,40.2,5.49
201501,30.7,5.17
201502,25.2,2.43
201503,38.1,4.83
201504,52.1,3.01
201505,66.2,0.89
201506,71.4,9.77
201507,75.7,5.51
201508,74.7,1.75
201509,71.5,2.80
201510,55.8,4.12
201511,51.3,3.25
201512,50.5,5.24
201601,33.7,3.40
201602,38.2,3.85
201603,48.0,2.85
201604,51.0,2.74
201605,60.2,5.46
201606,71.3,2.30
201607,77.9,7.58
201608,77.8,1.42
201609,70.9,5.61
201610,58.4,3.09
201611,47.9,0.99
201612,38.4,3.11
201701,38.3,3.56
201702,42.6,1.44
201703,41.2,4.83
201704,57.2,3.40
201705,61.0,7.69
201706,71.2,2.84
201707,77.0,8.48
201708,72.8,5.40
201709,69.2,3.10
201710,61.5,4.51
201711,46.8,2.29
201712,35.6,1.40
201801,31.8,2.99
201802,42.2,6.44
201803,39.4,5.21
201804,49.7,3.54
201805,65.8,6.64
201806,71.1,2.96
201807,76.7,5.59
201808,78.3,3.21
201809,72.4,7.71
201810,58.8,6.10
201811,45.1,8.77
201812,39.6,6.39
201901,33.7,3.81
201902,36.7,3.51
201903,41.0,3.97
201904,55.9,3.45
201905,64.1,4.26
201906,72.2,3.96
201907,78.5,4.66
201908,75.2,3.47
201909,70.2,1.56
201910,60.0,5.53
201911,43.0,1.54
201912,39.4,5.63
202001,39.2,2.40
