date,tavg,pcp
200001,27.2,2.76
200002,37.3,4.64
200003,45.8,3.59
200004,50.8,4.25
200005,63.5,4.66
200006,70.1,4.57
200007,69.9,4.11
200008,69.8,3.87
200009,63.1,3.44
200010,56.1,1.44
200011,40.2,1.44
200012,23.1,3.89
200101,27.8,1.59
200102,35.8,0.95
200103,37.8,2.56
200104,54.8,4.20
200105,61.7,6.66
200106,68.4,3.59
200107,71.6,4.60
200108,73.3,2.81
200109,62.5,1.91
200110,54.2,3.89
200111,47.9,3.67
200112,38.9,2.46
200201,34.2,2.27
200202,36.0,0.97
200203,41.0,4.21
200204,53.8,4.66
200205,57.5,4.30
200206,71.5,5.05
200207,75.2,5.13
200208,74.2,1.35
200209,68.4,4.17
200210,53.2,4.85
200211,41.4,2.49
200212,31.9,3.09
200301,22.8,1.81
200302,27.2,3.66
200303,43.7,1.65
200304,54.0,2.52
200305,60.8,6.74
200306,65.6,5.08
200307,71.7,6.51
200308,72.7,4.16
200309,62.6,6.57
200310,51.4,2.28
200311,47.2,4.35
200312,33.5,3.15
200401,25.8,3.63
200402,31.7,1.90
200403,44.1,2.93
200404,52.0,4.12
200405,66.0,8.45
200406,68.3,3.96
200407,71.7,6.51
200408,69.2,2.77
200409,66.2,7.79
200410,54.0,3.24
200411,46.4,3.83
200412,33.0,3.35
200501,32.2,7.50
200502,34.6,1.25
200503,37.0,3.87
200504,53.9,5.00
200505,56.1,2.56
200506,71.9,0.74
200507,75.8,3.49
200508,75.1,4.72
200509,68.3,2.53
200510,54.4,2.92
200511,44.6,4.64
200512,28.6,1.63
200601,40.2,3.70
200602,32.8,1.45
200603,39.8,2.96
200604,56.1,4.38
200605,58.7,3.04
200606,67.5,3.82
200607,73.8,4.21
200608,74.1,3.72
200609,62.1,6.55
200610,50.8,5.95
200611,45.1,1.84
200612,39.4,1.95
200701,34.9,4.04
200702,20.6,2.84
200703,46.1,3.17
200704,49.5,3.26
200705,64.2,1.00
200706,70.8,2.23
200707,70.0,4.63
200708,75.8,4.00
200709,68.2,2.53
200710,60.1,3.55
200711,43.5,3.50
200712,34.6,4.88
200801,30.6,2.74
200802,30.7,4.08
200803,39.4,7.85
200804,54.6,2.47
200805,57.4,4.78
200806,70.9,6.34
200807,72.0,4.07
200808,70.4,2.33
200809,66.8,0.90
200810,52.8,1.49
200811,40.0,2.40
200812,32.3,4.21
200901,23.3,2.96
200902,33.5,1.53
200903,44.5,1.69
200904,52.8,3.90
200905,62.3,4.55
200906,69.2,3.79
200907,68.4,4.47
200908,71.3,2.24
200909,64.7,3.05
200910,50.3,4.03
200911,47.1,1.01
200912,31.8,3.34
201001,26.4,2.32
201002,26.1,2.47
201003,43.5,2.74
201004,56.2,1.34
201005,63.7,7.07
201006,72.3,6.31
201007,74.6,3.56
201008,73.9,4.30
201009,66.0,2.08
201010,55.0,2.15
201011,42.3,3.65
201012,25.2,2.39
201101,25.2,1.54
201102,33.0,4.89
201103,42.1,4.56
201104,54.1,9.44
201105,61.9,6.03
201106,70.5,4.39
201107,76.5,4.87
201108,71.7,4.79
201109,64.5,4.01
201110,52.6,4.62
201111,47.0,5.66
201112,37.9,3.84
201201,33.5,4.06
201202,36.1,1.29
201203,53.5,3.31
201204,51.4,2.39
201205,66.5,4.36
201206,69.6,1.89
201207,77.6,3.46
201208,72.3,3.09
201209,63.8,4.22
201210,52.9,4.20
201211,40.1,0.71
201212,38.6,6.10
201301,32.0,2.31
201302,30.8,1.78
201303,36.7,3.08
201304,52.8,3.18
201305,63.5,2.60
201306,69.4,6.01
201307,72.6,5.79
201308,70.6,3.70
201309,64.7,2.16
201310,54.8,2.70
201311,39.8,3.54
201312,33.8,5.03
201401,21.2,2.11
201402,26.4,3.32
201403,37.0,2.14
201404,53.0,5.59
201405,62.0,4.05
201406,70.1,4.09
201407,69.4,3.12
201408,70.8,3.34
201409,64.4,1.04
201410,53.2,3.82
201411,36.9,1.61
201412,36.4,2.94
201501,26.6,2.39
201502,19.6,1.56
201503,38.6,4.55
201504,52.7,5.26
201505,65.1,2.41
201506,69.6,6.96
201507,71.5,4.66
201508,69.8,2.44
201509,68.2,3.12
201510,54.5,2.56
201511,47.8,2.56
201512,45.1,4.08
201601,28.0,1.18
201602,34.4,3.44
201603,48.8,4.03
201604,52.5,3.83
201605,59.8,4.13
201606,71.2,3.72
201607,74.0,3.13
201608,76.0,3.35
201609,69.5,2.56
201610,58.3,3.08
201611,45.9,1.05
201612,32.4,4.42
201701,36.6,3.22
201702,42.2,2.22
201703,42.2,6.41
201704,58.4,4.78
201705,61.3,3.67
201706,69.2,5.43
201707,72.4,7.86
201708,69.7,2.14
201709,65.6,2.32
201710,57.9,3.45
201711,42.4,5.11
201712,31.1,1.90
201801,26.3,2.46
201802,39.0,6.41
201803,38.5,3.56
201804,47.0,5.54
201805,69.6,5.35
201806,71.4,7.75
201807,73.5,1.97
201808,73.8,4.91
201809,70.2,6.62
201810,55.3,3.11
201811,38.6,6.12
201812,36.2,3.85
201901,29.1,4.24
201902,35.2,6.76
201903,39.0,4.01
201904,54.1,3.80
201905,64.6,5.35
201906,68.9,5.70
201907,75.7,4.31
201908,72.3,3.16
201909,70.4,1.13
201910,57.1,4.63
201911,38.0,2.61
201912,37.2,3.99
202001,36.4,3.57
