date,tavg,pcp
200001,34.9,3.51
200002,43.5,2.27
200003,50.3,3.88
200004,53.6,3.89
200005,66.4,3.26
200006,72.2,4.31
200007,73.3,4.49
200008,72.7,4.23
200009,67.4,2.14
200010,57.6,0.07
200011,45.0,2.37
200012,30.6,1.85
200101,33.5,2.63
200102,43.9,4.32
200103,42.9,3.94
200104,57.8,2.10
200105,64.9,4.37
200106,70.6,4.03
200107,72.7,8.02
200108,74.4,5.33
200109,64.7,2.28
200110,54.1,0.99
200111,51.4,0.70
200112,43.7,3.32
200201,37.9,4.69
200202,39.3,1.03
200203,47.6,6.16
200204,59.4,1.67
200205,61.8,2.82
200206,72.8,2.95
200207,76.0,4.97
200208,75.6,2.58
200209,71.3,3.38
200210,60.4,5.05
200211,43.5,5.06
200212,37.7,4.57
200301,30.8,2.59
200302,37.6,6.79
200303,51.0,2.97
200304,56.9,6.41
200305,64.1,5.52
200306,68.9,5.71
200307,73.6,6.71
200308,75.0,7.84
200309,66.3,4.66
200310,56.0,1.70
200311,51.5,6.67
200312,36.3,3.30
200401,34.0,2.94
200402,38.6,3.24
200403,50.6,3.92
200404,55.7,4.75
200405,68.1,4.80
200406,71.3,5.23
200407,73.6,4.54
200408,71.4,2.69
200409,68.0,5.22
200410,60.7,3.48
200411,51.2,4.15
200412,37.1,3.41
200501,40.2,2.87
200502,41.5,2.57
200503,44.7,3.04
200504,55.6,5.26
200505,60.4,2.71
200506,71.8,3.42
200507,75.7,6.27
200508,76.5,3.47
200509,70.4,0.77
200510,58.8,1.78
200511,48.7,3.08
200512,35.4,2.90
200601,43.3,3.80
200602,36.8,2.74
200603,46.5,2.90
200604,59.8,5.88
200605,61.4,2.87
200606,70.2,4.86
200607,74.8,2.86
200608,76.5,4.86
200609,64.8,5.47
200610,53.4,3.85
200611,47.8,2.94
200612,41.9,1.82
200701,38.8,2.31
200702,34.2,1.23
200703,52.8,2.37
200704,53.7,3.16
200705,65.5,1.54
200706,72.2,3.83
200707,72.4,4.63
200708,78.6,1.07
200709,71.0,1.34
200710,62.5,2.46
200711,45.4,1.71
200712,43.2,3.25
200801,34.7,2.91
200802,41.5,3.41
200803,46.5,4.24
200804,56.5,3.56
200805,62.3,2.50
200806,73.0,2.77
200807,73.1,4.71
200808,72.6,3.59
200809,69.5,2.18
200810,54.7,1.28
200811,43.2,2.23
200812,40.7,4.58
200901,34.5,5.65
200902,38.8,2.20
200903,48.3,2.90
200904,55.6,2.83
200905,64.1,5.55
200906,72.0,4.10
200907,70.6,6.77
200908,73.4,3.60
200909,68.0,5.60
200910,55.5,4.12
200911,48.8,2.70
200912,36.6,6.63
201001,32.1,3.96
201002,32.5,2.34
201003,45.1,2.28
201004,58.7,2.28
201005,66.8,3.41
201006,74.9,2.94
201007,77.4,2.80
201008,77.2,6.51
201009,69.0,3.71
201010,56.4,2.70
201011,47.8,3.95
201012,29.1,3.15
201101,32.5,1.98
201102,42.4,3.71
201103,49.1,6.72
201104,59.4,5.28
201105,63.9,4.90
201106,73.0,3.77
201107,77.3,3.25
201108,75.2,2.05
201109,68.1,4.13
201110,55.2,3.09
201111,49.1,4.46
201112,42.9,4.50
201201,40.2,4.35
201202,42.8,3.84
201203,57.1,3.35
201204,57.9,4.06
201205,67.8,2.74
201206,71.4,1.36
201207,76.8,8.75
201208,72.9,2.93
201209,66.9,5.87
201210,55.6,3.13
201211,43.6,0.69
201212,43.1,4.16
201301,40.1,9.34
201302,38.8,2.14
201303,40.2,4.42
201304,55.8,4.54
201305,62.6,5.12
201306,71.9,6.46
201307,73.7,6.97
201308,72.7,4.41
201309,67.6,2.18
201310,58.0,1.01
201311,43.1,3.45
201312,40.5,6.01
201401,28.5,1.96
201402,38.3,3.35
201403,44.9,2.36
201404,58.0,2.45
201405,64.6,2.73
201406,73.4,3.86
201407,71.5,4.94
201408,72.4,4.32
201409,69.4,1.83
201410,56.9,6.37
201411,40.3,2.72
201412,41.6,3.08
201501,35.2,2.28
201502,29.4,2.97
201503,48.2,3.93
201504,58.1,5.46
201505,67.4,1.66
201506,73.8,4.16
201507,75.2,6.42
201508,73.3,4.48
201509,68.9,3.22
201510,57.7,4.02
201511,51.5,4.36
201512,50.3,5.83
201601,32.6,2.63
201602,39.0,4.74
201603,52.5,1.24
201604,57.2,3.52
201605,62.9,3.81
201606,73.3,3.10
201607,77.4,3.90
201608,77.4,3.94
201609,72.1,2.41
201610,60.6,1.10
201611,49.4,2.42
201612,39.8,5.85
201701,44.0,3.40
201702,45.6,2.06
201703,47.9,4.51
201704,60.9,6.09
201705,64.2,7.64
201706,70.2,2.66
201707,75.3,3.88
201708,72.9,4.82
201709,66.9,1.39
201710,59.4,5.52
201711,47.7,1.27
201712,38.4,1.88
201801,31.8,1.77
201802,48.7,6.91
201803,44.9,4.73
201804,51.7,3.72
201805,68.8,6.11
201806,73.6,4.24
201807,75.4,3.88
201808,73.9,5.38
201809,74.4,4.79
201810,59.5,4.03
201811,43.7,5.01
201812,41.1,5.32
201901,38.1,4.12
201902,45.5,9.47
201903,45.5,3.36
201904,58.3,5.00
201905,68.4,3.61
201906,70.2,7.16
201907,75.1,5.02
201908,74.2,3.98
201909,73.8,0.38
201910,61.4,6.45
201911,43.4,4.94
201912,43.7,4.72
202001,42.2,4.43
