date,tavg,pcp
200001,51.9,1.50
200002,58.6,1.53
200003,63.6,5.25
200004,64.7,4.90
200005,76.2,8.05
200006,79.8,5.00
200007,84.1,0.76
200008,85.1,0.62
200009,78.1,3.52
200010,68.8,1.06
200011,54.1,16.44
200012,42.8,5.04
200101,44.7,5.49
200102,55.4,3.07
200103,53.3,9.00
200104,69.5,1.12
200105,74.6,2.87
200106,77.9,11.66
200107,83.4,1.28
200108,82.5,4.12
200109,74.9,5.73
200110,63.6,5.30
200111,60.6,4.47
200112,52.3,6.77
200201,50.5,3.23
200202,47.7,2.45
200203,57.6,3.95
200204,70.2,3.30
200205,74.4,2.72
200206,79.2,4.25
200207,82.2,5.61
200208,82.7,2.84
200209,77.9,2.87
200210,67.5,9.62
200211,54.2,7.18
200212,49.7,9.05
200301,45.8,0.92
200302,49.7,6.40
200303,57.5,2.76
200304,67.5,2.60
200305,76.4,2.14
200306,79.7,7.23
200307,81.9,5.74
200308,83.1,3.35
200309,75.1,5.33
200310,67.8,2.02
200311,61.3,5.24
200312,49.2,2.94
200401,49.9,5.66
200402,48.2,8.38
200403,63.5,5.04
200404,66.3,3.50
200405,74.6,6.42
200406,79.1,10.51
200407,81.7,3.35
200408,80.1,3.37
200409,77.4,2.84
200410,74.0,5.60
200411,60.2,14.17
200412,50.0,3.72
200501,53.0,3.75
200502,54.7,6.06
200503,58.0,3.69
200504,64.8,2.23
200505,72.5,2.34
200506,81.7,1.36
200507,83.3,3.65
200508,83.8,3.51
200509,82.3,6.15
200510,66.4,0.70
200511,61.2,2.07
200512,48.8,1.79
200601,54.6,4.63
200602,50.0,5.59
200603,62.3,3.22
200604,71.3,2.02
200605,74.5,1.89
200606,79.6,3.07
200607,82.6,4.22
200608,84.5,1.63
200609,76.7,2.48
200610,67.6,13.88
200611,58.3,1.64
200612,51.1,5.40
200701,46.7,7.89
200702,50.2,2.30
200703,63.7,2.69
200704,63.3,3.94
200705,73.9,5.55
200706,80.2,4.45
200707,80.4,7.44
200708,83.9,2.62
200709,79.0,1.65
200710,69.8,2.80
200711,59.8,4.15
200712,53.4,4.73
200801,47.7,2.58
200802,54.8,5.41
200803,60.3,3.80
200804,66.4,3.05
200805,73.6,2.73
200806,81.7,4.74
200807,83.6,2.46
200808,82.5,6.79
200809,75.4,2.91
200810,65.7,1.82
200811,57.6,4.12
200812,50.1,2.99
200901,49.6,1.43
200902,56.8,1.75
200903,59.0,5.37
200904,64.7,7.45
200905,75.0,3.43
200906,82.4,1.41
200907,85.1,4.91
200908,83.6,2.69
200909,76.2,4.02
200910,66.1,15.53
200911,58.9,2.02
200912,46.4,5.36
201001,45.7,2.21
201002,44.5,3.41
201003,55.1,2.62
201004,67.4,0.90
201005,77.6,1.35
201006,83.7,3.71
201007,84.1,4.94
201008,87.2,1.04
201009,80.0,2.93
201010,68.6,0.90
201011,58.7,3.72
201012,50.0,0.94
201101,45.8,6.51
201102,51.4,1.16
201103,62.3,0.70
201104,71.2,2.18
201105,74.0,3.94
201106,84.6,2.87
201107,86.5,1.98
201108,89.4,0.71
201109,78.7,1.91
201110,67.0,1.82
201111,59.3,4.16
201112,49.6,7.33
201201,53.8,5.24
201202,54.9,5.05
201203,66.5,8.66
201204,70.5,3.40
201205,76.4,2.79
201206,81.5,3.46
201207,82.6,6.76
201208,84.5,1.63
201209,77.8,7.62
201210,66.2,0.64
201211,58.3,1.11
201212,54.4,4.21
201301,51.5,6.13
201302,54.1,3.07
201303,57.1,2.09
201304,64.8,2.93
201305,73.0,3.36
201306,81.8,4.83
201307,81.9,3.85
201308,84.1,0.99
201309,80.4,5.76
201310,68.0,7.17
201311,53.6,4.03
201312,48.2,2.19
201401,43.8,1.67
201402,49.8,2.16
201403,54.6,2.89
201404,65.0,2.87
201405,71.2,8.08
201406,79.4,3.98
201407,80.7,7.98
201408,82.0,2.17
201409,78.2,3.16
201410,69.2,4.19
201411,53.0,4.63
201412,52.2,3.06
201501,45.9,7.70
201502,48.0,1.77
201503,57.6,7.68
201504,69.1,7.64
201505,73.6,15.33
201506,80.3,7.80
201507,84.3,1.06
201508,83.2,0.87
201509,79.1,1.90
201510,70.0,5.34
201511,61.2,9.00
201512,56.0,5.10
201601,48.1,2.76
201602,54.6,3.14
201603,62.7,7.25
201604,67.4,7.18
201605,72.0,8.11
201606,80.2,3.67
201607,84.6,1.44
201608,82.8,7.77
201609,79.5,1.60
201610,70.8,0.36
201611,62.5,2.96
201612,53.1,5.00
201701,55.4,6.10
201702,61.8,2.21
201703,64.0,2.86
201704,67.9,5.34
201705,71.3,7.86
201706,79.2,5.27
201707,83.1,4.99
201708,80.9,14.85
201709,76.5,2.46
201710,67.4,2.11
201711,62.5,2.05
201712,48.8,3.74
201801,43.3,2.80
201802,56.9,8.10
201803,63.4,6.95
201804,62.4,3.82
201805,77.0,1.58
201806,82.8,1.81
201807,83.7,5.71
201808,82.7,1.72
201809,79.1,8.68
201810,68.4,11.67
201811,53.4,5.29
201812,49.9,10.43
201901,48.6,5.01
201902,54.3,2.80
201903,56.8,1.63
201904,64.4,5.31
201905,75.0,7.51
201906,79.2,6.58
201907,81.8,1.76
201908,84.3,4.10
201909,81.7,5.02
201910,67.6,6.43
201911,55.7,1.20
201912,52.8,2.22
202001,52.8,5.88
