date,tavg,pcp
200001,35.3,3.45
200002,42.6,1.76
200003,51.1,3.82
200004,55.6,5.47
200005,67.5,3.36
200006,74.6,5.70
200007,74.0,4.87
200008,74.2,4.64
200009,66.7,3.63
200010,58.8,0.06
200011,44.1,1.80
200012,31.5,2.49
200101,35.9,2.51
200102,41.7,2.43
200103,43.9,4.70
200104,57.9,1.44
200105,64.2,3.95
200106,73.7,4.52
200107,73.7,4.62
200108,77.1,5.09
200109,66.5,2.48
200110,57.5,0.62
200111,52.7,0.21
200112,44.9,1.96
200201,41.5,2.86
200202,42.3,0.81
200203,48.4,3.75
200204,59.8,2.85
200205,64.6,3.89
200206,75.0,1.90
200207,79.3,2.27
200208,78.8,2.62
200209,70.9,2.51
200210,58.9,6.52
200211,46.5,4.98
200212,36.8,3.71
200301,32.2,1.79
200302,35.0,5.45
200303,48.9,5.18
200304,56.0,4.35
200305,62.4,8.11
200306,71.3,6.17
200307,76.8,7.94
200308,77.6,5.50
200309,68.4,9.97
200310,56.8,2.60
200311,52.9,3.70
200312,38.4,4.74
200401,33.0,1.81
200402,37.4,1.81
200403,48.8,2.35
200404,56.9,3.99
200405,71.4,5.24
200406,72.6,5.62
200407,76.7,6.57
200408,73.9,12.21
200409,69.3,6.41
200410,58.1,1.20
200411,50.6,4.02
200412,40.5,2.26
200501,37.6,3.42
200502,40.1,1.63
200503,43.2,3.46
200504,56.6,2.21
200505,61.6,4.32
200506,74.4,1.09
200507,79.8,5.78
200508,79.0,2.23
200509,73.1,0.20
200510,59.4,6.71
200511,51.4,2.95
200512,36.7,4.09
200601,43.6,3.25
200602,39.4,1.88
200603,47.9,0.24
200604,58.7,2.89
200605,63.4,2.76
200606,72.8,6.11
200607,79.1,2.97
200608,79.3,2.97
200609,67.0,8.12
200610,56.5,6.99
200611,50.5,7.31
200612,45.0,1.41
200701,41.8,4.96
200702,33.7,2.24
200703,51.0,2.61
200704,55.5,3.22
200705,66.2,2.32
200706,73.8,4.59
200707,76.6,1.73
200708,78.7,4.76
200709,70.7,0.98
200710,64.8,4.66
200711,47.9,1.01
200712,41.9,3.21
200801,38.4,1.37
200802,41.6,2.99
200803,49.5,2.85
200804,57.5,7.54
200805,63.8,4.44
200806,76.3,2.63
200807,77.1,4.79
200808,75.1,3.12
200809,70.0,6.44
200810,56.4,1.36
200811,46.0,3.76
200812,42.3,4.40
200901,33.4,1.73
200902,40.9,0.47
200903,45.8,4.12
200904,57.6,2.41
200905,66.4,4.20
200906,73.6,5.97
200907,75.0,3.56
200908,78.4,4.37
200909,68.2,2.78
200910,57.5,4.30
200911,50.7,10.44
200912,36.8,8.79
201001,34.5,3.99
201002,33.3,3.48
201003,49.9,5.68
201004,60.8,1.57
201005,68.8,3.18
201006,79.0,1.67
201007,81.1,2.21
201008,78.5,3.69
201009,73.0,5.82
201010,59.7,4.38
201011,48.0,1.72
201012,31.5,2.76
201101,33.1,2.08
201102,43.4,1.44
201103,47.8,4.66
201104,60.8,2.68
201105,67.2,3.79
201106,75.6,4.29
201107,79.7,5.86
201108,76.9,5.89
201109,70.6,8.15
201110,57.6,3.35
201111,51.6,3.44
201112,44.5,3.13
201201,40.9,1.92
201202,43.0,3.15
201203,57.0,3.70
201204,56.7,3.07
201205,68.9,4.55
201206,72.2,2.69
201207,81.0,3.68
201208,76.9,3.07
201209,68.7,3.53
201210,58.8,4.19
201211,44.0,0.36
201212,44.3,3.30
201301,39.5,5.13
201302,38.0,2.06
201303,41.6,4.73
201304,57.8,3.67
201305,64.8,3.91
201306,74.4,7.34
201307,78.0,5.63
201308,73.4,7.08
201309,67.5,1.47
201310,59.2,3.68
201311,45.4,3.34
201312,41.8,5.82
201401,31.5,2.89
201402,37.8,3.28
201403,42.8,3.34
201404,56.2,6.14
201405,67.7,3.60
201406,73.9,3.80
201407,76.6,2.04
201408,73.2,4.91
201409,69.9,2.18
201410,59.8,2.66
201411,44.5,3.05
201412,41.1,2.95
201501,34.3,3.35
201502,29.8,3.31
201503,44.6,3.51
201504,57.7,4.11
201505,69.5,1.82
201506,75.2,9.11
201507,76.7,4.49
201508,74.7,2.54
201509,71.4,4.81
201510,56.8,4.67
201511,51.6,4.31
201512,50.8,5.51
201601,34.5,3.37
201602,39.6,4.21
201603,53.2,1.14
201604,56.2,2.83
201605,62.7,10.23
201606,73.4,4.71
201607,78.8,4.32
201608,78.7,2.60
201609,72.9,7.62
201610,60.7,4.00
201611,48.5,1.51
201612,39.4,2.90
201701,40.2,4.09
201702,47.4,0.69
201703,47.3,3.11
201704,62.6,3.47
201705,64.3,6.55
201706,73.3,4.12
201707,79.3,3.59
201708,74.8,4.18
201709,69.0,2.60
201710,61.9,4.52
201711,47.0,1.79
201712,37.6,0.83
201801,33.8,2.85
201802,45.7,3.58
201803,41.7,2.52
201804,54.0,4.13
201805,71.9,10.60
201806,74.5,7.64
201807,76.5,5.98
201808,77.5,4.11
201809,74.3,6.62
201810,60.4,6.91
201811,44.9,6.15
201812,39.6,3.71
201901,37.2,2.79
201902,42.2,4.62
201903,45.4,3.58
201904,60.5,3.58
201905,70.4,2.85
201906,73.4,6.08
201907,79.4,4.46
201908,76.5,3.96
201909,73.9,0.53
201910,61.8,5.37
201911,44.2,1.87
201912,41.3,3.21
202001,41.0,3.12
