date,tavg,pcp
200001,28.8,1.15
200002,35.5,1.17
200003,42.2,1.04
200004,52.4,0.62
200005,57.5,0.94
200006,65.6,0.44
200007,70.9,0.26
200008,70.3,0.01
200009,60.4,0.35
200010,49.2,0.35
200011,31.2,1.00
200012,26.0,0.78
200101,29.2,0.33
200102,31.4,0.47
200103,43.0,1.00
200104,48.4,0.69
200105,59.3,0.16
200106,62.6,0.80
200107,71.5,0.07
200108,73.1,0.13
200109,65.2,0.08
200110,49.4,0.59
200111,41.0,1.88
200112,32.0,1.18
200201,33.8,0.55
200202,35.6,0.50
200203,38.9,0.20
200204,49.2,0.69
200205,55.6,0.42
200206,66.6,0.63
200207,74.3,0.16
200208,70.2,0.02
200209,62.2,0.04
200210,47.1,0.12
200211,38.1,0.62
200212,35.0,2.48
200301,34.5,2.47
200302,37.5,0.52
200303,44.8,0.47
200304,49.2,1.17
200305,57.0,0.18
200306,68.3,0.03
200307,74.7,0.00
200308,72.1,0.31
200309,65.2,0.19
200310,54.4,0.26
200311,33.6,0.40
200312,30.2,1.28
200401,27.1,0.91
200402,34.3,0.93
200403,46.8,0.40
200404,52.4,0.37
200405,57.9,0.99
200406,66.9,0.41
200407,75.1,0.17
200408,73.7,0.75
200409,61.3,0.29
200410,52.2,0.89
200411,37.9,0.16
200412,33.9,0.75
200501,27.1,0.74
200502,36.3,0.03
200503,45.5,0.57
200504,50.8,0.49
200505,60.5,1.74
200506,64.3,0.43
200507,72.8,0.24
200508,72.6,0.13
200509,61.0,0.24
200510,51.5,1.04
200511,35.8,1.59
200512,25.4,1.79
200601,35.4,2.16
200602,34.2,0.70
200603,42.0,0.47
200604,49.8,1.18
200605,58.4,0.90
200606,66.2,1.16
200607,75.6,0.06
200608,71.2,0.02
200609,63.0,0.28
200610,49.9,0.48
200611,36.5,1.25
200612,27.3,1.90
200701,26.0,0.19
200702,35.5,0.88
200703,44.3,0.60
200704,49.3,0.26
200705,59.2,0.42
200706,64.6,0.65
200707,76.2,0.15
200708,70.1,0.14
200709,62.0,0.39
200710,48.4,0.41
200711,36.7,0.94
200712,28.9,0.98
200801,22.1,0.96
200802,34.7,0.23
200803,40.3,0.39
200804,44.9,0.20
200805,60.2,0.22
200806,64.1,0.32
200807,72.6,0.03
200808,70.6,0.20
200809,62.7,0.03
200810,49.5,0.36
200811,39.7,0.85
200812,23.3,1.01
200901,26.2,0.73
200902,32.5,0.63
200903,38.7,0.82
200904,49.1,0.38
200905,58.7,0.44
200906,67.3,0.30
200907,75.0,0.13
200908,72.2,0.09
200909,64.8,0.22
200910,46.7,0.99
200911,38.5,0.63
200912,24.0,0.62
201001,35.5,1.21
201002,40.1,1.12
201003,44.2,0.44
201004,50.0,0.86
201005,54.0,1.60
201006,62.7,1.48
201007,72.0,0.12
201008,70.2,0.06
201009,61.8,0.74
201010,51.7,0.95
201011,34.2,1.08
201012,29.3,1.77
201101,29.6,0.68
201102,32.0,0.18
201103,41.8,1.32
201104,44.7,0.46
201105,54.3,1.76
201106,62.6,0.43
201107,68.0,0.20
201108,71.9,0.00
201109,65.9,0.06
201110,50.4,0.62
201111,35.7,0.29
201112,28.7,0.30
201201,28.3,0.61
201202,35.9,0.80
201203,41.9,1.25
201204,50.8,0.92
201205,57.3,0.20
201206,62.5,1.79
201207,73.6,0.85
201208,73.3,0.00
201209,64.0,0.00
201210,50.1,1.15
201211,39.6,1.36
201212,32.8,1.94
201301,26.8,0.28
201302,36.8,0.16
201303,43.3,0.65
201304,49.9,0.59
201305,59.3,1.01
201306,65.2,1.37
201307,76.0,0.06
201308,72.9,0.53
201309,65.0,0.81
201310,48.7,0.09
201311,36.7,0.61
201312,25.3,0.18
201401,31.7,0.44
201402,29.9,0.91
201403,43.0,0.95
201404,50.8,0.84
201405,60.6,0.17
201406,66.4,0.43
201407,77.0,0.09
201408,74.4,0.71
201409,64.6,0.29
201410,54.9,1.04
201411,36.3,0.92
201412,34.1,1.06
201501,32.0,0.84
201502,41.8,0.68
201503,47.7,0.98
201504,50.2,0.34
201505,63.1,1.07
201506,74.0,0.02
201507,76.5,0.04
201508,73.1,0.06
201509,60.8,0.18
201510,56.1,0.42
201511,36.7,0.46
201512,30.2,2.76
201601,31.2,1.72
201602,40.1,0.46
201603,45.0,1.80
201604,56.7,0.43
201605,61.3,0.53
201606,67.0,0.57
201607,70.7,0.38
201608,72.0,0.02
201609,60.9,0.15
201610,50.2,2.60
201611,44.8,0.84
201612,23.8,0.74
201701,21.0,1.16
201702,28.4,1.81
201703,42.3,1.34
201704,48.5,1.41
201705,59.4,0.64
201706,66.2,0.24
201707,75.0,0.01
201708,75.0,0.05
201709,63.7,0.14
201710,48.4,0.77
201711,38.3,1.77
201712,28.1,0.59
201801,34.6,1.56
201802,34.7,0.50
201803,42.3,0.67
201804,49.7,1.37
201805,64.4,0.77
201806,65.7,0.23
201807,75.1,0.01
201808,72.1,0.01
201809,60.5,0.03
201810,49.6,1.01
201811,38.6,0.75
201812,33.2,1.01
201901,33.0,0.92
201902,23.9,0.80
201903,36.0,0.52
201904,51.2,0.77
201905,61.3,0.87
201906,66.7,0.35
201907,70.8,0.25
201908,73.2,0.34
201909,60.8,0.68
201910,44.6,0.55
201911,37.5,0.19
201912,31.8,0.83
202001,33.5,1.15
