date,tavg,pcp
200001,17.3,1.13
200002,25.9,1.06
200003,39.7,1.07
200004,42.4,2.31
200005,56.1,4.69
200006,63.6,4.55
200007,66.8,4.91
200008,67.4,3.58
200009,58.2,4.36
200010,51.1,0.59
200011,34.2,1.64
200012,11.9,1.65
200101,21.1,1.29
200102,18.3,1.56
200103,29.6,0.39
200104,47.3,3.68
200105,56.6,5.19
200106,64.6,4.69
200107,70.2,1.25
200108,70.4,4.10
200109,58.0,2.62
200110,47.4,1.94
200111,43.3,1.98
200112,30.0,1.24
200201,26.0,0.74
200202,27.6,1.32
200203,27.1,2.04
200204,43.8,3.54
200205,49.7,3.18
200206,65.8,4.25
200207,72.9,1.91
200208,67.9,3.66
200209,62.7,2.85
200210,43.8,3.53
200211,33.6,0.53
200212,26.3,0.73
200301,16.0,0.58
200302,14.9,0.59
200303,30.0,2.09
200304,40.9,2.62
200305,52.2,3.49
200306,62.2,3.60
200307,68.0,4.61
200308,69.3,3.51
200309,59.8,3.63
200310,47.3,1.30
200311,35.9,4.28
200312,27.9,1.63
200401,12.3,1.35
200402,22.2,1.56
200403,35.0,3.70
200404,44.5,1.69
200405,52.2,8.63
200406,62.0,4.69
200407,66.6,2.21
200408,63.4,2.16
200409,63.8,0.76
200410,49.4,3.93
200411,38.9,2.06
200412,23.2,2.36
200501,17.0,1.86
200502,26.4,1.53
200503,27.5,1.17
200504,46.5,1.45
200505,52.5,2.31
200506,69.5,2.66
200507,70.2,2.23
200508,69.2,4.36
200509,64.0,3.13
200510,51.0,1.69
200511,36.3,3.61
200512,19.9,1.05
200601,30.2,2.00
200602,19.8,1.14
200603,32.6,1.39
200604,48.3,2.13
200605,55.9,6.30
200606,64.3,2.39
200607,72.4,3.38
200608,68.0,1.96
200609,57.8,3.38
200610,44.4,3.59
200611,39.0,1.47
200612,29.7,2.66
200701,23.3,0.93
200702,14.3,1.33
200703,35.2,2.79
200704,43.3,1.83
200705,58.0,2.47
200706,66.5,3.04
200707,68.8,3.00
200708,69.1,3.54
200709,62.1,2.70
200710,54.0,4.11
200711,34.6,0.23
200712,20.8,2.54
200801,17.6,2.85
200802,15.6,2.22
200803,26.9,1.56
200804,44.6,4.92
200805,52.1,1.67
200806,65.2,5.97
200807,69.4,4.50
200808,67.6,1.08
200809,61.2,1.76
200810,47.9,2.02
200811,34.8,1.45
200812,15.4,3.65
200901,8.6,0.67
200902,22.0,1.52
200903,30.2,2.23
200904,42.8,2.84
200905,54.5,3.36
200906,63.4,2.41
200907,64.8,1.34
200908,65.5,4.10
200909,61.1,1.60
200910,44.2,5.60
200911,41.6,1.31
200912,21.0,2.42
201001,18.9,0.66
201002,23.2,0.83
201003,37.0,0.53
201004,49.1,3.44
201005,57.6,2.68
201006,65.0,6.68
201007,71.7,9.07
201008,71.7,3.59
201009,57.9,4.75
201010,50.2,2.15
201011,37.2,1.26
201012,20.5,1.60
201101,15.0,1.20
201102,20.4,1.16
201103,28.6,2.81
201104,41.3,5.75
201105,52.8,2.74
201106,63.3,5.60
201107,73.4,4.17
201108,69.1,1.82
201109,57.8,4.26
201110,50.4,1.56
201111,38.8,3.61
201112,29.0,1.30
201201,23.6,1.24
201202,29.0,0.99
201203,45.4,2.53
201204,44.8,2.62
201205,59.2,4.42
201206,67.2,2.27
201207,74.8,5.31
201208,68.2,3.41
201209,58.6,1.10
201210,46.5,5.38
201211,36.3,0.99
201212,29.1,2.34
201301,19.5,2.42
201302,19.3,2.24
201303,26.2,2.00
201304,39.5,3.48
201305,54.7,3.68
201306,64.0,4.15
201307,69.1,3.23
201308,67.7,2.65
201309,60.2,2.62
201310,48.5,3.47
201311,33.9,3.94
201312,15.6,1.62
201401,8.8,1.22
201402,9.8,1.16
201403,22.4,0.96
201404,40.4,4.69
201405,54.3,3.56
201406,65.5,5.36
201407,66.0,1.61
201408,67.1,5.03
201409,58.7,4.40
201410,47.7,3.24
201411,28.6,2.57
201412,26.5,1.48
201501,17.5,0.58
201502,10.2,0.37
201503,32.1,0.76
201504,44.5,2.10
201505,56.6,4.06
201506,63.3,3.36
201507,68.8,1.85
201508,67.2,4.18
201509,65.3,5.75
201510,50.1,2.74
201511,41.2,3.03
201512,34.7,5.65
201601,19.4,1.44
201602,24.4,0.93
201603,36.6,4.13
201604,41.4,1.73
201605,55.7,2.75
201606,65.7,4.94
201607,70.3,4.22
201608,70.5,3.22
201609,64.1,4.69
201610,52.1,2.74
201611,43.3,2.17
201612,23.6,2.30
201701,22.6,2.67
201702,29.2,0.94
201703,31.0,2.49
201704,47.2,4.28
201705,53.2,3.33
201706,66.5,5.77
201707,69.5,3.65
201708,65.7,4.12
201709,63.1,1.60
201710,52.5,3.41
201711,34.8,1.31
201712,19.5,1.22
201801,19.5,1.27
201802,21.2,1.33
201803,31.1,0.88
201804,34.7,4.25
201805,60.7,4.78
201806,66.2,4.16
201807,70.5,3.47
201808,69.8,6.29
201809,62.1,4.53
201810,46.3,4.84
201811,30.7,1.54
201812,28.4,1.70
201901,16.1,2.25
201902,17.8,2.87
201903,27.7,1.57
201904,43.0,3.76
201905,52.0,4.88
201906,63.3,4.11
201907,71.6,3.86
201908,66.8,5.04
201909,62.8,8.62
201910,47.3,5.19
201911,30.9,2.76
201912,26.7,2.89
202001,25.8,1.55
