date,tavg,pcp
200001,18.8,5.04
200002,23.8,4.26
200003,25.3,3.04
200004,36.6,1.99
200005,42.8,3.83
200006,50.1,1.74
200007,58.5,0.71
200008,57.9,1.07
200009,46.4,1.34
200010,37.0,2.79
200011,16.7,1.98
200012,15.2,3.42
200101,14.4,1.02
200102,17.6,3.09
200103,27.6,1.94
200104,33.3,3.10
200105,43.9,2.09
200106,50.4,1.87
200107,58.6,1.08
200108,59.1,0.60
200109,50.5,1.11
200110,36.0,2.80
200111,29.0,3.12
200112,14.1,4.56
200201,14.8,3.56
200202,14.7,1.70
200203,21.8,3.78
200204,33.2,3.93
200205,40.7,2.12
200206,50.5,1.81
200207,60.2,1.18
200208,53.6,0.79
200209,47.3,2.98
200210,32.7,2.08
200211,22.3,2.77
200212,18.8,3.04
200301,23.5,4.59
200302,15.8,2.84
200303,27.4,4.77
200304,34.4,2.18
200305,43.0,2.14
200306,49.1,1.03
200307,61.5,0.43
200308,59.2,1.50
200309,46.2,1.41
200310,40.2,1.27
200311,18.1,4.69
200312,19.5,5.65
200401,15.5,3.92
200402,18.1,2.29
200403,30.7,1.33
200404,36.6,2.22
200405,40.6,4.36
200406,49.0,2.51
200407,56.4,1.62
200408,53.8,2.85
200409,46.1,2.65
200410,37.0,3.54
200411,24.7,1.11
200412,20.0,3.57
200501,21.0,2.64
200502,18.7,1.99
200503,26.3,2.59
200504,33.8,1.78
200505,41.6,4.34
200506,47.0,3.43
200507,58.2,0.83
200508,54.7,2.26
200509,45.8,2.08
200510,38.6,2.55
200511,24.3,5.27
200512,15.1,5.64
200601,18.9,5.97
200602,15.6,2.52
200603,22.6,3.09
200604,36.1,3.25
200605,43.8,2.13
200606,52.5,1.47
200607,60.9,0.90
200608,54.8,1.08
200609,46.4,1.73
200610,34.5,3.28
200611,24.8,3.89
200612,16.4,4.02
200701,10.4,2.60
200702,22.1,3.85
200703,30.9,1.14
200704,35.8,2.74
200705,43.9,0.83
200706,52.4,1.05
200707,63.4,1.21
200708,57.5,2.10
200709,48.1,1.90
200710,36.5,5.03
200711,26.3,3.40
200712,14.6,4.26
200801,11.7,5.36
200802,19.1,3.58
200803,20.2,5.14
200804,27.0,1.81
200805,40.0,3.59
200806,48.0,2.44
200807,57.8,0.53
200808,56.2,0.72
200809,46.6,1.08
200810,36.7,1.91
200811,28.7,3.82
200812,15.3,5.76
200901,17.7,4.51
200902,19.3,2.32
200903,24.2,4.78
200904,32.8,4.40
200905,42.6,2.46
200906,47.7,5.49
200907,55.6,1.13
200908,54.2,1.40
200909,51.6,0.59
200910,30.7,3.31
200911,25.6,1.33
200912,11.7,2.37
201001,18.3,3.26
201002,18.3,1.34
201003,27.2,2.41
201004,32.0,4.55
201005,36.0,3.23
201006,48.3,5.10
201007,56.0,0.80
201008,54.4,1.90
201009,48.6,1.09
201010,40.0,3.63
201011,22.5,5.26
201012,19.6,6.17
201101,16.4,3.67
201102,15.1,3.11
201103,25.4,5.85
201104,29.2,6.61
201105,37.8,5.60
201106,46.9,2.96
201107,57.0,0.85
201108,57.1,1.30
201109,50.1,0.63
201110,38.5,3.12
201111,21.4,4.26
201112,14.2,3.01
201201,18.7,4.74
201202,17.6,3.53
201203,30.0,3.81
201204,37.3,2.82
201205,41.6,3.05
201206,50.7,0.67
201207,60.1,1.65
201208,58.5,0.46
201209,49.8,1.17
201210,35.4,2.99
201211,28.3,3.10
201212,16.4,6.44
201301,12.8,2.33
201302,17.7,1.38
201303,24.1,3.17
201304,29.9,3.25
201305,43.0,2.78
201306,51.2,0.69
201307,59.4,1.39
201308,58.4,1.41
201309,48.8,4.11
201310,34.0,2.37
201311,25.2,2.72
201312,12.2,3.70
201401,17.2,3.30
201402,18.9,7.11
201403,26.8,6.96
201404,32.0,3.66
201405,43.5,1.78
201406,47.9,2.52
201407,58.4,1.08
201408,53.8,4.23
201409,48.6,3.05
201410,39.8,1.22
201411,22.6,5.24
201412,20.6,4.47
201501,20.2,3.05
201502,24.9,2.33
201503,30.8,1.26
201504,35.0,1.77
201505,43.3,4.58
201506,55.4,1.25
201507,55.0,2.20
201508,55.7,1.54
201509,50.0,2.59
201510,42.3,2.58
201511,21.5,3.35
201512,15.6,5.20
201601,18.7,3.38
201602,23.6,2.05
201603,27.3,4.22
201604,37.5,2.11
201605,42.4,2.83
201606,54.0,0.98
201607,56.8,0.85
201608,55.7,0.45
201609,48.0,3.22
201610,38.3,7.88
201611,30.8,1.98
201612,10.9,7.75
201701,11.6,5.09
201702,23.7,9.10
201703,32.5,4.84
201704,33.3,4.43
201705,42.8,1.23
201706,50.8,2.95
201707,59.9,1.25
201708,56.2,0.76
201709,47.2,4.79
201710,34.3,1.88
201711,26.9,6.80
201712,18.5,2.61
201801,21.3,4.02
201802,18.2,4.08
201803,24.8,4.42
201804,34.2,5.03
201805,45.9,3.92
201806,50.3,3.27
201807,59.0,0.48
201808,55.6,1.55
201809,49.3,0.16
201810,36.3,2.29
201811,22.2,4.19
201812,15.4,2.30
201901,16.5,3.21
201902,16.4,9.25
201903,23.7,1.90
201904,35.0,4.79
201905,40.2,2.75
201906,48.5,1.91
201907,57.6,1.21
201908,56.8,0.89
201909,47.6,4.25
201910,27.4,2.31
201911,26.2,1.69
201912,17.5,2.64
202001,19.6,5.40
