Bristol Bay Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.03,-0.02
200002,0.76,-0.16
200003,0.39,-0.64
200004,0.65,-0.32
200005,1.03,-0.27
200006,1.96,0.37
200007,3.14,0.77
200008,2.35,-1.10
200009,3.37,0.23
200010,2.20,-0.02
200011,2.26,0.80
200012,0.85,-0.47
200101,1.05,0.00
200102,1.87,0.95
200103,0.67,-0.36
200104,1.35,0.38
200105,0.69,-0.61
200106,0.24,-1.35
200107,3.56,1.19
200108,2.45,-1.00
200109,1.72,-1.42
200110,3.54,1.32
200111,0.20,-1.26
200112,1.06,-0.26
200201,2.39,1.34
200202,0.64,-0.28
200203,0.16,-0.87
200204,0.99,0.02
200205,0.77,-0.53
200206,1.44,-0.15
200207,2.46,0.09
200208,3.56,0.11
200209,4.13,0.99
200210,3.50,1.28
200211,1.67,0.21
200212,0.63,-0.69
200301,0.48,-0.57
200302,1.41,0.49
200303,0.17,-0.86
200304,0.97,0.00
200305,1.79,0.49
200306,2.25,0.66
200307,2.48,0.11
200308,4.60,1.15
200309,1.56,-1.58
200310,2.13,-0.09
200311,3.89,2.43
200312,0.82,-0.50
200401,0.28,-0.77
200402,0.57,-0.35
200403,0.44,-0.59
200404,1.47,0.50
200405,1.52,0.22
200406,2.46,0.87
200407,2.32,-0.05
200408,1.67,-1.78
200409,6.56,3.42
200410,3.14,0.92
200411,2.41,0.95
200412,2.22,0.90
200501,0.50,-0.55
200502,0.32,-0.60
200503,0.47,-0.56
200504,0.55,-0.42
200505,2.00,0.70
200506,1.40,-0.19
200507,3.10,0.73
200508,3.19,-0.26
200509,6.06,2.92
200510,1.38,-0.84
200511,1.24,-0.22
200512,1.90,0.58
200601,1.34,0.29
200602,1.29,0.37
200603,0.89,-0.14
200604,2.04,1.07
200605,1.00,-0.30
200606,2.25,0.66
200607,2.02,-0.35
200608,5.79,2.34
200609,3.71,0.57
200610,3.99,1.77
200611,0.41,-1.05
200612,1.16,-0.16
200701,0.99,-0.06
200702,0.20,-0.72
200703,0.39,-0.64
200704,0.69,-0.28
200705,1.34,0.04
200706,3.09,1.50
200707,1.84,-0.53
200708,1.68,-1.77
200709,6.20,3.06
200710,2.71,0.49
200711,1.23,-0.23
200712,1.62,0.30
200801,1.32,0.27
200802,0.39,-0.53
200803,0.78,-0.25
200804,1.08,0.11
200805,0.67,-0.63
200806,1.33,-0.26
200807,2.58,0.21
200808,1.70,-1.75
200809,3.49,0.35
200810,2.73,0.51
200811,0.79,-0.67
200812,1.67,0.35
200901,1.14,0.09
200902,1.23,0.31
200903,1.55,0.52
200904,0.66,-0.31
200905,1.13,-0.17
200906,2.07,0.48
200907,2.80,0.43
200908,1.75,-1.70
200909,2.35,-0.79
200910,1.78,-0.44
200911,1.05,-0.41
200912,0.37,-0.95
201001,0.50,-0.55
201002,0.46,-0.46
201003,0.43,-0.60
201004,1.14,0.17
201005,0.73,-0.57
201006,1.16,-0.43
201007,3.55,1.18
201008,4.49,1.04
201009,1.09,-2.05
201010,1.78,-0.44
201011,0.91,-0.55
201012,1.13,-0.19
201101,1.29,0.24
201102,0.68,-0.24
201103,0.12,-0.91
201104,1.12,0.15
201105,1.84,0.54
201106,2.85,1.26
201107,2.30,-0.07
201108,4.17,0.72
201109,2.33,-0.81
201110,3.23,1.01
201111,2.66,1.20
201112,1.68,0.36
201201,1.08,0.03
201202,1.11,0.19
201203,1.30,0.27
201204,0.55,-0.42
201205,1.62,0.32
201206,2.47,0.88
201207,4.70,2.33
201208,2.79,-0.66
201209,4.60,1.46
201210,1.81,-0.41
201211,1.55,0.09
201212,2.02,0.70
201301,2.38,1.33
201302,1.88,0.96
201303,1.48,0.45
201304,0.19,-0.78
201305,0.36,-0.94
201306,1.09,-0.50
201307,1.44,-0.93
201308,5.45,2.00
201309,2.21,-0.93
201310,4.72,2.50
201311,2.66,1.20
201312,1.14,-0.18
201401,1.79,0.74
201402,0.08,-0.84
201403,0.79,-0.24
201404,0.52,-0.45
201405,2.19,0.89
201406,3.24,1.65
201407,2.43,0.06
201408,3.63,0.18
201409,3.36,0.22
201410,0.41,-1.81
201411,2.38,0.92
201412,1.98,0.66
201501,0.51,-0.54
201502,0.28,-0.64
201503,0.97,-0.06
201504,2.15,1.18
201505,3.25,1.95
201506,0.87,-0.72
201507,3.12,0.75
201508,1.83,-1.62
201509,3.65,0.51
201510,1.67,-0.55
201511,4.76,3.30
201512,1.79,0.47
201601,0.49,-0.56
201602,0.98,0.06
201603,2.00,0.97
201604,0.85,-0.12
201605,3.12,1.82
201606,2.31,0.72
201607,3.55,1.18
201608,4.98,1.53
201609,4.91,1.77
201610,1.15,-1.07
201611,1.01,-0.45
201612,0.88,-0.44
201701,0.21,-0.84
201702,1.03,0.11
201703,0.05,-0.98
201704,0.73,-0.24
201705,1.08,-0.22
201706,2.31,0.72
201707,2.05,-0.32
201708,3.51,0.06
201709,4.09,0.95
201710,3.43,1.21
201711,1.15,-0.31
201712,1.87,0.55
201801,1.42,0.37
201802,2.18,1.26
201803,1.22,0.19
201804,1.97,1.00
201805,2.07,0.77
201806,3.08,1.49
201807,3.17,0.80
201808,5.64,2.19
201809,3.16,0.02
201810,3.98,1.76
201811,1.08,-0.38
201812,1.41,0.09
201901,0.91,-0.14
201902,2.24,1.32
201903,1.50,0.47
201904,1.24,0.27
201905,1.85,0.55
201906,1.00,-0.59
201907,1.99,-0.38
201908,0.68,-2.77
201909,6.22,3.08
201910,3.05,0.83
201911,2.98,1.52
201912,1.70,0.38
202001,0.37,-0.68
