Coconino County, Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.62,-0.59
200002,0.98,-0.26
200003,2.11,0.80
200004,0.22,-0.60
200005,0.05,-0.46
200006,0.51,0.14
200007,0.40,-1.32
200008,2.22,0.19
200009,0.24,-0.99
200010,3.28,2.29
200011,0.60,-0.32
200012,0.23,-1.00
200101,1.66,0.45
200102,1.09,-0.15
200103,1.30,-0.01
200104,0.88,0.06
200105,0.40,-0.11
200106,0.31,-0.06
200107,1.57,-0.15
200108,2.34,0.31
200109,0.34,-0.89
200110,0.48,-0.51
200111,0.43,-0.49
200112,1.04,-0.19
200201,0.18,-1.03
200202,0.04,-1.20
200203,0.38,-0.93
200204,0.23,-0.59
200205,0.01,-0.50
200206,0.01,-0.36
200207,1.00,-0.72
200208,0.58,-1.45
200209,2.59,1.36
200210,0.85,-0.14
200211,0.90,-0.02
200212,0.83,-0.40
200301,0.29,-0.92
200302,2.07,0.83
200303,1.30,-0.01
200304,0.48,-0.34
200305,0.23,-0.28
200306,0.06,-0.31
200307,1.02,-0.70
200308,2.16,0.13
200309,1.05,-0.18
200310,0.51,-0.48
200311,1.42,0.50
200312,0.67,-0.56
200401,0.62,-0.59
200402,1.23,-0.01
200403,0.26,-1.05
200404,1.32,0.50
200405,0.01,-0.50
200406,0.10,-0.27
200407,1.22,-0.50
200408,2.04,0.01
200409,2.33,1.10
200410,2.72,1.73
200411,2.28,1.36
200412,1.72,0.49
200501,3.59,2.38
200502,3.13,1.89
200503,1.18,-0.13
200504,1.32,0.50
200505,0.30,-0.21
200506,0.63,0.26
200507,0.97,-0.75
200508,2.48,0.45
200509,0.33,-0.90
200510,1.11,0.12
200511,0.08,-0.84
200512,0.04,-1.19
200601,0.21,-1.00
200602,0.07,-1.17
200603,1.92,0.61
200604,0.55,-0.27
200605,0.06,-0.45
200606,0.41,0.04
200607,2.15,0.43
200608,2.02,-0.01
200609,1.33,0.10
200610,1.80,0.81
200611,0.13,-0.79
200612,0.58,-0.65
200701,0.57,-0.64
200702,0.60,-0.64
200703,0.84,-0.47
200704,0.34,-0.48
200705,0.48,-0.03
200706,0.02,-0.35
200707,2.28,0.56
200708,2.16,0.13
200709,1.15,-0.08
200710,0.24,-0.75
200711,0.48,-0.44
200712,2.45,1.22
200801,2.46,1.25
200802,1.91,0.67
200803,0.11,-1.20
200804,0.01,-0.81
200805,0.76,0.25
200806,0.14,-0.23
200807,1.61,-0.11
200808,2.23,0.20
200809,0.43,-0.80
200810,0.22,-0.77
200811,0.93,0.01
200812,2.29,1.06
200901,0.56,-0.65
200902,1.08,-0.16
200903,0.11,-1.20
200904,0.33,-0.49
200905,1.40,0.89
200906,0.39,0.02
200907,0.86,-0.86
200908,0.42,-1.61
200909,0.57,-0.66
200910,0.11,-0.88
200911,0.18,-0.74
200912,1.77,0.54
201001,2.85,1.64
201002,1.70,0.46
201003,1.14,-0.17
201004,0.33,-0.49
201005,0.06,-0.45
201006,0.10,-0.27
201007,1.98,0.26
201008,1.89,-0.14
201009,0.41,-0.82
201010,2.53,1.54
201011,0.48,-0.44
201012,2.03,0.80
201101,0.06,-1.15
201102,1.39,0.15
201103,0.60,-0.71
201104,0.46,-0.36
201105,0.50,-0.01
201106,0.00,-0.37
201107,1.65,-0.07
201108,1.06,-0.97
201109,1.89,0.66
201110,0.94,-0.05
201111,1.07,0.15
201112,1.10,-0.13
201201,0.39,-0.82
201202,0.62,-0.62
201203,1.04,-0.27
201204,0.50,-0.32
201205,0.03,-0.48
201206,0.04,-0.33
201207,2.69,0.97
201208,2.33,0.30
201209,0.96,-0.27
201210,0.44,-0.55
201211,0.19,-0.73
201212,1.55,0.32
201301,1.56,0.35
201302,0.44,-0.80
201303,0.66,-0.65
201304,0.21,-0.61
201305,0.12,-0.39
201306,0.01,-0.36
201307,3.31,1.59
201308,3.30,1.27
201309,2.41,1.18
201310,0.34,-0.65
201311,1.65,0.73
201312,0.55,-0.68
201401,0.10,-1.11
201402,0.33,-0.91
201403,0.74,-0.57
201404,0.51,-0.31
201405,0.18,-0.33
201406,0.01,-0.36
201407,1.60,-0.12
201408,2.81,0.78
201409,2.07,0.84
201410,0.18,-0.81
201411,0.10,-0.82
201412,1.51,0.28
201501,1.48,0.27
201502,1.14,-0.10
201503,1.48,0.17
201504,0.44,-0.38
201505,1.59,1.08
201506,1.21,0.84
201507,1.81,0.09
201508,2.87,0.84
201509,1.00,-0.23
201510,2.52,1.53
201511,0.91,-0.01
201512,0.61,-0.62
201601,1.31,0.10
201602,0.37,-0.87
201603,0.21,-1.10
201604,0.86,0.04
201605,0.99,0.48
201606,0.42,0.05
201607,1.48,-0.24
201608,3.08,1.05
201609,1.61,0.38
201610,0.45,-0.54
201611,1.12,0.20
201612,2.33,1.10
201701,2.74,1.53
201702,1.52,0.28
201703,0.79,-0.52
201704,0.32,-0.50
201705,0.72,0.21
201706,0.04,-0.33
201707,2.74,1.02
201708,1.68,-0.35
201709,0.77,-0.46
201710,0.01,-0.98
201711,0.03,-0.89
201712,0.01,-1.22
201801,0.69,-0.52
201802,0.95,-0.29
201803,0.80,-0.51
201804,0.09,-0.73
201805,0.35,-0.16
201806,0.18,-0.19
201807,2.70,0.98
201808,2.45,0.42
201809,0.49,-0.74
201810,2.71,1.72
201811,0.40,-0.52
201812,0.51,-0.72
201901,1.67,0.46
201902,3.45,2.21
201903,1.38,0.07
201904,0.41,-0.41
201905,1.88,1.37
201906,0.07,-0.30
201907,0.72,-1.00
201908,0.45,-1.58
201909,0.53,-0.70
201910,0.03,-0.96
201911,2.52,1.60
201912,1.54,0.31
202001,0.25,-0.96
