Alameda County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.94,1.97
200002,7.24,3.90
200003,1.92,-0.95
200004,1.09,-0.25
200005,1.00,0.42
200006,0.25,0.11
200007,0.00,-0.01
200008,0.02,-0.01
200009,0.22,0.00
200010,2.64,1.72
200011,0.73,-1.38
200012,0.64,-2.58
200101,2.93,-1.04
200102,4.70,1.36
200103,1.64,-1.23
200104,1.74,0.40
200105,0.00,-0.58
200106,0.14,0.00
200107,0.00,-0.01
200108,0.01,-0.02
200109,0.15,-0.07
200110,0.40,-0.52
200111,3.42,1.31
200112,7.14,3.92
200201,1.31,-2.66
200202,1.28,-2.06
200203,2.51,-0.36
200204,0.28,-1.06
200205,0.85,0.27
200206,0.00,-0.14
200207,0.00,-0.01
200208,0.01,-0.02
200209,0.00,-0.22
200210,0.01,-0.91
200211,2.78,0.67
200212,9.31,6.09
200301,0.99,-2.98
200302,1.65,-1.69
200303,1.49,-1.38
200304,3.63,2.29
200305,0.93,0.35
200306,0.00,-0.14
200307,0.00,-0.01
200308,0.10,0.07
200309,0.01,-0.21
200310,0.04,-0.88
200311,2.04,-0.07
200312,5.55,2.33
200401,2.48,-1.49
200402,4.77,1.43
200403,0.64,-2.23
200404,0.19,-1.15
200405,0.10,-0.48
200406,0.00,-0.14
200407,0.00,-0.01
200408,0.01,-0.02
200409,0.29,0.07
200410,3.25,2.33
200411,1.46,-0.65
200412,5.16,1.94
200501,3.72,-0.25
200502,4.01,0.67
200503,4.06,1.19
200504,1.85,0.51
200505,1.40,0.82
200506,0.35,0.21
200507,0.01,0.00
200508,0.00,-0.03
200509,0.12,-0.10
200510,0.22,-0.70
200511,1.05,-1.06
200512,7.73,4.51
200601,3.14,-0.83
200602,1.80,-1.54
200603,6.79,3.92
200604,4.00,2.66
200605,0.62,0.04
200606,0.00,-0.14
200607,0.00,-0.01
200608,0.00,-0.03
200609,0.00,-0.22
200610,0.36,-0.56
200611,1.83,-0.28
200612,2.81,-0.41
200701,0.67,-3.30
200702,4.29,0.95
200703,0.36,-2.51
200704,1.04,-0.30
200705,0.21,-0.37
200706,0.00,-0.14
200707,0.02,0.01
200708,0.00,-0.03
200709,0.22,0.00
200710,1.55,0.63
200711,0.73,-1.38
200712,2.48,-0.74
200801,6.93,2.96
200802,2.35,-0.99
200803,0.20,-2.67
200804,0.10,-1.24
200805,0.01,-0.57
200806,0.00,-0.14
200807,0.00,-0.01
200808,0.00,-0.03
200809,0.00,-0.22
200810,0.37,-0.55
200811,2.00,-0.11
200812,2.22,-1.00
200901,1.31,-2.66
200902,5.51,2.17
200903,2.53,-0.34
200904,0.47,-0.87
200905,0.67,0.09
200906,0.08,-0.06
200907,0.00,-0.01
200908,0.01,-0.02
200909,0.27,0.05
200910,3.49,2.57
200911,0.40,-1.71
200912,2.58,-0.64
201001,5.38,1.41
201002,2.73,-0.61
201003,2.20,-0.67
201004,3.12,1.78
201005,0.72,0.14
201006,0.01,-0.13
201007,0.00,-0.01
201008,0.00,-0.03
201009,0.01,-0.21
201010,1.07,0.15
201011,2.52,0.41
201012,5.41,2.19
201101,1.04,-2.93
201102,3.47,0.13
201103,5.65,2.78
201104,0.26,-1.08
201105,0.81,0.23
201106,0.71,0.57
201107,0.01,0.00
201108,0.00,-0.03
201109,0.00,-0.22
201110,1.32,0.40
201111,1.15,-0.96
201112,0.11,-3.11
201201,2.08,-1.89
201202,0.84,-2.50
201203,4.40,1.53
201204,2.73,1.39
201205,0.03,-0.55
201206,0.14,0.00
201207,0.01,0.00
201208,0.00,-0.03
201209,0.00,-0.22
201210,0.79,-0.13
201211,3.95,1.84
201212,5.81,2.59
201301,0.81,-3.16
201302,0.47,-2.87
201303,0.63,-2.24
201304,0.69,-0.65
201305,0.07,-0.51
201306,0.12,-0.02
201307,0.00,-0.01
201308,0.00,-0.03
201309,0.54,0.32
201310,0.01,-0.91
201311,1.31,-0.80
201312,0.43,-2.79
201401,0.11,-3.86
201402,3.83,0.49
201403,2.02,-0.85
201404,1.36,0.02
201405,0.02,-0.56
201406,0.01,-0.13
201407,0.01,0.00
201408,0.01,-0.02
201409,0.39,0.17
201410,0.47,-0.45
201411,1.75,-0.36
201412,9.90,6.68
201501,0.01,-3.96
201502,2.25,-1.09
201503,0.26,-2.61
201504,1.15,-0.19
201505,0.37,-0.21
201506,0.27,0.13
201507,0.01,0.00
201508,0.02,-0.01
201509,0.04,-0.18
201510,0.08,-0.84
201511,2.41,0.30
201512,3.52,0.30
201601,5.65,1.68
201602,0.84,-2.50
201603,5.25,2.38
201604,1.94,0.60
201605,0.24,-0.34
201606,0.00,-0.14
201607,0.00,-0.01
201608,0.00,-0.03
201609,0.00,-0.22
201610,3.65,2.73
201611,1.48,-0.63
201612,3.50,0.28
201701,9.38,5.41
201702,7.41,4.07
201703,2.65,-0.22
201704,2.50,1.16
201705,0.03,-0.55
201706,0.04,-0.10
201707,0.00,-0.01
201708,0.01,-0.02
201709,0.06,-0.16
201710,0.21,-0.71
201711,2.58,0.47
201712,0.10,-3.12
201801,4.28,0.31
201802,0.57,-2.77
201803,4.39,1.52
201804,2.44,1.10
201805,0.02,-0.56
201806,0.00,-0.14
201807,0.00,-0.01
201808,0.00,-0.03
201809,0.00,-0.22
201810,0.14,-0.78
201811,2.71,0.60
201812,2.02,-1.20
201901,3.73,-0.24
201902,6.83,3.49
201903,4.11,1.24
201904,0.47,-0.87
201905,2.25,1.67
201906,0.00,-0.14
201907,0.00,-0.01
201908,0.00,-0.03
201909,0.19,-0.03
201910,0.00,-0.92
201911,1.09,-1.02
201912,3.51,0.29
202001,1.45,-2.52
