San Joaquin County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.57,1.64
200002,6.26,3.74
200003,1.02,-1.18
200004,1.21,0.14
200005,0.81,0.30
200006,0.09,-0.02
200007,0.00,-0.01
200008,0.01,-0.01
200009,0.10,-0.09
200010,2.57,1.88
200011,0.53,-0.99
200012,0.40,-1.88
200101,2.87,-0.06
200102,2.77,0.25
200103,1.66,-0.54
200104,1.48,0.41
200105,0.00,-0.51
200106,0.07,-0.04
200107,0.00,-0.01
200108,0.00,-0.02
200109,0.22,0.03
200110,0.33,-0.36
200111,2.30,0.78
200112,5.27,2.99
200201,1.59,-1.34
200202,0.91,-1.61
200203,2.06,-0.14
200204,0.18,-0.89
200205,0.55,0.04
200206,0.00,-0.11
200207,0.00,-0.01
200208,0.00,-0.02
200209,0.00,-0.19
200210,0.00,-0.69
200211,2.16,0.64
200212,5.62,3.34
200301,0.56,-2.37
200302,1.12,-1.40
200303,1.59,-0.61
200304,2.43,1.36
200305,0.53,0.02
200306,0.00,-0.11
200307,0.00,-0.01
200308,0.13,0.11
200309,0.00,-0.19
200310,0.02,-0.67
200311,1.61,0.09
200312,3.83,1.55
200401,1.90,-1.03
200402,3.67,1.15
200403,0.61,-1.59
200404,0.21,-0.86
200405,0.15,-0.36
200406,0.00,-0.11
200407,0.00,-0.01
200408,0.00,-0.02
200409,0.29,0.10
200410,2.55,1.86
200411,1.95,0.43
200412,3.29,1.01
200501,3.36,0.43
200502,2.51,-0.01
200503,2.85,0.65
200504,1.38,0.31
200505,0.94,0.43
200506,0.31,0.20
200507,0.00,-0.01
200508,0.00,-0.02
200509,0.13,-0.06
200510,0.11,-0.58
200511,0.49,-1.03
200512,5.80,3.52
200601,3.07,0.14
200602,1.16,-1.36
200603,4.01,1.81
200604,3.26,2.19
200605,0.74,0.23
200606,0.00,-0.11
200607,0.01,0.00
200608,0.00,-0.02
200609,0.00,-0.19
200610,0.29,-0.40
200611,1.18,-0.34
200612,1.92,-0.36
200701,0.43,-2.50
200702,2.80,0.28
200703,0.37,-1.83
200704,1.34,0.27
200705,0.12,-0.39
200706,0.00,-0.11
200707,0.03,0.02
200708,0.00,-0.02
200709,0.16,-0.03
200710,0.77,0.08
200711,0.65,-0.87
200712,2.19,-0.09
200801,5.40,2.47
200802,1.39,-1.13
200803,0.09,-2.11
200804,0.03,-1.04
200805,0.04,-0.47
200806,0.00,-0.11
200807,0.00,-0.01
200808,0.00,-0.02
200809,0.00,-0.19
200810,0.37,-0.32
200811,1.17,-0.35
200812,1.56,-0.72
200901,1.49,-1.44
200902,3.52,1.00
200903,1.40,-0.80
200904,0.54,-0.53
200905,0.55,0.04
200906,0.14,0.03
200907,0.00,-0.01
200908,0.00,-0.02
200909,0.19,0.00
200910,1.66,0.97
200911,0.30,-1.22
200912,1.91,-0.37
201001,3.38,0.45
201002,2.61,0.09
201003,1.64,-0.56
201004,2.46,1.39
201005,0.56,0.05
201006,0.01,-0.10
201007,0.00,-0.01
201008,0.00,-0.02
201009,0.00,-0.19
201010,1.27,0.58
201011,2.45,0.93
201012,4.58,2.30
201101,1.02,-1.91
201102,2.79,0.27
201103,4.04,1.84
201104,0.20,-0.87
201105,0.86,0.35
201106,0.61,0.50
201107,0.00,-0.01
201108,0.00,-0.02
201109,0.01,-0.18
201110,1.01,0.32
201111,0.91,-0.61
201112,0.16,-2.12
201201,1.69,-1.24
201202,0.67,-1.85
201203,2.84,0.64
201204,2.28,1.21
201205,0.05,-0.46
201206,0.08,-0.03
201207,0.01,0.00
201208,0.00,-0.02
201209,0.01,-0.18
201210,0.43,-0.26
201211,2.90,1.38
201212,4.72,2.44
201301,1.20,-1.73
201302,0.27,-2.25
201303,0.90,-1.30
201304,0.57,-0.50
201305,0.06,-0.45
201306,0.12,0.01
201307,0.00,-0.01
201308,0.00,-0.02
201309,0.44,0.25
201310,0.01,-0.68
201311,1.11,-0.41
201312,0.38,-1.90
201401,0.21,-2.72
201402,2.97,0.45
201403,1.89,-0.31
201404,1.13,0.06
201405,0.01,-0.50
201406,0.01,-0.10
201407,0.00,-0.01
201408,0.00,-0.02
201409,0.42,0.23
201410,0.41,-0.28
201411,1.18,-0.34
201412,6.17,3.89
201501,0.01,-2.92
201502,1.68,-0.84
201503,0.25,-1.95
201504,1.04,-0.03
201505,0.15,-0.36
201506,0.10,-0.01
201507,0.01,0.00
201508,0.04,0.02
201509,0.01,-0.18
201510,0.22,-0.47
201511,1.96,0.44
201512,2.22,-0.06
201601,4.86,1.93
201602,0.68,-1.84
201603,3.75,1.55
201604,2.15,1.08
201605,0.29,-0.22
201606,0.00,-0.11
201607,0.00,-0.01
201608,0.00,-0.02
201609,0.00,-0.19
201610,2.86,2.17
201611,1.43,-0.09
201612,2.31,0.03
201701,7.40,4.47
201702,5.52,3.00
201703,2.01,-0.19
201704,2.15,1.08
201705,0.08,-0.43
201706,0.06,-0.05
201707,0.00,-0.01
201708,0.02,0.00
201709,0.01,-0.18
201710,0.14,-0.55
201711,1.58,0.06
201712,0.11,-2.17
201801,3.12,0.19
201802,0.62,-1.90
201803,3.01,0.81
201804,2.13,1.06
201805,0.15,-0.36
201806,0.00,-0.11
201807,0.00,-0.01
201808,0.00,-0.02
201809,0.00,-0.19
201810,0.59,-0.10
201811,2.51,0.99
201812,2.22,-0.06
201901,2.73,-0.20
201902,5.05,2.53
201903,2.90,0.70
201904,0.59,-0.48
201905,2.15,1.64
201906,0.00,-0.11
201907,0.00,-0.01
201908,0.00,-0.02
201909,0.22,0.03
201910,0.00,-0.69
201911,0.71,-0.81
201912,3.25,0.97
202001,1.01,-1.92
