Clear Creek County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.28,0.75
200002,1.88,0.16
200003,2.97,0.38
200004,3.03,-0.49
200005,1.99,-0.90
200006,1.61,-0.12
200007,2.24,-0.43
200008,3.51,1.09
200009,2.14,0.40
200010,0.69,-1.16
200011,1.31,-0.34
200012,1.90,0.17
200101,0.85,-0.68
200102,1.78,0.06
200103,2.93,0.34
200104,2.96,-0.56
200105,2.99,0.10
200106,1.02,-0.71
200107,3.55,0.88
200108,2.65,0.23
200109,1.76,0.02
200110,0.81,-1.04
200111,1.51,-0.14
200112,1.09,-0.64
200201,1.44,-0.09
200202,1.05,-0.67
200203,1.54,-1.05
200204,0.69,-2.83
200205,1.96,-0.93
200206,0.74,-0.99
200207,1.47,-1.20
200208,1.89,-0.53
200209,2.69,0.95
200210,2.26,0.41
200211,1.91,0.26
200212,0.51,-1.22
200301,0.80,-0.73
200302,2.61,0.89
200303,6.72,4.13
200304,3.12,-0.40
200305,1.87,-1.02
200306,2.23,0.50
200307,1.48,-1.19
200308,3.51,1.09
200309,1.69,-0.05
200310,0.48,-1.37
200311,1.73,0.08
200312,1.20,-0.53
200401,1.34,-0.19
200402,2.12,0.40
200403,1.40,-1.19
200404,4.66,1.14
200405,1.16,-1.73
200406,3.12,1.39
200407,3.05,0.38
200408,2.42,0.00
200409,2.05,0.31
200410,2.46,0.61
200411,2.46,0.81
200412,1.02,-0.71
200501,2.39,0.86
200502,0.88,-0.84
200503,2.34,-0.25
200504,4.14,0.62
200505,1.46,-1.43
200506,2.66,0.93
200507,0.86,-1.81
200508,2.80,0.38
200509,1.49,-0.25
200510,2.57,0.72
200511,2.31,0.66
200512,2.28,0.55
200601,1.66,0.13
200602,1.30,-0.42
200603,2.57,-0.02
200604,1.61,-1.91
200605,1.68,-1.21
200606,0.38,-1.35
200607,4.55,1.88
200608,2.54,0.12
200609,2.31,0.57
200610,3.65,1.80
200611,1.53,-0.12
200612,3.41,1.68
200701,2.04,0.51
200702,1.91,0.19
200703,2.61,0.02
200704,4.16,0.64
200705,2.92,0.03
200706,0.75,-0.98
200707,2.30,-0.37
200708,3.24,0.82
200709,1.57,-0.17
200710,1.78,-0.07
200711,0.60,-1.05
200712,3.56,1.83
200801,1.93,0.40
200802,2.64,0.92
200803,2.68,0.09
200804,2.27,-1.25
200805,3.29,0.40
200806,0.69,-1.04
200807,1.75,-0.92
200808,3.82,1.40
200809,1.96,0.22
200810,1.55,-0.30
200811,1.22,-0.43
200812,2.39,0.66
200901,1.78,0.25
200902,1.11,-0.61
200903,2.01,-0.58
200904,5.23,1.71
200905,3.12,0.23
200906,2.81,1.08
200907,2.69,0.02
200908,0.77,-1.65
200909,1.82,0.08
200910,2.89,1.04
200911,1.03,-0.62
200912,1.36,-0.37
201001,0.85,-0.68
201002,1.77,0.05
201003,2.74,0.15
201004,3.72,0.20
201005,2.54,-0.35
201006,2.86,1.13
201007,2.98,0.31
201008,2.49,0.07
201009,0.59,-1.15
201010,2.65,0.80
201011,1.56,-0.09
201012,1.97,0.24
201101,1.85,0.32
201102,2.32,0.60
201103,2.67,0.08
201104,3.96,0.44
201105,3.77,0.88
201106,1.25,-0.48
201107,4.41,1.74
201108,1.94,-0.48
201109,1.73,-0.01
201110,2.80,0.95
201111,1.21,-0.44
201112,1.65,-0.08
201201,1.59,0.06
201202,2.93,1.21
201203,0.50,-2.09
201204,2.15,-1.37
201205,2.14,-0.75
201206,0.50,-1.23
201207,4.82,2.15
201208,1.83,-0.59
201209,1.82,0.08
201210,1.24,-0.61
201211,0.44,-1.21
201212,1.77,0.04
201301,0.85,-0.68
201302,2.00,0.28
201303,2.65,0.06
201304,4.32,0.80
201305,3.90,1.01
201306,0.43,-1.30
201307,3.33,0.66
201308,3.45,1.03
201309,6.18,4.44
201310,1.76,-0.09
201311,1.27,-0.38
201312,1.68,-0.05
201401,3.40,1.87
201402,2.56,0.84
201403,3.05,0.46
201404,2.56,-0.96
201405,4.32,1.43
201406,0.71,-1.02
201407,3.76,1.09
201408,2.56,0.14
201409,2.64,0.90
201410,1.31,-0.54
201411,2.26,0.61
201412,2.39,0.66
201501,1.10,-0.43
201502,3.53,1.81
201503,1.49,-1.10
201504,4.37,0.85
201505,5.90,3.01
201506,2.23,0.50
201507,3.27,0.60
201508,1.21,-1.21
201509,0.52,-1.22
201510,2.51,0.66
201511,2.93,1.28
201512,2.06,0.33
201601,1.30,-0.23
201602,1.99,0.27
201603,3.51,0.92
201604,4.32,0.80
201605,2.16,-0.73
201606,1.58,-0.15
201607,1.34,-1.33
201608,2.54,0.12
201609,0.65,-1.09
201610,0.75,-1.10
201611,1.09,-0.56
201612,3.11,1.38
201701,3.64,2.11
201702,1.52,-0.20
201703,2.04,-0.55
201704,3.36,-0.16
201705,4.58,1.69
201706,0.50,-1.23
201707,3.01,0.34
201708,2.40,-0.02
201709,2.20,0.46
201710,2.38,0.53
201711,1.24,-0.41
201712,1.61,-0.12
201801,1.52,-0.01
201802,2.00,0.28
201803,2.20,-0.39
201804,2.95,-0.57
201805,2.34,-0.55
201806,0.92,-0.81
201807,1.77,-0.90
201808,1.07,-1.35
201809,1.07,-0.67
201810,2.23,0.38
201811,2.08,0.43
201812,0.75,-0.98
201901,2.54,1.01
201902,1.76,0.04
201903,4.57,1.98
201904,3.09,-0.43
201905,3.62,0.73
201906,1.88,0.15
201907,1.60,-1.07
201908,1.45,-0.97
201909,0.98,-0.76
201910,2.41,0.56
201911,1.62,-0.03
201912,1.67,-0.06
202001,0.96,-0.57
