Rio Blanco County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.01,0.38
200002,1.94,0.41
200003,2.16,0.27
200004,1.30,-0.63
200005,1.42,-0.25
200006,0.85,-0.24
200007,0.57,-0.73
200008,1.71,0.17
200009,1.91,0.36
200010,0.90,-0.82
200011,1.47,0.04
200012,1.36,-0.22
200101,0.93,-0.70
200102,1.82,0.29
200103,1.39,-0.50
200104,2.12,0.19
200105,1.98,0.31
200106,0.49,-0.60
200107,1.34,0.04
200108,1.78,0.24
200109,0.81,-0.74
200110,1.52,-0.20
200111,1.74,0.31
200112,1.05,-0.53
200201,0.99,-0.64
200202,0.60,-0.93
200203,1.70,-0.19
200204,0.88,-1.05
200205,0.22,-1.45
200206,0.26,-0.83
200207,0.92,-0.38
200208,0.92,-0.62
200209,1.88,0.33
200210,1.99,0.27
200211,1.39,-0.04
200212,1.03,-0.55
200301,0.97,-0.66
200302,2.25,0.72
200303,1.74,-0.15
200304,1.39,-0.54
200305,2.00,0.33
200306,1.17,0.08
200307,0.23,-1.07
200308,0.96,-0.58
200309,1.48,-0.07
200310,0.27,-1.45
200311,2.54,1.11
200312,1.89,0.31
200401,0.90,-0.73
200402,1.32,-0.21
200403,0.66,-1.23
200404,2.73,0.80
200405,0.96,-0.71
200406,0.70,-0.39
200407,0.76,-0.54
200408,0.96,-0.58
200409,2.56,1.01
200410,2.33,0.61
200411,2.06,0.63
200412,0.76,-0.82
200501,2.46,0.83
200502,1.78,0.25
200503,2.03,0.14
200504,1.63,-0.30
200505,1.62,-0.05
200506,3.37,2.28
200507,0.67,-0.63
200508,1.79,0.25
200509,1.94,0.39
200510,2.34,0.62
200511,1.72,0.29
200512,1.56,-0.02
200601,1.83,0.20
200602,0.85,-0.68
200603,2.51,0.62
200604,1.20,-0.73
200605,0.54,-1.13
200606,0.29,-0.80
200607,1.47,0.17
200608,2.04,0.50
200609,2.69,1.14
200610,4.36,2.64
200611,1.27,-0.16
200612,0.91,-0.67
200701,1.22,-0.41
200702,1.71,0.18
200703,1.34,-0.55
200704,0.99,-0.94
200705,1.34,-0.33
200706,0.40,-0.69
200707,0.79,-0.51
200708,2.15,0.61
200709,3.26,1.71
200710,2.17,0.45
200711,0.45,-0.98
200712,4.04,2.46
200801,2.28,0.65
200802,1.62,0.09
200803,1.60,-0.29
200804,1.66,-0.27
200805,2.18,0.51
200806,0.93,-0.16
200807,0.51,-0.79
200808,1.09,-0.45
200809,1.62,0.07
200810,0.79,-0.93
200811,1.60,0.17
200812,2.02,0.44
200901,2.28,0.65
200902,0.93,-0.60
200903,1.64,-0.25
200904,2.01,0.08
200905,1.98,0.31
200906,2.69,1.60
200907,0.82,-0.48
200908,0.36,-1.18
200909,1.51,-0.04
200910,1.34,-0.38
200911,0.97,-0.46
200912,2.08,0.50
201001,0.93,-0.70
201002,1.43,-0.10
201003,1.48,-0.41
201004,2.89,0.96
201005,1.74,0.07
201006,1.05,-0.04
201007,1.03,-0.27
201008,1.74,0.20
201009,0.64,-0.91
201010,2.21,0.49
201011,1.99,0.56
201012,2.92,1.34
201101,0.89,-0.74
201102,1.70,0.17
201103,2.27,0.38
201104,2.98,1.05
201105,3.08,1.41
201106,0.74,-0.35
201107,2.51,1.21
201108,1.33,-0.21
201109,1.57,0.02
201110,1.82,0.10
201111,1.37,-0.06
201112,0.32,-1.26
201201,0.92,-0.71
201202,2.06,0.53
201203,0.52,-1.37
201204,1.37,-0.56
201205,0.41,-1.26
201206,0.01,-1.08
201207,1.42,0.12
201208,0.97,-0.57
201209,0.84,-0.71
201210,0.84,-0.88
201211,0.59,-0.84
201212,2.62,1.04
201301,1.36,-0.27
201302,0.80,-0.73
201303,1.05,-0.84
201304,2.75,0.82
201305,1.80,0.13
201306,0.02,-1.07
201307,1.43,0.13
201308,1.19,-0.35
201309,3.28,1.73
201310,3.34,1.62
201311,1.34,-0.09
201312,1.51,-0.07
201401,2.10,0.47
201402,1.29,-0.24
201403,1.83,-0.06
201404,1.55,-0.38
201405,2.16,0.49
201406,0.30,-0.79
201407,1.02,-0.28
201408,3.78,2.24
201409,2.46,0.91
201410,1.49,-0.23
201411,1.70,0.27
201412,1.88,0.30
201501,0.74,-0.89
201502,0.88,-0.65
201503,1.27,-0.62
201504,2.06,0.13
201505,4.30,2.63
201506,0.88,-0.21
201507,1.72,0.42
201508,1.02,-0.52
201509,1.03,-0.52
201510,1.59,-0.13
201511,2.41,0.98
201512,2.69,1.11
201601,1.84,0.21
201602,0.89,-0.64
201603,1.75,-0.14
201604,2.63,0.70
201605,2.99,1.32
201606,0.33,-0.76
201607,1.19,-0.11
201608,0.86,-0.68
201609,1.47,-0.08
201610,1.04,-0.68
201611,1.35,-0.08
201612,2.04,0.46
201701,2.75,1.12
201702,1.64,0.11
201703,0.98,-0.91
201704,1.76,-0.17
201705,1.49,-0.18
201706,0.40,-0.69
201707,2.00,0.70
201708,0.92,-0.62
201709,1.47,-0.08
201710,1.76,0.04
201711,0.56,-0.87
201712,0.34,-1.24
201801,1.53,-0.10
201802,1.71,0.18
201803,2.33,0.44
201804,2.22,0.29
201805,1.13,-0.54
201806,0.15,-0.94
201807,0.21,-1.09
201808,1.47,-0.07
201809,0.11,-1.44
201810,3.36,1.64
201811,1.08,-0.35
201812,1.20,-0.38
201901,2.27,0.64
201902,2.30,0.77
201903,3.06,1.17
201904,2.31,0.38
201905,2.78,1.11
201906,2.22,1.13
201907,0.49,-0.81
201908,0.53,-1.01
201909,0.88,-0.67
201910,1.14,-0.58
201911,1.13,-0.30
201912,2.08,0.50
202001,1.60,-0.03
