Appling County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.67,-0.05
200002,1.94,-1.82
200003,4.79,0.54
200004,2.38,-0.79
200005,0.63,-2.90
200006,5.69,0.49
200007,4.77,-1.37
200008,4.43,-1.34
200009,6.41,2.08
200010,0.47,-2.10
200011,2.57,0.37
200012,3.31,0.00
200101,1.24,-2.48
200102,0.77,-2.99
200103,7.25,3.00
200104,0.70,-2.47
200105,1.42,-2.11
200106,6.47,1.27
200107,5.30,-0.84
200108,4.29,-1.48
200109,4.40,0.07
200110,0.44,-2.13
200111,0.66,-1.54
200112,0.53,-2.78
200201,3.44,-0.28
200202,1.94,-1.82
200203,4.49,0.24
200204,1.61,-1.56
200205,2.51,-1.02
200206,4.36,-0.84
200207,6.87,0.73
200208,5.51,-0.26
200209,4.18,-0.15
200210,4.10,1.53
200211,3.77,1.57
200212,3.96,0.65
200301,0.96,-2.76
200302,4.07,0.31
200303,8.78,4.53
200304,4.00,0.83
200305,3.51,-0.02
200306,7.46,2.26
200307,6.43,0.29
200308,8.23,2.46
200309,3.61,-0.72
200310,4.94,2.37
200311,1.35,-0.85
200312,1.61,-1.70
200401,2.66,-1.06
200402,5.20,1.44
200403,0.23,-4.02
200404,1.66,-1.51
200405,2.29,-1.24
200406,8.19,2.99
200407,4.66,-1.48
200408,7.20,1.43
200409,14.05,9.72
200410,1.42,-1.15
200411,3.08,0.88
200412,2.75,-0.56
200501,1.47,-2.25
200502,2.96,-0.80
200503,6.10,1.85
200504,4.95,1.78
200505,2.34,-1.19
200506,7.80,2.60
200507,5.00,-1.14
200508,5.84,0.07
200509,1.31,-3.02
200510,4.91,2.34
200511,3.04,0.84
200512,3.82,0.51
200601,5.30,1.58
200602,4.92,1.16
200603,0.42,-3.83
200604,1.93,-1.24
200605,2.78,-0.75
200606,4.41,-0.79
200607,1.74,-4.40
200608,6.04,0.27
200609,3.91,-0.42
200610,1.19,-1.38
200611,1.57,-0.63
200612,3.37,0.06
200701,2.74,-0.98
200702,2.58,-1.18
200703,2.04,-2.21
200704,0.34,-2.83
200705,0.23,-3.30
200706,7.00,1.80
200707,6.17,0.03
200708,7.24,1.47
200709,5.17,0.84
200710,4.46,1.89
200711,0.52,-1.68
200712,5.47,2.16
200801,3.28,-0.44
200802,6.27,2.51
200803,2.16,-2.09
200804,3.10,-0.07
200805,3.58,0.05
200806,2.41,-2.79
200807,5.83,-0.31
200808,7.13,1.36
200809,0.83,-3.50
200810,6.36,3.79
200811,4.40,2.20
200812,1.34,-1.97
200901,1.33,-2.39
200902,1.26,-2.50
200903,6.18,1.93
200904,8.34,5.17
200905,7.86,4.33
200906,3.69,-1.51
200907,3.43,-2.71
200908,6.15,0.38
200909,3.19,-1.14
200910,3.36,0.79
200911,2.11,-0.09
200912,7.12,3.81
201001,5.73,2.01
201002,2.88,-0.88
201003,3.00,-1.25
201004,2.82,-0.35
201005,4.27,0.74
201006,6.24,1.04
201007,3.40,-2.74
201008,5.92,0.15
201009,3.08,-1.25
201010,0.54,-2.03
201011,1.04,-1.16
201012,2.06,-1.25
201101,2.68,-1.04
201102,2.98,-0.78
201103,4.39,0.14
201104,2.05,-1.12
201105,0.91,-2.62
201106,4.84,-0.36
201107,5.30,-0.84
201108,2.67,-3.10
201109,4.33,0.00
201110,2.67,0.10
201111,1.53,-0.67
201112,1.32,-1.99
201201,1.15,-2.57
201202,3.06,-0.70
201203,5.38,1.13
201204,1.42,-1.75
201205,5.19,1.66
201206,5.59,0.39
201207,3.66,-2.48
201208,8.63,2.86
201209,2.56,-1.77
201210,1.03,-1.54
201211,0.74,-1.46
201212,3.23,-0.08
201301,0.84,-2.88
201302,10.41,6.65
201303,3.37,-0.88
201304,4.35,1.18
201305,2.74,-0.79
201306,7.00,1.80
201307,9.14,3.00
201308,8.34,2.57
201309,1.87,-2.46
201310,0.66,-1.91
201311,3.46,1.26
201312,3.14,-0.17
201401,2.87,-0.85
201402,3.10,-0.66
201403,3.95,-0.30
201404,7.72,4.55
201405,3.42,-0.11
201406,3.95,-1.25
201407,3.31,-2.83
201408,4.43,-1.34
201409,6.27,1.94
201410,1.46,-1.11
201411,5.49,3.29
201412,5.25,1.94
201501,3.37,-0.35
201502,3.98,0.22
201503,2.60,-1.65
201504,6.00,2.83
201505,0.91,-2.62
201506,4.65,-0.55
201507,5.37,-0.77
201508,4.01,-1.76
201509,3.39,-0.94
201510,2.29,-0.28
201511,3.87,1.67
201512,2.41,-0.90
201601,3.77,0.05
201602,4.63,0.87
201603,3.06,-1.19
201604,3.39,0.22
201605,3.76,0.23
201606,5.36,0.16
201607,2.57,-3.57
201608,4.39,-1.38
201609,4.92,0.59
201610,4.83,2.26
201611,0.18,-2.02
201612,6.06,2.75
201701,7.08,3.36
201702,1.78,-1.98
201703,0.83,-3.42
201704,2.29,-0.88
201705,5.34,1.81
201706,4.82,-0.38
201707,5.83,-0.31
201708,5.18,-0.59
201709,7.58,3.25
201710,1.70,-0.87
201711,0.74,-1.46
201712,2.74,-0.57
201801,2.24,-1.48
201802,2.18,-1.58
201803,2.46,-1.79
201804,2.21,-0.96
201805,5.31,1.78
201806,6.37,1.17
201807,7.80,1.66
201808,3.64,-2.13
201809,2.36,-1.97
201810,1.68,-0.89
201811,3.47,1.27
201812,7.28,3.97
201901,3.23,-0.49
201902,1.28,-2.48
201903,1.64,-2.61
201904,2.74,-0.43
201905,1.64,-1.89
201906,5.29,0.09
201907,5.33,-0.81
201908,3.75,-2.02
201909,0.68,-3.65
201910,6.42,3.85
201911,2.84,0.64
201912,5.24,1.93
202001,2.18,-1.54
