Muscogee County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.53,0.02
200002,1.17,-3.77
200003,6.29,0.62
200004,1.69,-2.50
200005,0.66,-2.90
200006,2.25,-1.48
200007,3.61,-1.93
200008,3.98,-0.11
200009,4.79,1.57
200010,0.30,-2.03
200011,4.94,1.76
200012,4.65,0.08
200101,2.62,-1.89
200102,1.31,-3.63
200103,13.07,7.40
200104,2.98,-1.21
200105,2.71,-0.85
200106,5.68,1.95
200107,2.31,-3.23
200108,1.67,-2.42
200109,3.99,0.77
200110,0.79,-1.54
200111,2.22,-0.96
200112,1.97,-2.60
200201,3.37,-1.14
200202,3.04,-1.90
200203,4.77,-0.90
200204,2.93,-1.26
200205,2.39,-1.17
200206,3.89,0.16
200207,6.45,0.91
200208,2.24,-1.85
200209,4.49,1.27
200210,3.56,1.23
200211,4.07,0.89
200212,4.50,-0.07
200301,2.23,-2.28
200302,5.72,0.78
200303,5.84,0.17
200304,5.01,0.82
200305,6.00,2.44
200306,8.66,4.93
200307,7.77,2.23
200308,4.88,0.79
200309,2.36,-0.86
200310,2.40,0.07
200311,3.29,0.11
200312,2.79,-1.78
200401,3.08,-1.43
200402,5.29,0.35
200403,0.58,-5.09
200404,2.94,-1.25
200405,3.22,-0.34
200406,6.23,2.50
200407,5.65,0.11
200408,4.76,0.67
200409,9.70,6.48
200410,1.40,-0.93
200411,5.68,2.50
200412,2.52,-2.05
200501,2.82,-1.69
200502,4.67,-0.27
200503,7.39,1.72
200504,6.99,2.80
200505,3.28,-0.28
200506,9.46,5.73
200507,8.99,3.45
200508,7.18,3.09
200509,0.71,-2.51
200510,1.39,-0.94
200511,4.32,1.14
200512,2.21,-2.36
200601,2.89,-1.62
200602,4.18,-0.76
200603,2.84,-2.83
200604,2.70,-1.49
200605,3.75,0.19
200606,1.66,-2.07
200607,3.65,-1.89
200608,3.18,-0.91
200609,3.31,0.09
200610,3.21,0.88
200611,3.23,0.05
200612,2.51,-2.06
200701,4.60,0.09
200702,2.49,-2.45
200703,2.76,-2.91
200704,3.31,-0.88
200705,0.30,-3.26
200706,4.21,0.48
200707,5.58,0.04
200708,3.41,-0.68
200709,2.86,-0.36
200710,1.40,-0.93
200711,2.77,-0.41
200712,4.42,-0.15
200801,4.49,-0.02
200802,5.38,0.44
200803,3.32,-2.35
200804,2.97,-1.22
200805,3.64,0.08
200806,1.87,-1.86
200807,3.97,-1.57
200808,8.79,4.70
200809,0.62,-2.60
200810,5.23,2.90
200811,3.37,0.19
200812,4.21,-0.36
200901,2.51,-2.00
200902,4.23,-0.71
200903,10.23,4.56
200904,6.27,2.08
200905,5.85,2.29
200906,3.13,-0.60
200907,4.02,-1.52
200908,7.67,3.58
200909,6.32,3.10
200910,6.83,4.50
200911,6.63,3.45
200912,13.19,8.62
201001,5.35,0.84
201002,4.18,-0.76
201003,3.82,-1.85
201004,1.74,-2.45
201005,5.93,2.37
201006,2.36,-1.37
201007,2.81,-2.73
201008,2.88,-1.21
201009,3.32,0.10
201010,1.49,-0.84
201011,2.42,-0.76
201012,2.67,-1.90
201101,4.01,-0.50
201102,4.36,-0.58
201103,5.81,0.14
201104,1.91,-2.28
201105,0.64,-2.92
201106,2.84,-0.89
201107,3.87,-1.67
201108,3.45,-0.64
201109,3.69,0.47
201110,1.10,-1.23
201111,3.28,0.10
201112,4.84,0.27
201201,5.50,0.99
201202,3.36,-1.58
201203,3.32,-2.35
201204,1.12,-3.07
201205,3.02,-0.54
201206,2.60,-1.13
201207,3.68,-1.86
201208,3.90,-0.19
201209,2.98,-0.24
201210,1.53,-0.80
201211,1.20,-1.98
201212,5.75,1.18
201301,3.29,-1.22
201302,11.99,7.05
201303,2.55,-3.12
201304,4.85,0.66
201305,3.30,-0.26
201306,7.40,3.67
201307,8.46,2.92
201308,7.82,3.73
201309,1.29,-1.93
201310,0.47,-1.86
201311,2.27,-0.91
201312,8.88,4.31
201401,2.88,-1.63
201402,5.46,0.52
201403,5.24,-0.43
201404,9.57,5.38
201405,2.82,-0.74
201406,4.00,0.27
201407,4.70,-0.84
201408,2.13,-1.96
201409,4.21,0.99
201410,3.96,1.63
201411,3.01,-0.17
201412,4.72,0.15
201501,3.01,-1.50
201502,4.62,-0.32
201503,2.65,-3.02
201504,6.83,2.64
201505,3.15,-0.41
201506,4.63,0.90
201507,2.90,-2.64
201508,7.85,3.76
201509,2.83,-0.39
201510,1.25,-1.08
201511,8.01,4.83
201512,17.32,12.75
201601,3.36,-1.15
201602,4.00,-0.94
201603,2.54,-3.13
201604,7.28,3.09
201605,2.08,-1.48
201606,2.40,-1.33
201607,1.62,-3.92
201608,5.18,1.09
201609,0.78,-2.44
201610,0.63,-1.70
201611,1.81,-1.37
201612,5.30,0.73
201701,10.87,6.36
201702,2.38,-2.56
201703,1.66,-4.01
201704,3.78,-0.41
201705,4.88,1.32
201706,4.35,0.62
201707,5.56,0.02
201708,5.43,1.34
201709,3.96,0.74
201710,5.02,2.69
201711,1.05,-2.13
201712,3.14,-1.43
201801,1.97,-2.54
201802,3.55,-1.39
201803,3.12,-2.55
201804,4.13,-0.06
201805,7.40,3.84
201806,5.82,2.09
201807,5.12,-0.42
201808,7.19,3.10
201809,4.03,0.81
201810,3.00,0.67
201811,6.01,2.83
201812,8.04,3.47
201901,4.83,0.32
201902,1.53,-3.41
201903,2.66,-3.01
201904,4.77,0.58
201905,3.04,-0.52
201906,5.72,1.99
201907,4.22,-1.32
201908,3.82,-0.27
201909,1.84,-1.38
201910,4.51,2.18
201911,3.73,0.55
201912,8.39,3.82
202001,7.69,3.18
