Vanderburgh County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.90,1.25
200002,6.30,3.24
200003,3.34,-1.16
200004,2.39,-1.86
200005,3.16,-1.22
200006,6.69,2.79
200007,4.00,0.33
200008,5.29,2.03
200009,4.62,1.40
200010,0.78,-2.16
200011,3.69,0.18
200012,3.95,0.34
200101,1.32,-2.33
200102,3.13,0.07
200103,2.01,-2.49
200104,1.93,-2.32
200105,3.58,-0.80
200106,3.39,-0.51
200107,5.56,1.89
200108,4.81,1.55
200109,2.89,-0.33
200110,7.76,4.82
200111,5.80,2.29
200112,7.17,3.56
200201,3.04,-0.61
200202,1.88,-1.18
200203,6.64,2.14
200204,7.82,3.57
200205,6.31,1.93
200206,3.21,-0.69
200207,2.72,-0.95
200208,1.04,-2.22
200209,5.91,2.69
200210,3.96,1.02
200211,2.60,-0.91
200212,5.01,1.40
200301,1.40,-2.25
200302,5.55,2.49
200303,2.49,-2.01
200304,3.96,-0.29
200305,7.17,2.79
200306,4.29,0.39
200307,3.66,-0.01
200308,2.27,-0.99
200309,3.45,0.23
200310,2.08,-0.86
200311,4.91,1.40
200312,1.82,-1.79
200401,3.80,0.15
200402,1.06,-2.00
200403,3.36,-1.14
200404,2.32,-1.93
200405,8.93,4.55
200406,1.83,-2.07
200407,6.06,2.39
200408,3.95,0.69
200409,0.13,-3.09
200410,5.41,2.47
200411,5.96,2.45
200412,2.69,-0.92
200501,4.61,0.96
200502,2.64,-0.42
200503,2.95,-1.55
200504,2.57,-1.68
200505,2.57,-1.81
200506,3.93,0.03
200507,3.48,-0.19
200508,8.95,5.69
200509,2.13,-1.09
200510,0.60,-2.34
200511,5.94,2.43
200512,1.79,-1.82
200601,4.23,0.58
200602,2.22,-0.84
200603,9.09,4.59
200604,2.81,-1.44
200605,5.20,0.82
200606,3.70,-0.20
200607,6.76,3.09
200608,5.72,2.46
200609,9.91,6.69
200610,5.57,2.63
200611,4.35,0.84
200612,4.67,1.06
200701,5.44,1.79
200702,3.39,0.33
200703,2.29,-2.21
200704,3.52,-0.73
200705,2.58,-1.80
200706,3.16,-0.74
200707,2.40,-1.27
200708,1.03,-2.23
200709,3.09,-0.13
200710,4.84,1.90
200711,1.70,-1.81
200712,6.73,3.12
200801,3.20,-0.45
200802,6.08,3.02
200803,11.20,6.70
200804,6.07,1.82
200805,6.82,2.44
200806,3.19,-0.71
200807,4.22,0.55
200808,0.84,-2.42
200809,1.55,-1.67
200810,1.57,-1.37
200811,3.32,-0.19
200812,4.89,1.28
200901,2.67,-0.98
200902,2.56,-0.50
200903,2.99,-1.51
200904,5.67,1.42
200905,6.21,1.83
200906,3.08,-0.82
200907,6.33,2.66
200908,2.66,-0.60
200909,5.12,1.90
200910,8.60,5.66
200911,1.43,-2.08
200912,3.78,0.17
201001,2.23,-1.42
201002,1.54,-1.52
201003,3.95,-0.55
201004,3.45,-0.80
201005,4.00,-0.38
201006,2.73,-1.17
201007,4.42,0.75
201008,0.91,-2.35
201009,0.56,-2.66
201010,1.19,-1.75
201011,7.21,3.70
201012,1.46,-2.15
201101,1.51,-2.14
201102,4.49,1.43
201103,5.25,0.75
201104,12.82,8.57
201105,7.68,3.30
201106,6.18,2.28
201107,7.03,3.36
201108,1.11,-2.15
201109,7.56,4.34
201110,2.34,-0.60
201111,8.29,4.78
201112,6.02,2.41
201201,3.16,-0.49
201202,1.67,-1.39
201203,2.26,-2.24
201204,1.67,-2.58
201205,2.13,-2.25
201206,0.63,-3.27
201207,1.98,-1.69
201208,4.10,0.84
201209,6.24,3.02
201210,3.06,0.12
201211,1.13,-2.38
201212,3.42,-0.19
201301,6.37,2.72
201302,2.77,-0.29
201303,4.20,-0.30
201304,3.92,-0.33
201305,4.20,-0.18
201306,5.88,1.98
201307,4.78,1.11
201308,0.82,-2.44
201309,3.37,0.15
201310,5.83,2.89
201311,2.84,-0.67
201312,8.02,4.41
201401,1.83,-1.82
201402,2.16,-0.90
201403,2.73,-1.77
201404,10.40,6.15
201405,3.43,-0.95
201406,4.04,0.14
201407,3.61,-0.06
201408,4.49,1.23
201409,2.59,-0.63
201410,4.41,1.47
201411,2.68,-0.83
201412,3.34,-0.27
201501,2.77,-0.88
201502,2.45,-0.61
201503,6.48,1.98
201504,7.12,2.87
201505,3.85,-0.53
201506,7.67,3.77
201507,5.94,2.27
201508,3.30,0.04
201509,1.51,-1.71
201510,3.17,0.23
201511,5.65,2.14
201512,5.57,1.96
201601,1.93,-1.72
201602,4.08,1.02
201603,5.87,1.37
201604,5.35,1.10
201605,4.46,0.08
201606,3.21,-0.69
201607,8.18,4.51
201608,3.44,0.18
201609,2.90,-0.32
201610,0.48,-2.46
201611,2.53,-0.98
201612,3.86,0.25
201701,2.61,-1.04
201702,0.89,-2.17
201703,3.55,-0.95
201704,7.66,3.41
201705,4.48,0.10
201706,2.89,-1.01
201707,4.60,0.93
201708,2.75,-0.51
201709,2.79,-0.43
201710,4.22,1.28
201711,1.70,-1.81
201712,2.34,-1.27
201801,3.26,-0.39
201802,8.91,5.85
201803,5.48,0.98
201804,3.78,-0.47
201805,5.88,1.50
201806,7.47,3.57
201807,2.80,-0.87
201808,1.64,-1.62
201809,7.77,4.55
201810,1.89,-1.05
201811,4.48,0.97
201812,5.90,2.29
201901,4.04,0.39
201902,7.36,4.30
201903,6.56,2.06
201904,5.60,1.35
201905,6.14,1.76
201906,7.42,3.52
201907,3.98,0.31
201908,5.11,1.85
201909,0.15,-3.07
201910,5.78,2.84
201911,5.59,2.08
201912,3.20,-0.41
202001,4.71,1.06
