Lincoln County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.34,-0.22
200002,1.61,0.80
200003,4.70,3.17
200004,1.33,-0.97
200005,3.34,-0.52
200006,4.05,0.16
200007,3.19,-0.20
200008,0.64,-2.37
200009,0.66,-2.03
200010,3.56,1.73
200011,1.21,0.01
200012,0.54,-0.17
200101,1.43,0.87
200102,2.77,1.96
200103,1.06,-0.47
200104,2.40,0.10
200105,5.92,2.06
200106,3.40,-0.49
200107,3.80,0.41
200108,3.61,0.60
200109,4.00,1.31
200110,0.99,-0.84
200111,0.44,-0.76
200112,0.21,-0.50
200201,0.78,0.22
200202,0.70,-0.11
200203,0.72,-0.81
200204,2.00,-0.30
200205,3.09,-0.77
200206,2.22,-1.67
200207,0.87,-2.52
200208,3.37,0.36
200209,1.24,-1.45
200210,5.25,3.42
200211,0.18,-1.02
200212,0.06,-0.65
200301,0.14,-0.42
200302,0.89,0.08
200303,2.62,1.09
200304,3.16,0.86
200305,2.91,-0.95
200306,3.39,-0.50
200307,0.93,-2.46
200308,3.65,0.64
200309,3.43,0.74
200310,0.37,-1.46
200311,0.73,-0.47
200312,0.71,0.00
200401,0.62,0.06
200402,1.00,0.19
200403,3.22,1.69
200404,1.57,-0.73
200405,2.55,-1.31
200406,3.96,0.07
200407,6.61,3.22
200408,2.02,-0.99
200409,2.92,0.23
200410,1.40,-0.43
200411,0.97,-0.23
200412,0.17,-0.54
200501,1.42,0.86
200502,2.04,1.23
200503,1.69,0.16
200504,3.06,0.76
200505,1.14,-2.72
200506,6.68,2.79
200507,2.62,-0.77
200508,4.45,1.44
200509,1.40,-1.29
200510,2.16,0.33
200511,1.16,-0.04
200512,0.42,-0.29
200601,0.06,-0.50
200602,0.00,-0.81
200603,1.72,0.19
200604,1.99,-0.31
200605,2.00,-1.86
200606,3.00,-0.89
200607,1.24,-2.15
200608,5.48,2.47
200609,2.82,0.13
200610,1.49,-0.34
200611,0.09,-1.11
200612,2.69,1.98
200701,0.88,0.32
200702,1.71,0.90
200703,2.59,1.06
200704,3.00,0.70
200705,7.99,4.13
200706,3.21,-0.68
200707,2.74,-0.65
200708,3.53,0.52
200709,3.70,1.01
200710,2.42,0.59
200711,0.15,-1.05
200712,2.61,1.90
200801,0.37,-0.19
200802,0.85,0.04
200803,1.00,-0.53
200804,2.80,0.50
200805,4.38,0.52
200806,5.83,1.94
200807,3.49,0.10
200808,5.11,2.10
200809,3.16,0.47
200810,5.18,3.35
200811,1.04,-0.16
200812,0.40,-0.31
200901,0.04,-0.52
200902,0.17,-0.64
200903,0.63,-0.90
200904,2.85,0.55
200905,1.66,-2.20
200906,4.51,0.62
200907,4.35,0.96
200908,5.31,2.30
200909,2.16,-0.53
200910,2.95,1.12
200911,1.04,-0.16
200912,1.18,0.47
201001,0.19,-0.37
201002,0.43,-0.38
201003,2.47,0.94
201004,4.21,1.91
201005,2.73,-1.13
201006,3.69,-0.20
201007,5.24,1.85
201008,2.82,-0.19
201009,3.98,1.29
201010,0.25,-1.58
201011,2.36,1.16
201012,0.07,-0.64
201101,0.58,0.02
201102,0.81,0.00
201103,0.70,-0.83
201104,1.39,-0.91
201105,8.17,4.31
201106,3.76,-0.13
201107,3.31,-0.08
201108,4.21,1.20
201109,1.23,-1.46
201110,1.29,-0.54
201111,1.58,0.38
201112,2.29,1.58
201201,0.17,-0.39
201202,1.39,0.58
201203,1.72,0.19
201204,2.58,0.28
201205,0.58,-3.28
201206,2.01,-1.88
201207,0.69,-2.70
201208,3.60,0.59
201209,1.73,-0.96
201210,1.50,-0.33
201211,0.35,-0.85
201212,0.40,-0.31
201301,1.10,0.54
201302,1.46,0.65
201303,0.85,-0.68
201304,2.65,0.35
201305,4.03,0.17
201306,3.54,-0.35
201307,7.05,3.66
201308,1.72,-1.29
201309,2.81,0.12
201310,1.00,-0.83
201311,1.05,-0.15
201312,0.30,-0.41
201401,0.21,-0.35
201402,0.78,-0.03
201403,0.18,-1.35
201404,1.02,-1.28
201405,1.45,-2.41
201406,9.15,5.26
201407,0.66,-2.73
201408,3.10,0.09
201409,2.96,0.27
201410,2.57,0.74
201411,0.04,-1.16
201412,1.13,0.42
201501,0.28,-0.28
201502,0.84,0.03
201503,0.10,-1.43
201504,3.21,0.91
201505,5.83,1.97
201506,2.43,-1.46
201507,3.23,-0.16
201508,3.62,0.61
201509,0.84,-1.85
201510,1.50,-0.33
201511,1.95,0.75
201512,2.77,2.06
201601,0.80,0.24
201602,0.61,-0.20
201603,0.71,-0.82
201604,4.21,1.91
201605,6.33,2.47
201606,1.49,-2.40
201607,5.31,1.92
201608,6.53,3.52
201609,3.78,1.09
201610,0.93,-0.90
201611,0.64,-0.56
201612,0.82,0.11
201701,1.70,1.14
201702,0.05,-0.76
201703,2.28,0.75
201704,4.77,2.47
201705,7.56,3.70
201706,1.51,-2.38
201707,1.59,-1.80
201708,1.70,-1.31
201709,2.60,-0.09
201710,2.53,0.70
201711,0.18,-1.02
201712,0.08,-0.63
201801,0.27,-0.29
201802,0.20,-0.61
201803,0.77,-0.76
201804,1.08,-1.22
201805,5.09,1.23
201806,2.83,-1.06
201807,3.61,0.22
201808,3.47,0.46
201809,3.54,0.85
201810,6.48,4.65
201811,0.92,-0.28
201812,2.81,2.10
201901,0.90,0.34
201902,0.98,0.17
201903,1.52,-0.01
201904,1.50,-0.80
201905,10.17,6.31
201906,3.44,-0.45
201907,1.31,-2.08
201908,7.73,4.72
201909,1.31,-1.38
201910,1.53,-0.30
201911,0.50,-0.70
201912,1.43,0.72
202001,1.28,0.72
