Riley County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.21,-0.52
200002,2.43,1.44
200003,2.37,0.50
200004,1.91,-0.89
200005,2.41,-2.00
200006,5.11,0.20
200007,3.43,-0.48
200008,1.16,-2.59
200009,1.16,-2.39
200010,2.80,0.46
200011,1.27,-0.30
200012,0.62,-0.30
200101,1.27,0.54
200102,3.33,2.34
200103,1.81,-0.06
200104,2.99,0.19
200105,4.73,0.32
200106,5.89,0.98
200107,4.04,0.13
200108,4.65,0.90
200109,4.27,0.72
200110,1.49,-0.85
200111,0.62,-0.95
200112,0.28,-0.64
200201,0.91,0.18
200202,0.46,-0.53
200203,0.60,-1.27
200204,3.20,0.40
200205,4.98,0.57
200206,0.69,-4.22
200207,1.75,-2.16
200208,3.60,-0.15
200209,1.62,-1.93
200210,5.42,3.08
200211,0.31,-1.26
200212,0.06,-0.86
200301,0.39,-0.34
200302,1.04,0.05
200303,1.44,-0.43
200304,4.09,1.29
200305,2.54,-1.87
200306,4.82,-0.09
200307,1.24,-2.67
200308,3.83,0.08
200309,2.54,-1.01
200310,1.61,-0.73
200311,1.68,0.11
200312,1.02,0.10
200401,0.78,0.05
200402,1.15,0.16
200403,4.68,2.81
200404,1.48,-1.32
200405,3.42,-0.99
200406,6.61,1.70
200407,6.83,2.92
200408,3.37,-0.38
200409,1.67,-1.88
200410,1.08,-1.26
200411,1.80,0.23
200412,0.34,-0.58
200501,1.16,0.43
200502,2.45,1.46
200503,0.89,-0.98
200504,2.70,-0.10
200505,2.67,-1.74
200506,9.18,4.27
200507,3.22,-0.69
200508,5.56,1.81
200509,2.42,-1.13
200510,2.78,0.44
200511,0.99,-0.58
200512,0.59,-0.33
200601,0.30,-0.43
200602,0.00,-0.99
200603,2.10,0.23
200604,2.93,0.13
200605,2.78,-1.63
200606,1.65,-3.26
200607,3.31,-0.60
200608,6.93,3.18
200609,3.01,-0.54
200610,2.00,-0.34
200611,0.17,-1.40
200612,1.81,0.89
200701,0.92,0.19
200702,1.21,0.22
200703,3.35,1.48
200704,2.62,-0.18
200705,11.59,7.18
200706,4.09,-0.82
200707,3.63,-0.28
200708,2.89,-0.86
200709,2.73,-0.82
200710,4.68,2.34
200711,0.15,-1.42
200712,3.34,2.42
200801,0.26,-0.47
200802,1.38,0.39
200803,2.58,0.71
200804,2.60,-0.20
200805,3.57,-0.84
200806,7.31,2.40
200807,3.96,0.05
200808,4.82,1.07
200809,4.81,1.26
200810,3.04,0.70
200811,1.24,-0.33
200812,0.51,-0.41
200901,0.09,-0.64
200902,0.40,-0.59
200903,2.17,0.30
200904,5.07,2.27
200905,1.61,-2.80
200906,6.66,1.75
200907,5.39,1.48
200908,4.35,0.60
200909,2.87,-0.68
200910,3.56,1.22
200911,1.89,0.32
200912,1.83,0.91
201001,0.31,-0.42
201002,0.63,-0.36
201003,2.99,1.12
201004,3.42,0.62
201005,3.53,-0.88
201006,7.31,2.40
201007,4.64,0.73
201008,2.64,-1.11
201009,4.06,0.51
201010,0.85,-1.49
201011,2.34,0.77
201012,0.06,-0.86
201101,0.81,0.08
201102,0.79,-0.20
201103,1.18,-0.69
201104,2.68,-0.12
201105,4.44,0.03
201106,5.09,0.18
201107,4.08,0.17
201108,4.10,0.35
201109,1.42,-2.13
201110,1.84,-0.50
201111,3.67,2.10
201112,2.72,1.80
201201,0.06,-0.67
201202,1.83,0.84
201203,2.20,0.33
201204,2.86,0.06
201205,1.36,-3.05
201206,4.59,-0.32
201207,1.11,-2.80
201208,4.66,0.91
201209,1.99,-1.56
201210,0.97,-1.37
201211,1.04,-0.53
201212,0.49,-0.43
201301,0.94,0.21
201302,1.16,0.17
201303,1.14,-0.73
201304,4.39,1.59
201305,5.20,0.79
201306,3.40,-1.51
201307,4.57,0.66
201308,4.11,0.36
201309,3.29,-0.26
201310,3.60,1.26
201311,0.59,-0.98
201312,0.82,-0.10
201401,0.30,-0.43
201402,1.40,0.41
201403,0.48,-1.39
201404,3.71,0.91
201405,2.54,-1.87
201406,7.87,2.96
201407,1.59,-2.32
201408,3.43,-0.32
201409,2.50,-1.05
201410,3.42,1.08
201411,0.14,-1.43
201412,1.42,0.50
201501,0.41,-0.32
201502,1.24,0.25
201503,0.38,-1.49
201504,2.83,0.03
201505,8.62,4.21
201506,5.90,0.99
201507,5.56,1.65
201508,2.93,-0.82
201509,2.91,-0.64
201510,0.64,-1.70
201511,3.49,1.92
201512,4.13,3.21
201601,0.81,0.08
201602,0.54,-0.45
201603,0.59,-1.28
201604,6.48,3.68
201605,6.76,2.35
201606,1.15,-3.76
201607,5.72,1.81
201608,6.00,2.25
201609,4.25,0.70
201610,2.67,0.33
201611,0.46,-1.11
201612,0.97,0.05
201701,1.64,0.91
201702,0.36,-0.63
201703,3.92,2.05
201704,4.22,1.42
201705,4.63,0.22
201706,3.74,-1.17
201707,1.57,-2.34
201708,3.87,0.12
201709,1.85,-1.70
201710,3.64,1.30
201711,0.18,-1.39
201712,0.13,-0.79
201801,0.57,-0.16
201802,0.70,-0.29
201803,0.75,-1.12
201804,1.15,-1.65
201805,4.21,-0.20
201806,3.37,-1.54
201807,3.46,-0.45
201808,5.44,1.69
201809,5.16,1.61
201810,5.48,3.14
201811,0.96,-0.61
201812,3.22,2.30
201901,0.84,0.11
201902,1.14,0.15
201903,2.24,0.37
201904,2.05,-0.75
201905,12.32,7.91
201906,5.96,1.05
201907,3.80,-0.11
201908,9.52,5.77
201909,2.96,-0.59
201910,2.97,0.63
201911,0.58,-0.99
201912,1.13,0.21
202001,1.46,0.73
