Allegan County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.69,-0.41
200002,1.78,0.13
200003,1.31,-1.12
200004,4.41,1.19
200005,9.12,5.76
200006,3.65,0.24
200007,4.61,1.69
200008,2.83,-0.32
200009,6.27,2.63
200010,2.07,-0.88
200011,3.98,0.98
200012,3.68,1.27
200101,0.85,-1.25
200102,3.14,1.49
200103,1.05,-1.38
200104,2.42,-0.80
200105,6.55,3.19
200106,4.21,0.80
200107,2.10,-0.82
200108,4.92,1.77
200109,4.48,0.84
200110,7.34,4.39
200111,1.74,-1.26
200112,3.10,0.69
200201,1.61,-0.49
200202,2.10,0.45
200203,2.50,0.07
200204,3.00,-0.22
200205,4.29,0.93
200206,2.07,-1.34
200207,2.48,-0.44
200208,4.12,0.97
200209,1.17,-2.47
200210,2.39,-0.56
200211,2.74,-0.26
200212,1.75,-0.66
200301,1.12,-0.98
200302,1.20,-0.45
200303,1.49,-0.94
200304,3.26,0.04
200305,5.42,2.06
200306,1.31,-2.10
200307,2.51,-0.41
200308,2.43,-0.72
200309,3.31,-0.33
200310,2.46,-0.49
200311,6.23,3.23
200312,1.58,-0.83
200401,2.03,-0.07
200402,0.96,-0.69
200403,3.70,1.27
200404,1.32,-1.90
200405,7.85,4.49
200406,2.90,-0.51
200407,3.19,0.27
200408,4.47,1.32
200409,0.60,-3.04
200410,3.32,0.37
200411,3.75,0.75
200412,2.74,0.33
200501,4.56,2.46
200502,2.49,0.84
200503,1.52,-0.91
200504,0.73,-2.49
200505,2.23,-1.13
200506,2.86,-0.55
200507,4.36,1.44
200508,1.51,-1.64
200509,3.07,-0.57
200510,0.41,-2.54
200511,3.95,0.95
200512,2.84,0.43
200601,3.73,1.63
200602,1.62,-0.03
200603,3.03,0.60
200604,2.27,-0.95
200605,5.27,1.91
200606,1.47,-1.94
200607,4.93,2.01
200608,3.81,0.66
200609,3.90,0.26
200610,5.01,2.06
200611,2.43,-0.57
200612,3.88,1.47
200701,3.04,0.94
200702,1.79,0.14
200703,3.26,0.83
200704,4.08,0.86
200705,2.60,-0.76
200706,1.62,-1.79
200707,1.40,-1.52
200708,6.88,3.73
200709,1.29,-2.35
200710,3.89,0.94
200711,1.61,-1.39
200712,2.76,0.35
200801,4.26,2.16
200802,3.53,1.88
200803,2.15,-0.28
200804,2.89,-0.33
200805,2.33,-1.03
200806,6.28,2.87
200807,4.31,1.39
200808,1.22,-1.93
200809,10.91,7.27
200810,3.27,0.32
200811,2.58,-0.42
200812,5.85,3.44
200901,1.92,-0.18
200902,3.26,1.61
200903,3.14,0.71
200904,6.12,2.90
200905,2.74,-0.62
200906,4.91,1.50
200907,1.30,-1.62
200908,6.17,3.02
200909,1.14,-2.50
200910,7.47,4.52
200911,1.32,-1.68
200912,2.75,0.34
201001,1.19,-0.91
201002,1.55,-0.10
201003,1.14,-1.29
201004,2.81,-0.41
201005,5.12,1.76
201006,7.57,4.16
201007,4.92,2.00
201008,1.78,-1.37
201009,3.39,-0.25
201010,2.31,-0.64
201011,2.25,-0.75
201012,2.06,-0.35
201101,1.41,-0.69
201102,2.32,0.67
201103,2.99,0.56
201104,6.64,3.42
201105,6.35,2.99
201106,2.73,-0.68
201107,6.77,3.85
201108,3.59,0.44
201109,3.11,-0.53
201110,2.72,-0.23
201111,3.08,0.08
201112,2.84,0.43
201201,3.22,1.12
201202,1.95,0.30
201203,2.93,0.50
201204,3.04,-0.18
201205,3.13,-0.23
201206,1.36,-2.05
201207,2.56,-0.36
201208,2.93,-0.22
201209,2.95,-0.69
201210,6.47,3.52
201211,0.54,-2.46
201212,2.75,0.34
201301,3.94,1.84
201302,3.00,1.35
201303,1.03,-1.40
201304,8.21,4.99
201305,3.35,-0.01
201306,4.72,1.31
201307,3.21,0.29
201308,3.14,-0.01
201309,1.27,-2.37
201310,5.24,2.29
201311,3.89,0.89
201312,2.35,-0.06
201401,3.41,1.31
201402,2.19,0.54
201403,1.47,-0.96
201404,2.55,-0.67
201405,2.96,-0.40
201406,4.85,1.44
201407,3.53,0.61
201408,3.61,0.46
201409,3.27,-0.37
201410,4.38,1.43
201411,3.46,0.46
201412,1.55,-0.86
201501,1.47,-0.63
201502,1.26,-0.39
201503,0.63,-1.80
201504,3.14,-0.08
201505,5.22,1.86
201506,4.66,1.25
201507,3.18,0.26
201508,3.29,0.14
201509,2.44,-1.20
201510,2.36,-0.59
201511,2.68,-0.32
201512,4.06,1.65
201601,1.86,-0.24
201602,2.34,0.69
201603,3.67,1.24
201604,3.17,-0.05
201605,3.41,0.05
201606,2.19,-1.22
201607,4.26,1.34
201608,6.77,3.62
201609,2.26,-1.38
201610,3.74,0.79
201611,2.70,-0.30
201612,2.75,0.34
201701,3.69,1.59
201702,1.87,0.22
201703,4.36,1.93
201704,4.49,1.27
201705,2.73,-0.63
201706,4.16,0.75
201707,3.22,0.30
201708,2.82,-0.33
201709,0.86,-2.78
201710,10.11,7.16
201711,3.26,0.26
201712,1.78,-0.63
201801,2.16,0.06
201802,5.09,3.44
201803,1.41,-1.02
201804,2.83,-0.39
201805,6.97,3.61
201806,4.29,0.88
201807,2.93,0.01
201808,5.24,2.09
201809,3.23,-0.41
201810,5.30,2.35
201811,2.31,-0.69
201812,1.89,-0.52
201901,2.75,0.65
201902,2.73,1.08
201903,2.57,0.14
201904,4.00,0.78
201905,5.51,2.15
201906,5.14,1.73
201907,2.75,-0.17
201908,2.40,-0.75
201909,6.94,3.30
201910,5.81,2.86
201911,2.20,-0.80
201912,3.22,0.81
202001,3.68,1.58
