Alpena County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.69,-0.03
200002,1.87,0.43
200003,0.86,-1.07
200004,1.70,-0.60
200005,4.05,1.11
200006,2.88,0.04
200007,1.44,-1.55
200008,2.09,-1.05
200009,3.48,0.27
200010,0.84,-1.54
200011,3.10,0.78
200012,1.54,-0.30
200101,1.01,-0.71
200102,1.64,0.20
200103,0.63,-1.30
200104,2.77,0.47
200105,4.17,1.23
200106,2.60,-0.24
200107,1.10,-1.89
200108,3.17,0.03
200109,6.64,3.43
200110,3.66,1.28
200111,1.69,-0.63
200112,1.40,-0.44
200201,0.61,-1.11
200202,2.52,1.08
200203,2.18,0.25
200204,2.80,0.50
200205,3.92,0.98
200206,3.39,0.55
200207,3.86,0.87
200208,2.86,-0.28
200209,1.11,-2.10
200210,2.39,0.01
200211,1.36,-0.96
200212,0.81,-1.03
200301,0.76,-0.96
200302,0.59,-0.85
200303,1.58,-0.35
200304,2.63,0.33
200305,3.35,0.41
200306,2.48,-0.36
200307,4.98,1.99
200308,2.17,-0.97
200309,2.66,-0.55
200310,1.58,-0.80
200311,3.93,1.61
200312,1.87,0.03
200401,2.19,0.47
200402,1.25,-0.19
200403,2.21,0.28
200404,2.29,-0.01
200405,5.86,2.92
200406,1.94,-0.90
200407,3.95,0.96
200408,2.29,-0.85
200409,0.59,-2.62
200410,3.03,0.65
200411,1.79,-0.53
200412,2.77,0.93
200501,2.52,0.80
200502,1.30,-0.14
200503,1.16,-0.77
200504,1.95,-0.35
200505,1.30,-1.64
200506,2.62,-0.22
200507,3.10,0.11
200508,5.49,2.35
200509,2.84,-0.37
200510,0.90,-1.48
200511,3.12,0.80
200512,1.97,0.13
200601,2.91,1.19
200602,1.98,0.54
200603,1.51,-0.42
200604,1.79,-0.51
200605,3.74,0.80
200606,2.19,-0.65
200607,3.10,0.11
200608,4.21,1.07
200609,3.17,-0.04
200610,4.28,1.90
200611,2.27,-0.05
200612,2.51,0.67
200701,1.53,-0.19
200702,0.55,-0.89
200703,2.01,0.08
200704,4.04,1.74
200705,1.83,-1.11
200706,3.09,0.25
200707,3.74,0.75
200708,2.31,-0.83
200709,2.07,-1.14
200710,3.31,0.93
200711,1.48,-0.84
200712,2.35,0.51
200801,3.41,1.69
200802,1.92,0.48
200803,1.22,-0.71
200804,2.42,0.12
200805,2.23,-0.71
200806,4.73,1.89
200807,4.89,1.90
200808,1.56,-1.58
200809,3.92,0.71
200810,1.56,-0.82
200811,1.86,-0.46
200812,4.32,2.48
200901,1.35,-0.37
200902,2.78,1.34
200903,1.57,-0.36
200904,2.96,0.66
200905,2.99,0.05
200906,3.62,0.78
200907,3.71,0.72
200908,6.38,3.24
200909,2.83,-0.38
200910,4.80,2.42
200911,0.99,-1.33
200912,2.45,0.61
201001,0.47,-1.25
201002,0.66,-0.78
201003,0.43,-1.50
201004,1.98,-0.32
201005,3.02,0.08
201006,5.79,2.95
201007,4.27,1.28
201008,2.91,-0.23
201009,4.48,1.27
201010,1.63,-0.75
201011,0.82,-1.50
201012,1.32,-0.52
201101,1.21,-0.51
201102,0.68,-0.76
201103,1.78,-0.15
201104,6.39,4.09
201105,3.09,0.15
201106,5.09,2.25
201107,1.83,-1.16
201108,3.62,0.48
201109,4.59,1.38
201110,4.63,2.25
201111,2.04,-0.28
201112,1.14,-0.70
201201,1.78,0.06
201202,1.38,-0.06
201203,2.43,0.50
201204,1.52,-0.78
201205,2.18,-0.76
201206,4.15,1.31
201207,2.36,-0.63
201208,3.41,0.27
201209,1.93,-1.28
201210,4.90,2.52
201211,0.82,-1.50
201212,3.00,1.16
201301,2.92,1.20
201302,1.68,0.24
201303,1.33,-0.60
201304,4.57,2.27
201305,4.37,1.43
201306,2.50,-0.34
201307,3.61,0.62
201308,1.59,-1.55
201309,1.83,-1.38
201310,3.79,1.41
201311,2.26,-0.06
201312,2.25,0.41
201401,1.47,-0.25
201402,1.09,-0.35
201403,1.07,-0.86
201404,5.17,2.87
201405,2.50,-0.44
201406,1.59,-1.25
201407,4.36,1.37
201408,5.77,2.63
201409,4.29,1.08
201410,3.47,1.09
201411,3.59,1.27
201412,1.88,0.04
201501,1.08,-0.64
201502,0.62,-0.82
201503,0.85,-1.08
201504,2.05,-0.25
201505,3.84,0.90
201506,2.49,-0.35
201507,1.73,-1.26
201508,2.88,-0.26
201509,1.64,-1.57
201510,2.30,-0.08
201511,2.37,0.05
201512,3.71,1.87
201601,1.74,0.02
201602,2.41,0.97
201603,4.44,2.51
201604,3.26,0.96
201605,1.53,-1.41
201606,1.52,-1.32
201607,2.88,-0.11
201608,2.78,-0.36
201609,2.92,-0.29
201610,2.68,0.30
201611,1.70,-0.62
201612,2.16,0.32
201701,2.23,0.51
201702,2.60,1.16
201703,2.85,0.92
201704,4.48,2.18
201705,2.69,-0.25
201706,5.77,2.93
201707,2.36,-0.63
201708,3.37,0.23
201709,3.11,-0.10
201710,5.36,2.98
201711,2.38,0.06
201712,1.24,-0.60
201801,1.95,0.23
201802,1.78,0.34
201803,1.21,-0.72
201804,4.64,2.34
201805,3.01,0.07
201806,0.80,-2.04
201807,2.47,-0.52
201808,3.41,0.27
201809,3.66,0.45
201810,4.77,2.39
201811,2.13,-0.19
201812,2.36,0.52
201901,2.37,0.65
201902,2.61,1.17
201903,1.22,-0.71
201904,2.89,0.59
201905,5.04,2.10
201906,3.37,0.53
201907,2.34,-0.65
201908,2.07,-1.07
201909,3.72,0.51
201910,4.62,2.24
201911,2.75,0.43
201912,3.49,1.65
202001,1.88,0.16
