Lowndes County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.26,-0.95
200002,1.65,-3.29
200003,4.53,-1.23
200004,8.27,3.21
200005,1.32,-3.06
200006,3.86,0.08
200007,1.23,-3.75
200008,1.55,-1.93
200009,1.22,-1.89
200010,1.17,-1.70
200011,8.40,4.24
200012,2.86,-2.23
200101,6.23,1.02
200102,5.60,0.66
200103,6.98,1.22
200104,3.79,-1.27
200105,3.04,-1.34
200106,6.44,2.66
200107,2.54,-2.44
200108,5.09,1.61
200109,5.44,2.33
200110,5.35,2.48
200111,4.21,0.05
200112,5.46,0.37
200201,5.14,-0.07
200202,3.71,-1.23
200203,6.12,0.36
200204,1.99,-3.07
200205,3.23,-1.15
200206,2.62,-1.16
200207,5.10,0.12
200208,3.82,0.34
200209,7.92,4.81
200210,6.00,3.13
200211,5.32,1.16
200212,5.75,0.66
200301,3.11,-2.10
200302,9.55,4.61
200303,4.55,-1.21
200304,5.57,0.51
200305,7.73,3.35
200306,7.73,3.95
200307,5.65,0.67
200308,7.73,4.25
200309,3.84,0.73
200310,3.42,0.55
200311,6.37,2.21
200312,3.63,-1.46
200401,3.37,-1.84
200402,7.82,2.88
200403,4.06,-1.70
200404,3.19,-1.87
200405,3.31,-1.07
200406,9.93,6.15
200407,3.25,-1.73
200408,3.35,-0.13
200409,3.55,0.44
200410,4.40,1.53
200411,7.59,3.43
200412,6.45,1.36
200501,3.53,-1.68
200502,5.24,0.30
200503,3.45,-2.31
200504,6.84,1.78
200505,2.80,-1.58
200506,6.68,2.90
200507,9.34,4.36
200508,6.93,3.45
200509,2.99,-0.12
200510,0.02,-2.85
200511,2.42,-1.74
200512,5.09,0.00
200601,6.40,1.19
200602,8.67,3.73
200603,4.59,-1.17
200604,2.36,-2.70
200605,4.31,-0.07
200606,1.37,-2.41
200607,1.96,-3.02
200608,2.09,-1.39
200609,3.42,0.31
200610,8.39,5.52
200611,4.20,0.04
200612,4.98,-0.11
200701,3.46,-1.75
200702,3.04,-1.90
200703,0.37,-5.39
200704,2.53,-2.53
200705,1.21,-3.17
200706,2.31,-1.47
200707,5.47,0.49
200708,1.65,-1.83
200709,3.93,0.82
200710,4.20,1.33
200711,2.43,-1.73
200712,2.58,-2.51
200801,3.41,-1.80
200802,7.09,2.15
200803,4.39,-1.37
200804,4.57,-0.49
200805,5.58,1.20
200806,1.03,-2.75
200807,2.82,-2.16
200808,7.32,3.84
200809,3.80,0.69
200810,2.68,-0.19
200811,2.75,-1.41
200812,10.99,5.90
200901,6.56,1.35
200902,6.52,1.58
200903,8.23,2.47
200904,3.28,-1.78
200905,8.74,4.36
200906,2.91,-0.87
200907,5.50,0.52
200908,4.52,1.04
200909,10.29,7.18
200910,10.23,7.36
200911,1.85,-2.31
200912,6.89,1.80
201001,5.58,0.37
201002,2.89,-2.05
201003,5.45,-0.31
201004,3.92,-1.14
201005,6.24,1.86
201006,2.99,-0.79
201007,1.87,-3.11
201008,3.98,0.50
201009,0.73,-2.38
201010,2.26,-0.61
201011,6.99,2.83
201012,1.46,-3.63
201101,5.36,0.15
201102,3.01,-1.93
201103,7.34,1.58
201104,11.31,6.25
201105,2.30,-2.08
201106,2.92,-0.86
201107,3.65,-1.33
201108,2.59,-0.89
201109,8.11,5.00
201110,0.96,-1.91
201111,3.28,-0.88
201112,6.49,1.40
201201,4.50,-0.71
201202,3.91,-1.03
201203,6.23,0.47
201204,2.89,-2.17
201205,3.89,-0.49
201206,2.71,-1.07
201207,7.14,2.16
201208,4.49,1.01
201209,5.06,1.95
201210,3.62,0.75
201211,1.86,-2.30
201212,7.59,2.50
201301,8.47,3.26
201302,5.87,0.93
201303,6.28,0.52
201304,6.77,1.71
201305,4.30,-0.08
201306,3.87,0.09
201307,6.88,1.90
201308,2.86,-0.62
201309,4.34,1.23
201310,1.13,-1.74
201311,4.03,-0.13
201312,6.47,1.38
201401,2.45,-2.76
201402,6.20,1.26
201403,5.17,-0.59
201404,10.85,5.79
201405,3.73,-0.65
201406,5.79,2.01
201407,2.91,-2.07
201408,2.62,-0.86
201409,2.08,-1.03
201410,4.28,1.41
201411,3.47,-0.69
201412,7.44,2.35
201501,5.59,0.38
201502,4.70,-0.24
201503,5.67,-0.09
201504,6.38,1.32
201505,5.17,0.79
201506,1.49,-2.29
201507,4.12,-0.86
201508,5.06,1.58
201509,1.23,-1.88
201510,2.79,-0.08
201511,6.00,1.84
201512,6.74,1.65
201601,3.67,-1.54
201602,6.75,1.81
201603,8.00,2.24
201604,5.94,0.88
201605,2.47,-1.91
201606,2.44,-1.34
201607,3.55,-1.43
201608,3.67,0.19
201609,1.26,-1.85
201610,0.24,-2.63
201611,3.14,-1.02
201612,3.66,-1.43
201701,4.91,-0.30
201702,4.08,-0.86
201703,3.90,-1.86
201704,4.58,-0.48
201705,5.91,1.53
201706,5.69,1.91
201707,2.49,-2.49
201708,5.58,2.10
201709,1.78,-1.33
201710,2.79,-0.08
201711,1.39,-2.77
201712,4.16,-0.93
201801,1.92,-3.29
201802,8.12,3.18
201803,4.79,-0.97
201804,6.95,1.89
201805,3.34,-1.04
201806,2.99,-0.79
201807,4.43,-0.55
201808,1.86,-1.62
201809,5.52,2.41
201810,1.96,-0.91
201811,6.17,2.01
201812,9.85,4.76
201901,5.92,0.71
201902,7.63,2.69
201903,3.84,-1.92
201904,10.81,5.75
201905,6.18,1.80
201906,3.96,0.18
201907,6.84,1.86
201908,5.14,1.66
201909,0.10,-3.01
201910,11.79,8.92
201911,3.62,-0.54
201912,7.23,2.14
202001,8.94,3.73
