Cascade County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.48,-0.34
200002,0.82,0.11
200003,0.87,-0.19
200004,0.84,-0.54
200005,2.23,-0.51
200006,2.33,-0.90
200007,0.98,-0.62
200008,0.22,-1.13
200009,1.48,-0.07
200010,1.77,0.69
200011,0.78,-0.03
200012,0.47,-0.39
200101,0.57,-0.25
200102,0.56,-0.15
200103,0.73,-0.33
200104,1.43,0.05
200105,0.66,-2.08
200106,2.86,-0.37
200107,2.63,1.03
200108,0.41,-0.94
200109,1.64,0.09
200110,0.71,-0.37
200111,0.33,-0.48
200112,0.35,-0.51
200201,0.58,-0.24
200202,0.65,-0.06
200203,1.00,-0.06
200204,0.84,-0.54
200205,2.27,-0.47
200206,5.20,1.97
200207,1.49,-0.11
200208,2.39,1.04
200209,1.68,0.13
200210,0.83,-0.25
200211,0.43,-0.38
200212,0.46,-0.40
200301,0.34,-0.48
200302,1.06,0.35
200303,1.02,-0.04
200304,2.11,0.73
200305,2.31,-0.43
200306,2.11,-1.12
200307,0.27,-1.33
200308,1.05,-0.30
200309,1.69,0.14
200310,0.84,-0.24
200311,0.49,-0.32
200312,1.07,0.21
200401,0.75,-0.07
200402,0.39,-0.32
200403,0.52,-0.54
200404,1.65,0.27
200405,3.54,0.80
200406,3.13,-0.10
200407,0.87,-0.73
200408,2.47,1.12
200409,1.84,0.29
200410,1.05,-0.03
200411,0.35,-0.46
200412,0.69,-0.17
200501,0.55,-0.27
200502,0.09,-0.62
200503,1.96,0.90
200504,1.66,0.28
200505,1.56,-1.18
200506,6.25,3.02
200507,0.33,-1.27
200508,1.20,-0.15
200509,1.74,0.19
200510,0.95,-0.13
200511,2.03,1.22
200512,0.75,-0.11
200601,0.48,-0.34
200602,0.62,-0.09
200603,1.32,0.26
200604,3.22,1.84
200605,2.39,-0.35
200606,4.20,0.97
200607,0.44,-1.16
200608,1.16,-0.19
200609,2.19,0.64
200610,2.10,1.02
200611,0.47,-0.34
200612,0.71,-0.15
200701,0.36,-0.46
200702,1.43,0.72
200703,0.49,-0.57
200704,2.21,0.83
200705,3.85,1.11
200706,1.87,-1.36
200707,0.53,-1.07
200708,0.36,-0.99
200709,1.83,0.28
200710,0.85,-0.23
200711,0.84,0.03
200712,0.25,-0.61
200801,1.10,0.28
200802,0.65,-0.06
200803,0.70,-0.36
200804,1.41,0.03
200805,4.42,1.68
200806,3.32,0.09
200807,1.20,-0.40
200808,1.21,-0.14
200809,1.96,0.41
200810,0.73,-0.35
200811,0.90,0.09
200812,1.53,0.67
200901,0.61,-0.21
200902,0.42,-0.29
200903,1.24,0.18
200904,2.09,0.71
200905,0.98,-1.76
200906,1.61,-1.62
200907,2.69,1.09
200908,1.59,0.24
200909,1.09,-0.46
200910,2.64,1.56
200911,0.12,-0.69
200912,1.07,0.21
201001,1.18,0.36
201002,0.58,-0.13
201003,0.54,-0.52
201004,2.88,1.50
201005,3.63,0.89
201006,3.54,0.31
201007,1.05,-0.55
201008,2.62,1.27
201009,1.75,0.20
201010,0.62,-0.46
201011,1.70,0.89
201012,1.19,0.33
201101,0.59,-0.23
201102,1.54,0.83
201103,0.74,-0.32
201104,2.75,1.37
201105,4.44,1.70
201106,3.50,0.27
201107,1.01,-0.59
201108,0.52,-0.83
201109,0.25,-1.30
201110,2.26,1.18
201111,0.62,-0.19
201112,0.48,-0.38
201201,0.60,-0.22
201202,0.52,-0.19
201203,1.10,0.04
201204,2.12,0.74
201205,2.14,-0.60
201206,1.63,-1.60
201207,1.30,-0.30
201208,0.51,-0.84
201209,0.06,-1.49
201210,1.60,0.52
201211,1.14,0.33
201212,0.66,-0.20
201301,0.76,-0.06
201302,0.61,-0.10
201303,0.37,-0.69
201304,1.16,-0.22
201305,3.49,0.75
201306,3.03,-0.20
201307,1.02,-0.58
201308,1.22,-0.13
201309,1.79,0.24
201310,1.02,-0.06
201311,0.36,-0.45
201312,0.82,-0.04
201401,1.18,0.36
201402,1.04,0.33
201403,1.37,0.31
201404,1.59,0.21
201405,1.39,-1.35
201406,3.99,0.76
201407,0.86,-0.74
201408,3.97,2.62
201409,1.12,-0.43
201410,0.82,-0.26
201411,1.19,0.38
201412,1.34,0.48
201501,0.82,0.00
201502,0.76,0.05
201503,0.32,-0.74
201504,1.02,-0.36
201505,3.85,1.11
201506,0.83,-2.40
201507,1.84,0.24
201508,0.49,-0.86
201509,2.34,0.79
201510,0.99,-0.09
201511,1.51,0.70
201512,1.21,0.35
201601,0.65,-0.17
201602,0.22,-0.49
201603,0.90,-0.16
201604,2.45,1.07
201605,3.06,0.32
201606,1.08,-2.15
201607,1.75,0.15
201608,1.37,0.02
201609,2.58,1.03
201610,2.42,1.34
201611,0.18,-0.63
201612,1.11,0.25
201701,0.77,-0.05
201702,0.77,0.06
201703,0.47,-0.59
201704,2.89,1.51
201705,2.71,-0.03
201706,2.19,-1.04
201707,0.22,-1.38
201708,0.10,-1.25
201709,2.70,1.15
201710,0.96,-0.12
201711,1.03,0.22
201712,1.42,0.56
201801,0.43,-0.39
201802,1.49,0.78
201803,1.01,-0.05
201804,1.42,0.04
201805,3.38,0.64
201806,4.33,1.10
201807,0.48,-1.12
201808,0.78,-0.57
201809,1.46,-0.09
201810,1.05,-0.03
201811,0.90,0.09
201812,0.41,-0.45
201901,1.08,0.26
201902,2.18,1.47
201903,0.64,-0.42
201904,1.99,0.61
201905,2.45,-0.29
201906,2.12,-1.11
201907,1.41,-0.19
201908,1.30,-0.05
201909,2.73,1.18
201910,1.60,0.52
201911,1.11,0.30
201912,0.29,-0.57
202001,0.29,-0.53
