Cumberland County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.78,2.32
200002,1.88,-1.74
200003,2.56,-1.28
200004,2.96,-0.29
200005,1.47,-2.26
200006,4.10,-0.58
200007,6.64,0.67
200008,3.86,-1.62
200009,8.09,3.77
200010,0.04,-2.78
200011,3.11,0.43
200012,1.52,-1.63
200101,1.12,-2.34
200102,2.39,-1.23
200103,5.12,1.28
200104,1.42,-1.83
200105,2.53,-1.20
200106,8.02,3.34
200107,3.97,-2.00
200108,5.61,0.13
200109,2.91,-1.41
200110,1.39,-1.43
200111,1.75,-0.93
200112,0.68,-2.47
200201,4.85,1.39
200202,1.50,-2.12
200203,3.41,-0.43
200204,1.82,-1.43
200205,2.27,-1.46
200206,2.23,-2.45
200207,4.03,-1.94
200208,5.95,0.47
200209,3.11,-1.21
200210,3.52,0.70
200211,3.91,1.23
200212,3.54,0.39
200301,1.38,-2.08
200302,4.24,0.62
200303,5.34,1.50
200304,4.42,1.17
200305,7.95,4.22
200306,4.97,0.29
200307,11.75,5.78
200308,6.64,1.16
200309,4.59,0.27
200310,4.23,1.41
200311,1.33,-1.35
200312,3.32,0.17
200401,1.22,-2.24
200402,4.66,1.04
200403,0.55,-3.29
200404,3.44,0.19
200405,4.44,0.71
200406,5.06,0.38
200407,3.68,-2.29
200408,9.07,3.59
200409,6.71,2.39
200410,1.00,-1.82
200411,2.99,0.31
200412,1.68,-1.47
200501,2.05,-1.41
200502,2.18,-1.44
200503,2.79,-1.05
200504,2.72,-0.53
200505,2.42,-1.31
200506,4.51,-0.17
200507,6.73,0.76
200508,3.44,-2.04
200509,2.68,-1.64
200510,4.05,1.23
200511,3.79,1.11
200512,4.07,0.92
200601,2.44,-1.02
200602,1.77,-1.85
200603,0.99,-2.85
200604,3.50,0.25
200605,3.51,-0.22
200606,8.78,4.10
200607,4.14,-1.83
200608,4.85,-0.63
200609,4.77,0.45
200610,2.99,0.17
200611,8.82,6.14
200612,3.31,0.16
200701,2.51,-0.95
200702,2.05,-1.57
200703,2.22,-1.62
200704,3.37,0.12
200705,1.24,-2.49
200706,4.63,-0.05
200707,2.54,-3.43
200708,1.09,-4.39
200709,1.91,-2.41
200710,5.00,2.18
200711,0.40,-2.28
200712,4.83,1.68
200801,1.65,-1.81
200802,4.33,0.71
200803,3.31,-0.53
200804,6.31,3.06
200805,2.94,-0.79
200806,3.06,-1.62
200807,7.99,2.02
200808,7.76,2.28
200809,7.96,3.64
200810,1.62,-1.20
200811,4.34,1.66
200812,3.19,0.04
200901,1.97,-1.49
200902,1.88,-1.74
200903,5.44,1.60
200904,1.85,-1.40
200905,4.63,0.90
200906,2.52,-2.16
200907,3.80,-2.17
200908,5.61,0.13
200909,2.04,-2.28
200910,1.98,-0.84
200911,5.59,2.91
200912,5.44,2.29
201001,4.47,1.01
201002,4.01,0.39
201003,3.56,-0.28
201004,0.91,-2.34
201005,6.14,2.41
201006,4.57,-0.11
201007,3.51,-2.46
201008,4.44,-1.04
201009,8.61,4.29
201010,0.74,-2.08
201011,0.86,-1.82
201012,1.83,-1.32
201101,1.25,-2.21
201102,2.96,-0.66
201103,3.99,0.15
201104,3.21,-0.04
201105,2.53,-1.20
201106,4.34,-0.34
201107,2.40,-3.57
201108,6.60,1.12
201109,4.56,0.24
201110,1.68,-1.14
201111,3.74,1.06
201112,0.85,-2.30
201201,2.07,-1.39
201202,2.20,-1.42
201203,3.95,0.11
201204,3.06,-0.19
201205,5.45,1.72
201206,3.61,-1.07
201207,6.83,0.86
201208,6.50,1.02
201209,2.30,-2.02
201210,2.39,-0.43
201211,1.32,-1.36
201212,4.37,1.22
201301,1.91,-1.55
201302,4.31,0.69
201303,1.74,-2.10
201304,4.63,1.38
201305,3.10,-0.63
201306,10.77,6.09
201307,8.40,2.43
201308,5.02,-0.46
201309,1.72,-2.60
201310,1.12,-1.70
201311,2.85,0.17
201312,4.85,1.70
201401,4.42,0.96
201402,3.38,-0.24
201403,4.52,0.68
201404,5.06,1.81
201405,3.93,0.20
201406,2.78,-1.90
201407,2.95,-3.02
201408,4.32,-1.16
201409,6.93,2.61
201410,1.77,-1.05
201411,3.49,0.81
201412,4.79,1.64
201501,4.82,1.36
201502,3.98,0.36
201503,3.24,-0.60
201504,3.07,-0.18
201505,2.72,-1.01
201506,7.26,2.58
201507,3.75,-2.22
201508,3.92,-1.56
201509,3.85,-0.47
201510,6.40,3.58
201511,6.57,3.89
201512,7.28,4.13
201601,2.23,-1.23
201602,6.17,2.55
201603,1.24,-2.60
201604,3.10,-0.15
201605,5.85,2.12
201606,3.67,-1.01
201607,5.92,-0.05
201608,2.94,-2.54
201609,11.47,7.15
201610,10.86,8.04
201611,0.70,-1.98
201612,3.07,-0.08
201701,2.64,-0.82
201702,1.09,-2.53
201703,2.76,-1.08
201704,5.34,2.09
201705,5.07,1.34
201706,4.89,0.21
201707,6.07,0.10
201708,3.31,-2.17
201709,4.61,0.29
201710,2.73,-0.09
201711,0.71,-1.97
201712,3.44,0.29
201801,3.16,-0.30
201802,1.71,-1.91
201803,3.27,-0.57
201804,3.37,0.12
201805,3.49,-0.24
201806,3.82,-0.86
201807,7.87,1.90
201808,6.44,0.96
201809,15.20,10.88
201810,2.91,0.09
201811,5.87,3.19
201812,6.79,3.64
201901,3.18,-0.28
201902,2.58,-1.04
201903,2.86,-0.98
201904,5.24,1.99
201905,1.40,-2.33
201906,3.48,-1.20
201907,7.18,1.21
201908,4.56,-0.92
201909,4.29,-0.03
201910,3.13,0.31
201911,2.87,0.19
201912,5.89,2.74
202001,4.07,0.61
