Guilford County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.28,0.68
200002,1.83,-1.64
200003,3.31,-0.71
200004,4.58,1.13
200005,1.97,-1.90
200006,3.61,-0.47
200007,3.60,-1.18
200008,4.22,-0.32
200009,6.33,2.62
200010,0.03,-3.05
200011,2.05,-0.68
200012,1.34,-2.06
200101,2.51,-1.09
200102,2.59,-0.88
200103,5.21,1.19
200104,1.97,-1.48
200105,3.43,-0.44
200106,3.14,-0.94
200107,4.53,-0.25
200108,2.56,-1.98
200109,2.45,-1.26
200110,0.73,-2.35
200111,0.40,-2.33
200112,2.39,-1.01
200201,4.91,1.31
200202,1.10,-2.37
200203,3.68,-0.34
200204,0.66,-2.79
200205,2.52,-1.35
200206,2.75,-1.33
200207,3.69,-1.09
200208,4.07,-0.47
200209,4.69,0.98
200210,7.89,4.81
200211,4.64,1.91
200212,4.85,1.45
200301,2.31,-1.29
200302,4.77,1.30
200303,6.96,2.94
200304,6.72,3.27
200305,7.55,3.68
200306,6.15,2.07
200307,7.13,2.35
200308,8.64,4.10
200309,6.24,2.53
200310,2.10,-0.98
200311,1.73,-1.00
200312,2.88,-0.52
200401,1.63,-1.97
200402,2.89,-0.58
200403,1.81,-2.21
200404,2.48,-0.97
200405,2.57,-1.30
200406,4.19,0.11
200407,5.75,0.97
200408,4.30,-0.24
200409,8.17,4.46
200410,1.32,-1.76
200411,4.39,1.66
200412,3.00,-0.40
200501,2.19,-1.41
200502,2.63,-0.84
200503,3.95,-0.07
200504,2.45,-1.00
200505,2.13,-1.74
200506,3.55,-0.53
200507,5.44,0.66
200508,2.85,-1.69
200509,0.61,-3.10
200510,3.50,0.42
200511,3.73,1.00
200512,4.68,1.28
200601,2.45,-1.15
200602,1.51,-1.96
200603,1.19,-2.83
200604,3.50,0.05
200605,2.11,-1.76
200606,9.26,5.18
200607,5.54,0.76
200608,3.91,-0.63
200609,5.10,1.39
200610,3.51,0.43
200611,5.99,3.26
200612,2.25,-1.15
200701,3.56,-0.04
200702,2.51,-0.96
200703,3.22,-0.80
200704,4.59,1.14
200705,0.83,-3.04
200706,3.38,-0.70
200707,2.75,-2.03
200708,0.84,-3.70
200709,1.00,-2.71
200710,6.40,3.32
200711,0.74,-1.99
200712,3.88,0.48
200801,1.22,-2.38
200802,2.93,-0.54
200803,4.21,0.19
200804,5.31,1.86
200805,2.47,-1.40
200806,2.69,-1.39
200807,3.48,-1.30
200808,7.58,3.04
200809,5.47,1.76
200810,1.47,-1.61
200811,3.07,0.34
200812,3.76,0.36
200901,2.90,-0.70
200902,1.55,-1.92
200903,5.26,1.24
200904,2.71,-0.74
200905,4.53,0.66
200906,5.61,1.53
200907,2.12,-2.66
200908,3.27,-1.27
200909,3.26,-0.45
200910,3.13,0.05
200911,7.63,4.90
200912,5.06,1.66
201001,4.52,0.92
201002,3.13,-0.34
201003,4.22,0.20
201004,1.63,-1.82
201005,5.22,1.35
201006,3.19,-0.89
201007,5.99,1.21
201008,3.84,-0.70
201009,6.07,2.36
201010,2.77,-0.31
201011,1.19,-1.54
201012,1.91,-1.49
201101,1.14,-2.46
201102,1.78,-1.69
201103,4.73,0.71
201104,3.31,-0.14
201105,3.24,-0.63
201106,3.38,-0.70
201107,3.15,-1.63
201108,1.80,-2.74
201109,6.32,2.61
201110,4.17,1.09
201111,5.89,3.16
201112,2.93,-0.47
201201,1.94,-1.66
201202,1.85,-1.62
201203,3.76,-0.26
201204,2.51,-0.94
201205,4.62,0.75
201206,2.81,-1.27
201207,4.54,-0.24
201208,6.64,2.10
201209,5.21,1.50
201210,2.30,-0.78
201211,0.51,-2.22
201212,2.91,-0.49
201301,4.85,1.25
201302,3.29,-0.18
201303,2.92,-1.10
201304,3.75,0.30
201305,3.46,-0.41
201306,7.08,3.00
201307,6.81,2.03
201308,4.79,0.25
201309,2.24,-1.47
201310,1.31,-1.77
201311,3.30,0.57
201312,5.19,1.79
201401,3.82,0.22
201402,2.36,-1.11
201403,4.14,0.12
201404,4.07,0.62
201405,3.08,-0.79
201406,2.54,-1.54
201407,2.88,-1.90
201408,3.35,-1.19
201409,2.56,-1.15
201410,2.40,-0.68
201411,3.35,0.62
201412,2.52,-0.88
201501,2.32,-1.28
201502,3.18,-0.29
201503,3.19,-0.83
201504,2.81,-0.64
201505,2.46,-1.41
201506,3.58,-0.50
201507,4.00,-0.78
201508,4.50,-0.04
201509,5.12,1.41
201510,5.01,1.93
201511,6.67,3.94
201512,7.50,4.10
201601,1.77,-1.83
201602,3.76,0.29
201603,2.27,-1.75
201604,1.97,-1.48
201605,7.21,3.34
201606,3.55,-0.53
201607,5.05,0.27
201608,4.88,0.34
201609,4.59,0.88
201610,4.15,1.07
201611,0.66,-2.07
201612,1.73,-1.67
201701,4.13,0.53
201702,0.53,-2.94
201703,2.66,-1.36
201704,6.16,2.71
201705,6.52,2.65
201706,8.06,3.98
201707,1.26,-3.52
201708,2.93,-1.61
201709,2.99,-0.72
201710,3.03,-0.05
201711,1.09,-1.64
201712,1.56,-1.84
201801,3.65,0.05
201802,2.80,-0.67
201803,4.26,0.24
201804,5.19,1.74
201805,4.17,0.30
201806,1.89,-2.19
201807,3.91,-0.87
201808,9.39,4.85
201809,8.67,4.96
201810,6.69,3.61
201811,7.61,4.88
201812,6.99,3.59
201901,4.13,0.53
201902,5.71,2.24
201903,3.51,-0.51
201904,4.63,1.18
201905,2.00,-1.87
201906,8.33,4.25
201907,4.46,-0.32
201908,5.10,0.56
201909,0.59,-3.12
201910,5.78,2.70
201911,3.01,0.28
201912,3.87,0.47
202001,5.41,1.81
