Burleigh County, North Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.29,-0.14
200002,1.38,0.96
200003,1.04,0.32
200004,1.39,0.07
200005,2.65,0.38
200006,5.37,1.91
200007,3.21,0.69
200008,2.31,0.29
200009,1.22,-0.25
200010,2.19,1.16
200011,1.58,1.05
200012,0.37,-0.07
200101,0.46,0.03
200102,0.49,0.07
200103,0.15,-0.57
200104,1.65,0.33
200105,1.94,-0.33
200106,4.94,1.48
200107,5.71,3.19
200108,0.23,-1.79
200109,0.77,-0.70
200110,0.87,-0.16
200111,0.14,-0.39
200112,0.13,-0.31
200201,0.32,-0.11
200202,0.13,-0.29
200203,0.57,-0.15
200204,1.40,0.08
200205,0.81,-1.46
200206,2.28,-1.18
200207,3.00,0.48
200208,1.63,-0.39
200209,0.79,-0.68
200210,0.69,-0.34
200211,0.07,-0.46
200212,0.50,0.06
200301,0.28,-0.15
200302,0.28,-0.14
200303,0.41,-0.31
200304,0.75,-0.57
200305,5.25,2.98
200306,3.24,-0.22
200307,0.97,-1.55
200308,0.52,-1.50
200309,1.82,0.35
200310,0.45,-0.58
200311,0.33,-0.20
200312,0.61,0.17
200401,0.64,0.21
200402,0.32,-0.10
200403,1.49,0.77
200404,0.77,-0.55
200405,2.43,0.16
200406,2.94,-0.52
200407,2.36,-0.16
200408,2.34,0.32
200409,2.10,0.63
200410,1.07,0.04
200411,0.08,-0.45
200412,0.26,-0.18
200501,0.36,-0.07
200502,0.05,-0.37
200503,0.59,-0.13
200504,0.52,-0.80
200505,2.62,0.35
200506,6.80,3.34
200507,2.73,0.21
200508,2.13,0.11
200509,0.44,-1.03
200510,1.23,0.20
200511,0.81,0.28
200512,0.66,0.22
200601,0.11,-0.32
200602,0.20,-0.22
200603,0.55,-0.17
200604,0.96,-0.36
200605,1.73,-0.54
200606,1.23,-2.23
200607,1.02,-1.50
200608,2.11,0.09
200609,1.99,0.52
200610,1.35,0.32
200611,0.06,-0.47
200612,0.85,0.41
200701,0.22,-0.21
200702,0.63,0.21
200703,1.38,0.66
200704,0.76,-0.56
200705,6.23,3.96
200706,3.80,0.34
200707,1.17,-1.35
200708,2.50,0.48
200709,1.59,0.12
200710,0.54,-0.49
200711,0.16,-0.37
200712,0.21,-0.23
200801,0.10,-0.33
200802,0.46,0.04
200803,0.29,-0.43
200804,0.69,-0.63
200805,1.00,-1.27
200806,4.53,1.07
200807,2.79,0.27
200808,1.43,-0.59
200809,2.27,0.80
200810,2.12,1.09
200811,1.89,1.36
200812,1.72,1.28
200901,0.85,0.42
200902,0.91,0.49
200903,1.94,1.22
200904,0.87,-0.45
200905,2.22,-0.05
200906,3.16,-0.30
200907,3.09,0.57
200908,0.92,-1.10
200909,1.10,-0.37
200910,2.85,1.82
200911,0.02,-0.51
200912,1.07,0.63
201001,0.78,0.35
201002,0.59,0.17
201003,1.00,0.28
201004,2.44,1.12
201005,3.32,1.05
201006,3.23,-0.23
201007,2.51,-0.01
201008,1.68,-0.34
201009,4.09,2.62
201010,0.81,-0.22
201011,0.68,0.15
201012,1.55,1.11
201101,1.11,0.68
201102,0.31,-0.11
201103,1.70,0.98
201104,1.84,0.52
201105,3.07,0.80
201106,3.95,0.49
201107,4.63,2.11
201108,3.48,1.46
201109,1.50,0.03
201110,1.26,0.23
201111,0.06,-0.47
201112,0.42,-0.02
201201,0.25,-0.18
201202,0.48,0.06
201203,0.33,-0.39
201204,1.94,0.62
201205,2.16,-0.11
201206,2.50,-0.96
201207,2.64,0.12
201208,2.12,0.10
201209,0.10,-1.37
201210,1.38,0.35
201211,0.78,0.25
201212,0.55,0.11
201301,0.18,-0.25
201302,0.31,-0.11
201303,0.63,-0.09
201304,1.38,0.06
201305,6.33,4.06
201306,3.10,-0.36
201307,1.19,-1.33
201308,1.00,-1.02
201309,3.09,1.62
201310,4.42,3.39
201311,0.11,-0.42
201312,1.07,0.63
201401,0.42,-0.01
201402,0.12,-0.30
201403,0.50,-0.22
201404,1.95,0.63
201405,1.32,-0.95
201406,4.42,0.96
201407,1.14,-1.38
201408,4.50,2.48
201409,0.93,-0.54
201410,0.40,-0.63
201411,0.62,0.09
201412,0.23,-0.21
201501,0.64,0.21
201502,0.46,0.04
201503,0.36,-0.36
201504,0.53,-0.79
201505,4.54,2.27
201506,4.39,0.93
201507,2.04,-0.48
201508,1.32,-0.70
201509,0.69,-0.78
201510,1.24,0.21
201511,0.22,-0.31
201512,0.83,0.39
201601,0.19,-0.24
201602,0.35,-0.07
201603,0.47,-0.25
201604,3.10,1.78
201605,1.92,-0.35
201606,2.39,-1.07
201607,5.01,2.49
201608,2.67,0.65
201609,2.07,0.60
201610,0.39,-0.64
201611,1.18,0.65
201612,1.57,1.13
201701,0.60,0.17
201702,0.59,0.17
201703,0.37,-0.35
201704,0.88,-0.44
201705,0.56,-1.71
201706,1.90,-1.56
201707,1.05,-1.47
201708,3.95,1.93
201709,1.65,0.18
201710,0.15,-0.88
201711,0.25,-0.28
201712,0.34,-0.10
201801,0.40,-0.03
201802,0.29,-0.13
201803,1.94,1.22
201804,0.52,-0.80
201805,2.15,-0.12
201806,3.93,0.47
201807,3.27,0.75
201808,1.51,-0.51
201809,1.61,0.14
201810,1.28,0.25
201811,0.94,0.41
201812,0.86,0.42
201901,0.67,0.24
201902,0.64,0.22
201903,0.69,-0.03
201904,0.98,-0.34
201905,3.00,0.73
201906,2.55,-0.91
201907,3.08,0.56
201908,3.32,1.30
201909,5.88,4.41
201910,3.00,1.97
201911,0.77,0.24
201912,0.97,0.53
202001,0.32,-0.11
