Ward County, North Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.33,-0.16
200002,0.91,0.44
200003,0.45,-0.21
200004,1.49,0.18
200005,3.40,1.23
200006,3.69,0.35
200007,2.64,0.19
200008,2.97,1.02
200009,1.59,0.04
200010,1.24,0.28
200011,2.33,1.70
200012,0.30,-0.19
200101,0.21,-0.28
200102,0.30,-0.17
200103,0.05,-0.61
200104,1.25,-0.06
200105,1.37,-0.80
200106,3.47,0.13
200107,3.70,1.25
200108,0.80,-1.15
200109,0.55,-1.00
200110,0.41,-0.55
200111,0.21,-0.42
200112,0.61,0.12
200201,0.32,-0.17
200202,0.11,-0.36
200203,0.68,0.02
200204,1.44,0.13
200205,1.57,-0.60
200206,3.95,0.61
200207,1.75,-0.70
200208,3.16,1.21
200209,0.79,-0.76
200210,0.76,-0.20
200211,0.09,-0.54
200212,0.80,0.31
200301,0.37,-0.12
200302,0.23,-0.24
200303,0.48,-0.18
200304,1.04,-0.27
200305,3.59,1.42
200306,2.27,-1.07
200307,1.94,-0.51
200308,1.23,-0.72
200309,1.83,0.28
200310,0.59,-0.37
200311,0.51,-0.12
200312,0.49,0.00
200401,0.85,0.36
200402,0.37,-0.10
200403,0.69,0.03
200404,0.43,-0.88
200405,3.20,1.03
200406,2.93,-0.41
200407,2.64,0.19
200408,2.20,0.25
200409,1.23,-0.32
200410,1.50,0.54
200411,0.17,-0.46
200412,0.41,-0.08
200501,0.62,0.13
200502,0.02,-0.45
200503,1.07,0.41
200504,0.35,-0.96
200505,3.31,1.14
200506,9.51,6.17
200507,1.88,-0.57
200508,1.36,-0.59
200509,0.51,-1.04
200510,1.29,0.33
200511,1.19,0.56
200512,0.26,-0.23
200601,0.09,-0.40
200602,0.37,-0.10
200603,0.90,0.24
200604,1.62,0.31
200605,1.31,-0.86
200606,1.90,-1.44
200607,1.91,-0.54
200608,2.07,0.12
200609,1.57,0.02
200610,0.68,-0.28
200611,0.17,-0.46
200612,0.44,-0.05
200701,0.12,-0.37
200702,0.45,-0.02
200703,1.41,0.75
200704,0.58,-0.73
200705,6.98,4.81
200706,3.76,0.42
200707,1.03,-1.42
200708,0.88,-1.07
200709,0.67,-0.88
200710,0.45,-0.51
200711,0.25,-0.38
200712,0.14,-0.35
200801,0.12,-0.37
200802,0.40,-0.07
200803,0.16,-0.50
200804,0.37,-0.94
200805,2.53,0.36
200806,4.21,0.87
200807,2.26,-0.19
200808,2.44,0.49
200809,1.96,0.41
200810,1.86,0.90
200811,1.17,0.54
200812,1.28,0.79
200901,1.00,0.51
200902,1.05,0.58
200903,0.94,0.28
200904,1.01,-0.30
200905,1.52,-0.65
200906,2.02,-1.32
200907,2.24,-0.21
200908,1.84,-0.11
200909,3.02,1.47
200910,1.98,1.02
200911,0.01,-0.62
200912,0.89,0.40
201001,0.61,0.12
201002,0.43,-0.04
201003,0.34,-0.32
201004,1.47,0.16
201005,3.85,1.68
201006,4.89,1.55
201007,2.42,-0.03
201008,3.20,1.25
201009,3.48,1.93
201010,0.74,-0.22
201011,0.66,0.03
201012,1.45,0.96
201101,0.73,0.24
201102,0.29,-0.18
201103,1.01,0.35
201104,1.58,0.27
201105,5.39,3.22
201106,3.24,-0.10
201107,4.14,1.69
201108,1.26,-0.69
201109,2.00,0.45
201110,1.55,0.59
201111,0.26,-0.37
201112,0.32,-0.17
201201,0.23,-0.26
201202,0.47,0.00
201203,0.59,-0.07
201204,2.55,1.24
201205,1.59,-0.58
201206,2.85,-0.49
201207,1.51,-0.94
201208,0.98,-0.97
201209,0.13,-1.42
201210,2.18,1.22
201211,0.70,0.07
201212,0.44,-0.05
201301,0.32,-0.17
201302,0.66,0.19
201303,1.21,0.55
201304,0.80,-0.51
201305,5.81,3.64
201306,4.51,1.17
201307,4.44,1.99
201308,2.71,0.76
201309,2.66,1.11
201310,2.57,1.61
201311,0.31,-0.32
201312,0.68,0.19
201401,0.31,-0.18
201402,0.20,-0.27
201403,0.26,-0.40
201404,1.85,0.54
201405,2.22,0.05
201406,5.20,1.86
201407,1.91,-0.54
201408,4.30,2.35
201409,1.06,-0.49
201410,0.54,-0.42
201411,0.45,-0.18
201412,0.03,-0.46
201501,0.51,0.02
201502,0.55,0.08
201503,0.44,-0.22
201504,0.64,-0.67
201505,2.95,0.78
201506,4.12,0.78
201507,2.41,-0.04
201508,1.32,-0.63
201509,2.46,0.91
201510,1.11,0.15
201511,0.24,-0.39
201512,0.35,-0.14
201601,0.27,-0.22
201602,0.35,-0.12
201603,0.42,-0.24
201604,2.55,1.24
201605,2.21,0.04
201606,2.50,-0.84
201607,3.03,0.58
201608,1.13,-0.82
201609,2.78,1.23
201610,1.71,0.75
201611,1.53,0.90
201612,1.48,0.99
201701,0.41,-0.08
201702,0.42,-0.05
201703,0.51,-0.15
201704,0.60,-0.71
201705,0.75,-1.42
201706,1.55,-1.79
201707,0.65,-1.80
201708,2.12,0.17
201709,2.22,0.67
201710,0.10,-0.86
201711,0.38,-0.25
201712,0.31,-0.18
201801,0.26,-0.23
201802,0.33,-0.14
201803,1.49,0.83
201804,0.19,-1.12
201805,0.92,-1.25
201806,5.18,1.84
201807,1.75,-0.70
201808,1.06,-0.89
201809,1.07,-0.48
201810,0.92,-0.04
201811,0.82,0.19
201812,0.65,0.16
201901,0.34,-0.15
201902,0.99,0.52
201903,0.04,-0.62
201904,0.97,-0.34
201905,0.98,-1.19
201906,2.76,-0.58
201907,2.62,0.17
201908,2.81,0.86
201909,7.40,5.85
201910,1.43,0.47
201911,0.61,-0.02
201912,0.42,-0.07
202001,0.28,-0.21
