Atlantic County, New Jersey, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.91,-0.73
200002,2.14,-1.02
200003,5.83,1.76
200004,2.95,-0.63
200005,2.48,-0.90
200006,4.42,1.03
200007,6.35,2.11
200008,6.34,1.53
200009,5.10,1.73
200010,0.27,-2.91
200011,3.59,0.38
200012,2.45,-1.36
200101,3.27,-0.37
200102,3.15,-0.01
200103,5.78,1.71
200104,1.73,-1.85
200105,1.86,-1.52
200106,5.01,1.62
200107,3.23,-1.01
200108,3.39,-1.42
200109,1.48,-1.89
200110,1.34,-1.84
200111,1.07,-2.14
200112,1.87,-1.94
200201,2.28,-1.36
200202,0.71,-2.45
200203,4.80,0.73
200204,4.63,1.05
200205,3.11,-0.27
200206,4.87,1.48
200207,1.16,-3.08
200208,2.96,-1.85
200209,3.16,-0.21
200210,6.54,3.36
200211,6.11,2.90
200212,4.38,0.57
200301,2.36,-1.28
200302,4.92,1.76
200303,3.69,-0.38
200304,3.00,-0.58
200305,2.66,-0.72
200306,8.04,4.65
200307,4.44,0.20
200308,3.19,-1.62
200309,3.99,0.62
200310,4.67,1.49
200311,4.76,1.55
200312,5.36,1.55
200401,1.76,-1.88
200402,2.53,-0.63
200403,3.54,-0.53
200404,5.56,1.98
200405,3.22,-0.16
200406,2.41,-0.98
200407,4.68,0.44
200408,4.94,0.13
200409,2.69,-0.68
200410,3.30,0.12
200411,5.01,1.80
200412,2.83,-0.98
200501,3.64,0.00
200502,2.46,-0.70
200503,4.09,0.02
200504,3.91,0.33
200505,3.67,0.29
200506,3.41,0.02
200507,4.87,0.63
200508,2.12,-2.69
200509,0.55,-2.82
200510,9.56,6.38
200511,3.70,0.49
200512,4.22,0.41
200601,5.47,1.83
200602,1.64,-1.52
200603,0.67,-3.40
200604,3.05,-0.53
200605,2.69,-0.69
200606,5.69,2.30
200607,6.32,2.08
200608,3.03,-1.78
200609,6.09,2.72
200610,6.02,2.84
200611,6.32,3.11
200612,2.00,-1.81
200701,3.97,0.33
200702,2.39,-0.77
200703,3.73,-0.34
200704,6.20,2.62
200705,1.16,-2.22
200706,3.90,0.51
200707,2.61,-1.63
200708,3.52,-1.29
200709,1.16,-2.21
200710,5.21,2.03
200711,1.61,-1.60
200712,6.45,2.64
200801,2.23,-1.41
200802,4.59,1.43
200803,2.87,-1.20
200804,3.10,-0.48
200805,4.86,1.48
200806,2.52,-0.87
200807,3.22,-1.02
200808,2.43,-2.38
200809,4.79,1.42
200810,1.73,-1.45
200811,5.21,2.00
200812,6.85,3.04
200901,3.18,-0.46
200902,0.68,-2.48
200903,2.25,-1.82
200904,6.01,2.43
200905,3.55,0.17
200906,5.93,2.54
200907,3.67,-0.57
200908,9.53,4.72
200909,6.43,3.06
200910,6.67,3.49
200911,3.48,0.27
200912,9.08,5.27
201001,3.06,-0.58
201002,6.37,3.21
201003,8.86,4.79
201004,1.80,-1.78
201005,3.78,0.40
201006,1.99,-1.40
201007,3.36,-0.88
201008,2.20,-2.61
201009,3.42,0.05
201010,4.59,1.41
201011,2.06,-1.15
201012,2.93,-0.88
201101,3.44,-0.20
201102,2.82,-0.34
201103,4.66,0.59
201104,4.59,1.01
201105,2.51,-0.87
201106,2.51,-0.88
201107,5.19,0.95
201108,13.09,8.28
201109,4.02,0.65
201110,3.60,0.42
201111,4.04,0.83
201112,3.67,-0.14
201201,2.42,-1.22
201202,1.86,-1.30
201203,2.18,-1.89
201204,2.89,-0.69
201205,3.06,-0.32
201206,5.65,2.26
201207,2.57,-1.67
201208,5.19,0.38
201209,3.53,0.16
201210,6.12,2.94
201211,1.56,-1.65
201212,6.62,2.81
201301,2.91,-0.73
201302,4.11,0.95
201303,3.82,-0.25
201304,3.13,-0.45
201305,2.72,-0.66
201306,8.76,5.37
201307,4.69,0.45
201308,4.01,-0.80
201309,1.70,-1.67
201310,3.90,0.72
201311,2.46,-0.75
201312,5.46,1.65
201401,2.91,-0.73
201402,5.13,1.97
201403,4.87,0.80
201404,3.43,-0.15
201405,3.57,0.19
201406,2.04,-1.35
201407,5.22,0.98
201408,8.16,3.35
201409,4.39,1.02
201410,2.77,-0.41
201411,5.10,1.89
201412,5.49,1.68
201501,5.17,1.53
201502,2.43,-0.73
201503,4.83,0.76
201504,3.01,-0.57
201505,0.89,-2.49
201506,9.77,6.38
201507,5.51,1.27
201508,1.75,-3.06
201509,2.80,-0.57
201510,4.12,0.94
201511,3.25,0.04
201512,5.24,1.43
201601,3.40,-0.24
201602,3.85,0.69
201603,2.85,-1.22
201604,2.74,-0.84
201605,5.46,2.08
201606,2.30,-1.09
201607,7.58,3.34
201608,1.42,-3.39
201609,5.61,2.24
201610,3.09,-0.09
201611,0.99,-2.22
201612,3.11,-0.70
201701,3.56,-0.08
201702,1.44,-1.72
201703,4.83,0.76
201704,3.40,-0.18
201705,7.69,4.31
201706,2.84,-0.55
201707,8.48,4.24
201708,5.40,0.59
201709,3.10,-0.27
201710,4.51,1.33
201711,2.29,-0.92
201712,1.40,-2.41
201801,2.99,-0.65
201802,6.44,3.28
201803,5.21,1.14
201804,3.54,-0.04
201805,6.64,3.26
201806,2.96,-0.43
201807,5.59,1.35
201808,3.21,-1.60
201809,7.71,4.34
201810,6.10,2.92
201811,8.77,5.56
201812,6.39,2.58
201901,3.81,0.17
201902,3.51,0.35
201903,3.97,-0.10
201904,3.45,-0.13
201905,4.26,0.88
201906,3.96,0.57
201907,4.66,0.42
201908,3.47,-1.34
201909,1.56,-1.81
201910,5.53,2.35
201911,1.54,-1.67
201912,5.63,1.82
202001,2.40,-1.24
