Washoe County, Nevada, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.42,1.58
200002,1.97,0.44
200003,0.94,-0.41
200004,1.02,0.11
200005,1.39,0.33
200006,0.14,-0.72
200007,0.05,-0.26
200008,0.10,-0.19
200009,0.43,-0.10
200010,1.13,0.29
200011,0.74,-0.57
200012,0.46,-1.15
200101,0.86,-0.98
200102,0.82,-0.71
200103,0.70,-0.65
200104,0.96,0.05
200105,0.07,-0.99
200106,0.19,-0.67
200107,0.26,-0.05
200108,0.02,-0.27
200109,0.35,-0.18
200110,0.29,-0.55
200111,2.05,0.74
200112,2.78,1.17
200201,1.10,-0.74
200202,1.03,-0.50
200203,0.89,-0.46
200204,1.20,0.29
200205,0.33,-0.73
200206,0.21,-0.65
200207,0.25,-0.06
200208,0.06,-0.23
200209,0.13,-0.40
200210,0.18,-0.66
200211,1.72,0.41
200212,2.13,0.52
200301,0.96,-0.88
200302,0.64,-0.89
200303,1.19,-0.16
200304,1.66,0.75
200305,1.06,0.00
200306,0.15,-0.71
200307,0.29,-0.02
200308,0.98,0.69
200309,0.34,-0.19
200310,0.16,-0.68
200311,1.11,-0.20
200312,2.27,0.66
200401,0.79,-1.05
200402,1.74,0.21
200403,0.69,-0.66
200404,0.33,-0.58
200405,0.90,-0.16
200406,0.54,-0.32
200407,0.15,-0.16
200408,0.44,0.15
200409,0.12,-0.41
200410,2.37,1.53
200411,1.81,0.50
200412,1.55,-0.06
200501,1.82,-0.02
200502,0.67,-0.86
200503,1.59,0.24
200504,0.96,0.05
200505,2.77,1.71
200506,0.99,0.13
200507,0.17,-0.14
200508,0.03,-0.26
200509,0.25,-0.28
200510,0.56,-0.28
200511,1.35,0.04
200512,5.37,3.76
200601,2.42,0.58
200602,1.68,0.15
200603,1.69,0.34
200604,2.94,2.03
200605,0.73,-0.33
200606,0.26,-0.60
200607,0.17,-0.14
200608,0.09,-0.20
200609,0.06,-0.47
200610,0.46,-0.38
200611,1.35,0.04
200612,0.70,-0.91
200701,0.36,-1.48
200702,1.77,0.24
200703,0.26,-1.09
200704,0.88,-0.03
200705,0.26,-0.80
200706,0.34,-0.52
200707,0.04,-0.27
200708,0.07,-0.22
200709,0.41,-0.12
200710,1.06,0.22
200711,0.39,-0.92
200712,1.35,-0.26
200801,2.26,0.42
200802,1.02,-0.51
200803,0.61,-0.74
200804,0.34,-0.57
200805,1.35,0.29
200806,0.09,-0.77
200807,0.10,-0.21
200808,0.01,-0.28
200809,0.12,-0.41
200810,0.30,-0.54
200811,1.38,0.07
200812,1.37,-0.24
200901,0.71,-1.13
200902,0.78,-0.75
200903,1.30,-0.05
200904,0.77,-0.14
200905,0.79,-0.27
200906,1.94,1.08
200907,0.06,-0.25
200908,0.18,-0.11
200909,0.01,-0.52
200910,1.10,0.26
200911,0.54,-0.77
200912,1.49,-0.12
201001,1.64,-0.20
201002,1.22,-0.31
201003,0.99,-0.36
201004,1.77,0.86
201005,1.32,0.26
201006,0.38,-0.48
201007,0.27,-0.04
201008,0.19,-0.10
201009,0.21,-0.32
201010,3.30,2.46
201011,1.10,-0.21
201012,3.24,1.63
201101,0.44,-1.40
201102,1.37,-0.16
201103,2.91,1.56
201104,1.73,0.82
201105,1.28,0.22
201106,1.21,0.35
201107,0.04,-0.27
201108,0.01,-0.28
201109,0.11,-0.42
201110,0.70,-0.14
201111,0.47,-0.84
201112,0.09,-1.52
201201,1.63,-0.21
201202,0.59,-0.94
201203,1.13,-0.22
201204,0.83,-0.08
201205,0.35,-0.71
201206,0.29,-0.57
201207,0.09,-0.22
201208,0.08,-0.21
201209,0.14,-0.39
201210,0.34,-0.50
201211,1.78,0.47
201212,3.23,1.62
201301,0.63,-1.21
201302,0.21,-1.32
201303,0.34,-1.01
201304,0.76,-0.15
201305,1.24,0.18
201306,0.76,-0.10
201307,0.30,-0.01
201308,0.25,-0.04
201309,0.58,0.05
201310,0.47,-0.37
201311,0.61,-0.70
201312,0.33,-1.28
201401,0.48,-1.36
201402,2.35,0.82
201403,1.73,0.38
201404,0.47,-0.44
201405,0.80,-0.26
201406,0.23,-0.63
201407,0.72,0.41
201408,0.90,0.61
201409,0.65,0.12
201410,0.71,-0.13
201411,1.25,-0.06
201412,2.13,0.52
201501,0.18,-1.66
201502,1.44,-0.09
201503,0.36,-0.99
201504,0.65,-0.26
201505,2.19,1.13
201506,0.85,-0.01
201507,1.35,1.04
201508,0.12,-0.17
201509,0.26,-0.27
201510,1.25,0.41
201511,1.98,0.67
201512,2.01,0.40
201601,2.50,0.66
201602,0.45,-1.08
201603,1.54,0.19
201604,1.09,0.18
201605,1.80,0.74
201606,0.18,-0.68
201607,0.07,-0.24
201608,0.04,-0.25
201609,0.05,-0.48
201610,2.78,1.94
201611,0.50,-0.81
201612,2.87,1.26
201701,5.30,3.46
201702,3.36,1.83
201703,1.50,0.15
201704,1.48,0.57
201705,0.46,-0.60
201706,0.89,0.03
201707,0.17,-0.14
201708,0.40,0.11
201709,0.67,0.14
201710,0.39,-0.45
201711,2.00,0.69
201712,0.29,-1.32
201801,1.16,-0.68
201802,0.42,-1.11
201803,2.51,1.16
201804,1.66,0.75
201805,2.16,1.10
201806,0.38,-0.48
201807,0.28,-0.03
201808,0.01,-0.28
201809,0.01,-0.52
201810,0.56,-0.28
201811,1.32,0.01
201812,1.61,0.00
201901,2.52,0.68
201902,3.81,2.28
201903,2.27,0.92
201904,1.60,0.69
201905,1.83,0.77
201906,0.19,-0.67
201907,0.16,-0.15
201908,0.18,-0.11
201909,1.10,0.57
201910,0.30,-0.54
201911,0.42,-0.89
201912,2.35,0.74
202001,1.68,-0.16
