Franklin County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.89,0.21
200002,3.74,1.36
200003,3.25,0.55
200004,6.10,3.13
200005,6.26,2.88
200006,3.85,0.09
200007,4.62,0.65
200008,3.73,-0.10
200009,4.04,0.25
200010,1.66,-1.70
200011,3.10,-0.12
200012,3.75,0.81
200101,1.65,-1.03
200102,2.29,-0.09
200103,4.21,1.51
200104,0.68,-2.29
200105,3.29,-0.09
200106,3.80,0.04
200107,2.39,-1.58
200108,4.97,1.14
200109,3.26,-0.53
200110,3.10,-0.26
200111,2.87,-0.35
200112,2.52,-0.42
200201,2.43,-0.25
200202,1.98,-0.40
200203,2.38,-0.32
200204,4.10,1.13
200205,4.79,1.41
200206,7.02,3.26
200207,3.40,-0.57
200208,1.11,-2.72
200209,5.14,1.35
200210,4.58,1.22
200211,3.55,0.33
200212,1.43,-1.51
200301,1.52,-1.16
200302,1.70,-0.68
200303,3.53,0.83
200304,2.26,-0.71
200305,5.39,2.01
200306,3.15,-0.61
200307,4.12,0.15
200308,3.63,-0.20
200309,3.33,-0.46
200310,7.22,3.86
200311,4.39,1.17
200312,5.06,2.12
200401,1.34,-1.34
200402,1.37,-1.01
200403,2.71,0.01
200404,3.04,0.07
200405,4.68,1.30
200406,4.03,0.27
200407,4.51,0.54
200408,6.11,2.28
200409,2.90,-0.89
200410,1.77,-1.59
200411,3.20,-0.02
200412,4.51,1.57
200501,2.54,-0.14
200502,1.89,-0.49
200503,1.49,-1.21
200504,5.18,2.21
200505,1.89,-1.49
200506,4.06,0.30
200507,4.95,0.98
200508,4.22,0.39
200509,6.34,2.55
200510,7.89,4.53
200511,4.56,1.34
200512,3.08,0.14
200601,3.87,1.19
200602,2.44,0.06
200603,1.41,-1.29
200604,3.35,0.38
200605,4.48,1.10
200606,5.62,1.86
200607,4.24,0.27
200608,4.18,0.35
200609,3.59,-0.20
200610,5.53,2.17
200611,3.09,-0.13
200612,4.37,1.43
200701,3.49,0.81
200702,1.42,-0.96
200703,3.18,0.48
200704,4.72,1.75
200705,3.12,-0.26
200706,2.47,-1.29
200707,6.67,2.70
200708,1.85,-1.98
200709,3.92,0.13
200710,6.03,2.67
200711,4.72,1.50
200712,4.84,1.90
200801,2.12,-0.56
200802,3.98,1.60
200803,4.11,1.41
200804,2.62,-0.35
200805,2.94,-0.44
200806,4.70,0.94
200807,5.11,1.14
200808,3.87,0.04
200809,3.10,-0.69
200810,5.12,1.76
200811,2.64,-0.58
200812,4.75,1.81
200901,1.81,-0.87
200902,2.06,-0.32
200903,2.04,-0.66
200904,2.66,-0.31
200905,4.78,1.40
200906,3.20,-0.56
200907,6.01,2.04
200908,3.87,0.04
200909,3.29,-0.50
200910,4.44,1.08
200911,2.50,-0.72
200912,3.22,0.28
201001,1.82,-0.86
201002,1.71,-0.67
201003,2.26,-0.44
201004,2.57,-0.40
201005,1.91,-1.47
201006,6.61,2.85
201007,4.49,0.52
201008,5.15,1.32
201009,5.75,1.96
201010,7.72,4.36
201011,2.53,-0.69
201012,2.66,-0.28
201101,1.59,-1.09
201102,3.12,0.74
201103,4.33,1.63
201104,7.05,4.08
201105,7.36,3.98
201106,2.93,-0.83
201107,2.80,-1.17
201108,7.39,3.56
201109,5.56,1.77
201110,3.91,0.55
201111,2.15,-1.07
201112,3.18,0.24
201201,3.22,0.54
201202,1.81,-0.57
201203,2.09,-0.61
201204,3.44,0.47
201205,3.89,0.51
201206,3.70,-0.06
201207,3.42,-0.55
201208,1.96,-1.87
201209,6.29,2.50
201210,4.86,1.50
201211,1.00,-2.22
201212,5.10,2.16
201301,2.03,-0.65
201302,1.89,-0.49
201303,1.39,-1.31
201304,2.52,-0.45
201305,5.37,1.99
201306,9.19,5.43
201307,4.82,0.85
201308,3.56,-0.27
201309,4.76,0.97
201310,2.82,-0.54
201311,4.16,0.94
201312,3.53,0.59
201401,2.16,-0.52
201402,2.09,-0.29
201403,3.10,0.40
201404,4.35,1.38
201405,4.69,1.31
201406,5.97,2.21
201407,4.47,0.50
201408,3.92,0.09
201409,2.32,-1.47
201410,3.74,0.38
201411,2.25,-0.97
201412,3.09,0.15
201501,1.83,-0.85
201502,1.75,-0.63
201503,1.21,-1.49
201504,2.51,-0.46
201505,2.69,-0.69
201506,9.16,5.40
201507,3.64,-0.33
201508,3.54,-0.29
201509,4.33,0.54
201510,3.78,0.42
201511,2.12,-1.10
201512,4.64,1.70
201601,1.21,-1.47
201602,4.82,2.44
201603,3.17,0.47
201604,3.02,0.05
201605,2.06,-1.32
201606,3.84,0.08
201607,3.29,-0.68
201608,3.85,0.02
201609,2.41,-1.38
201610,6.02,2.66
201611,2.74,-0.48
201612,3.01,0.07
201701,2.74,0.06
201702,3.06,0.68
201703,3.25,0.55
201704,4.00,1.03
201705,6.14,2.76
201706,7.14,3.38
201707,5.05,1.08
201708,4.16,0.33
201709,1.96,-1.83
201710,5.33,1.97
201711,3.21,-0.01
201712,2.50,-0.44
201801,3.60,0.92
201802,2.59,0.21
201803,2.60,-0.10
201804,4.65,1.68
201805,2.74,-0.64
201806,4.15,0.39
201807,2.78,-1.19
201808,3.25,-0.58
201809,4.07,0.28
201810,4.17,0.81
201811,5.07,1.85
201812,3.00,0.06
201901,4.17,1.49
201902,2.59,0.21
201903,2.07,-0.63
201904,3.96,0.99
201905,5.56,2.18
201906,4.03,0.27
201907,2.79,-1.18
201908,3.74,-0.09
201909,4.18,0.39
201910,7.77,4.41
201911,3.96,0.74
201912,2.39,-0.55
202001,4.01,1.33
