Schuyler County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.38,0.49
200002,2.23,0.43
200003,1.88,-0.58
200004,4.40,1.50
200005,5.29,1.95
200006,5.19,1.47
200007,2.55,-0.98
200008,3.13,-0.22
200009,3.44,0.24
200010,3.01,0.24
200011,1.48,-1.10
200012,1.45,-0.70
200101,0.99,-0.90
200102,1.22,-0.58
200103,4.35,1.89
200104,1.18,-1.72
200105,2.36,-0.98
200106,3.57,-0.15
200107,2.00,-1.53
200108,2.53,-0.82
200109,4.79,1.59
200110,1.74,-1.03
200111,2.09,-0.49
200112,2.28,0.13
200201,1.68,-0.21
200202,1.55,-0.25
200203,2.51,0.05
200204,3.17,0.27
200205,5.71,2.37
200206,5.44,1.72
200207,1.74,-1.79
200208,1.80,-1.55
200209,4.12,0.92
200210,3.06,0.29
200211,2.62,0.04
200212,3.31,1.16
200301,2.19,0.30
200302,2.28,0.48
200303,2.15,-0.31
200304,1.77,-1.13
200305,3.92,0.58
200306,3.67,-0.05
200307,5.77,2.24
200308,3.97,0.62
200309,5.26,2.06
200310,3.49,0.72
200311,2.88,0.30
200312,3.36,1.21
200401,1.97,0.08
200402,1.08,-0.72
200403,1.85,-0.61
200404,4.05,1.15
200405,5.88,2.54
200406,2.97,-0.75
200407,7.19,3.66
200408,5.17,1.82
200409,6.17,2.97
200410,2.50,-0.27
200411,2.47,-0.11
200412,2.68,0.53
200501,3.87,1.98
200502,1.96,0.16
200503,2.27,-0.19
200504,4.40,1.50
200505,1.20,-2.14
200506,4.56,0.84
200507,2.28,-1.25
200508,4.48,1.13
200509,2.63,-0.57
200510,6.16,3.39
200511,4.01,1.43
200512,1.71,-0.44
200601,2.88,0.99
200602,1.44,-0.36
200603,1.65,-0.81
200604,2.31,-0.59
200605,2.84,-0.50
200606,5.82,2.10
200607,5.96,2.43
200608,4.69,1.34
200609,4.55,1.35
200610,4.61,1.84
200611,2.49,-0.09
200612,2.09,-0.06
200701,2.77,0.88
200702,1.64,-0.16
200703,2.79,0.33
200704,3.07,0.17
200705,1.21,-2.13
200706,2.88,-0.84
200707,3.89,0.36
200708,2.84,-0.51
200709,3.89,0.69
200710,3.18,0.41
200711,3.43,0.85
200712,4.07,1.92
200801,0.95,-0.94
200802,3.77,1.97
200803,4.56,2.10
200804,2.56,-0.34
200805,1.87,-1.47
200806,3.44,-0.28
200807,4.97,1.44
200808,4.13,0.78
200809,2.48,-0.72
200810,3.56,0.79
200811,2.01,-0.57
200812,3.26,1.11
200901,1.45,-0.44
200902,0.98,-0.82
200903,2.86,0.40
200904,1.86,-1.04
200905,3.69,0.35
200906,4.68,0.96
200907,3.44,-0.09
200908,4.51,1.16
200909,1.87,-1.33
200910,3.33,0.56
200911,1.19,-1.39
200912,2.02,-0.13
201001,2.17,0.28
201002,1.59,-0.21
201003,2.44,-0.02
201004,1.92,-0.98
201005,2.88,-0.46
201006,5.16,1.44
201007,4.30,0.77
201008,3.65,0.30
201009,3.10,-0.10
201010,5.49,2.72
201011,2.11,-0.47
201012,2.44,0.29
201101,0.99,-0.90
201102,3.66,1.86
201103,3.07,0.61
201104,6.99,4.09
201105,5.50,2.16
201106,2.44,-1.28
201107,1.22,-2.31
201108,4.79,1.44
201109,8.10,4.90
201110,4.68,1.91
201111,2.63,0.05
201112,2.46,0.31
201201,2.40,0.51
201202,0.81,-0.99
201203,1.65,-0.81
201204,2.37,-0.53
201205,3.25,-0.09
201206,3.04,-0.68
201207,2.80,-0.73
201208,3.03,-0.32
201209,4.20,1.00
201210,4.28,1.51
201211,0.79,-1.79
201212,5.14,2.99
201301,1.72,-0.17
201302,2.01,0.21
201303,0.81,-1.65
201304,2.93,0.03
201305,2.94,-0.40
201306,5.05,1.33
201307,5.13,1.60
201308,3.86,0.51
201309,3.17,-0.03
201310,3.29,0.52
201311,2.93,0.35
201312,2.47,0.32
201401,1.45,-0.44
201402,1.79,-0.01
201403,2.58,0.12
201404,2.91,0.01
201405,4.57,1.23
201406,4.44,0.72
201407,4.20,0.67
201408,4.34,0.99
201409,1.95,-1.25
201410,2.63,-0.14
201411,1.92,-0.66
201412,1.95,-0.20
201501,0.96,-0.93
201502,1.58,-0.22
201503,1.23,-1.23
201504,3.20,0.30
201505,3.14,-0.20
201506,6.51,2.79
201507,3.96,0.43
201508,1.93,-1.42
201509,4.38,1.18
201510,2.71,-0.06
201511,1.54,-1.04
201512,2.97,0.82
201601,1.24,-0.65
201602,3.36,1.56
201603,1.25,-1.21
201604,2.10,-0.80
201605,2.26,-1.08
201606,1.71,-2.01
201607,2.18,-1.35
201608,4.25,0.90
201609,2.00,-1.20
201610,7.73,4.96
201611,1.25,-1.33
201612,2.40,0.25
201701,2.43,0.54
201702,2.35,0.55
201703,2.74,0.28
201704,4.08,1.18
201705,5.15,1.81
201706,3.70,-0.02
201707,5.39,1.86
201708,2.60,-0.75
201709,2.32,-0.88
201710,5.72,2.95
201711,1.76,-0.82
201712,1.14,-1.01
201801,2.28,0.39
201802,1.92,0.12
201803,2.18,-0.28
201804,1.96,-0.94
201805,2.73,-0.61
201806,2.68,-1.04
201807,6.48,2.95
201808,6.39,3.04
201809,6.35,3.15
201810,4.19,1.42
201811,3.88,1.30
201812,2.76,0.61
201901,2.53,0.64
201902,1.87,0.07
201903,1.26,-1.20
201904,3.08,0.18
201905,4.30,0.96
201906,4.60,0.88
201907,4.27,0.74
201908,3.67,0.32
201909,1.93,-1.27
201910,5.68,2.91
201911,1.90,-0.68
201912,3.32,1.17
202001,1.90,0.01
