Philadelphia County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.42,0.05
200002,2.17,-0.77
200003,5.63,1.86
200004,3.40,-0.27
200005,3.59,-0.18
200006,4.26,0.50
200007,4.86,0.39
200008,5.18,0.51
200009,7.52,3.72
200010,1.18,-1.89
200011,2.65,-0.60
200012,3.41,-0.19
200101,2.96,-0.41
200102,2.93,-0.01
200103,5.78,2.01
200104,1.89,-1.78
200105,3.96,0.19
200106,5.33,1.57
200107,1.98,-2.49
200108,2.94,-1.73
200109,2.45,-1.35
200110,0.83,-2.24
200111,0.88,-2.37
200112,2.33,-1.27
200201,2.57,-0.80
200202,0.55,-2.39
200203,4.09,0.32
200204,2.75,-0.92
200205,4.19,0.42
200206,4.68,0.92
200207,1.99,-2.48
200208,2.95,-1.72
200209,3.84,0.04
200210,6.10,3.03
200211,4.77,1.52
200212,4.46,0.86
200301,1.99,-1.38
200302,5.16,2.22
200303,4.13,0.36
200304,2.31,-1.36
200305,4.59,0.82
200306,7.31,3.55
200307,2.51,-1.96
200308,3.84,-0.83
200309,6.13,2.33
200310,5.28,2.21
200311,4.13,0.88
200312,6.15,2.55
200401,1.74,-1.63
200402,2.67,-0.27
200403,3.41,-0.36
200404,6.14,2.47
200405,3.00,-0.77
200406,3.68,-0.08
200407,9.85,5.38
200408,4.76,0.09
200409,6.64,2.84
200410,2.20,-0.87
200411,4.61,1.36
200412,3.47,-0.13
200501,4.56,1.19
200502,2.49,-0.45
200503,3.89,0.12
200504,5.47,1.80
200505,1.77,-2.00
200506,3.54,-0.22
200507,5.61,1.14
200508,2.46,-2.21
200509,0.95,-2.85
200510,9.56,6.49
200511,3.32,0.07
200512,3.27,-0.33
200601,4.89,1.52
200602,1.54,-1.40
200603,1.16,-2.61
200604,3.83,0.16
200605,2.76,-1.01
200606,9.31,5.55
200607,5.37,0.90
200608,4.58,-0.09
200609,6.09,2.29
200610,5.75,2.68
200611,5.67,2.42
200612,2.31,-1.29
200701,3.67,0.30
200702,1.64,-1.30
200703,4.19,0.42
200704,9.11,5.44
200705,1.91,-1.86
200706,4.13,0.37
200707,2.98,-1.49
200708,3.55,-1.12
200709,0.97,-2.83
200710,5.43,2.36
200711,2.02,-1.23
200712,4.96,1.36
200801,1.88,-1.49
200802,4.97,2.03
200803,4.09,0.32
200804,2.39,-1.28
200805,4.60,0.83
200806,2.65,-1.11
200807,4.70,0.23
200808,1.58,-3.09
200809,5.27,1.47
200810,2.71,-0.36
200811,3.81,0.56
200812,5.89,2.29
200901,2.78,-0.59
200902,0.75,-2.19
200903,1.49,-2.28
200904,4.16,0.49
200905,4.93,1.16
200906,5.19,1.43
200907,4.82,0.35
200908,8.41,3.74
200909,4.06,0.26
200910,5.70,2.63
200911,2.12,-1.13
200912,7.72,4.12
201001,2.71,-0.66
201002,3.84,0.90
201003,7.32,3.55
201004,2.84,-0.83
201005,2.77,-1.00
201006,2.08,-1.68
201007,5.83,1.36
201008,1.56,-3.11
201009,2.87,-0.93
201010,6.32,3.25
201011,2.06,-1.19
201012,2.91,-0.69
201101,3.26,-0.11
201102,2.58,-0.36
201103,4.87,1.10
201104,5.69,2.02
201105,2.85,-0.92
201106,2.31,-1.45
201107,3.13,-1.34
201108,15.71,11.04
201109,9.43,5.63
201110,3.71,0.64
201111,4.11,0.86
201112,4.32,0.72
201201,3.05,-0.32
201202,1.45,-1.49
201203,1.49,-2.28
201204,2.66,-1.01
201205,4.23,0.46
201206,3.05,-0.71
201207,3.36,-1.11
201208,4.84,0.17
201209,5.50,1.70
201210,4.64,1.57
201211,1.21,-2.04
201212,4.77,1.17
201301,3.18,-0.19
201302,2.16,-0.78
201303,2.81,-0.96
201304,2.61,-1.06
201305,2.90,-0.87
201306,10.18,6.42
201307,7.01,2.54
201308,5.07,0.40
201309,2.44,-1.36
201310,2.46,-0.61
201311,2.89,-0.36
201312,4.83,1.23
201401,3.34,-0.03
201402,5.21,2.27
201403,3.96,0.19
201404,5.20,1.53
201405,5.00,1.23
201406,4.16,0.40
201407,5.13,0.66
201408,2.56,-2.11
201409,2.06,-1.74
201410,3.27,0.20
201411,4.61,1.36
201412,3.62,0.02
201501,4.07,0.70
201502,2.28,-0.66
201503,5.24,1.47
201504,3.42,-0.25
201505,0.63,-3.14
201506,8.30,4.54
201507,3.89,-0.58
201508,2.10,-2.57
201509,4.50,0.70
201510,3.92,0.85
201511,2.31,-0.94
201512,5.35,1.75
201601,2.43,-0.94
201602,4.35,1.41
201603,1.87,-1.90
201604,2.01,-1.66
201605,6.36,2.59
201606,1.99,-1.77
201607,6.62,2.15
201608,1.52,-3.15
201609,3.01,-0.79
201610,1.99,-1.08
201611,1.89,-1.36
201612,3.94,0.34
201701,3.01,-0.36
201702,1.39,-1.55
201703,3.26,-0.51
201704,3.73,0.06
201705,6.00,2.23
201706,3.22,-0.54
201707,5.42,0.95
201708,4.70,0.03
201709,1.83,-1.97
201710,4.62,1.55
201711,1.55,-1.70
201712,1.51,-2.09
201801,2.75,-0.62
201802,6.34,3.40
201803,4.18,0.41
201804,4.15,0.48
201805,5.51,1.74
201806,5.03,1.27
201807,4.66,0.19
201808,4.99,0.32
201809,10.09,6.29
201810,3.57,0.50
201811,9.17,5.92
201812,5.65,2.05
201901,4.51,1.14
201902,3.19,0.25
201903,4.26,0.49
201904,3.86,0.19
201905,6.09,2.32
201906,6.55,2.79
201907,5.76,1.29
201908,4.34,-0.33
201909,1.34,-2.46
201910,4.99,1.92
201911,1.72,-1.53
201912,5.64,2.04
202001,2.71,-0.66
