Providence County, Rhode Island, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.99,-0.01
200002,3.21,-0.26
200003,4.97,0.73
200004,6.12,2.00
200005,3.92,0.43
200006,5.18,1.67
200007,4.34,0.84
200008,2.74,-1.36
200009,3.73,-0.01
200010,1.78,-1.87
200011,4.06,-0.22
200012,4.90,0.67
200101,2.64,-1.36
200102,2.59,-0.88
200103,9.50,5.26
200104,1.94,-2.18
200105,3.79,0.30
200106,6.91,3.40
200107,3.07,-0.43
200108,4.77,0.67
200109,2.96,-0.78
200110,1.14,-2.51
200111,0.94,-3.34
200112,2.86,-1.37
200201,2.91,-1.09
200202,2.15,-1.32
200203,4.45,0.21
200204,3.52,-0.60
200205,5.71,2.22
200206,4.32,0.81
200207,1.81,-1.69
200208,2.93,-1.17
200209,5.02,1.28
200210,3.88,0.23
200211,6.20,1.92
200212,5.86,1.63
200301,2.49,-1.51
200302,4.43,0.96
200303,5.08,0.84
200304,4.53,0.41
200305,3.91,0.42
200306,6.46,2.95
200307,3.66,0.16
200308,4.73,0.63
200309,4.44,0.70
200310,6.79,3.14
200311,2.28,-2.00
200312,6.14,1.91
200401,1.79,-2.21
200402,2.04,-1.43
200403,2.89,-1.35
200404,8.48,4.36
200405,3.17,-0.32
200406,1.60,-1.91
200407,3.52,0.02
200408,6.31,2.21
200409,6.94,3.20
200410,2.20,-1.45
200411,4.62,0.34
200412,4.99,0.76
200501,5.31,1.31
200502,3.15,-0.32
200503,5.18,0.94
200504,5.72,1.60
200505,4.58,1.09
200506,1.24,-2.27
200507,2.63,-0.87
200508,3.68,-0.42
200509,3.01,-0.73
200510,15.57,11.92
200511,5.04,0.76
200512,4.08,-0.15
200601,5.44,1.44
200602,3.01,-0.46
200603,0.50,-3.74
200604,2.80,-1.32
200605,7.71,4.22
200606,11.63,8.12
200607,2.72,-0.78
200608,4.40,0.30
200609,2.56,-1.18
200610,6.87,3.22
200611,7.07,2.79
200612,2.26,-1.97
200701,3.22,-0.78
200702,2.32,-1.15
200703,6.04,1.80
200704,8.21,4.09
200705,3.23,-0.26
200706,3.23,-0.28
200707,3.89,0.39
200708,1.25,-2.85
200709,2.48,-1.26
200710,2.89,-0.76
200711,3.20,-1.08
200712,5.49,1.26
200801,3.29,-0.71
200802,8.03,4.56
200803,5.60,1.36
200804,4.17,0.05
200805,2.27,-1.22
200806,2.93,-0.58
200807,5.63,2.13
200808,3.54,-0.56
200809,9.11,5.37
200810,2.35,-1.30
200811,4.48,0.20
200812,8.06,3.83
200901,3.94,-0.06
200902,2.03,-1.44
200903,3.00,-1.24
200904,5.32,1.20
200905,3.16,-0.33
200906,4.66,1.15
200907,9.55,6.05
200908,3.26,-0.84
200909,2.19,-1.55
200910,6.91,3.26
200911,4.08,-0.20
200912,5.89,1.66
201001,3.70,-0.30
201002,4.87,1.40
201003,14.09,9.85
201004,2.01,-2.11
201005,3.19,-0.30
201006,3.75,0.24
201007,3.81,0.31
201008,3.94,-0.16
201009,3.14,-0.60
201010,4.94,1.29
201011,3.84,-0.44
201012,4.70,0.47
201101,4.67,0.67
201102,4.62,1.15
201103,2.98,-1.26
201104,5.38,1.26
201105,3.12,-0.37
201106,4.57,1.06
201107,2.96,-0.54
201108,9.69,5.59
201109,6.80,3.06
201110,7.91,4.26
201111,4.48,0.20
201112,4.38,0.15
201201,3.48,-0.52
201202,1.11,-2.36
201203,1.60,-2.64
201204,3.47,-0.65
201205,4.27,0.78
201206,4.64,1.13
201207,3.71,0.21
201208,4.11,0.01
201209,5.23,1.49
201210,5.06,1.41
201211,1.11,-3.17
201212,5.66,1.43
201301,1.93,-2.07
201302,5.19,1.72
201303,2.92,-1.32
201304,1.87,-2.25
201305,4.00,0.51
201306,10.73,7.22
201307,3.88,0.38
201308,3.14,-0.96
201309,3.20,-0.54
201310,1.11,-2.54
201311,4.10,-0.18
201312,4.26,0.03
201401,3.57,-0.43
201402,4.64,1.17
201403,5.17,0.93
201404,4.56,0.44
201405,3.53,0.04
201406,2.22,-1.29
201407,4.16,0.66
201408,3.09,-1.01
201409,0.91,-2.83
201410,4.94,1.29
201411,5.19,0.91
201412,5.69,1.46
201501,3.93,-0.07
201502,3.14,-0.33
201503,3.68,-0.56
201504,3.11,-1.01
201505,1.26,-2.23
201506,5.66,2.15
201507,2.77,-0.73
201508,2.14,-1.96
201509,3.63,-0.11
201510,3.98,0.33
201511,2.57,-1.71
201512,4.57,0.34
201601,3.38,-0.62
201602,5.36,1.89
201603,2.53,-1.71
201604,4.17,0.05
201605,3.49,0.00
201606,1.67,-1.84
201607,2.55,-0.95
201608,3.84,-0.26
201609,2.28,-1.46
201610,6.75,3.10
201611,2.92,-1.36
201612,3.35,-0.88
201701,4.61,0.61
201702,2.61,-0.86
201703,3.50,-0.74
201704,6.09,1.97
201705,6.03,2.54
201706,4.57,1.06
201707,4.35,0.85
201708,1.80,-2.30
201709,3.03,-0.71
201710,7.73,4.08
201711,2.49,-1.79
201712,2.92,-1.31
201801,5.68,1.68
201802,5.15,1.68
201803,5.86,1.62
201804,5.86,1.74
201805,2.29,-1.20
201806,3.07,-0.44
201807,3.40,-0.10
201808,5.15,1.05
201809,9.01,5.27
201810,6.30,2.65
201811,9.71,5.43
201812,4.54,0.31
201901,6.37,2.37
201902,3.35,-0.12
201903,3.27,-0.97
201904,7.50,3.38
201905,4.01,0.52
201906,4.02,0.51
201907,4.28,0.78
201908,4.92,0.82
201909,1.86,-1.88
201910,6.23,2.58
201911,3.24,-1.04
201912,7.39,3.16
202001,1.66,-2.34
