Charleston County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.75,0.42
200002,1.66,-1.84
200003,3.55,-0.30
200004,1.97,-0.88
200005,0.66,-2.77
200006,4.46,-0.66
200007,7.17,0.71
200008,4.14,-2.07
200009,7.77,2.55
200010,0.03,-3.06
200011,2.96,0.70
200012,2.33,-0.76
200101,1.16,-2.17
200102,2.02,-1.48
200103,6.14,2.29
200104,0.73,-2.12
200105,2.45,-0.98
200106,5.09,-0.03
200107,8.63,2.17
200108,4.43,-1.78
200109,3.39,-1.83
200110,0.63,-2.46
200111,0.73,-1.53
200112,1.88,-1.21
200201,2.46,-0.87
200202,2.44,-1.06
200203,3.68,-0.17
200204,1.65,-1.20
200205,2.56,-0.87
200206,8.03,2.91
200207,4.21,-2.25
200208,9.51,3.30
200209,5.92,0.70
200210,7.23,4.14
200211,5.50,3.24
200212,4.61,1.52
200301,0.95,-2.38
200302,2.75,-0.75
200303,5.82,1.97
200304,4.97,2.12
200305,5.62,2.19
200306,5.33,0.21
200307,8.99,2.53
200308,3.63,-2.58
200309,4.19,-1.03
200310,3.44,0.35
200311,0.83,-1.43
200312,2.25,-0.84
200401,1.51,-1.82
200402,4.14,0.64
200403,0.50,-3.35
200404,3.33,0.48
200405,2.89,-0.54
200406,3.35,-1.77
200407,4.61,-1.85
200408,12.20,5.99
200409,4.44,-0.78
200410,2.43,-0.66
200411,1.25,-1.01
200412,1.49,-1.60
200501,1.70,-1.63
200502,3.25,-0.25
200503,5.87,2.02
200504,2.04,-0.81
200505,5.45,2.02
200506,6.48,1.36
200507,3.45,-3.01
200508,6.77,0.56
200509,1.41,-3.81
200510,5.75,2.66
200511,4.87,2.61
200512,3.17,0.08
200601,2.42,-0.91
200602,3.63,0.13
200603,0.74,-3.11
200604,2.76,-0.09
200605,2.08,-1.35
200606,6.00,0.88
200607,2.76,-3.70
200608,6.82,0.61
200609,4.99,-0.23
200610,2.69,-0.40
200611,4.74,2.48
200612,2.61,-0.48
200701,3.45,0.12
200702,2.51,-0.99
200703,1.21,-2.64
200704,1.28,-1.57
200705,1.32,-2.11
200706,4.08,-1.04
200707,5.57,-0.89
200708,5.14,-1.07
200709,5.17,-0.05
200710,4.37,1.28
200711,0.04,-2.22
200712,3.54,0.45
200801,3.36,0.03
200802,2.89,-0.61
200803,2.46,-1.39
200804,3.01,0.16
200805,3.15,-0.28
200806,4.15,-0.97
200807,4.61,-1.85
200808,8.63,2.42
200809,5.44,0.22
200810,9.24,6.15
200811,2.47,0.21
200812,0.83,-2.26
200901,1.48,-1.85
200902,1.77,-1.73
200903,3.52,-0.33
200904,4.76,1.91
200905,5.13,1.70
200906,5.39,0.27
200907,6.61,0.15
200908,3.59,-2.62
200909,1.95,-3.27
200910,3.46,0.37
200911,2.96,0.70
200912,9.55,6.46
201001,5.92,2.59
201002,3.35,-0.15
201003,3.97,0.12
201004,1.15,-1.70
201005,2.99,-0.44
201006,3.92,-1.20
201007,6.68,0.22
201008,8.09,1.88
201009,7.06,1.84
201010,1.27,-1.82
201011,0.49,-1.77
201012,2.22,-0.87
201101,2.33,-1.00
201102,3.43,-0.07
201103,2.76,-1.09
201104,2.66,-0.19
201105,1.01,-2.42
201106,2.53,-2.59
201107,5.76,-0.70
201108,4.76,-1.45
201109,4.05,-1.17
201110,2.42,-0.67
201111,2.12,-0.14
201112,0.77,-2.32
201201,0.77,-2.56
201202,2.69,-0.81
201203,4.92,1.07
201204,1.96,-0.89
201205,5.09,1.66
201206,7.11,1.99
201207,5.00,-1.46
201208,9.36,3.15
201209,1.11,-4.11
201210,1.85,-1.24
201211,2.14,-0.12
201212,3.68,0.59
201301,0.68,-2.65
201302,8.64,5.14
201303,3.56,-0.29
201304,4.60,1.75
201305,2.70,-0.73
201306,10.23,5.11
201307,7.89,1.43
201308,6.49,0.28
201309,3.26,-1.96
201310,1.40,-1.69
201311,3.23,0.97
201312,2.22,-0.87
201401,2.76,-0.57
201402,2.83,-0.67
201403,4.88,1.03
201404,4.97,2.12
201405,2.47,-0.96
201406,2.89,-2.23
201407,6.03,-0.43
201408,5.61,-0.60
201409,9.85,4.63
201410,1.14,-1.95
201411,4.80,2.54
201412,3.06,-0.03
201501,3.69,0.36
201502,4.69,1.19
201503,3.32,-0.53
201504,3.96,1.11
201505,2.02,-1.41
201506,5.23,0.11
201507,3.71,-2.75
201508,10.34,4.13
201509,4.08,-1.14
201510,17.74,14.65
201511,7.91,5.65
201512,3.33,0.24
201601,3.51,0.18
201602,5.26,1.76
201603,3.62,-0.23
201604,1.97,-0.88
201605,5.74,2.31
201606,4.32,-0.80
201607,3.63,-2.83
201608,3.91,-2.30
201609,9.14,3.92
201610,9.97,6.88
201611,0.37,-1.89
201612,4.05,0.96
201701,3.89,0.56
201702,0.75,-2.75
201703,1.14,-2.71
201704,6.16,3.31
201705,5.55,2.12
201706,7.46,2.34
201707,6.58,0.12
201708,9.79,3.58
201709,6.30,1.08
201710,3.06,-0.03
201711,1.11,-1.15
201712,2.68,-0.41
201801,2.27,-1.06
201802,1.23,-2.27
201803,2.22,-1.63
201804,4.43,1.58
201805,6.45,3.02
201806,4.00,-1.12
201807,10.48,4.02
201808,4.42,-1.79
201809,3.36,-1.86
201810,3.37,0.28
201811,5.15,2.89
201812,8.11,5.02
201901,2.03,-1.30
201902,0.83,-2.67
201903,1.05,-2.80
201904,3.24,0.39
201905,1.28,-2.15
201906,6.96,1.84
201907,5.84,-0.62
201908,5.21,-1.00
201909,4.75,-0.47
201910,3.93,0.84
201911,3.45,1.19
201912,6.86,3.77
202001,1.66,-1.67
