Sullivan County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.51,-0.18
200002,2.27,-1.35
200003,3.88,-0.37
200004,3.89,0.41
200005,3.26,-0.79
200006,4.31,0.27
200007,4.49,-0.33
200008,4.23,0.30
200009,2.14,-0.86
200010,0.07,-2.57
200011,2.37,-0.42
200012,1.85,-1.71
200101,2.63,-1.06
200102,4.32,0.70
200103,3.94,-0.31
200104,2.10,-1.38
200105,4.37,0.32
200106,4.03,-0.01
200107,8.02,3.20
200108,5.33,1.40
200109,2.28,-0.72
200110,0.99,-1.65
200111,0.70,-2.09
200112,3.32,-0.24
200201,4.69,1.00
200202,1.03,-2.59
200203,6.16,1.91
200204,1.67,-1.81
200205,2.82,-1.23
200206,2.95,-1.09
200207,4.97,0.15
200208,2.58,-1.35
200209,3.38,0.38
200210,5.05,2.41
200211,5.06,2.27
200212,4.57,1.01
200301,2.59,-1.10
200302,6.79,3.17
200303,2.97,-1.28
200304,6.41,2.93
200305,5.52,1.47
200306,5.71,1.67
200307,6.71,1.89
200308,7.84,3.91
200309,4.66,1.66
200310,1.70,-0.94
200311,6.67,3.88
200312,3.30,-0.26
200401,2.94,-0.75
200402,3.24,-0.38
200403,3.92,-0.33
200404,4.75,1.27
200405,4.80,0.75
200406,5.23,1.19
200407,4.54,-0.28
200408,2.69,-1.24
200409,5.22,2.22
200410,3.48,0.84
200411,4.15,1.36
200412,3.41,-0.15
200501,2.87,-0.82
200502,2.57,-1.05
200503,3.04,-1.21
200504,5.26,1.78
200505,2.71,-1.34
200506,3.42,-0.62
200507,6.27,1.45
200508,3.47,-0.46
200509,0.77,-2.23
200510,1.78,-0.86
200511,3.08,0.29
200512,2.90,-0.66
200601,3.80,0.11
200602,2.74,-0.88
200603,2.90,-1.35
200604,5.88,2.40
200605,2.87,-1.18
200606,4.86,0.82
200607,2.86,-1.96
200608,4.86,0.93
200609,5.47,2.47
200610,3.85,1.21
200611,2.94,0.15
200612,1.82,-1.74
200701,2.31,-1.38
200702,1.23,-2.39
200703,2.37,-1.88
200704,3.16,-0.32
200705,1.54,-2.51
200706,3.83,-0.21
200707,4.63,-0.19
200708,1.07,-2.86
200709,1.34,-1.66
200710,2.46,-0.18
200711,1.71,-1.08
200712,3.25,-0.31
200801,2.91,-0.78
200802,3.41,-0.21
200803,4.24,-0.01
200804,3.56,0.08
200805,2.50,-1.55
200806,2.77,-1.27
200807,4.71,-0.11
200808,3.59,-0.34
200809,2.18,-0.82
200810,1.28,-1.36
200811,2.23,-0.56
200812,4.58,1.02
200901,5.65,1.96
200902,2.20,-1.42
200903,2.90,-1.35
200904,2.83,-0.65
200905,5.55,1.50
200906,4.10,0.06
200907,6.77,1.95
200908,3.60,-0.33
200909,5.60,2.60
200910,4.12,1.48
200911,2.70,-0.09
200912,6.63,3.07
201001,3.96,0.27
201002,2.34,-1.28
201003,2.28,-1.97
201004,2.28,-1.20
201005,3.41,-0.64
201006,2.94,-1.10
201007,2.80,-2.02
201008,6.51,2.58
201009,3.71,0.71
201010,2.70,0.06
201011,3.95,1.16
201012,3.15,-0.41
201101,1.98,-1.71
201102,3.71,0.09
201103,6.72,2.47
201104,5.28,1.80
201105,4.90,0.85
201106,3.77,-0.27
201107,3.25,-1.57
201108,2.05,-1.88
201109,4.13,1.13
201110,3.09,0.45
201111,4.46,1.67
201112,4.50,0.94
201201,4.35,0.66
201202,3.84,0.22
201203,3.35,-0.90
201204,4.06,0.58
201205,2.74,-1.31
201206,1.36,-2.68
201207,8.75,3.93
201208,2.93,-1.00
201209,5.87,2.87
201210,3.13,0.49
201211,0.69,-2.10
201212,4.16,0.60
201301,9.34,5.65
201302,2.14,-1.48
201303,4.42,0.17
201304,4.54,1.06
201305,5.12,1.07
201306,6.46,2.42
201307,6.97,2.15
201308,4.41,0.48
201309,2.18,-0.82
201310,1.01,-1.63
201311,3.45,0.66
201312,6.01,2.45
201401,1.96,-1.73
201402,3.35,-0.27
201403,2.36,-1.89
201404,2.45,-1.03
201405,2.73,-1.32
201406,3.86,-0.18
201407,4.94,0.12
201408,4.32,0.39
201409,1.83,-1.17
201410,6.37,3.73
201411,2.72,-0.07
201412,3.08,-0.48
201501,2.28,-1.41
201502,2.97,-0.65
201503,3.93,-0.32
201504,5.46,1.98
201505,1.66,-2.39
201506,4.16,0.12
201507,6.42,1.60
201508,4.48,0.55
201509,3.22,0.22
201510,4.02,1.38
201511,4.36,1.57
201512,5.83,2.27
201601,2.63,-1.06
201602,4.74,1.12
201603,1.24,-3.01
201604,3.52,0.04
201605,3.81,-0.24
201606,3.10,-0.94
201607,3.90,-0.92
201608,3.94,0.01
201609,2.41,-0.59
201610,1.10,-1.54
201611,2.42,-0.37
201612,5.85,2.29
201701,3.40,-0.29
201702,2.06,-1.56
201703,4.51,0.26
201704,6.09,2.61
201705,7.64,3.59
201706,2.66,-1.38
201707,3.88,-0.94
201708,4.82,0.89
201709,1.39,-1.61
201710,5.52,2.88
201711,1.27,-1.52
201712,1.88,-1.68
201801,1.77,-1.92
201802,6.91,3.29
201803,4.73,0.48
201804,3.72,0.24
201805,6.11,2.06
201806,4.24,0.20
201807,3.88,-0.94
201808,5.38,1.45
201809,4.79,1.79
201810,4.03,1.39
201811,5.01,2.22
201812,5.32,1.76
201901,4.12,0.43
201902,9.47,5.85
201903,3.36,-0.89
201904,5.00,1.52
201905,3.61,-0.44
201906,7.16,3.12
201907,5.02,0.20
201908,3.98,0.05
201909,0.38,-2.62
201910,6.45,3.81
201911,4.94,2.15
201912,4.72,1.16
202001,4.43,0.74
