Tom Green County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.12,-0.77
200002,0.28,-0.82
200003,0.87,-0.21
200004,0.49,-1.60
200005,1.25,-1.76
200006,4.67,2.31
200007,0.29,-1.51
200008,0.03,-2.08
200009,0.71,-2.24
200010,4.66,2.32
200011,3.37,2.17
200012,0.63,-0.35
200101,1.38,0.49
200102,1.77,0.67
200103,1.45,0.37
200104,0.87,-1.22
200105,2.36,-0.65
200106,0.44,-1.92
200107,0.55,-1.25
200108,3.20,1.09
200109,2.07,-0.88
200110,1.25,-1.09
200111,3.54,2.34
200112,0.21,-0.77
200201,0.45,-0.44
200202,1.32,0.22
200203,1.53,0.45
200204,0.44,-1.65
200205,1.07,-1.94
200206,1.61,-0.75
200207,3.35,1.55
200208,0.64,-1.47
200209,1.54,-1.41
200210,5.07,2.73
200211,0.66,-0.54
200212,1.49,0.51
200301,0.22,-0.67
200302,1.80,0.70
200303,1.60,0.52
200304,0.19,-1.90
200305,1.63,-1.38
200306,5.22,2.86
200307,1.02,-0.78
200308,2.36,0.25
200309,3.10,0.15
200310,3.30,0.96
200311,0.94,-0.26
200312,0.00,-0.98
200401,1.52,0.63
200402,1.82,0.72
200403,1.81,0.73
200404,2.48,0.39
200405,0.82,-2.19
200406,4.86,2.50
200407,2.89,1.09
200408,4.55,2.44
200409,1.74,-1.21
200410,5.45,3.11
200411,5.73,4.53
200412,0.49,-0.49
200501,0.61,-0.28
200502,2.46,1.36
200503,2.75,1.67
200504,0.04,-2.05
200505,4.40,1.39
200506,1.19,-1.17
200507,2.18,0.38
200508,5.98,3.87
200509,0.17,-2.78
200510,3.81,1.47
200511,0.00,-1.20
200512,0.05,-0.93
200601,0.19,-0.70
200602,0.58,-0.52
200603,2.34,1.26
200604,1.36,-0.73
200605,1.41,-1.60
200606,0.69,-1.67
200607,1.03,-0.77
200608,3.53,1.42
200609,2.54,-0.41
200610,2.12,-0.22
200611,0.03,-1.17
200612,1.02,0.04
200701,1.84,0.95
200702,0.47,-0.63
200703,5.10,4.02
200704,2.53,0.44
200705,4.94,1.93
200706,5.32,2.96
200707,2.67,0.87
200708,5.85,3.74
200709,1.98,-0.97
200710,0.84,-1.50
200711,1.00,-0.20
200712,0.29,-0.69
200801,0.33,-0.56
200802,0.23,-0.87
200803,4.34,3.26
200804,1.52,-0.57
200805,1.26,-1.75
200806,2.45,0.09
200807,0.72,-1.08
200808,3.92,1.81
200809,2.86,-0.09
200810,1.66,-0.68
200811,0.19,-1.01
200812,0.03,-0.95
200901,0.07,-0.82
200902,0.47,-0.63
200903,1.82,0.74
200904,4.33,2.24
200905,0.91,-2.10
200906,2.72,0.36
200907,5.42,3.62
200908,1.48,-0.63
200909,4.38,1.43
200910,2.75,0.41
200911,0.06,-1.14
200912,1.96,0.98
201001,2.27,1.38
201002,2.70,1.60
201003,1.51,0.43
201004,2.91,0.82
201005,1.88,-1.13
201006,2.30,-0.06
201007,3.66,1.86
201008,0.86,-1.25
201009,2.48,-0.47
201010,1.62,-0.72
201011,0.01,-1.19
201012,0.98,0.00
201101,0.47,-0.42
201102,0.37,-0.73
201103,0.11,-0.97
201104,0.26,-1.83
201105,1.12,-1.89
201106,0.74,-1.62
201107,0.07,-1.73
201108,1.72,-0.39
201109,0.44,-2.51
201110,2.92,0.58
201111,0.32,-0.88
201112,1.38,0.40
201201,2.97,2.08
201202,2.42,1.32
201203,1.51,0.43
201204,0.76,-1.33
201205,4.13,1.12
201206,0.65,-1.71
201207,1.05,-0.75
201208,1.21,-0.90
201209,6.92,3.97
201210,0.31,-2.03
201211,0.02,-1.18
201212,0.18,-0.80
201301,1.56,0.67
201302,0.30,-0.80
201303,0.04,-1.04
201304,0.96,-1.13
201305,3.56,0.55
201306,2.26,-0.10
201307,4.32,2.52
201308,0.77,-1.34
201309,4.26,1.31
201310,2.59,0.25
201311,0.95,-0.25
201312,1.18,0.20
201401,0.00,-0.89
201402,0.08,-1.02
201403,0.05,-1.03
201404,0.42,-1.67
201405,5.55,2.54
201406,2.13,-0.23
201407,1.20,-0.60
201408,1.71,-0.40
201409,2.00,-0.95
201410,0.59,-1.75
201411,2.94,1.74
201412,0.48,-0.50
201501,1.79,0.90
201502,0.36,-0.74
201503,2.18,1.10
201504,1.46,-0.63
201505,8.69,5.68
201506,3.49,1.13
201507,1.79,-0.01
201508,0.77,-1.34
201509,0.36,-2.59
201510,3.44,1.10
201511,2.60,1.40
201512,2.10,1.12
201601,0.06,-0.83
201602,0.73,-0.37
201603,2.94,1.86
201604,4.46,2.37
201605,5.62,2.61
201606,5.72,3.36
201607,0.10,-1.70
201608,3.03,0.92
201609,5.82,2.87
201610,0.67,-1.67
201611,3.71,2.51
201612,0.82,-0.16
201701,1.61,0.72
201702,1.76,0.66
201703,0.54,-0.54
201704,1.98,-0.11
201705,1.94,-1.07
201706,2.01,-0.35
201707,2.22,0.42
201708,3.25,1.14
201709,3.17,0.22
201710,0.46,-1.88
201711,1.06,-0.14
201712,1.15,0.17
201801,0.03,-0.86
201802,1.26,0.16
201803,1.06,-0.02
201804,0.18,-1.91
201805,2.77,-0.24
201806,1.02,-1.34
201807,1.22,-0.58
201808,3.65,1.54
201809,6.92,3.97
201810,10.44,8.10
201811,0.48,-0.72
201812,2.71,1.73
201901,0.43,-0.46
201902,0.22,-0.88
201903,1.00,-0.08
201904,3.41,1.32
201905,4.80,1.79
201906,3.10,0.74
201907,1.33,-0.47
201908,0.96,-1.15
201909,0.63,-2.32
201910,0.73,-1.61
201911,1.20,0.00
201912,1.22,0.24
202001,1.15,0.26
