Sweetwater County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.39,-0.12
200002,0.76,0.20
200003,0.64,-0.04
200004,0.81,-0.19
200005,1.08,-0.20
200006,0.40,-0.49
200007,0.31,-0.51
200008,0.71,-0.10
200009,1.51,0.60
200010,0.87,-0.03
200011,0.57,-0.02
200012,0.30,-0.18
200101,0.30,-0.21
200102,0.61,0.05
200103,0.28,-0.40
200104,1.09,0.09
200105,0.62,-0.66
200106,0.38,-0.51
200107,0.63,-0.19
200108,0.93,0.12
200109,0.32,-0.59
200110,0.41,-0.49
200111,0.58,-0.01
200112,0.28,-0.20
200201,0.14,-0.37
200202,0.05,-0.51
200203,0.73,0.05
200204,0.67,-0.33
200205,0.41,-0.87
200206,0.15,-0.74
200207,0.66,-0.16
200208,0.34,-0.47
200209,0.80,-0.11
200210,0.96,0.06
200211,0.38,-0.21
200212,0.28,-0.20
200301,0.14,-0.37
200302,0.67,0.11
200303,0.80,0.12
200304,0.51,-0.49
200305,1.11,-0.17
200306,1.88,0.99
200307,0.11,-0.71
200308,0.80,-0.01
200309,0.85,-0.06
200310,0.40,-0.50
200311,0.53,-0.06
200312,0.69,0.21
200401,0.16,-0.35
200402,0.70,0.14
200403,0.15,-0.53
200404,1.30,0.30
200405,0.69,-0.59
200406,1.36,0.47
200407,0.78,-0.04
200408,1.03,0.22
200409,1.56,0.65
200410,1.86,0.96
200411,0.58,-0.01
200412,0.23,-0.25
200501,0.90,0.39
200502,0.32,-0.24
200503,0.52,-0.16
200504,1.17,0.17
200505,1.75,0.47
200506,0.89,0.00
200507,0.20,-0.62
200508,0.90,0.09
200509,0.88,-0.03
200510,0.90,0.00
200511,0.38,-0.21
200512,0.37,-0.11
200601,0.48,-0.03
200602,0.31,-0.25
200603,0.53,-0.15
200604,0.46,-0.54
200605,0.41,-0.87
200606,0.41,-0.48
200607,0.32,-0.50
200608,1.03,0.22
200609,1.11,0.20
200610,1.37,0.47
200611,0.34,-0.25
200612,0.37,-0.11
200701,0.35,-0.16
200702,0.34,-0.22
200703,0.64,-0.04
200704,0.26,-0.74
200705,0.95,-0.33
200706,0.24,-0.65
200707,0.96,0.14
200708,1.63,0.82
200709,1.39,0.48
200710,0.89,-0.01
200711,0.04,-0.55
200712,0.61,0.13
200801,0.44,-0.07
200802,0.78,0.22
200803,0.52,-0.16
200804,0.19,-0.81
200805,1.44,0.16
200806,0.60,-0.29
200807,0.20,-0.62
200808,0.57,-0.24
200809,1.51,0.60
200810,0.80,-0.10
200811,0.27,-0.32
200812,0.55,0.07
200901,0.68,0.17
200902,0.32,-0.24
200903,0.75,0.07
200904,1.84,0.84
200905,1.21,-0.07
200906,2.32,1.43
200907,0.71,-0.11
200908,0.78,-0.03
200909,0.50,-0.41
200910,1.35,0.45
200911,0.28,-0.31
200912,0.39,-0.09
201001,0.15,-0.36
201002,0.21,-0.35
201003,0.75,0.07
201004,1.49,0.49
201005,1.61,0.33
201006,1.43,0.54
201007,0.79,-0.03
201008,0.84,0.03
201009,0.23,-0.68
201010,0.98,0.08
201011,0.43,-0.16
201012,1.53,1.05
201101,0.25,-0.26
201102,0.52,-0.04
201103,0.63,-0.05
201104,1.45,0.45
201105,2.83,1.55
201106,0.81,-0.08
201107,1.19,0.37
201108,0.41,-0.40
201109,0.48,-0.43
201110,0.81,-0.09
201111,1.09,0.50
201112,0.36,-0.12
201201,0.30,-0.21
201202,0.69,0.13
201203,0.18,-0.50
201204,0.58,-0.42
201205,0.48,-0.80
201206,0.01,-0.88
201207,0.79,-0.03
201208,0.15,-0.66
201209,0.59,-0.32
201210,0.69,-0.21
201211,0.42,-0.17
201212,0.57,0.09
201301,0.26,-0.25
201302,0.55,-0.01
201303,0.32,-0.36
201304,0.89,-0.11
201305,1.04,-0.24
201306,0.02,-0.87
201307,0.52,-0.30
201308,0.55,-0.26
201309,2.33,1.42
201310,1.61,0.71
201311,0.20,-0.39
201312,0.79,0.31
201401,0.29,-0.22
201402,0.38,-0.18
201403,0.90,0.22
201404,0.38,-0.62
201405,1.01,-0.27
201406,0.46,-0.43
201407,0.73,-0.09
201408,2.28,1.47
201409,1.95,1.04
201410,0.32,-0.58
201411,0.53,-0.06
201412,0.79,0.31
201501,0.10,-0.41
201502,0.27,-0.29
201503,0.57,-0.11
201504,1.07,0.07
201505,4.06,2.78
201506,1.19,0.30
201507,1.86,1.04
201508,0.56,-0.25
201509,0.67,-0.24
201510,0.46,-0.44
201511,0.69,0.10
201512,0.68,0.20
201601,0.69,0.18
201602,0.48,-0.08
201603,1.37,0.69
201604,1.90,0.90
201605,2.80,1.52
201606,0.45,-0.44
201607,0.41,-0.41
201608,0.47,-0.34
201609,1.91,1.00
201610,1.17,0.27
201611,0.48,-0.11
201612,0.73,0.25
201701,1.53,1.02
201702,1.14,0.58
201703,1.74,1.06
201704,1.07,0.07
201705,1.11,-0.17
201706,0.15,-0.74
201707,0.52,-0.30
201708,1.06,0.25
201709,1.49,0.58
201710,0.21,-0.69
201711,0.59,0.00
201712,0.55,0.07
201801,0.34,-0.17
201802,0.55,-0.01
201803,0.69,0.01
201804,0.65,-0.35
201805,1.83,0.55
201806,0.72,-0.17
201807,0.39,-0.43
201808,0.64,-0.17
201809,0.04,-0.87
201810,1.61,0.71
201811,0.51,-0.08
201812,0.37,-0.11
201901,0.77,0.26
201902,0.78,0.22
201903,0.97,0.29
201904,1.64,0.64
201905,1.85,0.57
201906,0.69,-0.20
201907,0.19,-0.63
201908,0.42,-0.39
201909,1.56,0.65
201910,0.35,-0.55
201911,0.78,0.19
201912,0.76,0.28
202001,0.47,-0.04
