Benton County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,38.2,3.2
200002,46.7,7.6
200003,51.1,3.5
200004,55.9,-1.5
200005,67.8,2.3
200006,71.1,-2.5
200007,77.3,-0.8
200008,81.7,4.4
200009,71.4,1.3
200010,61.4,2.2
200011,41.5,-5.4
200012,27.0,-10.8
200101,33.3,-1.7
200102,40.6,1.5
200103,43.9,-3.7
200104,62.5,5.1
200105,66.3,0.8
200106,73.0,-0.6
200107,80.7,2.6
200108,79.4,2.1
200109,68.0,-2.1
200110,57.6,-1.6
200111,52.4,5.5
200112,41.0,3.2
200201,38.2,3.2
200202,39.0,-0.1
200203,43.8,-3.8
200204,60.4,3.0
200205,63.8,-1.7
200206,73.6,0.0
200207,78.3,0.2
200208,77.7,0.4
200209,72.1,2.0
200210,56.2,-3.0
200211,44.8,-2.1
200212,39.3,1.5
200301,33.4,-1.6
200302,36.7,-2.4
200303,48.2,0.6
200304,58.7,1.3
200305,65.9,0.4
200306,69.9,-3.7
200307,78.7,0.6
200308,79.7,2.4
200309,66.5,-3.6
200310,59.7,0.5
200311,50.1,3.2
200312,40.1,2.3
200401,37.2,2.2
200402,37.8,-1.3
200403,52.0,4.4
200404,57.7,0.3
200405,68.0,2.5
200406,71.9,-1.7
200407,74.5,-3.6
200408,72.6,-4.7
200409,70.2,0.1
200410,62.3,3.1
200411,50.5,3.6
200412,39.3,1.5
200501,40.2,5.2
200502,44.2,5.1
200503,46.6,-1.0
200504,57.5,0.1
200505,64.3,-1.2
200506,74.8,1.2
200507,77.9,-0.2
200508,79.6,2.3
200509,74.7,4.6
200510,60.0,0.8
200511,51.2,4.3
200512,36.3,-1.5
200601,45.7,10.7
200602,38.6,-0.5
200603,50.8,3.2
200604,64.1,6.7
200605,67.4,1.9
200606,73.4,-0.2
200607,80.3,2.2
200608,81.0,3.7
200609,66.3,-3.8
200610,57.8,-1.4
200611,49.7,2.8
200612,41.4,3.6
200701,34.2,-0.8
200702,37.2,-1.9
200703,57.0,9.4
200704,54.1,-3.3
200705,67.8,2.3
200706,73.4,-0.2
200707,76.0,-2.1
200708,81.2,3.9
200709,71.4,1.3
200710,61.7,2.5
200711,49.5,2.6
200712,38.7,0.9
200801,35.5,0.5
200802,38.8,-0.3
200803,49.1,1.5
200804,55.0,-2.4
200805,65.1,-0.4
200806,74.0,0.4
200807,77.6,-0.5
200808,75.1,-2.2
200809,67.5,-2.6
200810,57.2,-2.0
200811,46.6,-0.3
200812,36.9,-0.9
200901,34.4,-0.6
200902,44.4,5.3
200903,50.0,2.4
200904,56.1,-1.3
200905,63.7,-1.8
200906,75.8,2.2
200907,75.6,-2.5
200908,74.0,-3.3
200909,67.0,-3.1
200910,53.3,-5.9
200911,51.7,4.8
200912,33.7,-4.1
201001,32.1,-2.9
201002,32.4,-6.7
201003,47.2,-0.4
201004,60.2,2.8
201005,66.6,1.1
201006,77.8,4.2
201007,79.8,1.7
201008,82.5,5.2
201009,71.7,1.6
201010,59.4,0.2
201011,49.8,2.9
201012,35.2,-2.6
201101,32.4,-2.6
201102,38.4,-0.7
201103,49.5,1.9
201104,60.0,2.6
201105,63.9,-1.6
201106,78.8,5.2
201107,85.0,6.9
201108,82.7,5.4
201109,66.1,-4.0
201110,59.0,-0.2
201111,49.7,2.8
201112,40.3,2.5
201201,41.4,6.4
201202,43.5,4.4
201203,58.6,11.0
201204,62.0,4.6
201205,70.2,4.7
201206,76.5,2.9
201207,84.4,6.3
