Coconino County, Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,37.4,5.5
200002,40.5,4.0
200003,42.5,0.6
200004,54.9,5.4
200005,64.0,6.1
200006,71.2,3.8
200007,75.2,2.0
200008,73.0,1.9
200009,67.1,2.6
200010,52.6,-0.5
200011,35.7,-5.4
200012,37.2,4.3
200101,32.1,0.2
200102,36.5,0.0
200103,44.9,3.0
200104,50.3,0.8
200105,63.5,5.6
200106,70.6,3.2
200107,73.1,-0.1
200108,72.4,1.3
200109,68.4,3.9
200110,57.2,4.1
200111,44.1,3.0
200112,31.5,-1.4
200201,33.9,2.0
200202,37.8,1.3
200203,41.7,-0.2
200204,54.9,5.4
200205,60.2,2.3
200206,72.0,4.6
200207,77.2,4.0
200208,73.9,2.8
200209,65.2,0.7
200210,51.8,-1.3
200211,42.4,1.3
200212,32.2,-0.7
200301,40.5,8.6
200302,37.5,1.0
200303,43.4,1.5
200304,48.0,-1.5
200305,61.8,3.9
200306,69.9,2.5
200307,78.1,4.9
200308,73.5,2.4
200309,67.2,2.7
200310,59.3,6.2
200311,40.5,-0.6
200312,34.5,1.6
200401,33.8,1.9
200402,33.7,-2.8
200403,50.5,8.6
200404,50.3,0.8
200405,61.4,3.5
200406,69.4,2.0
200407,73.6,0.4
200408,70.7,-0.4
200409,63.8,-0.7
200410,51.6,-1.5
200411,39.9,-1.2
200412,34.7,1.8
200501,37.6,5.7
200502,38.5,2.0
200503,42.7,0.8
200504,49.6,0.1
200505,60.6,2.7
200506,66.4,-1.0
200507,76.5,3.3
200508,70.3,-0.8
200509,65.3,0.8
200510,54.7,1.6
200511,44.5,3.4
200512,35.2,2.3
200601,35.3,3.4
200602,39.0,2.5
200603,40.0,-1.9
200604,52.0,2.5
200605,62.9,5.0
200606,72.3,4.9
200607,75.7,2.5
200608,71.1,0.0
200609,61.8,-2.7
200610,51.6,-1.5
200611,44.2,3.1
200612,33.8,0.9
200701,30.4,-1.5
200702,39.2,2.7
200703,47.1,5.2
200704,52.4,2.9
200705,61.3,3.4
200706,70.8,3.4
200707,76.5,3.3
200708,73.8,2.7
200709,66.2,1.7
200710,53.9,0.8
200711,46.9,5.8
200712,31.3,-1.6
200801,30.1,-1.8
200802,36.9,0.4
200803,44.4,2.5
200804,50.1,0.6
200805,55.9,-2.0
200806,69.7,2.3
200807,74.9,1.7
200808,73.5,2.4
200809,65.9,1.4
200810,54.9,1.8
200811,45.6,4.5
200812,33.6,0.7
200901,36.6,4.7
200902,38.2,1.7
200903,44.9,3.0
200904,49.4,-0.1
200905,63.6,5.7
200906,65.4,-2.0
200907,76.0,2.8
200908,72.4,1.3
200909,66.4,1.9
200910,51.1,-2.0
200911,44.6,3.5
200912,29.2,-3.7
201001,33.2,1.3
201002,35.9,-0.6
201003,41.9,0.0
201004,48.5,-1.0
201005,55.4,-2.5
201006,69.0,1.6
201007,75.2,2.0
201008,71.6,0.5
201009,68.0,3.5
201010,54.5,1.4
201011,40.0,-1.1
201012,38.6,5.7
201101,33.2,1.3
201102,34.0,-2.5
201103,45.4,3.5
201104,50.1,0.6
201105,55.6,-2.3
201106,68.2,0.8
201107,74.0,0.8
201108,75.2,4.1
201109,66.5,2.0
201110,54.4,1.3
201111,41.7,0.6
201112,32.0,-0.9
201201,37.5,5.6
201202,37.2,0.7
201203,44.8,2.9
201204,53.4,3.9
201205,62.3,4.4
201206,72.3,4.9
201207,73.9,0.7
201208,73.6,2.5
201209,66.2,1.7
201210,56.1,3.0
201211,45.4,4.3
201212,33.3,0.4
201301,29.6,-2.3
201302,34.2,-2.3
201303,47.2,5.3
201304,51.8,2.3
201305,59.6,1.7
201306,73.2,5.8
201307,74.9,1.7
201308,71.2,0.1
201309,64.3,-0.2
201310,50.3,-2.8
201311,42.6,1.5
201312,31.8,-1.1
201401,38.4,6.5
201402,42.0,5.5
201403,46.0,4.1
201404,51.2,1.7
201405,59.0,1.1
201406,70.6,3.2
201407,75.5,2.3
201408,69.7,-1.4
201409,67.1,2.6
201410,57.3,4.2
201411,44.3,3.2
201412,36.0,3.1
201501,37.2,5.3
201502,44.4,7.9
201503,48.7,6.8
201504,50.7,1.2
201505,55.4,-2.5
201506,71.4,4.0
201507,72.0,-1.2
201508,72.9,1.8
201509,68.0,3.5
201510,56.5,3.4
201511,39.8,-1.3
201512,32.6,-0.3
201601,33.6,1.7
201602,42.1,5.6
201603,47.2,5.3
201604,50.8,1.3
201605,57.0,-0.9
201606,73.8,6.4
201607,75.6,2.4
201608,70.2,-0.9
201609,64.1,-0.4
201610,57.8,4.7
201611,44.9,3.8
201612,35.8,2.9
201701,33.7,1.8
201702,41.6,5.1
201703,48.8,6.9
201704,51.8,2.3
201705,58.5,0.6
201706,73.4,6.0
201707,75.5,2.3
201708,72.3,1.2
201709,64.6,0.1
201710,56.3,3.2
201711,49.2,8.1
201712,38.7,5.8
201801,39.2,7.3
201802,38.6,2.1
201803,44.1,2.2
201804,55.3,5.8
201805,61.2,3.3
201806,72.7,5.3
201807,76.2,3.0
201808,73.7,2.6
201809,68.4,3.9
201810,51.6,-1.5
201811,41.3,0.2
201812,34.8,1.9
201901,34.2,2.3
201902,32.4,-4.1
201903,44.1,2.2
201904,53.0,3.5
201905,52.8,-5.1
201906,67.8,0.4
201907,74.9,1.7
201908,75.2,4.1
201909,67.0,2.5
201910,51.2,-1.9
201911,43.8,2.7
201912,33.2,0.3
202001,35.5,3.6
