Maricopa County, Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,55.3,4.5
200002,58.1,3.4
200003,60.7,1.6
200004,71.6,5.3
200005,80.6,6.1
200006,87.4,3.7
200007,91.0,1.6
200008,89.5,1.8
200009,85.7,3.4
200010,70.0,-0.9
200011,53.2,-5.8
200012,53.8,2.2
200101,51.0,0.2
200102,53.5,-1.2
200103,61.2,2.1
200104,67.1,0.8
200105,81.7,7.2
200106,87.5,3.8
200107,90.2,0.8
200108,89.7,2.0
200109,86.7,4.4
200110,74.5,3.6
200111,63.8,4.8
200112,50.0,-1.6
200201,52.0,1.2
200202,56.9,2.2
200203,59.9,0.8
200204,71.3,5.0
200205,76.1,1.6
200206,88.0,4.3
200207,91.8,2.4
200208,89.9,2.2
200209,85.0,2.7
200210,70.2,-0.7
200211,62.1,3.1
200212,51.4,-0.2
200301,58.8,8.0
200302,55.6,0.9
200303,60.2,1.1
200304,65.1,-1.2
200305,77.7,3.2
200306,85.6,1.9
200307,93.0,3.6
200308,90.2,2.5
200309,85.5,3.2
200310,78.1,7.2
200311,58.3,-0.7
200312,53.0,1.4
200401,53.9,3.1
200402,52.7,-2.0
200403,68.9,9.8
200404,68.9,2.6
200405,78.5,4.0
200406,85.5,1.8
200407,90.2,0.8
200408,88.7,1.0
200409,83.4,1.1
200410,70.3,-0.6
200411,56.9,-2.1
200412,52.6,1.0
200501,54.3,3.5
200502,56.1,1.4
200503,59.4,0.3
200504,67.1,0.8
200505,77.7,3.2
200506,84.7,1.0
200507,92.2,2.8
200508,88.4,0.7
200509,84.1,1.8
200510,73.1,2.2
200511,62.6,3.6
200512,53.5,1.9
200601,54.0,3.2
200602,57.7,3.0
200603,58.2,-0.9
200604,67.9,1.6
200605,79.7,5.2
200606,89.8,6.1
200607,93.1,3.7
200608,89.2,1.5
200609,81.5,-0.8
200610,71.3,0.4
200611,62.9,3.9
200612,51.1,-0.5
200701,49.8,-1.0
200702,56.7,2.0
200703,65.0,5.9
200704,69.0,2.7
200705,78.6,4.1
200706,86.8,3.1
200707,91.6,2.2
200708,91.6,3.9
200709,85.0,2.7
200710,73.2,2.3
200711,65.6,6.6
200712,49.5,-2.1
200801,51.1,0.3
200802,54.6,-0.1
200803,62.2,3.1
200804,68.6,2.3
200805,73.6,-0.9
200806,87.8,4.1
200807,91.0,1.6
200808,89.6,1.9
200809,85.3,3.0
200810,73.8,2.9
200811,63.5,4.5
200812,52.6,1.0
200901,55.7,4.9
200902,56.6,1.9
200903,62.9,3.8
200904,67.1,0.8
200905,81.3,6.8
200906,83.4,-0.3
200907,93.7,4.3
200908,90.2,2.5
200909,85.5,3.2
200910,69.9,-1.0
200911,63.2,4.2
200912,50.3,-1.3
201001,54.2,3.4
201002,55.7,1.0
201003,59.0,-0.1
201004,65.8,-0.5
201005,73.1,-1.4
201006,85.2,1.5
201007,92.3,2.9
201008,89.8,2.1
201009,86.4,4.1
201010,73.0,2.1
201011,58.6,-0.4
201012,56.2,4.6
201101,52.3,1.5
201102,51.7,-3.0
201103,63.2,4.1
201104,69.7,3.4
201105,73.7,-0.8
201106,84.9,1.2
201107,90.8,1.4
201108,93.5,5.8
201109,86.1,3.8
201110,74.2,3.3
201111,59.5,0.5
201112,49.9,-1.7
201201,55.4,4.6
201202,55.9,1.2
201203,61.3,2.2
201204,70.3,4.0
201205,79.2,4.7
201206,87.7,4.0
201207,89.7,0.3
201208,91.1,3.4
201209,84.3,2.0
201210,73.9,3.0
201211,63.8,4.8
201212,52.7,1.1
201301,50.0,-0.8
201302,52.9,-1.8
201303,65.0,5.9
201304,69.8,3.5
201305,78.2,3.7
201306,88.5,4.8
201307,91.4,2.0
201308,89.6,1.9
201309,83.2,0.9
201310,69.2,-1.7
201311,62.1,3.1
201312,52.3,0.7
201401,56.5,5.7
201402,59.8,5.1
201403,64.5,5.4
201404,69.8,3.5
201405,77.9,3.4
201406,87.2,3.5
201407,91.3,1.9
201408,86.4,-1.3
201409,84.4,2.1
201410,74.7,3.8
201411,61.8,2.8
201412,53.9,2.3
201501,55.1,4.3
201502,61.5,6.8
201503,67.2,8.1
201504,68.8,2.5
201505,73.0,-1.5
201506,88.1,4.4
201507,89.4,0.0
201508,92.3,4.6
201509,85.6,3.3
201510,74.7,3.8
201511,58.0,-1.0
201512,50.7,-0.9
201601,51.7,0.9
201602,61.8,7.1
201603,65.6,6.5
201604,69.2,2.9
201605,74.7,0.2
201606,90.2,6.5
201607,93.2,3.8
201608,88.8,1.1
201609,82.4,0.1
201610,76.6,5.7
201611,63.6,4.6
201612,54.8,3.2
201701,52.0,1.2
201702,58.5,3.8
201703,66.8,7.7
201704,70.7,4.4
201705,76.9,2.4
201706,89.4,5.7
201707,91.8,2.4
201708,90.4,2.7
201709,82.8,0.5
201710,76.2,5.3
201711,67.4,8.4
201712,56.9,5.3
201801,58.4,7.6
201802,56.2,1.5
201803,62.6,3.5
201804,73.0,6.7
201805,78.1,3.6
201806,87.1,3.4
201807,91.9,2.5
201808,90.3,2.6
201809,87.4,5.1
201810,69.6,-1.3
201811,59.7,0.7
201812,52.5,0.9
201901,52.8,2.0
201902,50.4,-4.3
201903,61.3,2.2
201904,70.6,4.3
201905,71.3,-3.2
201906,85.7,2.0
201907,92.5,3.1
201908,92.7,5.0
201909,84.2,1.9
201910,71.1,0.2
201911,62.4,3.4
201912,52.5,0.9
202001,53.7,2.9
