San Joaquin County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,49.8,4.3
200002,52.5,2.1
200003,55.5,1.5
200004,61.4,2.5
200005,66.7,1.8
200006,74.1,2.8
200007,73.1,-2.6
200008,75.2,0.7
200009,71.9,0.9
200010,62.4,-1.1
200011,49.5,-3.8
200012,47.5,1.5
200101,45.7,0.2
200102,49.3,-1.1
200103,57.6,3.6
200104,56.7,-2.2
200105,72.6,7.7
200106,74.6,3.3
200107,75.1,-0.6
200108,75.7,1.2
200109,71.9,0.9
200110,66.1,2.6
200111,55.9,2.6
200112,48.2,2.2
200201,45.1,-0.4
200202,51.5,1.1
200203,53.6,-0.4
200204,59.6,0.7
200205,65.3,0.4
200206,73.2,1.9
200207,76.7,1.0
200208,74.2,-0.3
200209,73.5,2.5
200210,63.5,0.0
200211,54.7,1.4
200212,49.0,3.0
200301,50.4,4.9
200302,50.5,0.1
200303,56.4,2.4
200304,56.0,-2.9
200305,65.9,1.0
200306,73.0,1.7
200307,79.5,3.8
200308,75.2,0.7
200309,74.3,3.3
200310,68.1,4.6
200311,52.0,-1.3
200312,49.1,3.1
200401,46.7,1.2
200402,50.6,0.2
200403,60.5,6.5
200404,62.8,3.9
200405,67.2,2.3
200406,72.8,1.5
200407,76.0,0.3
200408,75.8,1.3
200409,72.8,1.8
200410,62.6,-0.9
200411,51.4,-1.9
200412,47.1,1.1
200501,45.7,0.2
200502,53.0,2.6
200503,56.6,2.6
200504,58.2,-0.7
200505,65.8,0.9
200506,69.4,-1.9
200507,79.5,3.8
200508,77.3,2.8
200509,69.4,-1.6
200510,64.4,0.9
200511,56.0,2.7
200512,50.2,4.2
200601,49.0,3.5
200602,51.8,1.4
200603,50.3,-3.7
200604,57.9,-1.0
200605,67.8,2.9
200606,74.9,3.6
200607,80.7,5.0
200608,74.0,-0.5
200609,71.5,0.5
200610,62.0,-1.5
200611,54.3,1.0
200612,47.4,1.4
200701,44.9,-0.6
200702,51.6,1.2
200703,58.8,4.8
200704,61.3,2.4
200705,67.5,2.6
200706,72.6,1.3
200707,76.3,0.6
200708,76.6,2.1
200709,70.3,-0.7
200710,62.3,-1.2
200711,56.3,3.0
200712,45.9,-0.1
200801,45.7,0.2
200802,50.4,0.0
200803,55.1,1.1
200804,59.2,0.3
200805,67.4,2.5
200806,73.5,2.2
200807,76.6,0.9
200808,77.3,2.8
200809,73.2,2.2
200810,65.2,1.7
200811,56.6,3.3
200812,44.6,-1.4
200901,47.9,2.4
200902,51.0,0.6
200903,54.8,0.8
200904,59.6,0.7
200905,69.5,4.6
200906,71.1,-0.2
200907,76.2,0.5
200908,75.5,1.0
200909,75.2,4.2
200910,62.2,-1.3
200911,53.6,0.3
200912,45.7,-0.3
201001,48.0,2.5
201002,52.2,1.8
201003,54.1,0.1
201004,55.9,-3.0
201005,61.9,-3.0
201006,72.6,1.3
201007,74.9,-0.8
201008,72.6,-1.9
201009,72.6,1.6
201010,64.8,1.3
201011,52.7,-0.6
201012,50.3,4.3
201101,46.0,0.5
201102,48.5,-1.9
201103,53.8,-0.2
201104,58.6,-0.3
201105,61.7,-3.2
201106,69.3,-2.0
201107,74.7,-1.0
201108,74.9,0.4
201109,74.8,3.8
201110,64.6,1.1
201111,52.0,-1.3
201112,45.9,-0.1
201201,48.4,2.9
201202,51.6,1.2
201203,53.2,-0.8
201204,60.3,1.4
201205,67.5,2.6
201206,71.4,0.1
201207,74.9,-0.8
201208,77.0,2.5
201209,73.3,2.3
201210,65.2,1.7
201211,56.0,2.7
201212,47.5,1.5
201301,45.0,-0.5
201302,49.7,-0.7
201303,57.4,3.4
201304,63.9,5.0
201305,68.6,3.7
201306,73.9,2.6
201307,77.3,1.6
201308,74.7,0.2
201309,71.3,0.3
201310,62.8,-0.7
201311,55.5,2.2
201312,46.0,0.0
201401,51.7,6.2
201402,53.7,3.3
201403,58.8,4.8
201404,62.0,3.1
201405,69.0,4.1
201406,73.7,2.4
201407,78.1,2.4
201408,75.7,1.2
201409,73.7,2.7
201410,68.0,4.5
201411,56.4,3.1
201412,52.7,6.7
201501,49.6,4.1
201502,56.1,5.7
201503,61.6,7.6
201504,62.0,3.1
201505,64.4,-0.5
201506,75.8,4.5
201507,77.1,1.4
201508,76.2,1.7
201509,74.5,3.5
201510,69.8,6.3
201511,51.9,-1.4
201512,47.3,1.3
201601,50.0,4.5
201602,55.6,5.2
201603,57.4,3.4
201604,62.9,4.0
201605,67.2,2.3
201606,75.2,3.9
201607,77.0,1.3
201608,75.2,0.7
201609,72.1,1.1
201610,63.9,0.4
201611,56.5,3.2
201612,46.6,0.6
201701,47.2,1.7
201702,53.0,2.6
201703,57.9,3.9
201704,59.9,1.0
201705,68.5,3.6
201706,75.4,4.1
201707,79.7,4.0
201708,78.6,4.1
201709,74.2,3.2
201710,65.1,1.6
201711,56.6,3.3
201712,48.8,2.8
201801,51.8,6.3
201802,52.9,2.5
201803,54.8,0.8
201804,61.1,2.2
201805,66.6,1.7
201806,74.2,2.9
201807,79.8,4.1
201808,75.2,0.7
201809,71.8,0.8
201810,66.1,2.6
201811,55.8,2.5
201812,49.7,3.7
201901,51.0,5.5
201902,47.6,-2.8
201903,54.5,0.5
201904,63.6,4.7
201905,62.8,-2.1
201906,75.0,3.7
201907,77.2,1.5
201908,78.6,4.1
201909,72.3,1.3
201910,63.7,0.2
201911,56.4,3.1
201912,50.5,4.5
202001,49.2,3.7
