San Luis Obispo County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.1,3.2
200002,50.7,2.1
200003,51.8,1.0
200004,57.7,3.4
200005,63.2,3.7
200006,69.2,3.5
200007,69.1,-1.9
200008,71.8,1.0
200009,68.3,1.0
200010,59.2,-1.3
200011,49.8,-3.0
200012,51.6,4.1
200101,46.4,-0.5
200102,46.6,-2.0
200103,54.2,3.4
200104,52.5,-1.8
200105,67.0,7.5
200106,69.3,3.6
200107,70.5,-0.5
200108,71.5,0.7
200109,69.0,1.7
200110,63.2,2.7
200111,54.9,2.1
200112,47.6,0.1
200201,45.7,-1.2
200202,51.1,2.5
200203,50.5,-0.3
200204,55.5,1.2
200205,60.3,0.8
200206,67.8,2.1
200207,72.6,1.6
200208,70.6,-0.2
200209,69.8,2.5
200210,59.2,-1.3
200211,56.2,3.4
200212,48.7,1.2
200301,53.6,6.7
200302,49.1,0.5
200303,53.7,2.9
200304,51.9,-2.4
200305,61.6,2.1
200306,67.4,1.7
200307,74.8,3.8
200308,72.7,1.9
200309,71.3,4.0
200310,65.3,4.8
200311,50.8,-2.0
200312,48.6,1.1
200401,47.5,0.6
200402,47.7,-0.9
200403,58.4,7.6
200404,57.9,3.6
200405,62.2,2.7
200406,67.4,1.7
200407,71.9,0.9
200408,71.8,1.0
200409,68.7,1.4
200410,59.6,-0.9
200411,49.9,-2.9
200412,48.8,1.3
200501,49.3,2.4
200502,51.0,2.4
200503,53.6,2.8
200504,53.9,-0.4
200505,61.8,2.3
200506,64.0,-1.7
200507,75.0,4.0
200508,73.1,2.3
200509,65.4,-1.9
200510,60.6,0.1
200511,56.7,3.9
200512,51.2,3.7
200601,48.7,1.8
200602,51.3,2.7
200603,46.2,-4.6
200604,53.1,-1.2
200605,62.8,3.3
200606,70.2,4.5
200607,76.2,5.2
200608,69.5,-1.3
200609,67.8,0.5
200610,59.0,-1.5
200611,54.8,2.0
200612,48.3,0.8
200701,45.2,-1.7
200702,49.7,1.1
200703,56.1,5.3
200704,56.8,2.5
200705,62.1,2.6
200706,68.0,2.3
200707,72.5,1.5
200708,72.8,2.0
200709,66.3,-1.0
200710,60.3,-0.2
200711,55.7,2.9
200712,45.4,-2.1
200801,46.7,-0.2
200802,49.3,0.7
200803,52.5,1.7
200804,55.4,1.1
200805,60.4,0.9
200806,68.8,3.1
200807,73.4,2.4
200808,73.7,2.9
200809,70.1,2.8
200810,63.5,3.0
200811,56.8,4.0
200812,46.6,-0.9
200901,50.9,4.0
200902,49.0,0.4
200903,51.6,0.8
200904,54.9,0.6
200905,65.4,5.9
200906,65.6,-0.1
200907,73.7,2.7
200908,72.0,1.2
200909,71.9,4.6
200910,60.2,-0.3
200911,53.3,0.5
200912,47.3,-0.2
201001,50.2,3.3
201002,50.1,1.5
201003,51.6,0.8
201004,52.5,-1.8
201005,57.8,-1.7
201006,66.9,1.2
201007,70.6,-0.4
201008,69.7,-1.1
201009,69.0,1.7
201010,62.1,1.6
201011,52.0,-0.8
201012,50.3,2.8
201101,50.0,3.1
201102,46.7,-1.9
201103,51.4,0.6
201104,55.2,0.9
201105,57.6,-1.9
201106,65.0,-0.7
201107,71.2,0.2
201108,71.2,0.4
201109,70.5,3.2
201110,62.9,2.4
201111,52.3,-0.5
201112,46.4,-1.1
201201,50.2,3.3
201202,49.8,1.2
201203,51.3,0.5
201204,56.6,2.3
201205,62.7,3.2
201206,67.0,1.3
201207,70.6,-0.4
201208,75.2,4.4
201209,71.6,4.3
201210,63.6,3.1
201211,55.9,3.1
201212,48.2,0.7
201301,47.3,0.4
201302,48.5,-0.1
201303,56.0,5.2
201304,59.7,5.4
201305,63.9,4.4
201306,69.8,4.1
201307,74.3,3.3
201308,72.2,1.4
201309,69.7,2.4
201310,61.1,0.6
201311,55.6,2.8
201312,49.4,1.9
201401,54.3,7.4
201402,53.2,4.6
201403,56.6,5.8
201404,59.0,4.7
201405,65.1,5.6
201406,69.4,3.7
201407,74.4,3.4
201408,72.7,1.9
201409,71.5,4.2
201410,66.6,6.1
201411,57.6,4.8
201412,52.2,4.7
201501,52.3,5.4
201502,55.6,7.0
201503,59.0,8.2
201504,57.7,3.4
201505,59.2,-0.3
201506,70.7,5.0
201507,71.9,0.9
201508,73.6,2.8
201509,72.0,4.7
201510,67.3,6.8
201511,51.4,-1.4
201512,46.5,-1.0
201601,50.3,3.4
201602,55.3,6.7
201603,54.9,4.1
201604,58.8,4.5
201605,61.4,1.9
201606,71.8,6.1
201607,73.0,2.0
201608,72.2,1.4
201609,68.6,1.3
201610,61.8,1.3
201611,56.9,4.1
201612,48.5,1.0
201701,48.2,1.3
201702,50.7,2.1
201703,55.0,4.2
201704,57.6,3.3
201705,62.4,2.9
201706,71.2,5.5
201707,76.0,5.0
201708,75.4,4.6
201709,70.0,2.7
201710,64.3,3.8
201711,57.5,4.7
201712,52.3,4.8
201801,53.9,7.0
201802,50.3,1.7
201803,52.1,1.3
201804,58.0,3.7
201805,60.7,1.2
201806,68.2,2.5
201807,77.0,6.0
201808,73.8,3.0
201809,69.7,2.4
201810,63.2,2.7
201811,57.1,4.3
201812,49.4,1.9
201901,50.9,4.0
201902,45.1,-3.5
201903,51.2,0.4
201904,59.3,5.0
201905,58.1,-1.4
201906,68.8,3.1
201907,72.3,1.3
201908,73.6,2.8
201909,69.6,2.3
201910,61.9,1.4
201911,56.1,3.3
201912,50.1,2.6
202001,49.1,2.2
