Clear Creek County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.1,3.8
200002,27.7,6.4
200003,28.4,2.8
200004,37.7,4.7
200005,46.0,4.0
200006,52.5,1.5
200007,59.0,2.7
200008,57.8,3.1
200009,49.5,1.5
200010,39.2,0.7
200011,20.3,-6.8
200012,20.4,0.0
200101,19.8,0.5
200102,23.1,1.8
200103,27.7,2.1
200104,36.7,3.7
200105,43.8,1.8
200106,53.8,2.8
200107,59.1,2.8
200108,55.7,1.0
200109,50.3,2.3
200110,39.8,1.3
200111,31.0,3.9
200112,20.8,0.4
200201,19.4,0.1
200202,19.9,-1.4
200203,23.7,-1.9
200204,38.4,5.4
200205,42.8,0.8
200206,55.9,4.9
200207,60.4,4.1
200208,55.5,0.8
200209,48.4,0.4
200210,35.0,-3.5
200211,25.9,-1.2
200212,21.6,1.2
200301,27.4,8.1
200302,19.0,-2.3
200303,27.5,1.9
200304,35.7,2.7
200305,43.7,1.7
200306,48.9,-2.1
200307,61.4,5.1
200308,57.2,2.5
200309,46.4,-1.6
200310,43.3,4.8
200311,26.1,-1.0
200312,23.8,3.4
200401,21.6,2.3
200402,20.0,-1.3
200403,33.5,7.9
200404,34.8,1.8
200405,44.3,2.3
200406,49.8,-1.2
200407,54.8,-1.5
200408,52.0,-2.7
200409,47.1,-0.9
200410,38.0,-0.5
200411,27.1,0.0
200412,22.7,2.3
200501,25.7,6.4
200502,24.0,2.7
200503,26.0,0.4
200504,34.5,1.5
200505,43.3,1.3
200506,50.1,-0.9
200507,59.6,3.3
200508,54.0,-0.7
200509,50.6,2.6
200510,40.2,1.7
200511,29.7,2.6
200512,19.6,-0.8
200601,23.3,4.0
200602,20.5,-0.8
200603,26.5,0.9
200604,37.6,4.6
200605,45.0,3.0
200606,55.3,4.3
200607,58.2,1.9
200608,54.9,0.2
200609,44.0,-4.0
200610,36.3,-2.2
200611,29.0,1.9
200612,22.1,1.7
200701,17.5,-1.8
200702,23.2,1.9
200703,31.6,6.0
200704,34.1,1.1
200705,43.3,1.3
200706,52.7,1.7
200707,58.7,2.4
200708,57.3,2.6
200709,49.5,1.5
200710,40.2,1.7
200711,31.8,4.7
200712,17.8,-2.6
200801,16.1,-3.2
200802,21.2,-0.1
200803,24.4,-1.2
200804,30.9,-2.1
200805,40.3,-1.7
200806,50.7,-0.3
200807,58.3,2.0
200808,54.8,0.1
200809,47.7,-0.3
200810,39.2,0.7
200811,31.4,4.3
200812,19.6,-0.8
200901,23.5,4.2
200902,25.0,3.7
200903,28.8,3.2
200904,32.2,-0.8
200905,44.2,2.2
200906,48.9,-2.1
200907,55.6,-0.7
200908,53.9,-0.8
200909,47.8,-0.2
200910,32.5,-6.0
200911,31.4,4.3
200912,15.3,-5.1
201001,21.7,2.4
201002,17.8,-3.5
201003,26.7,1.1
201004,33.8,0.8
201005,39.5,-2.5
201006,53.1,2.1
201007,57.4,1.1
201008,55.5,0.8
201009,51.8,3.8
201010,40.4,1.9
201011,26.4,-0.7
201012,25.9,5.5
201101,19.4,0.1
201102,17.6,-3.7
201103,29.6,4.0
201104,32.7,-0.3
201105,38.7,-3.3
201106,51.9,0.9
201107,58.3,2.0
201108,57.7,3.0
201109,48.3,0.3
201110,38.6,0.1
201111,27.6,0.5
201112,20.7,0.3
201201,23.9,4.6
201202,19.9,-1.4
201203,33.7,8.1
201204,39.5,6.5
201205,44.4,2.4
201206,57.3,6.3
201207,58.8,2.5
201208,56.6,1.9
201209,49.9,1.9
201210,38.4,-0.1
201211,33.2,6.1
201212,21.2,0.8
201301,19.5,0.2
201302,18.9,-2.4
201303,26.4,0.8
201304,29.6,-3.4
201305,41.8,-0.2
201306,54.5,3.5
201307,57.2,0.9
201308,56.1,1.4
201309,50.5,2.5
201310,36.0,-2.5
201311,29.4,2.3
201312,19.3,-1.1
201401,21.8,2.5
201402,22.1,0.8
201403,27.9,2.3
201404,33.4,0.4
201405,41.9,-0.1
201406,51.5,0.5
201407,57.5,1.2
201408,53.1,-1.6
201409,50.6,2.6
201410,41.9,3.4
201411,27.0,-0.1
201412,23.2,2.8
201501,25.4,6.1
201502,25.1,3.8
201503,32.5,6.9
201504,35.7,2.7
201505,40.2,-1.8
201506,55.0,4.0
201507,55.6,-0.7
201508,56.6,1.9
201509,52.9,4.9
201510,43.2,4.7
201511,27.3,0.2
201512,20.4,0.0
201601,21.8,2.5
201602,26.7,5.4
201603,28.2,2.6
201604,34.6,1.6
201605,40.9,-1.1
201606,56.6,5.6
201607,58.9,2.6
201608,53.8,-0.9
201609,50.1,2.1
201610,43.4,4.9
201611,33.9,6.8
201612,20.8,0.4
201701,20.0,0.7
201702,29.3,8.0
201703,35.0,9.4
201704,35.0,2.0
201705,41.8,-0.2
201706,54.3,3.3
201707,58.0,1.7
201708,54.3,-0.4
201709,49.6,1.6
201710,38.5,0.0
201711,35.2,8.1
201712,25.7,5.3
201801,25.4,6.1
201802,22.3,1.0
201803,29.2,3.6
201804,35.2,2.2
201805,46.8,4.8
201806,56.0,5.0
201807,59.0,2.7
201808,56.0,1.3
201809,52.6,4.6
201810,37.0,-1.5
201811,25.0,-2.1
201812,21.2,0.8
201901,21.5,2.2
201902,20.5,-0.8
201903,26.2,0.6
201904,36.2,3.2
201905,37.8,-4.2
201906,50.0,-1.0
201907,58.5,2.2
201908,57.6,2.9
201909,53.3,5.3
201910,32.6,-5.9
201911,29.2,2.1
201912,22.5,2.1
202001,22.2,2.9
