Glynn County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.6,-0.2
200002,55.2,1.5
200003,63.3,3.9
200004,64.2,-1.9
200005,76.3,2.9
200006,79.2,0.1
200007,82.2,0.9
200008,81.2,0.4
200009,76.8,-0.5
200010,66.5,-2.2
200011,58.4,-1.0
200012,47.1,-5.6
200101,48.5,-3.3
200102,58.9,5.2
200103,59.8,0.4
200104,66.8,0.7
200105,74.0,0.6
200106,79.5,0.4
200107,81.8,0.5
200108,81.6,0.8
200109,75.1,-2.2
200110,66.8,-1.9
200111,64.5,5.1
200112,59.2,6.5
200201,53.8,2.0
200202,53.6,-0.1
200203,62.4,3.0
200204,71.6,5.5
200205,73.4,0.0
200206,79.2,0.1
200207,82.3,1.0
200208,80.4,-0.4
200209,80.1,2.8
200210,73.1,4.4
200211,58.6,-0.8
200212,50.8,-1.9
200301,47.3,-4.5
200302,54.0,0.3
200303,63.5,4.1
200304,65.9,-0.2
200305,76.0,2.6
200306,79.4,0.3
200307,81.6,0.3
200308,80.8,0.0
200309,76.3,-1.0
200310,69.0,0.3
200311,63.9,4.5
200312,49.8,-2.9
200401,50.3,-1.5
200402,50.8,-2.9
200403,61.7,2.3
200404,65.4,-0.7
200405,76.1,2.7
200406,80.9,1.8
200407,82.0,0.7
200408,79.8,-1.0
200409,77.9,0.6
200410,71.7,3.0
200411,63.2,3.8
200412,51.9,-0.8
200501,53.8,2.0
200502,54.5,0.8
200503,57.6,-1.8
200504,62.9,-3.2
200505,71.6,-1.8
200506,78.6,-0.5
200507,82.7,1.4
200508,82.3,1.5
200509,79.1,1.8
200510,69.0,0.3
200511,62.1,2.7
200512,50.4,-2.3
200601,55.6,3.8
200602,52.5,-1.2
200603,59.7,0.3
200604,69.7,3.6
200605,74.0,0.6
200606,79.8,0.7
200607,82.3,1.0
200608,83.4,2.6
200609,78.0,0.7
200610,67.9,-0.8
200611,58.5,-0.9
200612,58.3,5.6
200701,54.9,3.1
200702,52.9,-0.8
200703,62.5,3.1
200704,65.1,-1.0
200705,71.8,-1.6
200706,78.8,-0.3
200707,81.6,0.3
200708,83.4,2.6
200709,78.4,1.1
200710,72.3,3.6
200711,59.4,0.0
200712,58.2,5.5
200801,51.1,-0.7
200802,56.3,2.6
200803,59.6,0.2
200804,65.4,-0.7
200805,73.4,0.0
200806,81.0,1.9
200807,81.1,-0.2
200808,81.0,0.2
200809,77.4,0.1
200810,67.2,-1.5
200811,56.5,-2.9
200812,57.3,4.6
200901,51.8,0.0
200902,51.5,-2.2
200903,60.7,1.3
200904,66.0,-0.1
200905,74.6,1.2
200906,82.1,3.0
200907,81.4,0.1
200908,81.0,0.2
200909,77.6,0.3
200910,70.7,2.0
200911,60.6,1.2
200912,53.1,0.4
201001,46.6,-5.2
201002,47.1,-6.6
201003,55.4,-4.0
201004,66.4,0.3
201005,76.3,2.9
201006,82.8,3.7
201007,83.6,2.3
201008,83.7,2.9
201009,79.3,2.0
201010,69.1,0.4
201011,59.7,0.3
201012,44.7,-8.0
201101,47.2,-4.6
201102,56.3,2.6
201103,62.6,3.2
201104,69.5,3.4
201105,74.5,1.1
201106,81.7,2.6
201107,83.2,1.9
201108,84.1,3.3
201109,77.5,0.2
201110,66.3,-2.4
201111,60.8,1.4
201112,57.0,4.3
201201,54.7,2.9
201202,57.8,4.1
201203,67.6,8.2
201204,69.3,3.2
201205,75.6,2.2
201206,77.3,-1.8
201207,83.7,2.4
201208,80.6,-0.2
201209,77.9,0.6
201210,70.0,1.3
201211,57.2,-2.2
201212,57.1,4.4
201301,58.1,6.3
201302,55.3,1.6
201303,54.5,-4.9
201304,66.5,0.4
201305,71.8,-1.6
201306,80.8,1.7
201307,81.2,-0.1
201308,81.7,0.9
201309,78.2,0.9
201310,69.4,0.7
201311,59.6,0.2
201312,58.0,5.3
201401,46.9,-4.9
201402,54.9,1.2
201403,56.8,-2.6
201404,66.4,0.3
201405,73.8,0.4
201406,80.3,1.2
201407,82.1,0.8
201408,81.8,1.0
201409,77.1,-0.2
201410,69.2,0.5
201411,55.2,-4.2
201412,55.9,3.2
201501,51.0,-0.8
201502,49.9,-3.8
201503,62.7,3.3
201504,71.2,5.1
201505,74.9,1.5
201506,81.4,2.3
201507,83.1,1.8
201508,81.6,0.8
201509,77.4,0.1
201510,69.4,0.7
201511,66.4,7.0
201512,64.5,11.8
201601,50.2,-1.6
201602,54.5,0.8
201603,65.3,5.9
201604,67.6,1.5
201605,74.5,1.1
201606,82.0,2.9
201607,85.6,4.3
201608,83.4,2.6
201609,79.2,1.9
201610,71.2,2.5
201611,62.5,3.1
201612,58.9,6.2
201701,58.4,6.6
201702,61.7,8.0
201703,61.6,2.2
201704,70.4,4.3
201705,75.4,2.0
201706,79.2,0.1
201707,83.1,1.8
201708,82.2,1.4
201709,79.0,1.7
201710,71.9,3.2
201711,61.6,2.2
201712,54.5,1.8
201801,47.2,-4.6
201802,63.4,9.7
201803,58.4,-1.0
201804,65.8,-0.3
201805,74.9,1.5
201806,81.4,2.3
201807,82.7,1.4
201808,81.9,1.1
201809,82.0,4.7
201810,73.3,4.6
201811,60.7,1.3
201812,55.5,2.8
201901,53.3,1.5
201902,61.0,7.3
201903,60.9,1.5
201904,68.2,2.1
201905,78.6,5.2
201906,81.2,2.1
201907,82.8,1.5
201908,82.1,1.3
201909,80.7,3.4
201910,74.9,6.2
201911,57.7,-1.7
201912,57.4,4.7
202001,56.8,5.0
